geometry_metric,robustness_metric,pearson_r,p_value,n
S_layer0_median,acc_f5,0.7505397699298563,0.004916074570256582,12
S_layer0_median,robustness_drop,-0.7504981428895529,0.0049198010057021025,12
Q_median,acc_f5,0.7248754839205442,0.007649873215525836,12
S_layer0_median,acc_f1to5_mean,0.7241316487993327,0.007743133884335118,12
Q_median,robustness_drop,-0.7237993436060164,0.007785071686340254,12
Q_median,acc_f1to5_mean,0.6861411781941343,0.013745749977605694,12
cos_mean_median,acc_f5,0.6732564375958208,0.01640354553616673,12
cos_mean_median,robustness_drop,-0.6726580550000605,0.016535504047165486,12
cos_mean_median,acc_f1to5_mean,0.6461402520129665,0.023204724304241336,12
N_median,acc_f5,-0.6330544722627853,0.027132377651182645,12
S_median,acc_f5,0.6330159110245434,0.027144616241651674,12
S_median,robustness_drop,-0.6325952117336191,0.027278397339666038,12
N_median,robustness_drop,0.6313222307099438,0.02768610275831479,12
N_median,acc_f1to5_mean,-0.5950490231715899,0.041245222738498455,12
S_median,acc_f1to5_mean,0.5627463768302184,0.0567964464315168,12
N_median,acc_clean_f0,-0.13114429454834245,0.6845494147527009,12
S_layer0_median,acc_clean_f0,-0.06777724256487043,0.8342218513937327,12
Q_median,acc_clean_f0,0.049486955711509656,0.8786124791418961,12
S_median,acc_clean_f0,-0.014379523509937348,0.9646226455697029,12
cos_mean_median,acc_clean_f0,0.0014545029450899818,0.9964205692553338,12
