model,gamma,N_median,N_q25,N_q75,Q_median,Q_q25,Q_q75,S_median,S_q25,S_q75,S_layer0_median,S_layer0_q25,S_layer0_q75,cos_mean_median,cos_mean_q25,cos_mean_q75,S_deep_mean_median,acc_clean_f0,acc_f5,acc_f1to5_mean,robustness_drop
snn_atan12,1.0,0.1434123516082763,0.1211087554693222,0.1686285734176635,0.223383143544197,0.1927554160356521,0.2638512551784515,0.546663224697113,0.4794049561023712,0.6288121938705444,0.6239233016967773,0.5383667945861816,0.7486531138420105,0.0854851230978965,0.0523676238954067,0.1293578892946243,0.5785280466079712,0.9683933333333332,0.96998,0.96906,-0.0015866666666667362
snn_atan12,0.66,0.3876804709434509,0.3696614801883697,0.4061039388179779,0.034267421811819,0.0316136218607425,0.0375336371362209,0.1322033107280731,0.1091362610459327,0.1507335752248764,0.1609410643577575,0.1145113408565521,0.2117452472448349,-0.0738248080015182,-0.0790620744228363,-0.0668908059597015,0.2448696345090866,0.9678933333333333,0.9669866666666666,0.9700279999999999,0.0009066666666667222
snn_atan12,0.33,0.3911176323890686,0.379450649023056,0.4035264253616333,0.0186717100441455,0.0179757829755544,0.0197318363934755,0.1076976060867309,0.0941046699881553,0.1173511445522308,0.0551092810928821,0.0397816337645053,0.0774752795696258,-0.0863315165042877,-0.0891010165214538,-0.083411768078804,0.2841012661034862,0.9679800000000001,0.10005333333333333,0.4284306666666667,0.8679266666666667
snn_atan12,0.0,0.3947954475879669,0.3880112767219543,0.4045719802379608,0.0172728970646858,0.0168507006019353,0.0176997315138578,0.1241399720311164,0.111963652074337,0.1355446726083755,0.0475106053054332,0.0282654333859682,0.0640315115451812,-0.0873702615499496,-0.0893488898873329,-0.0844903290271759,0.3386910029997427,0.9684933333333333,0.09872666666666666,0.2439293333333333,0.8697666666666667
cnn_relu,1.0,0.1581260412931442,0.1314617991447448,0.1818477809429168,0.1432448774576187,0.1260810047388076,0.195212036371231,0.3305534124374389,0.2648364901542663,0.4231111407279968,0.6475813388824463,0.485603004693985,0.7471124529838562,0.0039160591550171,-0.0141831533983349,0.0391385629773139,0.3211281895637511,0.9737066666666667,0.9392333333333334,0.9547706666666667,0.034473333333333356
cnn_relu,0.66,0.3617861866950989,0.3360272049903869,0.3827836811542511,0.0852950736880302,0.0750463977456092,0.1675651967525482,0.1374103277921676,0.1076630130410194,0.1710971742868423,0.0693774372339248,0.0463436134159565,0.0928726568818092,-0.0823291093111038,-0.0874624773859977,-0.0757424756884574,0.1729203797876835,0.9736999999999998,0.9035866666666668,0.9109133333333335,0.07011333333333303
cnn_relu,0.33,0.3406155109405517,0.3244114816188812,0.361928790807724,0.0568896755576133,0.0531618297100067,0.0619096234440803,0.1504409909248352,0.1311297118663787,0.1739060580730438,0.0184107795357704,0.0107460729777812,0.0326169617474079,-0.0931244865059852,-0.0947938114404678,-0.0906065255403518,0.2445510178804397,0.9740333333333334,0.10042666666666666,0.29124000000000005,0.8736066666666668
cnn_relu,0.0,0.3537698686122894,0.3416012525558471,0.3656041026115417,0.0300454683601856,0.0290294159203767,0.0311728697270154,0.1981091350317001,0.1807457655668258,0.2182528376579284,0.0121778771281242,0.0063666393980383,0.0237567108124494,-0.0928910151124,-0.0942074283957481,-0.0914756581187248,0.3480726567407449,0.9738266666666666,0.09731333333333334,0.09970533333333334,0.8765133333333333
cnn_tanh,1.0,0.1059045046567916,0.090476281940937,0.1335407048463821,0.2155516445636749,0.1819012761116027,0.262338787317276,0.591335117816925,0.5206053256988525,0.6821078658103943,0.5520972013473511,0.4302861094474792,0.6963813900947571,0.1068711653351783,0.0727133154869079,0.1617958694696426,0.6061661243438721,0.97708,0.9572666666666667,0.9653280000000001,0.01981333333333324
cnn_tanh,0.66,0.3523444235324859,0.336527407169342,0.3695549666881561,0.0531502291560173,0.0473531633615493,0.0598612800240516,0.1553355902433395,0.1379666030406952,0.1770573556423187,0.1453594863414764,0.1038288474082946,0.1892843097448349,-0.0708049014210701,-0.0752057954668998,-0.0668928176164627,0.1692903935909271,0.9770266666666666,0.6638266666666667,0.7768653333333333,0.3131999999999999
cnn_tanh,0.33,0.3649998605251312,0.3526783585548401,0.3762412965297699,0.0294632092118263,0.0282082222402095,0.0307019595056772,0.0720243081450462,0.0654588267207145,0.07781982421875,0.0254297964274883,0.0155348153784871,0.0397721230983734,-0.0895892605185508,-0.0907884836196899,-0.0881803780794143,0.0962209509064753,0.9771599999999999,0.10036,0.5098466666666667,0.8767999999999999
cnn_tanh,0.0,0.374146968126297,0.3677533566951751,0.3805700540542602,0.0245917234569787,0.0237890891730785,0.0250927917659282,0.0681640356779098,0.0631642341613769,0.0731128826737403,0.0135419303551316,0.0085883839055895,0.0224959943443536,-0.0918177962303161,-0.0928638875484466,-0.0902504846453666,0.1090194120382268,0.9770666666666667,0.09893333333333335,0.28466933333333333,0.8781333333333334
