step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.293763667345047,0.0,0.0,0.0,0.36150652170181274,0.0,0.0,0.11730962991714478,0.0,0.0,0.0,0.0,0.06595105677843094,0.0,0.0,0.0,0.1614660620689392,0.0,0.0,3.041325726371724e-06,0.46569421887397766,0.0,0.0,0.0,0.42663082480430603,0.0,0.0,0.08855173736810684,0.0,0.0,0.0,0.0,0.009509015828371048,0.0,0.0,0.0,0.009598752483725548,0.0,0.0,1.5471876395167783e-05,0.03461538627743721,0.036087825894355774,0.003510611830279231,0.768862247467041,0.07922157645225525,0.09021364152431488,0.005691260565072298,0.9773356318473816,0.00013235429651103914,8.900403918232769e-05,1.3372014109336305e-05,9.152275742962956e-05,6.181907519930974e-05,3.498357182252221e-05,1.7096783722081454e-06,1.1464788258308545e-05,0.0002675917639862746,0.00017694468260742724,4.488804188440554e-05,0.000285973132122308,0.014336086809635162,0.22740089893341064,0.03628827631473541,-0.0984869971871376,-0.1659812033176422,6.029777526855469,0.07958200573921204,0.5346772074699402,0.42918920516967773,0.49166297912597656,0.4983047544956207,0.4713151156902313,0.4707266092300415,0.5376101136207581,0.473459392786026,0.5737005472183228,0.517365038394928
1,0.2902795076370239,0.0,0.0,0.0,0.36718639731407166,0.0,0.0,0.11990510672330856,0.0,0.0,0.0,0.0,0.06523943692445755,0.0,0.0,0.0,0.1573857218027115,0.0,0.0,3.7219720070424955e-06,0.4430271089076996,0.0,0.0,0.0,0.4505685865879059,0.0,0.0,0.08690321445465088,0.0,0.0,0.0,0.0,0.010190566070377827,0.0,0.0,0.0,0.009289643727242947,0.0,0.0,2.0882307580905035e-05,0.028846153989434242,0.039121758192777634,0.003977528307586908,0.7882235050201416,0.06899288296699524,0.08997009694576263,0.005951867438852787,0.968960702419281,0.0002464152639731765,0.00017136402311734855,2.5126095351879485e-05,0.00017762852075975388,0.00011201448796782643,6.798035610700026e-05,3.1712161217001267e-06,2.1257616026559845e-05,0.00048657128354534507,0.0003370982885826379,8.487530431011692e-05,0.0005478585371747613,0.015164239332079887,0.2226078361272812,0.05104680359363556,-0.09834317117929459,-0.16553214192390442,6.041761875152588,0.08197740465402603,1.0175199508666992,0.8141769170761108,0.8915630578994751,0.9245395064353943,0.8758848905563354,0.9150382876396179,1.02360999584198,0.8997634649276733,1.0812934637069702,0.9858569502830505
2,0.2991218566894531,0.0,0.0,0.0,0.3516339361667633,0.0,0.0,0.12315744161605835,0.0,0.0,0.0,0.0,0.0652729794383049,0.0,0.0,0.0,0.16080771386623383,0.0,0.0,6.07112542638788e-06,0.4515640437602997,0.0,0.0,0.0,0.4374590516090393,0.0,0.0,0.09070703387260437,0.0,0.0,0.0,0.0,0.010923096910119057,0.0,0.0,0.0,0.00931460876017809,0.0,0.0,3.2169762562261894e-05,0.028846153989434242,0.03844311460852623,0.004821473266929388,0.8027943968772888,0.06139636039733887,0.09129738062620163,0.00809169840067625,0.9753472208976746,0.00035208347253501415,0.0002425690327072516,3.568528336472809e-05,0.00025882257614284754,0.00016135955229401588,9.581478661857545e-05,4.550093763100449e-06,2.8973685402888805e-05,0.0006705379928462207,0.0004773035761900246,0.00012114043784094974,0.0007745223701931536,0.016078222543001175,0.22606685757637024,0.0570383295416832,-0.0985366553068161,-0.16371957957744598,6.212859153747559,0.08375338464975357,1.4560717344284058,1.1572656631469727,1.2714773416519165,1.320641040802002,1.2426202297210693,1.3066271543502808,1.4586647748947144,1.290242314338684,1.5516051054000854,1.398128628730774
3,0.301912784576416,0.0,0.0,0.0,0.3495829403400421,0.0,0.0,0.12486697733402252,0.0,0.0,0.0,0.0,0.06466265022754669,0.0,0.0,0.0,0.15896837413311005,0.0,0.0,6.261345333768986e-06,0.4503862261772156,0.0,0.0,0.0,0.4363900423049927,0.0,0.0,0.09406061470508575,0.0,0.0,0.0,0.0,0.009885067120194435,0.0,0.0,0.0,0.009243516251444817,0.0,0.0,3.452293458394706e-05,0.028846153989434242,0.03744510933756828,0.004062422085553408,0.8145708441734314,0.0693463385105133,0.08913284540176392,0.005948091857135296,0.9767917990684509,0.00042929966002702713,0.0003041878226213157,4.508719575824216e-05,0.00032670528162270784,0.000195083994185552,0.00012088762741768733,5.807348770758836e-06,3.809325062320568e-05,0.0008213989203795791,0.0005962740979157388,0.00015221712237689644,0.000982578145340085,0.015451888553798199,0.22361524403095245,0.04196424409747124,-0.09872067719697952,-0.15773209929466248,6.29806661605835,0.07909227907657623,1.8389370441436768,1.4648354053497314,1.625367522239685,1.6507676839828491,1.6005710363388062,1.6624057292938232,1.8396666049957275,1.6328563690185547,1.9414072036743164,1.772910475730896
4,0.2976098954677582,0.0,0.0,0.0,0.3464330732822418,0.0,0.0,0.13012105226516724,0.0,0.0,0.0,0.0,0.06585076451301575,0.0,0.0,0.0,0.15998400747776031,0.0,0.0,1.2733786434182548e-06,0.44447362422943115,0.0,0.0,0.0,0.4421672224998474,0.0,0.0,0.09485369175672531,0.0,0.0,0.0,0.0,0.009137125685811043,0.0,0.0,0.0,0.009342646226286888,0.0,0.0,2.5690136681078002e-05,0.032692309468984604,0.03632734715938568,0.0036029964685440063,0.8209580779075623,0.07277964055538177,0.09187597036361694,0.005880177486687899,0.9776369333267212,0.0005613458924926817,0.00035305286291986704,5.3515570471063256e-05,0.00038479070644825697,0.0002742242068052292,0.00014000743976794183,7.016604740783805e-06,4.610834730556235e-05,0.0009805646259337664,0.0006951336981728673,0.00017954756913241,0.0011629826622083783,0.015038972720503807,0.2258174568414688,0.05052400380373001,-0.0989028662443161,-0.15584930777549744,6.383753299713135,0.07897477596998215,2.201223373413086,1.751880407333374,1.9382778406143188,1.9681860208511353,1.8914705514907837,1.9669395685195923,2.1873414516448975,1.9351216554641724,2.302485466003418,2.1070077419281006
5,0.29510217905044556,0.0,0.0,0.0,0.3455183506011963,0.0,0.0,0.13264013826847076,0.0,0.0,0.0,0.0,0.06423468142747879,0.0,0.0,0.0,0.16250263154506683,0.0,0.0,1.9977048850705614e-06,0.44967418909072876,0.0,0.0,0.0,0.43915531039237976,0.0,0.0,0.09306421130895615,0.0,0.0,0.0,0.0,0.008726624771952629,0.0,0.0,0.0,0.009354195557534695,0.0,0.0,2.5442055630264804e-05,0.03846153989434242,0.034730538725852966,0.003453183686360717,0.8247504830360413,0.09257230162620544,0.08823583275079727,0.005783372092992067,0.9763919115066528,0.0006675433833152056,0.00039804266998544335,6.190934800542891e-05,0.0004437698516994715,0.00030689314007759094,0.0001567446015542373,8.263381459983066e-06,4.950278525939211e-05,0.0012451715301722288,0.0007871557027101517,0.00020516915537882596,0.0013367452193051577,0.014858031645417213,0.22671832144260406,0.045984119176864624,-0.09903013706207275,-0.15574970841407776,6.408573627471924,0.0789453536272049,2.5244407653808594,2.0084309577941895,2.232586145401001,2.2501213550567627,2.172840118408203,2.257654905319214,2.5091705322265625,2.2044084072113037,2.6361162662506104,2.4195072650909424
6,0.294399231672287,0.0,0.0,0.0,0.3457620143890381,0.0,0.0,0.1319672167301178,0.0,0.0,0.0,0.0,0.06098056957125664,0.0,0.0,0.0,0.16688232123851776,0.0,0.0,8.660856110509485e-06,0.45283088088035583,0.0,0.0,0.0,0.4367382526397705,0.0,0.0,0.09264017641544342,0.0,0.0,0.0,0.0,0.008401014842092991,0.0,0.0,0.0,0.009364561177790165,0.0,0.0,2.513601430109702e-05,0.04038461670279503,0.032295409590005875,0.003368289675563574,0.8365269303321838,0.09407283365726471,0.08338981866836548,0.005590921267867088,0.9771451950073242,0.0007779321167618036,0.00042858539381995797,6.89812732161954e-05,0.00048645574133843184,0.00032783171627670527,0.00016917739412747324,9.264224900107365e-06,5.833751492900774e-05,0.0015196725726127625,0.0008519585826434195,0.00022586085833609104,0.0014785171952098608,0.01477683987468481,0.22784894704818726,0.040756404399871826,-0.09938830882310867,-0.15861867368221283,6.52383279800415,0.07777106016874313,2.81596302986145,2.246464729309082,2.501502752304077,2.487240791320801,2.4299118518829346,2.555839776992798,2.797370195388794,2.459486246109009,2.9390978813171387,2.6919915676116943
7,0.2940234839916229,0.0,0.0,0.0,0.34258151054382324,0.0,0.0,0.13198761641979218,0.0,0.0,0.0,0.0,0.06263060867786407,0.0,0.0,0.0,0.1687694489955902,0.0,0.0,7.334742804232519e-06,0.4533338248729706,0.0,0.0,0.0,0.4368571937084198,0.0,0.0,0.09243515878915787,0.0,0.0,0.0,0.0,0.008133075200021267,0.0,0.0,0.0,0.0092158243060112,0.0,0.0,2.4922601369326003e-05,0.051923077553510666,0.030618762597441673,0.003163545625284314,0.8409181237220764,0.11842679232358932,0.07985970377922058,0.005444603506475687,0.9777430295944214,0.0008983160369098186,0.00045291747665032744,7.582336547784507e-05,0.0005397636559791863,0.0003791030030697584,0.00017750132246874273,1.0198789823334664e-05,6.310515891527757e-05,0.0018803545972332358,0.0009090385865420103,0.00024480203865095973,0.0016381442546844482,0.014554143883287907,0.23138834536075592,0.04969973862171173,-0.09962857514619827,-0.16646268963813782,6.605405330657959,0.0790795311331749,3.0967178344726562,2.469428539276123,2.764031171798706,2.7251088619232178,2.646401882171631,2.7967684268951416,3.0852980613708496,2.6989316940307617,3.2303812503814697,2.955169439315796
8,0.290493905544281,0.0,0.0,0.0,0.3450948894023895,0.0,0.0,0.13394753634929657,0.0,0.0,0.0,0.0,0.06204790249466896,0.0,0.0,0.0,0.1684093475341797,0.0,0.0,6.450142336689169e-06,0.44769737124443054,0.0,0.0,0.0,0.44721585512161255,0.0,0.0,0.08801072090864182,0.0,0.0,0.0,0.0,0.007858394645154476,0.0,0.0,0.0,0.00919013936072588,0.0,0.0,2.7515388865140267e-05,0.05576923117041588,0.028143713250756264,0.0030936331022530794,0.8449101448059082,0.11513791978359222,0.06967780739068985,0.005554819945245981,0.9766982197761536,0.0011666885111480951,0.0004822608607355505,8.257574518211186e-05,0.0005835751071572304,0.0004659121623262763,0.000187588797416538,1.1133973202959169e-05,6.95939379511401e-05,0.0023082380648702383,0.0009690149454399943,0.00026454430189915,0.0017718379385769367,0.014396400190889835,0.23044444620609283,0.04025142267346382,-0.09973763674497604,-0.17309224605560303,6.689979553222656,0.07912064343690872,3.380805253982544,2.691985607147217,3.006988763809204,2.9588396549224854,2.8893890380859375,3.02890944480896,3.3590352535247803,2.9368834495544434,3.512019157409668,3.219249963760376
9,0.28942063450813293,0.0,0.0,0.0,0.3412286639213562,0.0,0.0,0.1374249905347824,0.0,0.0,0.0,0.0,0.06426243484020233,0.0,0.0,0.0,0.16765767335891724,0.0,0.0,5.520461854757741e-06,0.4432942271232605,0.0,0.0,0.0,0.4515243172645569,0.0,0.0,0.08808881789445877,0.0,0.0,0.0,0.0,0.007808457128703594,0.0,0.0,0.0,0.009259537793695927,0.0,0.0,2.464099452481605e-05,0.06730769574642181,0.026746507734060287,0.003196005243808031,0.8499001860618591,0.13596904277801514,0.06649627536535263,0.005341483745723963,0.975726842880249,0.001431052340194583,0.0005075799999758601,8.88663562363945e-05,0.0006251310696825385,0.0005872033070772886,0.000197289336938411,1.1877651559188962e-05,8.090446499409154e-05,0.0027477871626615524,0.0010403397027403116,0.0002826872805599123,0.001917363377287984,0.014482230879366398,0.23190444707870483,0.03314245492219925,-0.09976931661367416,-0.17945361137390137,6.8033342361450195,0.07751895487308502,3.6761059761047363,2.9189791679382324,3.217933177947998,3.2141692638397217,3.123668670654297,3.289155960083008,3.6251468658447266,3.178981304168701,3.7628512382507324,3.4736855030059814
10,0.28991204500198364,0.0,0.0,0.0,0.3361527621746063,0.0,0.0,0.1399873048067093,0.0,0.0,0.0,0.0,0.06510242074728012,0.0,0.0,0.0,0.1688418835401535,0.0,0.0,3.5345376545592444e-06,0.4479774832725525,0.0,0.0,0.0,0.4488237500190735,0.0,0.0,0.08615589886903763,0.0,0.0,0.0,0.0,0.007807121146470308,0.0,0.0,0.0,0.009213981218636036,0.0,0.0,2.1769596060039476e-05,0.0942307710647583,0.026267465204000473,0.0032134833745658398,0.8520957827568054,0.20002515614032745,0.06169126182794571,0.005311027634888887,0.9747365713119507,0.0017454777844250202,0.000533569953404367,9.432059596292675e-05,0.0006765947910025716,0.0007121686358004808,0.0002052666386589408,1.2707741916528903e-05,8.307620737468824e-05,0.003384798299521208,0.0011186923366039991,0.0003012710076291114,0.002029889263212681,0.014528626576066017,0.23392434418201447,0.031077085062861443,-0.09971983730792999,-0.187282994389534,6.8963470458984375,0.07690729945898056,3.968722105026245,3.1496126651763916,3.5135843753814697,3.4515914916992188,3.3553152084350586,3.536309242248535,3.9006571769714355,3.42677903175354,4.04542350769043,3.7420246601104736
