step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,6.5411696434021,3.9995055198669434,4.454814910888672,6.534994125366211,8.807985305786133,6.533277150608188,0.09544780105352402,0.9993709325790405,0.9995498061180115,0.9996486306190491,0.9991183876991272,0.9996027946472168,0.00013625477731693536,9.152873826678842e-05,1.3460629816108849e-05,9.283658437198028e-05,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,6.541170120239258,3.9995052814483643,4.45481538772583,6.534994602203369,8.807984352111816,6.533277153337335,0.09544778615236282,0.999370813369751,0.9995497465133667,0.9996486306190491,0.9991185069084167,0.9996029734611511,0.0013625476276502013,0.0009152873535640538,0.00013460626360028982,0.0009283660328947008,0.07102446258068085,-0.08553784340620041,-0.2140486240386963,3.638474225997925,3.0079729557037354,3.541257381439209,3.065235137939453,3.1532270908355713,3.6386449337005615,3.682446002960205,3.272111415863037,4.139597415924072,3.6455564498901367,3.478452444076538,3.454129934310913,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426,0.3478452265262604,0.3454129993915558
1,6.43874454498291,4.005243301391602,4.37070369720459,6.4498209953308105,8.659977912902832,6.435469948931585,0.0930258259177208,0.9995975494384766,0.9987819194793701,0.9996483325958252,0.9994851350784302,0.9998450875282288,0.0002476980444043875,0.00017346821550745517,2.51570872933371e-05,0.00017500184185337275,0.11977352201938629,-0.08405216783285141,-0.17572765052318573,6.194586277008057,3.9387733936309814,4.236231327056885,6.216879367828369,8.26197624206543,6.185873855392421,0.10020864754915237,0.99912428855896,0.9988917708396912,0.9996548891067505,0.9985474944114685,0.9998032450675964,0.0013313799863681197,0.0009328170563094318,0.0001361518370686099,0.0009814273798838258,0.1716901808977127,-0.08164630830287933,-0.19009454548358917,3.6308650970458984,2.8511595726013184,2.9601805210113525,3.2896313667297363,3.1127548217773438,3.256329298019409,3.76373291015625,3.1292717456817627,3.86421537399292,3.658884286880493,3.3517024517059326,3.325437307357788,0.6880232095718384,0.5534384250640869,0.6112228035926819,0.6021834015846252,0.5925382375717163,0.6502623558044434,0.7055294513702393,0.6056175231933594,0.7573740482330322,0.6927312612533569,0.6458920836448669,0.6409960985183716
2,6.437342643737793,3.8477509021759033,4.348352909088135,6.46098518371582,8.664435386657715,6.435181358870121,0.09287349134683609,0.999703049659729,0.9999403357505798,0.9997486472129822,0.9997467994689941,0.9995140433311462,0.0003570052795112133,0.0002462911361362785,3.575339724193327e-05,0.00025426712818443775,0.09101537615060806,-0.08414167165756226,-0.17521928250789642,6.303377151489258,3.5354318618774414,4.241788864135742,6.351318359375,8.492314338684082,6.295156496702056,0.09602029621601105,0.9993305802345276,0.9999507665634155,0.9996981024742126,0.9989104270935059,0.999803900718689,0.001357907080091536,0.00092040013987571,0.00013624390703625977,0.0009627464460209012,0.041431788355112076,-0.08281611651182175,-0.19015993177890778,3.510361671447754,2.640545129776001,3.3665568828582764,3.060650587081909,3.0920701026916504,3.4430716037750244,3.636781930923462,3.065876007080078,3.7722008228302,3.3804218769073486,3.29685378074646,3.271108865737915,0.9667307734489441,0.7593778371810913,0.8840697407722473,0.8450691103935242,0.8402864336967468,0.9272199273109436,0.9968317151069641,0.8497605919837952,1.0570420026779175,0.9599132537841797,0.9086301922798157,0.9017252326011658
3,6.4308037757873535,3.7848353385925293,4.331770420074463,6.46750545501709,8.640098571777344,6.429182610012416,0.08071819692850113,0.9997557997703552,0.9997369647026062,0.9996770024299622,0.9997937083244324,0.99977707862854,0.00045205801143310964,0.0003069804224651307,4.5422679249895737e-05,0.0003245909756515175,0.0907416120171547,-0.08422612398862839,-0.16213658452033997,6.2271552085876465,3.3711349964141846,4.208670139312744,6.299430847167969,8.285654067993164,6.2175616705823025,0.07574806362390518,0.9991801977157593,1.0,0.9996818900108337,0.9985805749893188,0.9998635053634644,0.0015834987862035632,0.0009019859135150909,0.00013829102681484073,0.000929062080103904,0.09121263027191162,-0.08240479230880737,-0.18942369520664215,3.7487244606018066,3.241976499557495,3.133969306945801,3.400481700897217,2.9453420639038086,3.035896062850952,3.5875964164733887,3.2197415828704834,3.4460911750793457,3.62550950050354,3.3385331630706787,3.305743932723999,1.2426141500473022,1.0048751831054688,1.106697678565979,1.0979559421539307,1.0478408336639404,1.1351027488708496,1.2538217306137085,1.083278775215149,1.2929893732070923,1.2238727807998657,1.1489050388336182,1.1389535665512085
4,6.442330837249756,3.637622833251953,4.354266166687012,6.492617607116699,8.58737564086914,6.440835824281054,0.07976613193750381,0.9997745752334595,0.9998832941055298,0.9997398853302002,0.9997857809066772,0.9997909069061279,0.0005766679532825947,0.0003580201300792396,5.359540227800608e-05,0.0003917269059456885,0.08886131644248962,-0.08453688025474548,-0.16061343252658844,6.209378719329834,2.995630979537964,4.253512382507324,6.31885290145874,8.092844009399414,6.199718292018073,0.09099452197551727,0.9992687106132507,0.9997780919075012,0.9996927976608276,0.9988162517547607,0.9997017979621887,0.0014943060232326388,0.0008604935719631612,0.0001325948251178488,0.0009465355542488396,0.09081612527370453,-0.08319014310836792,-0.18128345906734467,3.3023338317871094,3.076388359069824,3.4030866622924805,3.055741548538208,3.2210419178009033,3.401588201522827,3.5880236625671387,2.827174663543701,3.9796369075775146,3.449793815612793,3.3304810523986816,3.3016982078552246,1.4455660581588745,1.20684015750885,1.332573652267456,1.2900577783584595,1.260979413986206,1.357628345489502,1.4833306074142456,1.2536580562591553,1.5564485788345337,1.4434239864349365,1.3630506992340088,1.3511989116668701
5,6.4553656578063965,3.3807084560394287,4.39991569519043,6.5012593269348145,8.534734725952148,6.453609166897876,0.07684717327356339,0.9997363686561584,0.9958344101905823,0.9996777176856995,0.9998083114624023,0.9998830556869507,0.0006680745864287019,0.000402306963223964,6.173933070385829e-05,0.0004501129442360252,0.06495625525712967,-0.08461757749319077,-0.17238055169582367,5.98795747756958,2.403855562210083,4.198773384094238,6.08692741394043,7.664400577545166,5.9779135863444335,0.12867891788482666,0.9994011521339417,1.0,0.9996211528778076,0.999121904373169,0.9996905326843262,0.001988899428397417,0.0008801082149147987,0.0001385347277391702,0.0009976256405934691,0.13829679787158966,-0.08132045716047287,-0.2226438969373703,3.374997854232788,2.643289804458618,3.3743181228637695,3.3200535774230957,3.7005600929260254,2.781022548675537,2.9401967525482178,3.535221576690674,3.8000545501708984,4.063493251800537,3.353321075439453,3.3347861766815186,1.632530689239502,1.345515251159668,1.531402587890625,1.487326979637146,1.4987736940383911,1.4924254417419434,1.6240144968032837,1.4751073122024536,1.77552330493927,1.7004982233047485,1.556311845779419,1.5425022840499878
6,6.5092620849609375,3.025116205215454,4.418681621551514,6.593060493469238,8.597067832946777,6.507931060595189,0.08377308398485184,0.9997971653938293,0.9997748136520386,0.9997870922088623,0.999812662601471,0.9997758865356445,0.0007904974627308547,0.0004290319047868252,6.887883500894532e-05,0.0004954780451953411,0.06977202743291855,-0.08471301198005676,-0.17039908468723297,6.1597089767456055,1.9259248971939087,3.996198892593384,6.549871921539307,8.293769836425781,6.153388665415332,0.12336718291044235,0.9995355010032654,0.9999659061431885,0.999775767326355,0.9992773532867432,0.9996547698974609,0.0025014381390064955,0.0008385214023292065,0.00013425963697955012,0.0009405112941749394,0.09100903570652008,-0.08080948144197464,-0.20315861701965332,3.5642666816711426,2.7376277446746826,2.9935121536254883,3.1541409492492676,2.6622085571289062,3.165493965148926,3.6635024547576904,2.9873175621032715,3.69403076171875,3.8667774200439453,3.2488880157470703,3.2312135696411133,1.8174259662628174,1.47681725025177,1.6691114902496338,1.6472560167312622,1.6082518100738525,1.6528005599975586,1.8188884258270264,1.6175144910812378,1.959329605102539,1.9098581075668335,1.717725396156311,1.703754186630249
7,6.688790321350098,2.7052996158599854,4.515945911407471,6.828978061676025,8.810491561889648,6.687314416813872,0.08266528695821762,0.9997780919075012,0.9993331432342529,0.9996672868728638,0.9998347163200378,0.9998433589935303,0.000936099502723664,0.0004560796660371125,7.58594396756962e-05,0.0005459000240080059,0.060966093093156815,-0.08590811491012573,-0.1691531389951706,6.465847969055176,1.7634479999542236,4.185866355895996,7.003272533416748,8.465746879577637,6.451769222953097,0.10657352954149246,0.9995195865631104,0.999559760093689,0.9997187256813049,0.9992213249206543,0.9998336434364319,0.002651238813996315,0.0008423497201874852,0.0001379908062517643,0.0009721647948026657,0.041882455348968506,-0.0854458138346672,-0.20467287302017212,4.376706600189209,3.2753231525421143,3.1292567253112793,3.772355794906616,3.251418113708496,3.631150722503662,3.3845534324645996,3.7518310546875,4.033493518829346,4.087290287017822,3.6693382263183594,3.6467607021331787,2.061452865600586,1.6464658975601196,1.8049254417419434,1.8496791124343872,1.7629046440124512,1.8413140773773193,1.9640370607376099,1.8202472925186157,2.1551225185394287,2.1183626651763916,1.9024513959884644,1.8879576921463013
8,6.787755012512207,2.389712333679199,4.565698623657227,6.991370677947998,8.909501075744629,6.786332638470275,0.0830962285399437,0.9997822046279907,0.9998929500579834,0.9996621012687683,0.9998405575752258,0.9997994899749756,0.0011447271099314094,0.00047580726095475256,8.18790213088505e-05,0.0005831192247569561,0.057519376277923584,-0.08658444136381149,-0.1597800850868225,6.4563822746276855,1.4910414218902588,4.013739109039307,7.1632490158081055,8.893696784973145,6.450431454133114,0.09067955613136292,0.9995819330215454,0.999812126159668,0.9997355341911316,0.999275267124176,0.9999009370803833,0.0033345601987093687,0.0008825259283185005,0.00013427529484033585,0.0009647833066992462,0.04473092406988144,-0.08418890088796616,-0.1964264065027237,4.037328720092773,3.281506299972534,3.6639585494995117,3.6338720321655273,3.2746095657348633,3.824300765991211,3.8830740451812744,3.2420132160186768,4.194284439086914,4.095981597900391,3.713092803955078,3.684396266937256,2.2450640201568604,1.797250509262085,1.9767342805862427,2.0172793865203857,1.902596354484558,2.0296387672424316,2.142378330230713,1.9513590335845947,2.345078229904175,2.3046875,2.07120680809021,2.0561511516571045
9,6.760705947875977,2.0742969512939453,4.501128196716309,7.059693813323975,8.848864555358887,6.759315384770473,0.08331985771656036,0.9997824430465698,0.9998686909675598,0.999631941318512,0.9998035430908203,0.9999269247055054,0.001441596308723092,0.0005051953485235572,8.853515464579687e-05,0.0006251073791645467,0.06274062395095825,-0.08647885173559189,-0.17436575889587402,5.663931846618652,1.2517800331115723,3.404930830001831,6.439703464508057,7.771817207336426,5.6599802426911685,0.11827641725540161,0.9996148347854614,0.9999558329582214,0.9997473955154419,0.9993574619293213,0.9997835159301758,0.004221207927912474,0.001016881549730897,0.0001422698696842417,0.0010666418820619583,0.09431783854961395,-0.07823994010686874,-0.2348013073205948,4.389354228973389,3.461463451385498,3.7275567054748535,4.480728626251221,3.1971511840820312,3.6946303844451904,3.9054572582244873,3.3281188011169434,4.499500751495361,3.617861032485962,3.8301823139190674,3.7981367111206055,2.445495128631592,1.949992060661316,2.1359801292419434,2.250425100326538,2.0199387073516846,2.1822872161865234,2.303231716156006,2.0754406452178955,2.544767141342163,2.42353892326355,2.233109712600708,2.2167296409606934
