step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.10621199756860733,0.0,0.0,0.0,0.21245546638965607,0.0,0.0,0.2260957509279251,0.0,0.0,0.0,0.0,0.2009597271680832,0.0,0.0,0.0,0.1940094232559204,0.0,0.0,0.06026766076683998,0.2302527278661728,0.0,0.0,0.0,0.32493770122528076,0.0,0.0,0.20876486599445343,0.0,0.0,0.0,0.0,0.12422866374254227,0.0,0.0,0.0,0.07694454491138458,0.0,0.0,0.034871503710746765,0.23461538553237915,0.22371257841587067,0.18568290770053864,0.5590817928314209,0.5551872849464417,0.5090587735176086,0.3289673626422882,0.6834643483161926,0.00015966650971677154,9.240930376108736e-05,1.4133669537841342e-05,9.411526116309687e-05,6.029708310961723e-05,3.60466365236789e-05,1.9160615920554847e-06,1.1041413017665036e-05,0.00027759725344367325,0.0001824377104640007,4.678088953369297e-05,0.00029913787147961557,0.1922914683818817,0.4552195072174072,0.22673910856246948,-0.01712539978325367,-0.17382505536079407,2.5855307579040527,0.18125903606414795,0.1849956214427948,0.17849205434322357,0.1899312287569046,0.12191413342952728,0.17378732562065125,0.15041013062000275,0.23600120842456818,0.2337094098329544,0.22105538845062256,0.18651163578033447
1,0.11328724771738052,0.0,0.0,0.0,0.21376220881938934,0.0,0.0,0.22135603427886963,0.0,0.0,0.0,0.0,0.18299193680286407,0.0,0.0,0.0,0.21264345943927765,0.0,0.0,0.055959101766347885,0.21773095428943634,0.0,0.0,0.0,0.31595537066459656,0.0,0.0,0.1983605921268463,0.0,0.0,0.0,0.0,0.12984086573123932,0.0,0.0,0.0,0.09275055676698685,0.0,0.0,0.04536164551973343,0.20769231021404266,0.221996009349823,0.22143571078777313,0.6105788350105286,0.5399600863456726,0.48029348254203796,0.32462701201438904,0.7209261059761047,0.00027577075525186956,0.00017235890845768154,2.6182548026554286e-05,0.0001776598219294101,0.00013052494614385068,6.821920396760106e-05,3.438680096223834e-06,2.0658724679378793e-05,0.0005012459587305784,0.0003402530855964869,8.742042700760067e-05,0.0005553830997087061,0.22597430646419525,0.4515799582004547,0.22381123900413513,-0.020314957946538925,-0.21860341727733612,2.558454990386963,0.16575171053409576,0.40662166476249695,0.3317601978778839,0.36529654264450073,0.2642514109611511,0.31262755393981934,0.2802387475967407,0.4284866154193878,0.3735623359680176,0.4584628939628601,0.36967140436172485
2,0.10635378211736679,0.0,0.0,0.0,0.2072789967060089,0.0,0.0,0.21421049535274506,0.0,0.0,0.0,0.0,0.18649975955486298,0.0,0.0,0.0,0.20866432785987854,0.0,0.0,0.07699258625507355,0.21183890104293823,0.0,0.0,0.0,0.3014868497848511,0.0,0.0,0.19651252031326294,0.0,0.0,0.0,0.0,0.13609559834003448,0.0,0.0,0.0,0.09351994842290878,0.0,0.0,0.06054617092013359,0.2557692229747772,0.23005987703800201,0.24606741964817047,0.6618762016296387,0.6072841286659241,0.4992392659187317,0.3450908064842224,0.746719479560852,0.0003864662430714816,0.0002459529787302017,3.681969246827066e-05,0.00025406089844182134,0.00016853665874805301,9.814875375013798e-05,4.772476586367702e-06,2.988805135828443e-05,0.0006857371772639453,0.0004870605480391532,0.00012246757978573442,0.0007780066807754338,0.24998144805431366,0.4721461832523346,0.18218448758125305,-0.01854359731078148,-0.16880634427070618,2.4598326683044434,0.1240459531545639,0.526609480381012,0.4295664429664612,0.4902900159358978,0.409197598695755,0.44872552156448364,0.43268972635269165,0.588935136795044,0.5122523307800293,0.5911077260971069,0.5206061005592346
3,0.09258399903774261,0.0,0.0,0.0,0.19586656987667084,0.0,0.0,0.21408815681934357,0.0,0.0,0.0,0.0,0.1850910484790802,0.0,0.0,0.0,0.23070549964904785,0.0,0.0,0.08166474103927612,0.201359823346138,0.0,0.0,0.0,0.3007894456386566,0.0,0.0,0.19333182275295258,0.0,0.0,0.0,0.0,0.13401012122631073,0.0,0.0,0.0,0.10401666909456253,0.0,0.0,0.06649212539196014,0.2769230902194977,0.2445109784603119,0.2603920102119446,0.6846306920051575,0.6265155673027039,0.5379441380500793,0.358948677778244,0.7839592099189758,0.0004449257394298911,0.0003083963238168508,4.589309173752554e-05,0.0003171139978803694,0.00019608522416092455,0.00012257156777195632,5.902140401303768e-06,3.692958125611767e-05,0.000832226243801415,0.0006086609791964293,0.00015281475498341024,0.0009758070227690041,0.2644196152687073,0.4974530339241028,0.24648438394069672,-0.014112924225628376,-0.17175421118736267,2.4435529708862305,0.10184432566165924,0.6762976050376892,0.5296635627746582,0.5846213698387146,0.5617529153823853,0.5157349109649658,0.5603430271148682,0.6897974610328674,0.6490293741226196,0.6810512542724609,0.624651312828064
4,0.08615889400243759,0.0,0.0,0.0,0.20241177082061768,0.0,0.0,0.21000906825065613,0.0,0.0,0.0,0.0,0.1861039400100708,0.0,0.0,0.0,0.2378247082233429,0.0,0.0,0.07749156653881073,0.19730977714061737,0.0,0.0,0.0,0.3027868866920471,0.0,0.0,0.18971951305866241,0.0,0.0,0.0,0.0,0.13429945707321167,0.0,0.0,0.0,0.10689400136470795,0.0,0.0,0.06899035722017288,0.2846153974533081,0.24842315912246704,0.26776280999183655,0.7009980082511902,0.657380998134613,0.5380298495292664,0.35795220732688904,0.7995316982269287,0.0005485526053234935,0.000361377140507102,5.446223440230824e-05,0.0003722110704984516,0.0002683800703380257,0.00014339742483571172,7.047266535664676e-06,4.5820015657227486e-05,0.001015025656670332,0.0007125306874513626,0.0001798960438463837,0.0011600558646023273,0.2716943621635437,0.5014128088951111,0.2388211488723755,-0.014241008087992668,-0.11926175653934479,2.446317195892334,0.09327249228954315,0.7818623781204224,0.5933464169502258,0.6792840361595154,0.6932844519615173,0.630579948425293,0.6780263781547546,0.8058624863624573,0.7591214776039124,0.7777442932128906,0.7418389320373535
5,0.0929635539650917,0.0,0.0,0.0,0.20224259793758392,0.0,0.0,0.20754902064800262,0.0,0.0,0.0,0.0,0.19633841514587402,0.0,0.0,0.0,0.22833195328712463,0.0,0.0,0.0725744366645813,0.19827018678188324,0.0,0.0,0.0,0.30247876048088074,0.0,0.0,0.18919876217842102,0.0,0.0,0.0,0.0,0.13533684611320496,0.0,0.0,0.0,0.10516871511936188,0.0,0.0,0.06954671442508698,0.29423075914382935,0.24279440939426422,0.2705768048763275,0.7165668606758118,0.7185710072517395,0.5273674130439758,0.3473207950592041,0.8110616207122803,0.0006486967904493213,0.0004011505516245961,6.213699816726148e-05,0.00044201064156368375,0.0003106165677309036,0.00015865878958720714,8.221190910262521e-06,5.1363134843995795e-05,0.0012694119941443205,0.0007944440003484488,0.00020419135398697108,0.0013235971564427018,0.27417418360710144,0.4972356855869293,0.22879108786582947,-0.016469666734337807,-0.11777159571647644,2.4851415157318115,0.0967295691370964,0.9171155095100403,0.6798218488693237,0.7806442379951477,0.815658688545227,0.7382369637489319,0.7303670048713684,0.8728131651878357,0.8676328659057617,0.9261170625686646,0.8508490920066833
6,0.09374140202999115,0.0,0.0,0.0,0.20167194306850433,0.0,0.0,0.20725825428962708,0.0,0.0,0.0,0.0,0.19561350345611572,0.0,0.0,0.0,0.22769349813461304,0.0,0.0,0.07402138411998749,0.20143993198871613,0.0,0.0,0.0,0.2961397171020508,0.0,0.0,0.18771381676197052,0.0,0.0,0.0,0.0,0.13534840941429138,0.0,0.0,0.0,0.10558412969112396,0.0,0.0,0.07377398014068604,0.3115384578704834,0.24447105824947357,0.27626967430114746,0.7319360971450806,0.7086780667304993,0.5344522595405579,0.33225783705711365,0.8296161890029907,0.0007305750623345375,0.0004317671409808099,6.919110455783084e-05,0.0004883205401711166,0.0003237397177144885,0.0001693084486760199,9.12890573090408e-06,6.06398461968638e-05,0.001588327344506979,0.0008637059363536537,0.0002256698062410578,0.0014717362355440855,0.2797601521015167,0.4973224401473999,0.1961493045091629,-0.01750410720705986,-0.11871538311243057,2.4933483600616455,0.10663174092769623,1.0460220575332642,0.7429995536804199,0.8588149547576904,0.9038341045379639,0.8146292567253113,0.801173210144043,0.9592176079750061,0.9512118101119995,1.0162029266357422,1.0033724308013916
7,0.09781889617443085,0.0,0.0,0.0,0.21269679069519043,0.0,0.0,0.21147766709327698,0.0,0.0,0.0,0.0,0.18805404007434845,0.0,0.0,0.0,0.22164520621299744,0.0,0.0,0.06830735504627228,0.20249250531196594,0.0,0.0,0.0,0.30429744720458984,0.0,0.0,0.18483033776283264,0.0,0.0,0.0,0.0,0.13395385444164276,0.0,0.0,0.0,0.1020050197839737,0.0,0.0,0.07242083549499512,0.35576921701431274,0.2349700629711151,0.27189263701438904,0.7407185435295105,0.7813040614128113,0.5178466439247131,0.2945405840873718,0.8206650018692017,0.0009292244212701917,0.000453521846793592,7.550916780019179e-05,0.0005309873959049582,0.0003873991663567722,0.00017824588576331735,1.01078549050726e-05,6.595131708309054e-05,0.001909184386022389,0.000918060599360615,0.00024352407490368932,0.0016202827682718635,0.2752969264984131,0.4779990017414093,0.23260003328323364,-0.023138051852583885,-0.11805802583694458,2.548126220703125,0.1075851321220398,1.1451352834701538,0.8367295265197754,0.9283936023712158,1.0103565454483032,0.8933870792388916,0.9286069273948669,1.0615438222885132,1.050789475440979,1.1444804668426514,1.1590361595153809
8,0.09796671569347382,0.0,0.0,0.0,0.2136424332857132,0.0,0.0,0.2144692838191986,0.0,0.0,0.0,0.0,0.18784283101558685,0.0,0.0,0.0,0.21392971277236938,0.0,0.0,0.07214904576539993,0.2033727765083313,0.0,0.0,0.0,0.3021252453327179,0.0,0.0,0.1844632774591446,0.0,0.0,0.0,0.0,0.1303984671831131,0.0,0.0,0.0,0.10351604968309402,0.0,0.0,0.0761241763830185,0.4115384519100189,0.22798402607440948,0.27526092529296875,0.742514967918396,0.8622166514396667,0.505320131778717,0.2834538221359253,0.8119813799858093,0.0011272092815488577,0.00047824441571719944,8.219257142627612e-05,0.0005812003510072827,0.0004891168791800737,0.0001891437714220956,1.087520104192663e-05,7.035549788270146e-05,0.002304998692125082,0.000978071941062808,0.00026329216780140996,0.0017825495451688766,0.27810847759246826,0.47391578555107117,0.21991370618343353,-0.022949080914258957,-0.1317557990550995,2.555140733718872,0.10010448098182678,1.2361699342727661,0.9074064493179321,1.0310815572738647,1.0927261114120483,0.9555593132972717,1.0112805366516113,1.182267665863037,1.1423839330673218,1.2256418466567993,1.1845322847366333
9,0.09906653314828873,0.0,0.0,0.0,0.22087593376636505,0.0,0.0,0.20676004886627197,0.0,0.0,0.0,0.0,0.1845247596502304,0.0,0.0,0.0,0.21246260404586792,0.0,0.0,0.07631014287471771,0.20438653230667114,0.0,0.0,0.0,0.30449047684669495,0.0,0.0,0.1818786859512329,0.0,0.0,0.0,0.0,0.12883330881595612,0.0,0.0,0.0,0.10217520594596863,0.0,0.0,0.07823579013347626,0.44999998807907104,0.22898203134536743,0.27512112259864807,0.7453093528747559,0.8750619888305664,0.49851730465888977,0.2770805358886719,0.8019698858261108,0.0014058671658858657,0.0005111739737913013,8.823518146527931e-05,0.0006087931105867028,0.0006063407054170966,0.0001973163161892444,1.1656401511572767e-05,8.308759424835443e-05,0.0028310620691627264,0.0010447388049215078,0.00028203456895425916,0.001901970710605383,0.278115451335907,0.47329044342041016,0.23325128853321075,-0.02282235585153103,-0.1468435674905777,2.554917335510254,0.0950910821557045,1.3208155632019043,0.9934771060943604,1.1364859342575073,1.189367413520813,1.0483230352401733,1.0993897914886475,1.248072624206543,1.1961034536361694,1.368255853652954,1.262997031211853
