step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,6.5411696434021,3.9995055198669434,4.454814910888672,6.534994125366211,8.807985305786133,6.533277150608188,0.09544780105352402,0.9993709325790405,0.9995498061180115,0.9996486306190491,0.9991183876991272,0.9996027946472168,0.00013625477731693536,9.152873826678842e-05,1.3460629816108849e-05,9.283658437198028e-05,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,6.541170120239258,3.9995052814483643,4.45481538772583,6.534994602203369,8.807984352111816,6.533277153337335,0.09544778615236282,0.999370813369751,0.9995497465133667,0.9996486306190491,0.9991185069084167,0.9996029734611511,0.0013625476276502013,0.0009152873535640538,0.00013460626360028982,0.0009283660328947008,0.07102446258068085,-0.08553784340620041,-0.2140486240386963,3.638474225997925,3.0079729557037354,3.541257381439209,3.065235137939453,3.1532270908355713,3.6386449337005615,3.682446002960205,3.272111415863037,4.139597415924072,3.6455564498901367,3.478452444076538,3.454129934310913,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426,0.3478452265262604,0.3454129993915558
1,6.417591094970703,4.020465850830078,4.352653503417969,6.430870532989502,8.620033264160156,6.41438761261637,0.09388101100921631,0.9996147751808167,0.9999804496765137,0.9996956586837769,0.99945467710495,0.9998828768730164,0.0002502082788851112,0.0001743658067425713,2.527231481508352e-05,0.00017547300376463681,0.11904813349246979,-0.08397886902093887,-0.1758647859096527,6.16605281829834,3.9767749309539795,4.206808567047119,6.192470550537109,8.2127685546875,6.157313127413807,0.10168387740850449,0.9991392493247986,0.9998247027397156,0.9997114539146423,0.9985065460205078,0.9998468160629272,0.001344124204479158,0.0009343979763798416,0.00013699210830964148,0.0009878056589514017,0.17034170031547546,-0.08154356479644775,-0.1928447037935257,3.635979413986206,2.8561997413635254,2.961472511291504,3.2922134399414062,3.1118087768554688,3.2597761154174805,3.7729928493499756,3.1383535861968994,3.8963463306427,3.667205810546875,3.3592350482940674,3.3330090045928955,0.6885630488395691,0.5539003610610962,0.6113535761833191,0.6024770736694336,0.5924187302589417,0.6505752205848694,0.7064063549041748,0.6065301895141602,0.7604967951774597,0.6935300827026367,0.6466251611709595,0.6417245268821716
2,6.380530834197998,3.9024925231933594,4.314298629760742,6.40252161026001,8.542035102844238,6.378773956245879,0.09504303336143494,0.9997762441635132,0.9998800754547119,0.9997434616088867,0.9997376799583435,0.9999139308929443,0.00037240757956169546,0.0002484270080458373,3.600598938646726e-05,0.00025837408611550927,0.09020891040563583,-0.0839310958981514,-0.1751428246498108,6.169626712799072,3.6775381565093994,4.182422637939453,6.2037200927734375,8.188409805297852,6.162110298153428,0.10000591725111008,0.9993725419044495,0.9985420107841492,0.999678373336792,0.9990425109863281,0.9997847676277161,0.0014077541418373585,0.0009327910956926644,0.00013750980724580586,0.0009801447158679366,0.04083193838596344,-0.0821898877620697,-0.1946614384651184,3.522587537765503,2.6509644985198975,3.3767378330230713,3.066584825515747,3.0945565700531006,3.4533493518829346,3.6585826873779297,3.095738172531128,3.8731307983398438,3.3987228870391846,3.3190956115722656,3.292680501937866,0.9682239294052124,0.7607783675193787,0.8850579857826233,0.8459077477455139,0.8403761386871338,0.9284273386001587,0.9998027086257935,0.8534172773361206,1.069576621055603,0.962428092956543,0.9113996624946594,0.9044658541679382
3,6.3244709968566895,3.944115400314331,4.273576736450195,6.353849411010742,8.409868240356445,6.323026740136807,0.08398661017417908,0.9997996091842651,0.9997197389602661,0.9997819066047668,0.9998005628585815,0.999825656414032,0.0004422140773385763,0.00031180711812339723,4.6039163862587884e-05,0.000334078969899565,0.08882269263267517,-0.083733469247818,-0.16470414400100708,6.005842685699463,3.8756296634674072,4.109387397766113,6.044895648956299,7.800200939178467,5.998078883979255,0.07893935590982437,0.9993367791175842,0.9990198016166687,0.9995999336242676,0.9989389777183533,0.9999225735664368,0.0014642797177657485,0.0009340980905108154,0.00014246461796574295,0.0009607814135961235,0.0994831919670105,-0.08078985661268234,-0.20099228620529175,3.7786593437194824,3.278620481491089,3.144932985305786,3.436640501022339,2.9725892543792725,3.0504164695739746,3.6344916820526123,3.2704057693481445,3.6169021129608154,3.660693645477295,3.3844354152679443,3.3488595485687256,1.2468615770339966,1.0096815824508667,1.108621597290039,1.1019654273986816,1.0500266551971436,1.1376467943191528,1.2611511945724487,1.0914608240127563,1.3208973407745361,1.2296111583709717,1.155792474746704,1.1456292867660522
4,6.2927045822143555,3.9124231338500977,4.28242826461792,6.325937747955322,8.26414680480957,6.291243894068007,0.08561984449625015,0.9997780919075012,0.9997848272323608,0.9996321201324463,0.9998038411140442,0.9999133348464966,0.0005397942732088268,0.0003672039310913533,5.45418297406286e-05,0.00040203818934969604,0.08482243120670319,-0.08395128697156906,-0.1640334129333496,6.002945423126221,3.656259775161743,4.217134475708008,6.050205707550049,7.588897705078125,5.993163865573235,0.105718232691288,0.9992765188217163,0.9999525547027588,0.9996091723442078,0.9987967610359192,0.9998881816864014,0.0013697057729586959,0.0009043611935339868,0.00013485491217579693,0.0009919453877955675,0.07422932982444763,-0.08288781344890594,-0.17781412601470947,3.334320068359375,3.1028926372528076,3.426420211791992,3.073819398880005,3.222304105758667,3.415256977081299,3.6308200359344482,2.8719546794891357,4.242042541503906,3.493144989013672,3.3812973499298096,3.3539223670959473,1.4523954391479492,1.2142497301101685,1.3368151187896729,1.2955721616744995,1.2632794380187988,1.3614965677261353,1.4946783781051636,1.265554666519165,1.6071019172668457,1.4527413845062256,1.3743884563446045,1.3623223304748535
5,6.226450443267822,3.832153797149658,4.289266586303711,6.23768424987793,8.084572792053223,6.225127645917796,0.08578703552484512,0.9997777342796326,0.9992583990097046,0.9996860027313232,0.9998270869255066,0.9998035430908203,0.0006229774444364011,0.00041655192035250366,6.319025123957545e-05,0.00045880823745392263,0.06074753403663635,-0.08365144580602646,-0.1762511432170868,5.611343860626221,3.2671918869018555,4.117480278015137,5.5654425621032715,6.948480606079102,5.604858021516249,0.1406480371952057,0.9995111227035522,0.999992847442627,0.9996441006660461,0.9992368817329407,0.9999289512634277,0.0015764698619022965,0.0009199543274007738,0.0001454949815524742,0.0010229770559817553,0.12644408643245697,-0.07919800281524658,-0.226840540766716,3.404261589050293,2.682333469390869,3.3903441429138184,3.3395512104034424,3.7236404418945312,2.8001952171325684,2.9943318367004395,3.6134588718414307,4.186149597167969,4.118161201477051,3.4252426624298096,3.405303955078125,1.6426259279251099,1.3564618825912476,1.5374724864959717,1.4943463802337646,1.5030169486999512,1.4979352951049805,1.6397812366485596,1.4940471649169922,1.8590734004974365,1.7146868705749512,1.5739449262619019,1.5597378015518188
6,6.1920695304870605,3.695020914077759,4.275411605834961,6.205150604248047,8.00243091583252,6.191050963744121,0.09594530612230301,0.9998323917388916,0.999841570854187,0.9997358918190002,0.9998507499694824,0.9999095797538757,0.0007040555938147008,0.00045796576887369156,7.076322799548507e-05,0.0005135568208061159,0.06658371537923813,-0.08337639272212982,-0.1751926839351654,5.738243103027344,3.118516683578491,4.066721439361572,5.761685371398926,7.262864112854004,5.7332658991833245,0.1458759605884552,0.9995638132095337,0.9999995231628418,0.9997722506523132,0.9993674755096436,0.9997172355651855,0.0017210895894095302,0.0008981904829852283,0.0001434286095900461,0.000984195270575583,0.09788525849580765,-0.07927190512418747,-0.1846592128276825,3.587571620941162,2.760456085205078,2.9994020462036133,3.2031891345977783,2.659419536590576,3.1743290424346924,3.709423542022705,3.0791571140289307,4.219374179840088,3.9440927505493164,3.333641529083252,3.318904161453247,1.8303236961364746,1.4901301860809326,1.675577163696289,1.6584019660949707,1.6118992567062378,1.6593565940856934,1.8389381170272827,1.6438343524932861,2.086038589477539,1.9310377836227417,1.7425537109375,1.7281646728515625
7,6.266415119171143,3.589132070541382,4.362270832061768,6.271081924438477,8.032475471496582,6.265361617502718,0.09857600182294846,0.9998316764831543,0.999972939491272,0.9997566342353821,0.9998496174812317,0.9998724460601807,0.0008095474331639707,0.0004910604911856353,7.841735350666568e-05,0.0005642198957502842,0.0582222044467926,-0.08424334973096848,-0.17529670894145966,5.9440131187438965,3.063051462173462,4.418008804321289,5.9296464920043945,7.250462532043457,5.93749164596262,0.13130240142345428,0.9995192885398865,0.9995685815811157,0.9995510578155518,0.9993083477020264,0.9999052286148071,0.002189613413065672,0.0009224973618984222,0.00014810629363637418,0.001035204972140491,0.09593614935874939,-0.08358137309551239,-0.1813419759273529,4.405436992645264,3.318974733352661,3.157045364379883,3.821162462234497,3.2554633617401123,3.655735492706299,3.4447336196899414,3.881589412689209,4.729502201080322,4.182636260986328,3.7852280139923096,3.764810800552368,2.077768564224243,1.6642783880233765,1.8144707679748535,1.8654171228408813,1.7675150632858276,1.8501791954040527,1.988416314125061,1.8559199571609497,2.3374457359313965,2.1476783752441406,1.9369089603424072,1.9219781160354614
8,6.266029357910156,3.5003089904785156,4.440822124481201,6.253673553466797,7.906565189361572,6.264514196050705,0.10313364118337631,0.9997551441192627,0.9999226331710815,0.999660313129425,0.9998366832733154,0.9996737241744995,0.0009712111204862595,0.0005233496776781976,8.536752284271643e-05,0.0006118363817222416,0.05649687722325325,-0.08467020839452744,-0.16499027609825134,5.8214216232299805,3.013704538345337,4.458421230316162,5.782325744628906,6.984099864959717,5.817348672875895,0.12936826050281525,0.9996234178543091,0.999832034111023,0.9997965097427368,0.9994230270385742,0.9998425245285034,0.0023139240220189095,0.0009308111038990319,0.00014593792730011046,0.0010027597891166806,0.07924455404281616,-0.08226615935564041,-0.19940721988677979,4.040847301483154,3.3517863750457764,3.672092914581299,3.7086992263793945,3.324979543685913,3.859168529510498,3.9460694789886475,3.3694684505462646,5.081252574920654,4.195343971252441,3.854970932006836,3.830983877182007,2.2607710361480713,1.8212248086929321,1.9878195524215698,2.038844108581543,1.911224126815796,2.041882276535034,2.171095848083496,1.9961953163146973,2.595879554748535,2.342379570007324,2.116731643676758,2.101367473602295
9,6.158689975738525,3.3600449562072754,4.460447311401367,6.131965637207031,7.6266350746154785,6.157743322359293,0.10941016674041748,0.99984210729599,0.9999784827232361,0.9996626973152161,0.9998552799224854,0.9999840259552002,0.0011246923822909594,0.0005556668038479984,9.315615898231044e-05,0.0006688509020023048,0.062051378190517426,-0.0844382494688034,-0.1685437262058258,5.124966144561768,2.8197686672210693,3.9931890964508057,5.077078819274902,6.0578203201293945,5.122011240373823,0.1660042554140091,0.9996607303619385,0.9998535513877869,0.9997080564498901,0.9995071291923523,0.9998912215232849,0.0027874335646629333,0.0010619389358907938,0.00015625200467184186,0.0011503718560561538,0.09469424933195114,-0.07680225372314453,-0.18106047809123993,4.390881061553955,3.508491039276123,3.7420523166656494,4.562159061431885,3.2003352642059326,3.693288803100586,4.004891395568848,3.460078001022339,5.572926044464111,3.6880507469177246,3.9823155403137207,3.9620938301086426,2.4601049423217773,1.977161169052124,2.148122549057007,2.2784461975097656,2.028463125228882,2.194669008255005,2.338090419769287,2.128946542739868,2.8767826557159424,2.4642367362976074,2.2895023822784424,2.2733912467956543
