step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.21098096668720245,0.0,0.0,0.0,0.3287084400653839,0.0,0.0,0.1930079460144043,0.0,0.0,0.0,0.0,0.11856666952371597,0.0,0.0,0.0,0.14590173959732056,0.0,0.0,0.0028342597652226686,0.3267897367477417,0.0,0.0,0.0,0.41352179646492004,0.0,0.0,0.1634838730096817,0.0,0.0,0.0,0.0,0.06399339437484741,0.0,0.0,0.0,0.028843572363257408,0.0,0.0,0.0033676126040518284,0.05576923117041588,0.08383233845233917,0.06845194101333618,0.6832334995269775,0.17468589544296265,0.18786810338497162,0.0804888904094696,0.8566832542419434,0.00012069713557139039,8.817356138024479e-05,1.321155286859721e-05,9.406828030478209e-05,5.33905258635059e-05,3.482454485492781e-05,1.6795177089079516e-06,1.1578163139347453e-05,0.0002427522704238072,0.0001745020563248545,4.461086791707203e-05,0.0002860764507204294,0.0764753669500351,0.26728561520576477,0.11497297883033752,-0.08352158218622208,-0.17615580558776855,4.09335470199585,0.08375642448663712,0.3270328640937805,0.2900826632976532,0.3271184265613556,0.3090830147266388,0.3365307152271271,0.30673301219940186,0.3316958248615265,0.3152080476284027,0.36752235889434814,0.388083815574646
1,0.20935465395450592,0.0,0.0,0.0,0.3254780173301697,0.0,0.0,0.19374538958072662,0.0,0.0,0.0,0.0,0.1164802685379982,0.0,0.0,0.0,0.15037794411182404,0.0,0.0,0.004563656635582447,0.3198474943637848,0.0,0.0,0.0,0.39514634013175964,0.0,0.0,0.17139586806297302,0.0,0.0,0.0,0.0,0.07022972404956818,0.0,0.0,0.0,0.03704347833991051,0.0,0.0,0.006337085738778114,0.05961538478732109,0.08786427229642868,0.08666417002677917,0.7101796269416809,0.21065452694892883,0.19512209296226501,0.0807892233133316,0.8648660778999329,0.00023990521731320769,0.00016981642693281174,2.531803329475224e-05,0.0001830350374802947,9.429242345504463e-05,6.675326585536823e-05,3.0540356874553254e-06,2.1075597032904625e-05,0.0004399192985147238,0.00033517455449327826,8.486525621265173e-05,0.000544376322068274,0.09394776076078415,0.271406352519989,0.07383029162883759,-0.08299736678600311,-0.17367298901081085,4.132223129272461,0.07426317036151886,0.6393690705299377,0.5561461448669434,0.6043011546134949,0.5978561043739319,0.5915822386741638,0.639913022518158,0.6576936841011047,0.5940905213356018,0.6886835098266602,0.7166162133216858
2,0.21107646822929382,0.0,0.0,0.0,0.32931628823280334,0.0,0.0,0.18843837082386017,0.0,0.0,0.0,0.0,0.10853652656078339,0.0,0.0,0.0,0.15879054367542267,0.0,0.0,0.0038417077157646418,0.31693339347839355,0.0,0.0,0.0,0.4025031328201294,0.0,0.0,0.16739307343959808,0.0,0.0,0.0,0.0,0.07162056118249893,0.0,0.0,0.0,0.03405974060297012,0.0,0.0,0.007490110117942095,0.06538461893796921,0.08431138098239899,0.08798502385616302,0.7321357131004333,0.18920548260211945,0.18600298464298248,0.07363902032375336,0.880095362663269,0.00032435101456940174,0.0002451040782034397,3.592416760511696e-05,0.00025679031386971474,0.00015027781773824245,9.62121703196317e-05,4.188158527540509e-06,3.055181514355354e-05,0.0006587339448742568,0.0004806514480151236,0.00012111943942727521,0.0007915640017017722,0.0952305868268013,0.27115345001220703,0.0721137747168541,-0.084380604326725,-0.1638229340314865,4.3001298904418945,0.08467749506235123,0.9518857598304749,0.8025187849998474,0.8407616019248962,0.8835270404815674,0.864330530166626,0.9442421197891235,0.9493721723556519,0.863006055355072,1.0614383220672607,1.0212805271148682
3,0.2119753211736679,0.0,0.0,0.0,0.3336058557033539,0.0,0.0,0.18467508256435394,0.0,0.0,0.0,0.0,0.10449419915676117,0.0,0.0,0.0,0.16011306643486023,0.0,0.0,0.005136508494615555,0.3179909288883209,0.0,0.0,0.0,0.3933568298816681,0.0,0.0,0.1686325967311859,0.0,0.0,0.0,0.0,0.07252348214387894,0.0,0.0,0.0,0.03704674541950226,0.0,0.0,0.010449431836605072,0.0615384615957737,0.0794411152601242,0.09522347152233124,0.7578842043876648,0.18447113037109375,0.18443633615970612,0.07384052127599716,0.8757649064064026,0.0004313550889492035,0.00030576117569580674,4.668360634241253e-05,0.00033810356399044394,0.00019315180543344468,0.00012010688078589737,5.38247741133091e-06,3.951775579480454e-05,0.0007949529681354761,0.0006046342896297574,0.00015588839596603066,0.0010147300781682134,0.10196715593338013,0.2697296440601349,0.05845215171575546,-0.08533461391925812,-0.16733144223690033,4.4099578857421875,0.07607901096343994,1.2640684843063354,1.0365806818008423,1.1176040172576904,1.1501805782318115,1.141754150390625,1.194567084312439,1.19683039188385,1.1353243589401245,1.339516520500183,1.3256579637527466
4,0.21168152987957,0.0,0.0,0.0,0.34278467297554016,0.0,0.0,0.17588934302330017,0.0,0.0,0.0,0.0,0.09894860535860062,0.0,0.0,0.0,0.16648881137371063,0.0,0.0,0.0042069959454238415,0.318222314119339,0.0,0.0,0.0,0.3918797969818115,0.0,0.0,0.1677752286195755,0.0,0.0,0.0,0.0,0.07188162207603455,0.0,0.0,0.0,0.03749062493443489,0.0,0.0,0.012750440277159214,0.06730769574642181,0.07856287807226181,0.09803496301174164,0.7676646709442139,0.22843539714813232,0.1923535019159317,0.06123689189553261,0.8773072361946106,0.0005288360407575965,0.0003644807729870081,5.6618970120325685e-05,0.0004051965079270303,0.0002510098274797201,0.0001416450395481661,6.6993738983001094e-06,4.6815148380119354e-05,0.0009646714897826314,0.0007224285509437323,0.00018892511434387416,0.0012471274239942431,0.10464879125356674,0.26963165402412415,0.04629145562648773,-0.08552319556474686,-0.15918290615081787,4.441903114318848,0.08815599232912064,1.5012129545211792,1.1784754991531372,1.3788999319076538,1.3840234279632568,1.3978570699691772,1.4239717721939087,1.4635393619537354,1.3846052885055542,1.641261100769043,1.6287317276000977
5,0.21451492607593536,0.0,0.0,0.0,0.34771010279655457,0.0,0.0,0.1634698361158371,0.0,0.0,0.0,0.0,0.093513123691082,0.0,0.0,0.0,0.177156463265419,0.0,0.0,0.003635584842413664,0.31847628951072693,0.0,0.0,0.0,0.396921843290329,0.0,0.0,0.16005362570285797,0.0,0.0,0.0,0.0,0.071126289665699,0.0,0.0,0.0,0.041438162326812744,0.0,0.0,0.01198380347341299,0.08076923340559006,0.07504989951848984,0.10120849311351776,0.7778443098068237,0.26292508840560913,0.1939990222454071,0.05214926600456238,0.8958478569984436,0.0006608505500480533,0.00041074014734476805,6.65358966216445e-05,0.00047332653775811195,0.0002812862512655556,0.00016000792675185949,8.062241249717772e-06,5.0673676014412194e-05,0.001252804882824421,0.0008230098756030202,0.00021939142607152462,0.0014555597444996238,0.10752761363983154,0.2742907404899597,0.03665385767817497,-0.0869298130273819,-0.1607690006494522,4.532851219177246,0.09261549264192581,1.839199423789978,1.380996584892273,1.6384570598602295,1.6510601043701172,1.6195051670074463,1.6214745044708252,1.7820073366165161,1.635643482208252,1.9473627805709839,1.889828085899353
6,0.22607053816318512,0.0,0.0,0.0,0.336650013923645,0.0,0.0,0.15697111189365387,0.0,0.0,0.0,0.0,0.08647052943706512,0.0,0.0,0.0,0.1899738907814026,0.0,0.0,0.0038639039266854525,0.31991472840309143,0.0,0.0,0.0,0.40047967433929443,0.0,0.0,0.15783239901065826,0.0,0.0,0.0,0.0,0.0692664384841919,0.0,0.0,0.0,0.03858836740255356,0.0,0.0,0.013918383978307247,0.10576923191547394,0.06854291260242462,0.09966542571783066,0.7896207571029663,0.3883900046348572,0.18128840625286102,0.04573030769824982,0.9068837761878967,0.0008335873717442155,0.00045596034033223987,7.565956912003458e-05,0.0005475848447531462,0.0003819526464212686,0.000178938455064781,9.047413186635822e-06,5.755228630732745e-05,0.0015871369978412986,0.000910867762286216,0.00024865116574801505,0.0017167237820103765,0.1058829054236412,0.28029730916023254,0.046341944485902786,-0.08806584030389786,-0.1542859822511673,4.612295627593994,0.09802980720996857,2.1196987628936768,1.6014105081558228,1.8788976669311523,1.8634976148605347,1.8275465965270996,1.8907017707824707,2.056027889251709,1.8797764778137207,2.307598114013672,2.159525156021118
7,0.23252084851264954,0.0,0.0,0.0,0.32278379797935486,0.0,0.0,0.1503746509552002,0.0,0.0,0.0,0.0,0.07946284860372543,0.0,0.0,0.0,0.21126419305801392,0.0,0.0,0.003593666944652796,0.31805187463760376,0.0,0.0,0.0,0.40421709418296814,0.0,0.0,0.15579164028167725,0.0,0.0,0.0,0.0,0.06754742562770844,0.0,0.0,0.0,0.039083003997802734,0.0,0.0,0.01530897431075573,0.125,0.06550898402929306,0.10014482587575912,0.7972055673599243,0.43335071206092834,0.1791955828666687,0.04022539034485817,0.920571506023407,0.0010148934088647366,0.000500518421176821,8.656111458549276e-05,0.000634059018921107,0.0004964566905982792,0.000195587141206488,1.0121280865860172e-05,6.497931462945417e-05,0.0019505139207467437,0.0009984343778342009,0.0002825310511980206,0.00200596172362566,0.10626334697008133,0.2943069040775299,0.06030423566699028,-0.08898654580116272,-0.15467433631420135,4.729050636291504,0.10336916893720627,2.4130091667175293,1.8564444780349731,2.13761043548584,2.1004745960235596,2.020808219909668,2.2359607219696045,2.4207167625427246,2.131070613861084,2.6780200004577637,2.457841634750366
8,0.22944684326648712,0.0,0.0,0.0,0.32034337520599365,0.0,0.0,0.14240139722824097,0.0,0.0,0.0,0.0,0.07512100785970688,0.0,0.0,0.0,0.2291562706232071,0.0,0.0,0.0035310955718159676,0.31627315282821655,0.0,0.0,0.0,0.41027793288230896,0.0,0.0,0.15429063141345978,0.0,0.0,0.0,0.0,0.06714663654565811,0.0,0.0,0.0,0.0375119112432003,0.0,0.0,0.014499735087156296,0.15000000596046448,0.06099800392985344,0.09832210093736649,0.8051896095275879,0.506149411201477,0.1704009622335434,0.034875210374593735,0.9253332018852234,0.0012483923928812146,0.0005366955883800983,9.800842963159084e-05,0.0007179462700150907,0.0005863728583790362,0.0002141708246199414,1.1353183253959287e-05,6.665669206995517e-05,0.0024385584983974695,0.001088249497115612,0.00031889660749584436,0.002316026948392391,0.10443073511123657,0.30779531598091125,0.05302933603525162,-0.08943144977092743,-0.1586012840270996,4.778781890869141,0.10697802156209946,2.724307060241699,2.1029775142669678,2.4691410064697266,2.392643690109253,2.2605268955230713,2.516303777694702,2.6966092586517334,2.379744052886963,3.1066997051239014,2.727980613708496
9,0.2265353947877884,0.0,0.0,0.0,0.305839866399765,0.0,0.0,0.14028558135032654,0.0,0.0,0.0,0.0,0.0732465460896492,0.0,0.0,0.0,0.25006169080734253,0.0,0.0,0.004030966199934483,0.3141563832759857,0.0,0.0,0.0,0.408451110124588,0.0,0.0,0.1575499176979065,0.0,0.0,0.0,0.0,0.06789855659008026,0.0,0.0,0.0,0.0383574515581131,0.0,0.0,0.01358658354729414,0.16730768978595734,0.060159679502248764,0.09916604310274124,0.8057883977890015,0.5402336716651917,0.16852810978889465,0.030765751376748085,0.9338535666465759,0.001456626458093524,0.0005941007402725518,0.00011126590106869116,0.0008118883706629276,0.0006779435789212584,0.00023450129083357751,1.2616137610166334e-05,7.353260298259556e-05,0.002847591880708933,0.0012051397934556007,0.00036464491859078407,0.002649686299264431,0.10519393533468246,0.3273257315158844,0.05979779362678528,-0.08927510678768158,-0.17460697889328003,4.7897186279296875,0.11235934495925903,3.0970799922943115,2.4142723083496094,2.768569231033325,2.7451999187469482,2.502350091934204,2.915513038635254,3.015752077102661,2.702741861343384,3.5909740924835205,3.1238105297088623
