step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,0.8376441597938538,0.8213187456130981,0.7363074421882629,0.8324548602104187,0.9757376909255981,0.8372267257775341,0.07030739635229111,0.9997193217277527,0.9996669292449951,0.9998591542243958,0.9995687007904053,0.9998964071273804,0.00014298838505055755,9.577738092048094e-05,1.3974567082186695e-05,9.779730316950008e-05,0.7345913052558899,0.5495161414146423,0.33777523040771484,0.8376441597938538,0.8213186860084534,0.7363073825836182,0.8324548602104187,0.9757377505302429,0.8372267259501605,0.0703074038028717,0.9997193217277527,0.9996669292449951,0.9998591542243958,0.9995686411857605,0.9998965859413147,0.001429883879609406,0.0009577737073414028,0.00013974567991681397,0.000977973104454577,0.7345912456512451,0.5495161414146423,0.33777520060539246,0.6992121934890747,0.6902762055397034,0.8255956768989563,0.7084869742393494,0.652151882648468,0.656828761100769,0.6569049954414368,0.6857535243034363,0.7423919439315796,0.7282495498657227,0.7045851945877075,0.4535539746284485,0.06992122530937195,0.0690276250243187,0.08255957067012787,0.07084869593381882,0.06521519273519516,0.06568287312984467,0.06569050252437592,0.06857535243034363,0.07423919439315796,0.07282495498657227,0.07045852392911911,0.04535539820790291
1,0.6556239724159241,0.6154045462608337,0.5425259470939636,0.6604154109954834,0.7819109559059143,0.6555794157528583,0.0704827830195427,0.9999139904975891,0.9997584819793701,0.9999229907989502,0.9999060034751892,0.9999284744262695,0.0002679838507901877,0.0001755074626998976,2.5692856070236303e-05,0.000183064432349056,0.863841712474823,0.6745249032974243,0.39738160371780396,0.8908138871192932,0.8648906946182251,0.7563856244087219,0.9003423452377319,1.0310841798782349,0.8905280193076828,0.10112784802913666,0.9997855424880981,0.9999971389770508,0.9998688697814941,0.9996829032897949,0.9999040365219116,0.0013968163402751088,0.0009166070376522839,0.00013667884923052043,0.0009183161309920251,0.733660101890564,0.5202568769454956,0.2505342960357666,0.687176525592804,0.6782838106155396,0.8492454886436462,0.6563995480537415,0.7219178676605225,0.7187020778656006,0.6494014859199524,0.6861312985420227,0.8709331154823303,0.6932833194732666,0.7211474776268005,0.48212963342666626,0.11869677901268005,0.11817121505737305,0.13823938369750977,0.11400669813156128,0.11490403860807419,0.11522417515516281,0.11346019059419632,0.1175239160656929,0.13531538844108582,0.11648913472890854,0.12020309269428253,0.06606970727443695
2,0.542654275894165,0.5339009165763855,0.46016770601272583,0.5446637272834778,0.6361212134361267,0.5426284262370982,0.047033678740262985,0.9999554753303528,0.999941349029541,0.9999421238899231,0.9999517202377319,0.9999838471412659,0.0003608593251556158,0.00024716564803384244,3.5993904020870104e-05,0.0002585458569228649,0.8533052206039429,0.7508062124252319,0.5804730653762817,0.8438630104064941,0.8995101451873779,0.7657309770584106,0.8321719169616699,0.9530083537101746,0.8436490313253557,0.07657544314861298,0.9998242259025574,0.9998942017555237,0.9998750686645508,0.9997581243515015,0.9999126195907593,0.0012485935585573316,0.0009079306619241834,0.00013466761447489262,0.0009306930005550385,0.7550521492958069,0.5442482233047485,0.3098594844341278,0.8415303826332092,0.6873447299003601,0.7085385918617249,0.7740785479545593,0.7305103540420532,0.7684184312820435,0.6695797443389893,0.6446305513381958,0.7694985866546631,0.7053638696670532,0.729949414730072,0.4721381664276123,0.16208992898464203,0.15960031747817993,0.16630859673023224,0.16374753415584564,0.16581770777702332,0.16295863687992096,0.1541220098733902,0.15885818004608154,0.18274147808551788,0.15458087623119354,0.1630825251340866,0.07786887884140015
3,0.520274817943573,0.46559134125709534,0.42671433091163635,0.5233094096183777,0.6286440491676331,0.5202791890875138,0.0407867506146431,0.9999317526817322,1.0,0.9999516010284424,0.9999573230743408,0.9998341798782349,0.00043099976028315723,0.00030886332388035953,4.569784505292773e-05,0.00032299815211445093,0.8546751737594604,0.7657866477966309,0.6295903325080872,0.9997726678848267,0.7970983386039734,0.8185429573059082,1.0021936893463135,1.2301604747772217,0.9993836670356561,0.08414012938737869,0.9998083710670471,0.9999937415122986,0.9998906254768372,0.9997246861457825,0.999886155128479,0.001567159197293222,0.0009065633057616651,0.00014015818305779248,0.0009440644644200802,0.6705522537231445,0.45348072052001953,0.154607355594635,0.8112583756446838,0.7954959869384766,0.8225966691970825,0.64335697889328,0.8383269906044006,0.6641405820846558,0.7542166709899902,0.7774749398231506,0.7136442065238953,0.7228248715400696,0.7543336749076843,0.535218358039856,0.1963246911764145,0.20260119438171387,0.20626574754714966,0.19636695086956024,0.21745041012763977,0.19779753684997559,0.19001369178295135,0.19736240804195404,0.21280449628829956,0.19426749646663666,0.20112545788288116,0.09290555119514465
4,0.481344074010849,0.4149479568004608,0.38928401470184326,0.48576879501342773,0.5870965123176575,0.4813083246959483,0.04679105430841446,0.9999493360519409,0.9999759197235107,0.9999207854270935,0.9999610781669617,0.9999605417251587,0.0005599510623142123,0.0003618830523919314,5.4735137382522225e-05,0.0003767636080738157,0.9007340669631958,0.7951856851577759,0.6045427918434143,0.9786368012428284,0.6934943199157715,0.8152976036071777,0.9868397116661072,1.1904600858688354,0.9783073928442366,0.10691846162080765,0.9997648596763611,1.0,0.9998009204864502,0.9996892809867859,0.9998770952224731,0.0017235790146514773,0.0008873695624060929,0.00013868630048818886,0.0009698170470073819,0.7027032971382141,0.4724288284778595,0.1846204251050949,0.7096964716911316,0.899523138999939,0.6599701046943665,0.8759656548500061,0.7258865833282471,0.7212822437286377,0.681529700756073,0.6842982172966003,0.788858950138092,0.68881756067276,0.7435829043388367,0.5230494737625122,0.2291020303964615,0.24303561449050903,0.2317744791507721,0.2254282534122467,0.24832014739513397,0.23325523734092712,0.21913763880729675,0.22457192838191986,0.2533777952194214,0.22291715443134308,0.2330920249223709,0.10120614618062973
5,0.4273017942905426,0.3587789833545685,0.3600156009197235,0.43214619159698486,0.5052022337913513,0.42729029674358077,0.03102044016122818,0.9999499320983887,0.9999537467956543,0.999970555305481,0.999966561794281,0.9998766183853149,0.0006463606259785593,0.0004017273022327572,6.21577855781652e-05,0.0004472872242331505,0.9290029406547546,0.8302933573722839,0.7072762250900269,0.8974600434303284,0.560124933719635,0.7494004368782043,0.9327662587165833,1.0470335483551025,0.8971959774864318,0.06067417562007904,0.9998308420181274,0.999990701675415,0.9998952150344849,0.999740481376648,0.9999213218688965,0.001903948956169188,0.0008293777937069535,0.00013380823656916618,0.0009161836351267993,0.7312791347503662,0.508882999420166,0.22273802757263184,0.710637092590332,0.7989527583122253,0.6767997145652771,0.7341552972793579,0.6673058271408081,0.7349931597709656,0.659142792224884,0.7203240990638733,0.6522656679153442,0.7307390570640564,0.7085315585136414,0.47411245107650757,0.2559124529361725,0.27112892270088196,0.2573167383670807,0.25286197662353516,0.2688959836959839,0.26084139943122864,0.24642370641231537,0.25449320673942566,0.26428064703941345,0.2468649297952652,0.25790199637413025,0.10138687491416931
6,0.3989376127719879,0.303217351436615,0.33682626485824585,0.40444791316986084,0.4674026370048523,0.3989267575943,0.030058903619647026,0.9999748468399048,0.9999905228614807,0.9999610185623169,0.9999756217002869,0.9999909400939941,0.0007588097942061722,0.0004320290463510901,6.97257200954482e-05,0.0004878188483417034,0.923821747303009,0.8489481806755066,0.7516266107559204,0.9152191281318665,0.4862643778324127,0.790510356426239,0.9468990564346313,1.0391414165496826,0.9148378719312136,0.08955581486225128,0.9997950196266174,0.9998968243598938,0.9998418092727661,0.9997026324272156,0.9999144077301025,0.002344250911846757,0.0008529518963769078,0.00014231246314011514,0.000981892691925168,0.6952605843544006,0.5016137361526489,0.23307031393051147,0.7603728771209717,0.7242069244384766,0.7367716431617737,0.7845958471298218,0.6524527668952942,0.9238259196281433,0.7778370976448059,0.775599479675293,0.7591902613639832,0.6908755898475647,0.7585728764533997,0.5141956806182861,0.2754521667957306,0.29311275482177734,0.2801544964313507,0.2764630615711212,0.2924266457557678,0.29527273774147034,0.2704140543937683,0.28243574500083923,0.2837349772453308,0.2721575200557709,0.2821624279022217,0.10459964722394943
7,0.3941042721271515,0.2685849070549011,0.3338746726512909,0.40030378103256226,0.4590887129306793,0.3940280971930483,0.03807026892900467,0.9999338388442993,1.0,0.999976634979248,0.9999800324440002,0.9997625946998596,0.0008844801341183484,0.0004584081470966339,7.62871204642579e-05,0.0005379391950555146,0.9316160082817078,0.8530573844909668,0.7372318506240845,0.9617041349411011,0.45024898648262024,0.815104067325592,1.0161768198013306,1.0799989700317383,0.9615295215413483,0.0854567214846611,0.9998670220375061,0.999928891658783,0.9999057054519653,0.9997801184654236,0.9999748468399048,0.0029106102883815765,0.0008771557477302849,0.00013617557124234736,0.0009602023637853563,0.7230646014213562,0.4700043201446533,0.1444678008556366,0.9217420816421509,0.8813193440437317,0.7912570238113403,0.8797726035118103,0.9116049408912659,0.7343105673789978,0.742871105670929,0.840106189250946,0.7934566736221313,0.7295488119125366,0.822598934173584,0.5722798109054565,0.2965736389160156,0.319196492433548,0.304914265871048,0.29884713888168335,0.32901787757873535,0.3132380545139313,0.2875193953514099,0.3119677007198334,0.3083365857601166,0.2966979444026947,0.3066309094429016,0.11250990629196167
8,0.39360401034355164,0.22544530034065247,0.3261061906814575,0.4040525257587433,0.4627138078212738,0.3935754622132858,0.02831757627427578,0.9999505281448364,0.9999889135360718,0.999967634677887,0.9999743103981018,0.9998689889907837,0.0011061143595725298,0.00048136647092178464,8.288753451779485e-05,0.0005854986375197768,0.9240183234214783,0.8520655632019043,0.7560212016105652,0.9886800050735474,0.36686941981315613,0.7870371341705322,1.0675225257873535,1.1720956563949585,0.988494907236667,0.10971301794052124,0.9998353719711304,0.9999558329582214,0.9999446272850037,0.9997111558914185,0.9998946189880371,0.003353229258209467,0.0009393094223923981,0.00014113802171777934,0.0009807250462472439,0.7914508581161499,0.45883283019065857,-0.011243835091590881,0.9406031370162964,1.066564679145813,0.9277419447898865,0.7126091122627258,0.7735115885734558,0.8954198956489563,1.0344247817993164,0.8975034356117249,0.9227088689804077,0.9150109887123108,0.9086098670959473,0.6426498889923096,0.32156407833099365,0.34522637724876404,0.3419012129306793,0.32016316056251526,0.3419494032859802,0.3279120922088623,0.3186414837837219,0.33270978927612305,0.32999399304389954,0.3228757679462433,0.330293744802475,0.12102001905441284
9,0.38869085907936096,0.18875013291835785,0.3098440170288086,0.40561455488204956,0.462150901556015,0.38868465687807857,0.0333050861954689,0.9999738335609436,1.0,0.9999549984931946,0.999975860118866,0.9999904632568359,0.001354200066998601,0.000507386343088001,8.896338113117963e-05,0.0006390699418261647,0.9245166778564453,0.8555998206138611,0.7493761777877808,0.8513214588165283,0.30127841234207153,0.6446528434753418,0.9590475559234619,1.0350998640060425,0.8510475740298831,0.0978677049279213,0.9998344779014587,0.9999256134033203,0.999917209148407,0.9997453689575195,0.9998418688774109,0.003992076497524977,0.000986773520708084,0.00013709718768950552,0.0010360777378082275,0.780009925365448,0.5437679290771484,0.23969332873821259,0.7928740978240967,0.8598599433898926,1.0505062341690063,0.8423067927360535,0.8366755247116089,0.7670512199401855,0.8412360548973083,0.9352616667747498,0.7683987021446228,0.7850306630134583,0.8479200601577759,0.5522753000259399,0.3430529832839966,0.3749094009399414,0.3693550229072571,0.34391123056411743,0.361089289188385,0.3526363670825958,0.3391355276107788,0.3666418492794037,0.35304826498031616,0.3452330529689789,0.3549013137817383,0.12864704430103302
