step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.004506044555455446,0.0,0.0,0.0,0.021613603457808495,0.0,0.0,0.05352030694484711,0.0,0.0,0.0,0.0,0.11677814275026321,0.0,0.0,0.0,0.23459872603416443,0.0,0.0,0.5689831376075745,0.09691126644611359,0.0,0.0,0.0,0.1756945699453354,0.0,0.0,0.17375503480434418,0.0,0.0,0.0,0.0,0.17048829793930054,0.0,0.0,0.0,0.17400282621383667,0.0,0.0,0.20914800465106964,0.5230769515037537,0.5948902368545532,0.4409638047218323,0.5211576819419861,0.9195178151130676,0.9490642547607422,0.9165776968002319,0.889737606048584,0.0001406249648425728,9.504107583779842e-05,1.3711940482608043e-05,9.341122495243326e-05,6.941996980458498e-05,3.862565426970832e-05,1.72355328231788e-06,1.1440186426625587e-05,0.0002547633775975555,0.00018510903464630246,4.660201011574827e-05,0.00029355380684137344,0.4509395360946655,0.9203589558601379,0.7070983648300171,0.4975748062133789,0.20223575830459595,1.190563440322876,0.033551257103681564,0.07325412333011627,0.0744955763220787,0.07362715899944305,0.07423481345176697,0.0798552855849266,0.07009412348270416,0.07423420250415802,0.07352661341428757,0.07577861845493317,0.07122014462947845
1,0.0029523444827646017,0.0,0.0,0.0,0.01251256838440895,0.0,0.0,0.028627078980207443,0.0,0.0,0.0,0.0,0.06448707729578018,0.0,0.0,0.0,0.15404032170772552,0.0,0.0,0.7373806238174438,0.08077048510313034,0.0,0.0,0.0,0.14116913080215454,0.0,0.0,0.14183656871318817,0.0,0.0,0.0,0.0,0.14465461671352386,0.0,0.0,0.0,0.17033572494983673,0.0,0.0,0.32123345136642456,0.6326923370361328,0.6737724542617798,0.5279300808906555,0.5976047515869141,0.9567161202430725,0.9727402925491333,0.9552801251411438,0.9350822567939758,0.00025510136038064957,0.00017672206740826368,2.595256592030637e-05,0.00018254414317198098,0.00012563850032165647,7.062948134262115e-05,3.204432459824602e-06,2.214573760284111e-05,0.0004582771216519177,0.0003420214634388685,8.790940046310425e-05,0.0005543200531974435,0.5373411178588867,0.955907940864563,0.8074630498886108,0.6383446455001831,0.4282606244087219,0.9313815236091614,0.08759871870279312,0.10818210989236832,0.11256938427686691,0.12733353674411774,0.12030855566263199,0.1327400654554367,0.12088723480701447,0.14712409675121307,0.13215096294879913,0.11821257323026657,0.13384509086608887
2,0.0026529435999691486,0.0,0.0,0.0,0.008897542022168636,0.0,0.0,0.021745657548308372,0.0,0.0,0.0,0.0,0.04744380712509155,0.0,0.0,0.0,0.1265917718410492,0.0,0.0,0.7926682233810425,0.07020425796508789,0.0,0.0,0.0,0.12853708863258362,0.0,0.0,0.12890270352363586,0.0,0.0,0.0,0.0,0.13264477252960205,0.0,0.0,0.0,0.1668396145105362,0.0,0.0,0.3728715479373932,0.6846153736114502,0.7022754549980164,0.5716904401779175,0.6381237506866455,0.9742713570594788,0.9801134467124939,0.9679985046386719,0.9447073340415955,0.0003587763640098274,0.00024247165129054338,3.6168778024148196e-05,0.0002601887099444866,0.00017063214909285307,9.618520562071353e-05,4.541196631180355e-06,3.29361719195731e-05,0.0006370084010995924,0.00047497160267084837,0.00012233390589244664,0.0007667313329875469,0.5801870226860046,0.966704249382019,0.855877697467804,0.6899356842041016,0.4424186646938324,0.8304987549781799,0.06866054981946945,0.15807054936885834,0.16168491542339325,0.16614657640457153,0.15419286489486694,0.19292069971561432,0.1701766401529312,0.17359839379787445,0.179307758808136,0.15382374823093414,0.17191140353679657
3,0.0009484197944402695,0.0,0.0,0.0,0.004205156117677689,0.0,0.0,0.011271437630057335,0.0,0.0,0.0,0.0,0.032135970890522,0.0,0.0,0.0,0.10498777776956558,0.0,0.0,0.8464511632919312,0.060368966311216354,0.0,0.0,0.0,0.10781292617321014,0.0,0.0,0.11682456731796265,0.0,0.0,0.0,0.0,0.12766137719154358,0.0,0.0,0.0,0.1626904159784317,0.0,0.0,0.4246417284011841,0.7192307710647583,0.7449900507926941,0.6157403588294983,0.6956087350845337,0.983571469783783,0.9886683821678162,0.9833370447158813,0.9769746661186218,0.0004684682935476303,0.0003023133613169193,4.519998037721962e-05,0.00032868102425709367,0.0001943242532433942,0.00012005419557681307,5.713093742087949e-06,3.9674203435424715e-05,0.0008174269460141659,0.0005968432524241507,0.0001528109423816204,0.0009709756122902036,0.6243041157722473,0.9835755228996277,0.8664513230323792,0.7614593505859375,0.5147606730461121,0.7221742272377014,0.04486585780978203,0.19369211792945862,0.19368726015090942,0.2005917727947235,0.1898818016052246,0.21391922235488892,0.21326762437820435,0.2045256495475769,0.20083150267601013,0.18858492374420166,0.21092574298381805
4,0.0006338899838738143,0.0,0.0,0.0,0.0032245812471956015,0.0,0.0,0.009706040844321251,0.0,0.0,0.0,0.0,0.02634887769818306,0.0,0.0,0.0,0.06815914064645767,0.0,0.0,0.8919274806976318,0.055795326828956604,0.0,0.0,0.0,0.10112886130809784,0.0,0.0,0.10481800138950348,0.0,0.0,0.0,0.0,0.1166069358587265,0.0,0.0,0.0,0.1502542346715927,0.0,0.0,0.47139662504196167,0.7692307829856873,0.7733333110809326,0.6419101357460022,0.6998003721237183,0.99132239818573,0.9923363327980042,0.9873974323272705,0.9750197529792786,0.0005964775336906314,0.0003602458746172488,5.418005821411498e-05,0.0003825341700576246,0.00026770870317704976,0.00014308553363662213,6.842737093393225e-06,4.701278521679342e-05,0.0010297514963895082,0.0007095184409990907,0.00018070481019094586,0.0011591814691200852,0.6503735184669495,0.9864361882209778,0.8864121437072754,0.8065999746322632,0.6799710392951965,0.640920877456665,0.02851238287985325,0.23317818343639374,0.2304893434047699,0.23374484479427338,0.22566689550876617,0.22946228086948395,0.24442486464977264,0.2342962920665741,0.22819869220256805,0.2172120064496994,0.23204390704631805
5,0.0006045348709449172,0.0,0.0,0.0,0.0024360890965908766,0.0,0.0,0.007333310786634684,0.0,0.0,0.0,0.0,0.021084526553750038,0.0,0.0,0.0,0.06767059862613678,0.0,0.0,0.9008709788322449,0.0539994053542614,0.0,0.0,0.0,0.09355659037828445,0.0,0.0,0.09899237006902695,0.0,0.0,0.0,0.0,0.11181274801492691,0.0,0.0,0.0,0.14659073948860168,0.0,0.0,0.4950481653213501,0.7865384817123413,0.7807585000991821,0.6602572202682495,0.7247504591941833,0.9926813840866089,0.9933623671531677,0.9884185791015625,0.987000048160553,0.0006502891192212701,0.00040526670636609197,6.21429571765475e-05,0.00043292948976159096,0.00031293611391447484,0.00016012787818908691,7.97762731963303e-06,5.2099778258707374e-05,0.0012631024001166224,0.0007963762036524713,0.00020543579012155533,0.001334497588686645,0.6681613922119141,0.9896267056465149,0.9092478156089783,0.8229312896728516,0.6562678813934326,0.6063334941864014,0.03534248098731041,0.26402419805526733,0.2601790130138397,0.2706608474254608,0.2487293928861618,0.2706455886363983,0.26999783515930176,0.25421959161758423,0.2570124864578247,0.2426629662513733,0.2543371617794037
6,0.0005022508557885885,0.0,0.0,0.0,0.00268795108422637,0.0,0.0,0.006157324183732271,0.0,0.0,0.0,0.0,0.019012965261936188,0.0,0.0,0.0,0.05823100358247757,0.0,0.0,0.9134083986282349,0.05137225612998009,0.0,0.0,0.0,0.08777609467506409,0.0,0.0,0.09390012919902802,0.0,0.0,0.0,0.0,0.10803711414337158,0.0,0.0,0.0,0.13703079521656036,0.0,0.0,0.5218836069107056,0.8038461804389954,0.7857484817504883,0.677463173866272,0.7499001622200012,0.9960594177246094,0.9941475987434387,0.9897255301475525,0.9875063896179199,0.0007873483118601143,0.00043526903027668595,6.965911597944796e-05,0.000489153666421771,0.0003491885436233133,0.00017120638221967965,9.051513188751414e-06,6.122112245066091e-05,0.0016335602849721909,0.0008672126568853855,0.00022784338216297328,0.0014900228707119823,0.684749960899353,0.9906529188156128,0.9214413166046143,0.8380368947982788,0.6803458333015442,0.5663029551506042,0.030778272077441216,0.2883623540401459,0.28580954670906067,0.28578752279281616,0.27490487694740295,0.29733091592788696,0.2977113723754883,0.27518612146377563,0.2868604362010956,0.27428263425827026,0.27352607250213623
7,0.00040431765955872834,0.0,0.0,0.0,0.0019848369993269444,0.0,0.0,0.005823438987135887,0.0,0.0,0.0,0.0,0.017516424879431725,0.0,0.0,0.0,0.05621592700481415,0.0,0.0,0.9180551171302795,0.049396317452192307,0.0,0.0,0.0,0.0838971808552742,0.0,0.0,0.08884250372648239,0.0,0.0,0.0,0.0,0.10545537620782852,0.0,0.0,0.0,0.13742150366306305,0.0,0.0,0.5349870920181274,0.8346154093742371,0.7916167974472046,0.6909114122390747,0.7524949908256531,0.9969252347946167,0.9951575994491577,0.9906541705131531,0.9891774654388428,0.0009581956546753645,0.00046368074254132807,7.629506580997258e-05,0.000538791879080236,0.00038469763239845634,0.00018492045637685806,1.0158617442357354e-05,6.354387005558237e-05,0.0019572610035538673,0.0009283567196689546,0.000246866955421865,0.0016505271196365356,0.6976524591445923,0.9917882084846497,0.9105697870254517,0.8475373387336731,0.6709209084510803,0.5461961030960083,0.030149411410093307,0.3088687062263489,0.30968156456947327,0.30605214834213257,0.2951069176197052,0.3274591863155365,0.31690162420272827,0.29688501358032227,0.30368369817733765,0.30409935116767883,0.2989634573459625
8,0.0003678912471514195,0.0,0.0,0.0,0.001607384067028761,0.0,0.0,0.005206268280744553,0.0,0.0,0.0,0.0,0.014201276004314423,0.0,0.0,0.0,0.05302872881293297,0.0,0.0,0.9255883693695068,0.047669511288404465,0.0,0.0,0.0,0.07928846031427383,0.0,0.0,0.08679419755935669,0.0,0.0,0.0,0.0,0.09980223327875137,0.0,0.0,0.0,0.1350412666797638,0.0,0.0,0.5514042973518372,0.8557692170143127,0.7954490780830383,0.7009738087654114,0.7634730339050293,0.99800044298172,0.9954681396484375,0.9921082854270935,0.9901463389396667,0.0011321345809847116,0.00048657302977517247,8.311357669299468e-05,0.0005766081158071756,0.000477343681268394,0.00018942929455079138,1.1038976481358986e-05,7.134116458473727e-05,0.002345495857298374,0.0009841632563620806,0.00026647240156307817,0.00180706602986902,0.7073768377304077,0.9928191900253296,0.9407326579093933,0.8596367239952087,0.7190396785736084,0.51975017786026,0.03656180948019028,0.3337300419807434,0.3252788484096527,0.3240084648132324,0.31975579261779785,0.3592904806137085,0.3386773467063904,0.31775814294815063,0.3269607126712799,0.33050960302352905,0.3163907825946808
9,0.00031494672293774784,0.0,0.0,0.0,0.0013759080320596695,0.0,0.0,0.004050804767757654,0.0,0.0,0.0,0.0,0.010900965891778469,0.0,0.0,0.0,0.038760505616664886,0.0,0.0,0.9445968866348267,0.04361434653401375,0.0,0.0,0.0,0.07815758883953094,0.0,0.0,0.08187656104564667,0.0,0.0,0.0,0.0,0.09513729810714722,0.0,0.0,0.0,0.12764102220535278,0.0,0.0,0.5735731720924377,0.8769230842590332,0.8085029721260071,0.7117553353309631,0.7720558643341064,0.9988823533058167,0.9964919686317444,0.9935271739959717,0.9920193552970886,0.0014427637215703726,0.0005154937971383333,8.952491043601185e-05,0.0006277007050812244,0.0005872223409824073,0.00019898558093700558,1.1938831448787823e-05,7.985888078110293e-05,0.0028427792713046074,0.0010484590893611312,0.0002848457370419055,0.001908194157294929,0.7182773947715759,0.9942589402198792,0.9433048963546753,0.8813275098800659,0.7607609033584595,0.4905839264392853,0.026322100311517715,0.36075320839881897,0.35053884983062744,0.34502121806144714,0.3512626886367798,0.3670767843723297,0.355192095041275,0.3338422179222107,0.34909045696258545,0.3504788875579834,0.33872655034065247
