step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.22425219416618347,0.0,0.0,0.0,0.3334178328514099,0.0,0.0,0.1913122981786728,0.0,0.0,0.0,0.0,0.1022626981139183,0.0,0.0,0.0,0.14540886878967285,0.0,0.0,0.0033461011480540037,0.3379906117916107,0.0,0.0,0.0,0.4269939064979553,0.0,0.0,0.16025188565254211,0.0,0.0,0.0,0.0,0.05144781619310379,0.0,0.0,0.0,0.020360099151730537,0.0,0.0,0.002955688163638115,0.05384615436196327,0.07357285171747208,0.05034956336021423,0.6706586480140686,0.14109323918819427,0.1658887416124344,0.06555482000112534,0.8529302477836609,0.00013677490642294288,9.153112478088588e-05,1.346076351183001e-05,9.284940460929647e-05,6.111070979386568e-05,3.6208759411238134e-05,1.6702989569239435e-06,1.2060647350153886e-05,0.0002618436119519174,0.00017945736180990934,4.551768506644294e-05,0.00028522202046588063,0.058912500739097595,0.2509995996952057,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,4.399355888366699,0.09544780105352402,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426
1,0.20967930555343628,0.0,0.0,0.0,0.3298815190792084,0.0,0.0,0.19088424742221832,0.0,0.0,0.0,0.0,0.10401596873998642,0.0,0.0,0.0,0.1616588532924652,0.0,0.0,0.00388015597127378,0.3227742910385132,0.0,0.0,0.0,0.40833714604377747,0.0,0.0,0.1670001894235611,0.0,0.0,0.0,0.0,0.067062608897686,0.0,0.0,0.0,0.030084552243351936,0.0,0.0,0.004741206765174866,0.06538461893796921,0.08067864179611206,0.07676903903484344,0.7191616296768188,0.13576574623584747,0.17806102335453033,0.08704745769500732,0.8629150986671448,0.00024603703059256077,0.00017359602497890592,2.5236171495635062e-05,0.00017481009126640856,0.00010442204074934125,6.845634197816253e-05,3.0197622891137144e-06,2.2766469555790536e-05,0.0004933895543217659,0.00034004580811597407,8.551204518880695e-05,0.0005418241489678621,0.08444836735725403,0.2695385217666626,0.11808418482542038,-0.0840713381767273,-0.17592650651931763,4.254843711853027,0.0940951257944107,0.6896495819091797,0.5539805293083191,0.611939013004303,0.6032177805900574,0.5931365489959717,0.6517593860626221,0.7079649567604065,0.6079021096229553,0.7616650462150574,0.6937729120254517
2,0.2077125608921051,0.0,0.0,0.0,0.3311661183834076,0.0,0.0,0.18041206896305084,0.0,0.0,0.0,0.0,0.10746930539608002,0.0,0.0,0.0,0.16892604529857635,0.0,0.0,0.0043138740584254265,0.3111492097377777,0.0,0.0,0.0,0.4037539064884186,0.0,0.0,0.16684594750404358,0.0,0.0,0.0,0.0,0.07511113584041595,0.0,0.0,0.0,0.035653915256261826,0.0,0.0,0.007485867943614721,0.07307692617177963,0.08191616833209991,0.09308115392923355,0.7433133721351624,0.15577922761440277,0.18175895512104034,0.09636040031909943,0.8727931380271912,0.0003814722294919193,0.0002469361061230302,3.6024350265506655e-05,0.00025305282906629145,0.0001829398242989555,9.912322275340557e-05,4.21342929257662e-06,3.1548777769785374e-05,0.0007172682089731097,0.0004836204170715064,0.00012136151053709909,0.000785822921898216,0.09996520727872849,0.28069406747817993,0.08849646151065826,-0.08410878479480743,-0.17176233232021332,4.286609649658203,0.09576719999313354,0.9722921252250671,0.761443555355072,0.8886318206787109,0.8490424752235413,0.8435910940170288,0.9329360723495483,1.0073350667953491,0.857806921005249,1.07390296459198,0.9643068313598633
3,0.20726537704467773,0.0,0.0,0.0,0.33296874165534973,0.0,0.0,0.17305976152420044,0.0,0.0,0.0,0.0,0.10657376050949097,0.0,0.0,0.0,0.17574703693389893,0.0,0.0,0.004385350272059441,0.31501659750938416,0.0,0.0,0.0,0.39913520216941833,0.0,0.0,0.164083793759346,0.0,0.0,0.0,0.0,0.07259318977594376,0.0,0.0,0.0,0.0400787852704525,0.0,0.0,0.009092436172068119,0.07307692617177963,0.08694610744714737,0.0972059965133667,0.757684588432312,0.15759359300136566,0.19466999173164368,0.0856681615114212,0.8826174139976501,0.0005274574505165219,0.0003159872139804065,4.593536868924275e-05,0.0003247670247219503,0.00023175738169811666,0.00012708411668427289,5.391886588768102e-06,3.8232788938330486e-05,0.0009202247019857168,0.0006173137226141989,0.00015560087922494859,0.0010325537296012044,0.1042567566037178,0.28668978810310364,0.0859072282910347,-0.0837496966123581,-0.16203154623508453,4.271949768066406,0.08580350875854492,1.2577450275421143,1.0124865770339966,1.1165951490402222,1.1104599237442017,1.0588526725769043,1.1471829414367676,1.2825427055358887,1.1035157442092896,1.3346387147903442,1.2353858947753906
4,0.20521026849746704,0.0,0.0,0.0,0.3289602994918823,0.0,0.0,0.1683327704668045,0.0,0.0,0.0,0.0,0.11389759927988052,0.0,0.0,0.0,0.17935359477996826,0.0,0.0,0.004245394840836525,0.3091419041156769,0.0,0.0,0.0,0.4004988968372345,0.0,0.0,0.16791659593582153,0.0,0.0,0.0,0.0,0.07722963392734528,0.0,0.0,0.0,0.035670943558216095,0.0,0.0,0.009542031213641167,0.06730769574642181,0.09113772213459015,0.09830212593078613,0.761277437210083,0.1376216560602188,0.1999729722738266,0.08279011398553848,0.8959963321685791,0.0006496496498584747,0.0003798072866629809,5.4787713452242315e-05,0.000396516639739275,0.0003054228436667472,0.00015249646094162017,6.455393304349855e-06,4.5934739318909124e-05,0.0011490926844999194,0.0007422871422022581,0.00018629874102771282,0.0012469504727050662,0.10555350035429001,0.2974811792373657,0.08021041750907898,-0.08350592851638794,-0.15980279445648193,4.2707390785217285,0.08919338136911392,1.4711114168167114,1.2212284803390503,1.351606845855713,1.3104273080825806,1.2812660932540894,1.3796262741088867,1.5354886054992676,1.2885292768478394,1.641229510307312,1.464313268661499
5,0.20547765493392944,0.0,0.0,0.0,0.3261640667915344,0.0,0.0,0.160940483212471,0.0,0.0,0.0,0.0,0.11548697203397751,0.0,0.0,0.0,0.18754719197750092,0.0,0.0,0.004383706953376532,0.30300435423851013,0.0,0.0,0.0,0.3975500762462616,0.0,0.0,0.1710299551486969,0.0,0.0,0.0,0.0,0.08036144077777863,0.0,0.0,0.0,0.03806552290916443,0.0,0.0,0.009988654404878616,0.08269231021404266,0.09149700403213501,0.10438202321529388,0.768862247467041,0.11184944212436676,0.18999242782592773,0.08840308338403702,0.9041426777839661,0.0007698311819694936,0.00043564580846577883,6.365455919876695e-05,0.0004596178769133985,0.0003580491757020354,0.00017509295139461756,7.517963240388781e-06,5.2284372941358015e-05,0.0014546760357916355,0.0008517132373526692,0.00021731470769736916,0.0014531598426401615,0.11132968962192535,0.30740106105804443,0.05230056494474411,-0.08261135220527649,-0.17222380638122559,4.244022846221924,0.09180743247270584,1.6734535694122314,1.3685318231582642,1.5648362636566162,1.520799994468689,1.541308045387268,1.5272060632705688,1.7139806747436523,1.538954734802246,1.9285781383514404,1.7435855865478516
6,0.20429301261901855,0.0,0.0,0.0,0.32859864830970764,0.0,0.0,0.15573523938655853,0.0,0.0,0.0,0.0,0.10757021605968475,0.0,0.0,0.0,0.20005284249782562,0.0,0.0,0.003750008763745427,0.30000796914100647,0.0,0.0,0.0,0.39210042357444763,0.0,0.0,0.1713617593050003,0.0,0.0,0.0,0.0,0.08453832566738129,0.0,0.0,0.0,0.041990168392658234,0.0,0.0,0.010001328773796558,0.07500000298023224,0.09457086026668549,0.11264669895172119,0.7704590559005737,0.08256339281797409,0.18998226523399353,0.08112209290266037,0.9118648171424866,0.0009323725244030356,0.0004955024924129248,7.133217877708375e-05,0.0005082792486064136,0.0004121513047721237,0.00019866644288413227,8.209318366425578e-06,5.438197331386618e-05,0.00180037971585989,0.0009730603196658194,0.0002454919449519366,0.0016652534250169992,0.11919597536325455,0.3113596737384796,0.06261347234249115,-0.08135785907506943,-0.16752973198890686,4.1593403816223145,0.10693830996751785,1.877424716949463,1.5068762302398682,1.7161521911621094,1.6972370147705078,1.669133186340332,1.703474998474121,1.9616670608520508,1.7082505226135254,2.2103729248046875,1.981793999671936
7,0.20618994534015656,0.0,0.0,0.0,0.32841071486473083,0.0,0.0,0.1590503454208374,0.0,0.0,0.0,0.0,0.09597600996494293,0.0,0.0,0.0,0.20694765448570251,0.0,0.0,0.003425368806347251,0.29990553855895996,0.0,0.0,0.0,0.38818657398223877,0.0,0.0,0.17304334044456482,0.0,0.0,0.0,0.0,0.08304806798696518,0.0,0.0,0.0,0.04366020858287811,0.0,0.0,0.012156288139522076,0.07692307978868484,0.09449101984500885,0.1149563118815422,0.7750498652458191,0.09513776004314423,0.1774044781923294,0.07425996661186218,0.9007400274276733,0.0011142869479954243,0.0005620433948934078,7.855368312448263e-05,0.0005469683092087507,0.0005037258379161358,0.0002249462268082425,9.018917808134574e-06,5.9985595726175234e-05,0.0022385003976523876,0.001106592477299273,0.000273630692390725,0.0018837276147678494,0.12139278650283813,0.3063335120677948,0.09939980506896973,-0.0809435024857521,-0.16451390087604523,4.11696195602417,0.11351948976516724,2.1482903957366943,1.6913743019104004,1.87399423122406,1.9209657907485962,1.8547500371932983,1.916143774986267,2.173902988433838,1.947756290435791,2.535937786102295,2.2261948585510254
8,0.19939835369586945,0.0,0.0,0.0,0.3321881890296936,0.0,0.0,0.1587369740009308,0.0,0.0,0.0,0.0,0.09763815999031067,0.0,0.0,0.0,0.2087075561285019,0.0,0.0,0.0033307550475001335,0.3042623996734619,0.0,0.0,0.0,0.38655081391334534,0.0,0.0,0.17031438648700714,0.0,0.0,0.0,0.0,0.08080976456403732,0.0,0.0,0.0,0.04468366503715515,0.0,0.0,0.013378960080444813,0.08076923340559006,0.09497006237506866,0.11559800803661346,0.7738522887229919,0.09584955871105194,0.17088748514652252,0.07114531099796295,0.9004802107810974,0.0013539146166294813,0.0006257146596908569,8.513618377037346e-05,0.000596334517467767,0.0005161145818419755,0.0002508398029021919,9.689791113487445e-06,6.265875708777457e-05,0.002938629826530814,0.001256168819963932,0.00030201574554666877,0.0021016160026192665,0.12200751900672913,0.3096611499786377,0.1234358623623848,-0.0793856829404831,-0.18009063601493835,4.047660827636719,0.12442255020141602,2.3497166633605957,1.8557155132293701,2.0673935413360596,2.1080758571624756,2.033379316329956,2.130436420440674,2.429699420928955,2.1086788177490234,2.8861231803894043,2.4549314975738525
9,0.19561593234539032,0.0,0.0,0.0,0.3336951434612274,0.0,0.0,0.1728581339120865,0.0,0.0,0.0,0.0,0.10837428271770477,0.0,0.0,0.0,0.18635879456996918,0.0,0.0,0.0030977879650890827,0.2964918613433838,0.0,0.0,0.0,0.38802775740623474,0.0,0.0,0.17120763659477234,0.0,0.0,0.0,0.0,0.08434046059846878,0.0,0.0,0.0,0.04577849805355072,0.0,0.0,0.014153789728879929,0.08653846383094788,0.0963672623038292,0.12089388817548752,0.7746506929397583,0.08969437330961227,0.15805894136428833,0.06583354622125626,0.8625181317329407,0.001683257520198822,0.0007086240220814943,9.163167851511389e-05,0.0006498049478977919,0.0005749344709329307,0.0002819501096382737,1.0098259735968895e-05,6.584449874935672e-05,0.00365870981477201,0.0014397935010492802,0.0003319747047498822,0.0023629728239029646,0.12702515721321106,0.2978167235851288,0.15735234320163727,-0.07711686193943024,-0.19101662933826447,3.9681520462036133,0.13824421167373657,2.563542366027832,2.0148348808288574,2.239138603210449,2.359652280807495,2.177070379257202,2.298609495162964,2.667288303375244,2.258916139602661,3.276731252670288,2.6055214405059814
