step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,6.5411696434021,3.9995055198669434,4.454814910888672,6.534994125366211,8.807985305786133,6.533277150608188,0.09544780105352402,0.9993709325790405,0.9995498061180115,0.9996486306190491,0.9991183876991272,0.9996027946472168,0.00013625477731693536,9.152873826678842e-05,1.3460629816108849e-05,9.283658437198028e-05,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,6.541170120239258,3.9995052814483643,4.45481538772583,6.534994602203369,8.807984352111816,6.533277153337335,0.09544778615236282,0.999370813369751,0.9995497465133667,0.9996486306190491,0.9991185069084167,0.9996029734611511,0.0013625476276502013,0.0009152873535640538,0.00013460626360028982,0.0009283660328947008,0.07102446258068085,-0.08553784340620041,-0.2140486240386963,3.638474225997925,3.0079729557037354,3.541257381439209,3.065235137939453,3.1532270908355713,3.6386449337005615,3.682446002960205,3.272111415863037,4.139597415924072,3.6455564498901367,3.478452444076538,3.454129934310913,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426,0.3478452265262604,0.3454129993915558
1,6.456924915313721,4.012651443481445,4.370457172393799,6.465165138244629,8.663854598999023,6.45398284451891,0.09399216622114182,0.9996405243873596,0.9999890327453613,0.9997738599777222,0.9994581341743469,0.9998886585235596,0.00025288795586675406,0.00017495504289399832,2.552821570134256e-05,0.000178957125172019,0.11836549639701843,-0.0843018889427185,-0.17501208186149597,6.240405559539795,3.9547338485717773,4.239444732666016,6.259078502655029,8.296210289001465,6.2315032899723715,0.10162517428398132,0.9990924596786499,0.9995207190513611,0.999636173248291,0.998553454875946,0.9996221661567688,0.0013490685960277915,0.0009471803205087781,0.0001396079023834318,0.0010128619614988565,0.16791678965091705,-0.08223695307970047,-0.19177384674549103,3.7327003479003906,2.9210705757141113,3.041067600250244,3.378112316131592,3.196737289428711,3.352424383163452,3.8660900592803955,3.2203173637390137,3.9964680671691895,3.760944128036499,3.4465930461883545,3.420703887939453,0.6982134580612183,0.5603447556495667,0.6192424893379211,0.6111032366752625,0.6008556485176086,0.6598632335662842,0.7157111167907715,0.6146597266197205,0.7705535888671875,0.7028448581695557,0.6553391814231873,0.6504729390144348
2,6.4865522384643555,3.907667875289917,4.354978561401367,6.501824855804443,8.649020195007324,6.484392387236027,0.09593039005994797,0.9997137784957886,0.999409019947052,0.9995653033256531,0.9997378587722778,0.9998748898506165,0.0003673833271022886,0.0002501426497474313,3.7049412640044466e-05,0.0002655302232597023,0.08715741336345673,-0.08488178253173828,-0.17056147754192352,6.366698265075684,3.697258234024048,4.252935409545898,6.388903617858887,8.379105567932129,6.359410858309083,0.10200607031583786,0.9994390606880188,0.9996261596679688,0.9997304081916809,0.9990869760513306,0.9998612999916077,0.0014192103408277035,0.0009552016854286194,0.00014600773283746094,0.0010539593640714884,0.03701125457882881,-0.08414330333471298,-0.19736157357692719,3.786970376968384,2.8306305408477783,3.6266233921051025,3.2915456295013428,3.32132887840271,3.7205848693847656,3.9556188583374023,3.326798677444458,4.162998199462891,3.6418466567993164,3.5664947032928467,3.5415823459625244,1.0028622150421143,0.7841013073921204,0.9168859124183655,0.875840961933136,0.8704230785369873,0.9633092284202576,1.0376768112182617,0.8834729194641113,1.1075247526168823,0.9947492480278015,0.9436846971511841,0.9369481205940247
3,6.484165191650391,3.9414515495300293,4.310786247253418,6.51277494430542,8.533430099487305,6.482456995133949,0.08517570793628693,0.9997571110725403,0.998988151550293,0.9996709227561951,0.9997518062591553,0.9999145269393921,0.0004590860044118017,0.0003195639292243868,4.864880975219421e-05,0.0003537860175129026,0.08334705978631973,-0.08526460826396942,-0.1671294867992401,6.162527561187744,3.818174123764038,4.099984169006348,6.192229747772217,7.820062160491943,6.153145178147392,0.08100326359272003,0.9993244409561157,0.99964439868927,0.9996150732040405,0.9989572167396545,0.9997333884239197,0.0016383323818445206,0.0010022404603660107,0.00016130827134475112,0.001149026327766478,0.0960826575756073,-0.08268697559833527,-0.20445920526981354,4.339543342590332,3.7348411083221436,3.6194586753845215,3.9448325634002686,3.41191029548645,3.5210072994232178,4.260185718536377,3.7723937034606934,4.1655426025390625,4.212306499481201,3.8982021808624268,3.860473871231079,1.3330392837524414,1.0745458602905273,1.1837067604064941,1.178335189819336,1.120027780532837,1.2152143716812134,1.3567160367965698,1.1669279336929321,1.4094003438949585,1.3123645782470703,1.2350279092788696,1.2250171899795532
4,6.504772186279297,3.933314323425293,4.335282325744629,6.537109851837158,8.33316707611084,6.5034174995116985,0.08846540749073029,0.9997924566268921,0.9987361431121826,0.9997129440307617,0.9997855424880981,0.9999403953552246,0.0005709165707230568,0.00038049521390348673,5.998435881338082e-05,0.00045606560888700187,0.07570835202932358,-0.08628212660551071,-0.16982461512088776,6.2056379318237305,3.7039995193481445,4.282390594482422,6.2210774421691895,7.436781406402588,6.191035027858216,0.11074931919574738,0.9994503259658813,0.9972565174102783,0.9997342228889465,0.9990923404693604,0.9998995065689087,0.001629257807508111,0.000982934609055519,0.00016645407595206052,0.0012656701728701591,0.0829552486538887,-0.08631280809640884,-0.1965210735797882,4.168638229370117,3.8320956230163574,4.269425392150879,3.8414676189422607,4.0269293785095215,4.282431602478027,4.664338111877441,3.627469062805176,5.363576889038086,4.347100734710693,4.242347240447998,4.213923454284668,1.6110035181045532,1.3430542945861816,1.4859516620635986,1.4384490251541138,1.404034972190857,1.5162458419799805,1.6815717220306396,1.4069571495056152,1.7956615686416626,1.6104316711425781,1.5293362140655518,1.5174815654754639
5,6.512078762054443,3.8613548278808594,4.3826584815979,6.509819030761719,8.12604808807373,6.510867300499424,0.09068397432565689,0.9998062252998352,0.999516487121582,0.9997255206108093,0.9998197555541992,0.9998700618743896,0.0007061210344545543,0.00043934304267168045,7.287970220204443e-05,0.000554655387531966,0.04155152291059494,-0.08683216571807861,-0.187535360455513,6.0410966873168945,3.3137407302856445,4.293896675109863,5.938413143157959,7.081623554229736,6.035905660367189,0.14237374067306519,0.9995235204696655,0.9998613595962524,0.9995786547660828,0.9994814991950989,0.9995402693748474,0.002124098828062415,0.0010416613658890128,0.00019421579781919718,0.0014687232905998826,0.14057078957557678,-0.08423634618520737,-0.24393092095851898,4.668156623840332,3.613452434539795,4.660278797149658,4.5952467918396,5.108458042144775,3.863011360168457,4.37595796585083,5.021852493286133,5.85127592086792,5.694577217102051,4.745226860046387,4.72873067855835,1.9078102111816406,1.5625121593475342,1.7938987016677856,1.7443512678146362,1.763729453086853,1.7393114566802979,1.941024899482727,1.7585572004318237,2.192781686782837,2.0094759464263916,1.841345191001892,1.8274797201156616
6,6.510496139526367,3.7638418674468994,4.3469696044921875,6.508127689361572,7.981775760650635,6.509408834398882,0.1056576520204544,0.9998215436935425,0.9997225999832153,0.999677836894989,0.999826192855835,0.9999411702156067,0.0008502660202793777,0.0004944169777445495,8.607853669673204e-05,0.0006313797784969211,0.04150199890136719,-0.08759940415620804,-0.1800907552242279,5.810308456420898,3.334359645843506,3.9435017108917236,5.749721050262451,6.760116100311279,5.8058263657572216,0.16169430315494537,0.9996276497840881,0.9999476671218872,0.9996671080589294,0.999485433101654,0.999782919883728,0.002560436725616455,0.0011462582042440772,0.0002192943647969514,0.0016889245016500354,0.08251629024744034,-0.08574943989515305,-0.19981534779071808,5.439194679260254,4.089046478271484,4.52412748336792,4.860124588012695,3.982545852661133,4.793959140777588,5.898035526275635,4.685763359069824,6.5293049812316895,6.131002426147461,5.093310832977295,5.084705352783203,2.2468087673187256,1.8031007051467896,2.0520856380462646,2.0427966117858887,1.9735145568847656,2.0327701568603516,2.322115421295166,2.037677764892578,2.6118781566619873,2.4075443744659424,2.153029203414917,2.1399178504943848
7,6.579790115356445,3.716123104095459,4.355838298797607,6.552210330963135,7.925360679626465,6.578571500682336,0.11070162057876587,0.9998071193695068,0.9985034465789795,0.9996654987335205,0.99983149766922,0.9999203681945801,0.0010496665490791202,0.0005510018090717494,0.00010168759763473645,0.0007542259991168976,0.05414801090955734,-0.08906368911266327,-0.16620975732803345,5.756982803344727,3.460737466812134,3.9841041564941406,5.621557235717773,6.524438381195068,5.75408767598195,0.13959309458732605,0.9996891617774963,0.9995383024215698,0.9996580481529236,0.9995497465133667,0.99986332654953,0.003072315128520131,0.0013121863594278693,0.00025827527861110866,0.002153482986614108,0.12445321679115295,-0.08581472933292389,-0.21758651733398438,7.38538122177124,5.48332405090332,5.366065979003906,6.435787677764893,5.435382843017578,6.125514507293701,6.176795482635498,6.626293182373047,8.141341209411621,7.481077671051025,6.465696811676025,6.432074069976807,2.73952054977417,2.153292655944824,2.363450288772583,2.4627466201782227,2.3007636070251465,2.4226396083831787,2.6833574771881104,2.4740450382232666,3.144110918045044,2.8915011882781982,2.5635430812835693,2.549921989440918
8,6.379936695098877,3.7614781856536865,4.282487392425537,6.342667102813721,7.405688285827637,6.3786906368198855,0.11853030323982239,0.9998018741607666,0.9995419979095459,0.9996633529663086,0.9998603463172913,0.9998111724853516,0.0012464594328776002,0.0006190931308083236,0.00011994918168056756,0.0009729581070132554,0.04863347113132477,-0.08914023637771606,-0.1718796044588089,4.974338531494141,3.7948803901672363,3.586211681365967,4.896548748016357,5.371386528015137,4.970819384519545,0.14804962277412415,0.9993879199028015,0.9999340176582336,0.9996506571769714,0.9996634721755981,0.9990676045417786,0.0029728736262768507,0.0015432160580530763,0.00029852837906219065,0.0031649742741137743,0.08695068955421448,-0.07866666465997696,-0.23462118208408356,7.518523216247559,6.248452663421631,7.048346042633057,6.898190975189209,6.218033790588379,7.3265604972839355,7.720437526702881,6.38539457321167,9.738065719604492,8.9136381149292,7.401564121246338,7.335481643676758,3.1911568641662598,2.538257598876953,2.8055825233459473,2.8813846111297607,2.6647698879241943,2.8889806270599365,3.155301332473755,2.8415539264678955,3.7737677097320557,3.4594953060150146,3.0200250148773193,3.0044829845428467
9,5.974091053009033,3.8537368774414062,4.0732316970825195,5.947632789611816,6.687139511108398,5.972922135925755,0.1269269734621048,0.9997898936271667,0.9996313452720642,0.999706506729126,0.999843180179596,0.9997714161872864,0.0014211995294317603,0.0007194379577413201,0.0001435493613826111,0.001269082771614194,0.054881032556295395,-0.0873040109872818,-0.1852739155292511,4.334860801696777,4.169067859649658,3.072146415710449,4.255654811859131,4.620568752288818,4.331499002819801,0.16563019156455994,0.9992603659629822,0.9997696280479431,0.9996941089630127,0.9997129440307617,0.9988348484039307,0.0033623315393924713,0.002012173645198345,0.00037027682992629707,0.004893159028142691,0.2478828728199005,-0.06779025495052338,-0.26773715019226074,9.05556869506836,7.402191638946533,8.29712200164795,9.538999557495117,6.8732590675354,7.985846519470215,8.254173278808594,7.467023849487305,12.083990097045898,9.647477149963379,8.660565376281738,8.553898811340332,3.741854190826416,2.9963648319244385,3.317734479904175,3.5141661167144775,3.0502939224243164,3.3691208362579346,3.628990650177002,3.2686855792999268,4.565517902374268,4.030407905578613,3.548313856124878,3.5277013778686523
