step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,6.5411696434021,3.9995055198669434,4.454814910888672,6.534994125366211,8.807985305786133,6.533277150608188,0.09544780105352402,0.9993709325790405,0.9995498061180115,0.9996486306190491,0.9991183876991272,0.9996027946472168,0.00013625477731693536,9.152873826678842e-05,1.3460629816108849e-05,9.283658437198028e-05,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,6.541170120239258,3.9995052814483643,4.45481538772583,6.534994602203369,8.807984352111816,6.533277153337335,0.09544778615236282,0.999370813369751,0.9995497465133667,0.9996486306190491,0.9991185069084167,0.9996029734611511,0.0013625476276502013,0.0009152873535640538,0.00013460626360028982,0.0009283660328947008,0.07102446258068085,-0.08553784340620041,-0.2140486240386963,3.638474225997925,3.0079729557037354,3.541257381439209,3.065235137939453,3.1532270908355713,3.6386449337005615,3.682446002960205,3.272111415863037,4.139597415924072,3.6455564498901367,3.478452444076538,3.454129934310913,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426,0.3478452265262604,0.3454129993915558
1,6.418695449829102,4.036169528961182,4.3577070236206055,6.429180145263672,8.616594314575195,6.415326904011648,0.09397844970226288,0.9995871782302856,0.9999139308929443,0.9996387362480164,0.9994450211524963,0.9998543858528137,0.00024785258574411273,0.0001739743020152673,2.5252398700104095e-05,0.000175926586962305,0.11794862151145935,-0.08402510732412338,-0.17507997155189514,6.168548583984375,4.004218578338623,4.216031551361084,6.190242767333984,8.20730209350586,6.159478670397318,0.10193751007318497,0.9991029500961304,0.999163031578064,0.9997096657752991,0.9984720349311829,0.9997892379760742,0.0013158234069123864,0.0009364384459331632,0.000137324896058999,0.0009863245068117976,0.1684446930885315,-0.08164601027965546,-0.19297239184379578,3.637073040008545,2.855046272277832,2.9608993530273438,3.290783166885376,3.109689474105835,3.260488748550415,3.7828688621520996,3.1379382610321045,3.8918004035949707,3.665381669998169,3.359196901321411,3.3330912590026855,0.6886628270149231,0.5538151860237122,0.6112650632858276,0.602329432964325,0.592205822467804,0.6506974101066589,0.7073923945426941,0.6064996123313904,0.7600809335708618,0.6933444142341614,0.646629273891449,0.6417371034622192
2,6.378427982330322,3.9232165813446045,4.321315288543701,6.396185874938965,8.529035568237305,6.376449395879776,0.09538686275482178,0.9997455477714539,1.0,0.9996916651725769,0.9997337460517883,0.9998393654823303,0.00036578872823156416,0.00024782735272310674,3.6033743526786566e-05,0.0002580464642960578,0.0871788039803505,-0.08402153849601746,-0.17151212692260742,6.161374092102051,3.7071874141693115,4.190784931182861,6.189807891845703,8.159224510192871,6.154210532603409,0.10073240101337433,0.999407172203064,0.9997596144676208,0.9996240735054016,0.9990873336791992,0.999860942363739,0.0013909636763855815,0.0009293357143178582,0.00013803310866933316,0.0009757242514751852,0.03735879436135292,-0.08232241123914719,-0.19756938517093658,3.525259494781494,2.649134635925293,3.3747029304504395,3.0585315227508545,3.091764450073242,3.4500629901885986,3.6882200241088867,3.0928688049316406,3.859929323196411,3.4016218185424805,3.319209337234497,3.2929184436798096,0.968475341796875,0.7605211138725281,0.8848516941070557,0.8449386954307556,0.8398522138595581,0.9282501935958862,1.003697395324707,0.8531810641288757,1.067968726158142,0.9625195860862732,0.9114255905151367,0.9045138359069824
3,6.3031816482543945,4.0304341316223145,4.270873069763184,6.329733371734619,8.343934059143066,6.301944104645265,0.08526729047298431,0.9998127818107605,0.9995187520980835,0.9997397661209106,0.999800443649292,0.9999561309814453,0.0004532385210040957,0.00031094765290617943,4.6109602408250794e-05,0.00033324025571346283,0.08384478837251663,-0.08377353847026825,-0.164185032248497,5.897477149963379,4.195655822753906,4.076906681060791,5.930262565612793,7.534846782684326,5.889912954832967,0.08259136974811554,0.9993225932121277,0.9995505809783936,0.9996310472488403,0.9989034533500671,0.9998631477355957,0.0014141971478238702,0.0009328780579380691,0.0001434983714716509,0.0009640431380830705,0.0975552350282669,-0.08018100261688232,-0.20183642208576202,3.7955269813537598,3.285916566848755,3.142948865890503,3.430163860321045,2.964303493499756,3.055004119873047,3.723325729370117,3.2742443084716797,3.620318651199341,3.6696600914001465,3.3961410522460938,3.3597474098205566,1.24860417842865,1.010035753250122,1.1079598665237427,1.1002020835876465,1.0486729145050049,1.1377602815628052,1.272820234298706,1.0914316177368164,1.3197014331817627,1.230309009552002,1.1567497253417969,1.1466069221496582
4,6.224569797515869,4.062866687774658,4.248804092407227,6.25747013092041,8.115801811218262,6.223080872962677,0.08770808577537537,0.9997711181640625,0.9996523261070251,0.9997181296348572,0.9997596144676208,0.9998722672462463,0.0005319115589372814,0.00037042557960376143,5.4841326345922425e-05,0.00040394190000370145,0.07821110635995865,-0.0837540403008461,-0.16224873065948486,5.770687580108643,4.110255241394043,4.111788272857666,5.806427955627441,7.151606559753418,5.750825414565408,0.11029387265443802,0.999323844909668,0.9999616146087646,0.9997208714485168,0.9989027380943298,0.9997277855873108,0.0012656814651563764,0.0009295408963225782,0.00013744100579060614,0.0010059851920232177,0.08258770406246185,-0.08159106224775314,-0.1863403022289276,3.337628126144409,3.1038196086883545,3.4242405891418457,3.0613749027252197,3.2044687271118164,3.409761905670166,3.7557339668273926,2.8758325576782227,4.263257026672363,3.4973888397216797,3.393350601196289,3.363795280456543,1.454050064086914,1.214758038520813,1.3356037139892578,1.2923390865325928,1.2600882053375244,1.3611247539520264,1.5167510509490967,1.2659472227096558,1.6069613695144653,1.453689694404602,1.376131296157837,1.3639252185821533
5,6.144757270812988,4.058490753173828,4.238791465759277,6.156172752380371,7.914468765258789,6.143567290391058,0.08804427832365036,0.9998131394386292,0.999966025352478,0.9996703267097473,0.9998315572738647,0.9999414086341858,0.0006194816087372601,0.0004218798130750656,6.330887845251709e-05,0.00046113511780276895,0.050991643220186234,-0.08337895572185516,-0.17400380969047546,5.579975128173828,3.747715950012207,4.080352783203125,5.51782751083374,6.88066291809082,5.573975825564271,0.13957135379314423,0.9995587468147278,0.9993079900741577,0.9997072815895081,0.9993230700492859,0.9999063611030579,0.0014940183609724045,0.000932564027607441,0.0001444142108084634,0.0010468909749761224,0.11823800951242447,-0.078983835875988,-0.22088786959648132,3.410379648208618,2.6745126247406006,3.3675754070281982,3.301541566848755,3.7112083435058594,2.7833173274993896,3.1755199432373047,3.6196184158325195,4.202796459197998,4.150397300720215,3.4396870136260986,3.418564796447754,1.6447594165802002,1.3561909198760986,1.5338819026947021,1.4874818325042725,1.49860417842865,1.495820164680481,1.6764938831329346,1.495304822921753,1.8603401184082031,1.7180533409118652,1.5766931772232056,1.5622400045394897
6,6.043406963348389,4.067203521728516,4.179942607879639,6.05259370803833,7.7397589683532715,6.042475098433888,0.09983424097299576,0.9998384118080139,0.9997259974479675,0.9997205138206482,0.9998360276222229,0.9999889731407166,0.0006876337574794888,0.0004672418290283531,7.096715125953779e-05,0.0005152254016138613,0.05487814545631409,-0.08283728361129761,-0.16794466972351074,5.352078437805176,4.06353235244751,3.8856360912323,5.330380439758301,6.601584434509277,5.3468043414328745,0.15798690915107727,0.9995392560958862,0.9999951124191284,0.9996415972709656,0.9993926882743835,0.999712347984314,0.0015448068734258413,0.0009266595588997006,0.0001450372365070507,0.0010118959471583366,0.08924548327922821,-0.0779968872666359,-0.1848497986793518,3.5596630573272705,2.7295331954956055,2.955225706100464,3.1365108489990234,2.6073007583618164,3.1108033657073975,3.847287654876709,3.0448222160339355,4.2432861328125,3.9688339233398438,3.320326566696167,3.304325819015503,1.8299213647842407,1.4868748188018799,1.6683346033096313,1.6457912921905518,1.6025108098983765,1.6511574983596802,1.8870583772659302,1.6420413255691528,2.0875656604766846,1.9353810548782349,1.7436637878417969,1.7288236618041992
7,6.052005290985107,4.072307586669922,4.209071159362793,6.045260906219482,7.722513675689697,6.050863947862139,0.10249315947294235,0.9998046159744263,0.9988608956336975,0.9997755885124207,0.9998489618301392,0.9997803568840027,0.000776078028138727,0.0005079588736407459,7.835917494958267e-05,0.0005668761441484094,0.04462826997041702,-0.08327926695346832,-0.16020818054676056,5.618933200836182,3.9415645599365234,4.2458906173706055,5.535843372344971,6.830389022827148,5.613237397244875,0.1342259645462036,0.9995854496955872,0.9996519684791565,0.9998162984848022,0.9993212819099426,0.9998903274536133,0.0019471262348815799,0.0009516425780020654,0.0001495833130320534,0.0010277705732733011,0.1229768618941307,-0.08122198283672333,-0.19818463921546936,4.301882743835449,3.2456793785095215,3.0840141773223877,3.695246458053589,3.17511248588562,3.5471179485321045,3.5318379402160645,3.795128345489502,4.668942451477051,4.237679958343506,3.728264331817627,3.703505754470825,2.0673828125,1.65430748462677,1.8002448081970215,1.840961217880249,1.7506996393203735,1.8312245607376099,2.041445732116699,1.8456451892852783,2.3319077491760254,2.1521553993225098,1.9315975904464722,1.9157404899597168
8,5.952426910400391,4.119968891143799,4.195394515991211,5.930410385131836,7.495268821716309,5.951316621408245,0.1082000657916069,0.9998053908348083,0.9999852776527405,0.9995806813240051,0.9998515248298645,0.9999459385871887,0.0008626680937595665,0.0005439324304461479,8.515503577655181e-05,0.00061006163014099,0.04502507671713829,-0.08310823142528534,-0.16393902897834778,5.115522384643555,3.953141450881958,3.974076271057129,5.043320178985596,6.047304630279541,5.111601090290005,0.14250676333904266,0.999548077583313,0.999988317489624,0.9996325373649597,0.9994267821311951,0.9996814727783203,0.0018906699260696769,0.0009718664223328233,0.00014882728282827884,0.0010535914916545153,0.06347700953483582,-0.07686002552509308,-0.20948070287704468,3.874418020248413,3.2344236373901367,3.5230553150177,3.5368435382843018,3.1963717937469482,3.6945149898529053,3.928875207901001,3.255511522293091,5.010343551635742,4.30964469909668,3.7564003467559814,3.7238667011260986,2.236229658126831,1.8004300594329834,1.959538459777832,1.9982514381408691,1.8825098276138306,2.0060558319091797,2.2173757553100586,1.9749714136123657,2.5805044174194336,2.348388195037842,2.1004254817962646,2.0834877490997314
9,5.786092758178711,4.154214382171631,4.160420894622803,5.741794586181641,7.177229404449463,5.785268833628053,0.11568506807088852,0.999825119972229,0.9989944696426392,0.9996797442436218,0.9998701810836792,0.9999128580093384,0.0010410513496026397,0.0005805512191727757,9.24079431570135e-05,0.0006715959752909839,0.05302095785737038,-0.08236490190029144,-0.161277174949646,4.707934856414795,4.18272590637207,3.834811210632324,4.581112384796143,5.496962547302246,4.70583868770533,0.1760101467370987,0.9997028708457947,0.999255359172821,0.9996845126152039,0.9995830655097961,0.9999482035636902,0.0021311535965651274,0.0010711739305406809,0.00015695113688707352,0.001142803463153541,0.23527412116527557,-0.07227078080177307,-0.2051170915365219,4.179207801818848,3.3498504161834717,3.5279152393341064,4.296175479888916,3.0653231143951416,3.472867250442505,3.853348970413208,3.2835326194763184,5.536977767944336,3.970750093460083,3.853595018386841,3.827442169189453,2.416060209274292,1.9420400857925415,2.1012980937957764,2.213346004486084,1.986673355102539,2.1385912895202637,2.364985227584839,2.090954065322876,2.852799415588379,2.482844591140747,2.2589592933654785,2.240805149078369
