step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.10621192306280136,0.0,0.0,0.0,0.2124551385641098,0.0,0.0,0.22609606385231018,0.0,0.0,0.0,0.0,0.20095980167388916,0.0,0.0,0.0,0.19400934875011444,0.0,0.0,0.06026767939329147,0.2302527278661728,0.0,0.0,0.0,0.32493770122528076,0.0,0.0,0.20876486599445343,0.0,0.0,0.0,0.0,0.12422866374254227,0.0,0.0,0.0,0.07694454491138458,0.0,0.0,0.034871503710746765,0.23461538553237915,0.22371257841587067,0.18568290770053864,0.5590817928314209,0.5551872849464417,0.5090587735176086,0.3289673626422882,0.6834643483161926,0.00015966650971677154,9.240930376108736e-05,1.4133669537841342e-05,9.411526116309687e-05,6.029708310961723e-05,3.60466365236789e-05,1.9160615920554847e-06,1.1041413017665036e-05,0.00027759725344367325,0.0001824377104640007,4.678088953369297e-05,0.00029913787147961557,0.1922914683818817,0.4552195072174072,0.22673910856246948,-0.01712539978325367,-0.17382505536079407,2.5855307579040527,0.18125903606414795,0.1849956214427948,0.17849205434322357,0.1899312287569046,0.12191413342952728,0.17378732562065125,0.15041013062000275,0.23600120842456818,0.2337094098329544,0.22105538845062256,0.18651163578033447
1,0.11296555399894714,0.0,0.0,0.0,0.21485736966133118,0.0,0.0,0.2228536456823349,0.0,0.0,0.0,0.0,0.18134737014770508,0.0,0.0,0.0,0.21371781826019287,0.0,0.0,0.05425827577710152,0.21843548119068146,0.0,0.0,0.0,0.31807267665863037,0.0,0.0,0.19702982902526855,0.0,0.0,0.0,0.0,0.1286676675081253,0.0,0.0,0.0,0.0922846719622612,0.0,0.0,0.04550968483090401,0.2211538404226303,0.22187624871730804,0.22005993127822876,0.6117764115333557,0.5462779998779297,0.48063886165618896,0.32058754563331604,0.7170567512512207,0.00027726581902243197,0.00017306859081145376,2.6389419872430153e-05,0.00017992602079175413,0.0001305475743720308,6.873313395772129e-05,3.4606291592353955e-06,2.0539348042802885e-05,0.0004976136842742562,0.0003408225893508643,8.797582268016413e-05,0.0005627123173326254,0.2247193157672882,0.4493087828159332,0.22395700216293335,-0.020839622244238853,-0.21644821763038635,2.5619359016418457,0.16659849882125854,0.40998974442481995,0.33408501744270325,0.36796629428863525,0.26661416888237,0.31481948494911194,0.2821688652038574,0.4324581027030945,0.37618282437324524,0.463409960269928,0.37268829345703125
2,0.10721396654844284,0.0,0.0,0.0,0.21203237771987915,0.0,0.0,0.21111539006233215,0.0,0.0,0.0,0.0,0.18202775716781616,0.0,0.0,0.0,0.21488727629184723,0.0,0.0,0.07272328436374664,0.21051421761512756,0.0,0.0,0.0,0.3059943914413452,0.0,0.0,0.19653674960136414,0.0,0.0,0.0,0.0,0.13243414461612701,0.0,0.0,0.0,0.09380538016557693,0.0,0.0,0.06071510538458824,0.25,0.2289421111345291,0.24195007979869843,0.6568862199783325,0.6100254058837891,0.5025103092193604,0.3400174081325531,0.7347707152366638,0.0003871265798807144,0.000248933385591954,3.748594463104382e-05,0.0002581541775725782,0.00016832255641929805,9.859816054813564e-05,4.775594788952731e-06,2.9339104003156535e-05,0.0006959720049053431,0.0004940301878377795,0.00012485563638620079,0.0008017007494345307,0.24602627754211426,0.4696257412433624,0.17994007468223572,-0.0195640716701746,-0.16883522272109985,2.4890189170837402,0.1252863109111786,0.535969078540802,0.4364664554595947,0.49909383058547974,0.4188559055328369,0.4587361514568329,0.4429469108581543,0.6038946509361267,0.5230554342269897,0.6061089634895325,0.5316659808158875
3,0.09501682966947556,0.0,0.0,0.0,0.19911441206932068,0.0,0.0,0.20960822701454163,0.0,0.0,0.0,0.0,0.18222416937351227,0.0,0.0,0.0,0.23598681390285492,0.0,0.0,0.07804957777261734,0.2042081207036972,0.0,0.0,0.0,0.30643293261528015,0.0,0.0,0.18946735560894012,0.0,0.0,0.0,0.0,0.12859396636486053,0.0,0.0,0.0,0.10388024896383286,0.0,0.0,0.06741739064455032,0.26923078298568726,0.24235528707504272,0.2550511956214905,0.681237518787384,0.5940739512443542,0.5366513133049011,0.35189419984817505,0.7879735231399536,0.00045125139877200127,0.0003113203274551779,4.7509707655990496e-05,0.0003281522076576948,0.00021302231471054256,0.00012297602370381355,5.9643698477884755e-06,3.804604057222605e-05,0.0008484409772790968,0.0006221149815246463,0.00015790376346558332,0.0010248275939375162,0.2592836618423462,0.4962521195411682,0.24418388307094574,-0.0163746140897274,-0.16917186975479126,2.496074914932251,0.10414622724056244,0.7014563083648682,0.5462009906768799,0.6041837334632874,0.5868191123008728,0.5340256094932556,0.5849028825759888,0.7203592658042908,0.6753525733947754,0.7125687599182129,0.6475314497947693
4,0.08982984721660614,0.0,0.0,0.0,0.2053142786026001,0.0,0.0,0.2084607183933258,0.0,0.0,0.0,0.0,0.182611346244812,0.0,0.0,0.0,0.23970361053943634,0.0,0.0,0.0740802213549614,0.20046348869800568,0.0,0.0,0.0,0.3110838532447815,0.0,0.0,0.18642309308052063,0.0,0.0,0.0,0.0,0.1288912445306778,0.0,0.0,0.0,0.10344983637332916,0.0,0.0,0.06968848407268524,0.27115383744239807,0.24770459532737732,0.2588714361190796,0.6970059871673584,0.6271635293960571,0.5415802597999573,0.3406648635864258,0.7943353652954102,0.0005358569324016571,0.00036812445614486933,5.7376953918719664e-05,0.0003987257368862629,0.00027019091066904366,0.0001454246958019212,7.288593678822508e-06,4.490114952204749e-05,0.0010546378325670958,0.0007347531500272453,0.00018930391524918377,0.0012641658540815115,0.26332932710647583,0.4963885247707367,0.23321136832237244,-0.017759816721081734,-0.12041650712490082,2.513902187347412,0.09819897264242172,0.8265710473060608,0.6204203963279724,0.7163037657737732,0.739460825920105,0.6689763069152832,0.7225270867347717,0.8649675250053406,0.8054807782173157,0.8362925052642822,0.7861633896827698
5,0.09661205112934113,0.0,0.0,0.0,0.21310080587863922,0.0,0.0,0.20955784618854523,0.0,0.0,0.0,0.0,0.18462222814559937,0.0,0.0,0.0,0.23098431527614594,0.0,0.0,0.06512270122766495,0.20501869916915894,0.0,0.0,0.0,0.31254833936691284,0.0,0.0,0.18364949524402618,0.0,0.0,0.0,0.0,0.12809115648269653,0.0,0.0,0.0,0.10188115388154984,0.0,0.0,0.06881115585565567,0.2807692289352417,0.24155688285827637,0.25826218724250793,0.7119760513305664,0.7136768698692322,0.5331421494483948,0.3092479109764099,0.7880640625953674,0.0006684204563498497,0.00041275518015027046,6.697658682242036e-05,0.00048076355597004294,0.0003134073631372303,0.00016229116590693593,8.571463695261627e-06,5.1907627494074404e-05,0.0012594127329066396,0.0008213790715672076,0.00021835407824255526,0.00149780442006886,0.2625916302204132,0.48072320222854614,0.2159823775291443,-0.02259572595357895,-0.12738993763923645,2.545421600341797,0.1048784852027893,0.9982841610908508,0.7283356189727783,0.8415523171424866,0.8914588093757629,0.8016537427902222,0.791222870349884,0.9617635607719421,0.945830762386322,1.0327421426773071,0.9220343232154846
6,0.10381130129098892,0.0,0.0,0.0,0.2196347564458847,0.0,0.0,0.19871167838573456,0.0,0.0,0.0,0.0,0.18154437839984894,0.0,0.0,0.0,0.22922955453395844,0.0,0.0,0.06706827878952026,0.20982252061367035,0.0,0.0,0.0,0.307636022567749,0.0,0.0,0.18299426138401031,0.0,0.0,0.0,0.0,0.12735553085803986,0.0,0.0,0.0,0.09892786294221878,0.0,0.0,0.07326377928256989,0.3057692348957062,0.2383233606815338,0.2607940137386322,0.7319360971450806,0.740179181098938,0.5342602729797363,0.28633180260658264,0.8072415590286255,0.0008054532227106392,0.0004539602086879313,7.664563599973917e-05,0.0005481292027980089,0.00037516161683015525,0.00017734970606397837,9.657170267018955e-06,5.7086657761828974e-05,0.0016170353628695011,0.0009050537482835352,0.0002469529863446951,0.0016991999000310898,0.265018105506897,0.4778349697589874,0.17294973134994507,-0.025937246158719063,-0.13459503650665283,2.5790083408355713,0.1182657778263092,1.1817554235458374,0.8144412040710449,0.9500309228897095,1.0124015808105469,0.9074142575263977,0.8888059854507446,1.0915857553482056,1.0670042037963867,1.1755359172821045,1.1257075071334839
7,0.11098407208919525,0.0,0.0,0.0,0.23044323921203613,0.0,0.0,0.2015324831008911,0.0,0.0,0.0,0.0,0.17605775594711304,0.0,0.0,0.0,0.22197061777114868,0.0,0.0,0.05901180952787399,0.21785412728786469,0.0,0.0,0.0,0.31549331545829773,0.0,0.0,0.1777363121509552,0.0,0.0,0.0,0.0,0.12304539978504181,0.0,0.0,0.0,0.09493940323591232,0.0,0.0,0.07093144208192825,0.3442307710647583,0.2266666740179062,0.2521573007106781,0.7385229468345642,0.740603506565094,0.5124664902687073,0.24446919560432434,0.8057114481925964,0.0010026069357991219,0.00048334873281419277,8.56890546856448e-05,0.0006260580266825855,0.0004535146872512996,0.0001906183606479317,1.0623814887367189e-05,6.337307422654703e-05,0.0020264005288481712,0.000977126881480217,0.00027333726757206023,0.001923982286825776,0.2564396560192108,0.4570325016975403,0.21120047569274902,-0.034375689923763275,-0.13892394304275513,2.688807487487793,0.12229634821414948,1.3439388275146484,0.945805013179779,1.0539147853851318,1.1642279624938965,1.0276519060134888,1.07122802734375,1.2499371767044067,1.2198575735092163,1.3818923234939575,1.348366379737854
8,0.1135086640715599,0.0,0.0,0.0,0.22962722182273865,0.0,0.0,0.19992385804653168,0.0,0.0,0.0,0.0,0.16884933412075043,0.0,0.0,0.0,0.22586984932422638,0.0,0.0,0.062221068888902664,0.21738824248313904,0.0,0.0,0.0,0.31937021017074585,0.0,0.0,0.1761324256658554,0.0,0.0,0.0,0.0,0.12017478793859482,0.0,0.0,0.0,0.09408485889434814,0.0,0.0,0.07284947484731674,0.38846153020858765,0.2164071798324585,0.25157055258750916,0.7477045655250549,0.759831964969635,0.5013808608055115,0.23100152611732483,0.8173295259475708,0.001338103786110878,0.0005178237333893776,9.604542719898745e-05,0.0007004547514952719,0.0005604830221273005,0.00020795303862541914,1.1847729183500633e-05,6.723576370859519e-05,0.0025862513575702906,0.0010532541200518608,0.0003032097883988172,0.002210518578067422,0.25545838475227356,0.4569351375102997,0.18648305535316467,-0.03703029453754425,-0.16822722554206848,2.7077128887176514,0.11759079247713089,1.5041639804840088,1.0564281940460205,1.214576244354248,1.2948232889175415,1.131154179573059,1.2013049125671387,1.439144253730774,1.3715572357177734,1.5409594774246216,1.4169425964355469
9,0.11657954752445221,0.0,0.0,0.0,0.23419322073459625,0.0,0.0,0.19059140980243683,0.0,0.0,0.0,0.0,0.17182578146457672,0.0,0.0,0.0,0.2255292534828186,0.0,0.0,0.06128085032105446,0.22184352576732635,0.0,0.0,0.0,0.3239612877368927,0.0,0.0,0.17353257536888123,0.0,0.0,0.0,0.0,0.11607834696769714,0.0,0.0,0.0,0.09231933206319809,0.0,0.0,0.07226494699716568,0.44999998807907104,0.21117764711380005,0.2463645488023758,0.7514969706535339,0.8194363117218018,0.4892129898071289,0.2219538688659668,0.818625271320343,0.0016961272340267897,0.000558412866666913,0.00010589662997517735,0.00078633613884449,0.0007033169968053699,0.0002220812748419121,1.2818321010854561e-05,8.073686331044883e-05,0.0031879902817308903,0.001135657774284482,0.00033254630398005247,0.002432045992463827,0.25043612718582153,0.4586304724216461,0.19349661469459534,-0.040390852838754654,-0.18822316825389862,2.755126953125,0.11704752594232559,1.671349287033081,1.1968493461608887,1.3956308364868164,1.4499828815460205,1.2909927368164062,1.3504348993301392,1.5584299564361572,1.480461597442627,1.8068643808364868,1.5739353895187378
