step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.21097981929779053,0.0,0.0,0.0,0.3287089467048645,0.0,0.0,0.19300806522369385,0.0,0.0,0.0,0.0,0.11856689304113388,0.0,0.0,0.0,0.14590202271938324,0.0,0.0,0.0028342625591903925,0.3267897367477417,0.0,0.0,0.0,0.41352179646492004,0.0,0.0,0.1634838730096817,0.0,0.0,0.0,0.0,0.06399339437484741,0.0,0.0,0.0,0.028843572363257408,0.0,0.0,0.0033676126040518284,0.05576923117041588,0.08383233845233917,0.06845194101333618,0.6832334995269775,0.17468589544296265,0.18786810338497162,0.0804888904094696,0.8566832542419434,0.00012069713557139039,8.817356138024479e-05,1.321155286859721e-05,9.406828030478209e-05,5.33905258635059e-05,3.482454485492781e-05,1.6795177089079516e-06,1.1578163139347453e-05,0.0002427522704238072,0.0001745020563248545,4.461086791707203e-05,0.0002860764507204294,0.0764753669500351,0.26728561520576477,0.11497297883033752,-0.08352158218622208,-0.17615580558776855,4.09335470199585,0.08375642448663712,0.3270328640937805,0.2900826632976532,0.3271184265613556,0.3090830147266388,0.3365307152271271,0.30673301219940186,0.3316958248615265,0.3152080476284027,0.36752235889434814,0.388083815574646
1,0.20764000713825226,0.0,0.0,0.0,0.32570305466651917,0.0,0.0,0.19485259056091309,0.0,0.0,0.0,0.0,0.11652413755655289,0.0,0.0,0.0,0.15072672069072723,0.0,0.0,0.004553391598165035,0.31904906034469604,0.0,0.0,0.0,0.39527225494384766,0.0,0.0,0.17338380217552185,0.0,0.0,0.0,0.0,0.06920389086008072,0.0,0.0,0.0,0.036724548786878586,0.0,0.0,0.006366410292685032,0.051923077553510666,0.08886227756738663,0.08555805683135986,0.7097803950309753,0.1943339854478836,0.19624416530132294,0.08094842731952667,0.864722490310669,0.00023931004398036748,0.0001695074315648526,2.5250639737350866e-05,0.00018243695376440883,9.684943506726995e-05,6.665884575340897e-05,3.0721248549525626e-06,2.130630127794575e-05,0.0004455034504644573,0.0003334504144731909,8.46035109134391e-05,0.0005427112337201834,0.09296418726444244,0.27178844809532166,0.07407333701848984,-0.0827767625451088,-0.1735852062702179,4.102839946746826,0.07434963434934616,0.6355807185173035,0.5532708168029785,0.6010639071464539,0.5942802429199219,0.5895220041275024,0.6357758641242981,0.6546228528022766,0.591329038143158,0.6864148378372192,0.7127241492271423
2,0.20683518052101135,0.0,0.0,0.0,0.3326185941696167,0.0,0.0,0.18457342684268951,0.0,0.0,0.0,0.0,0.1104375496506691,0.0,0.0,0.0,0.16138605773448944,0.0,0.0,0.004149185959249735,0.3140391707420349,0.0,0.0,0.0,0.40242239832878113,0.0,0.0,0.16894939541816711,0.0,0.0,0.0,0.0,0.07297825813293457,0.0,0.0,0.0,0.03419673815369606,0.0,0.0,0.007414032239466906,0.07115384936332703,0.08626746386289597,0.08900624513626099,0.7323353290557861,0.21581017971038818,0.18950596451759338,0.07912665605545044,0.879249095916748,0.0003413811500649899,0.00024527718778699636,3.5603396099759266e-05,0.0002507509780116379,0.00015854492085054517,9.649268031353131e-05,4.213360170979286e-06,3.177050530212e-05,0.000683237740304321,0.000481218914501369,0.00012033932580379769,0.0007860568584874272,0.09630231559276581,0.27595698833465576,0.0696922093629837,-0.08373993635177612,-0.16100546717643738,4.243436813354492,0.08539991825819016,0.9365481734275818,0.7915482521057129,0.8279398083686829,0.8686667084693909,0.8521709442138672,0.9286714196205139,0.9389764666557312,0.8517499566078186,1.049858570098877,1.0065827369689941
3,0.20419390499591827,0.0,0.0,0.0,0.33303314447402954,0.0,0.0,0.18696710467338562,0.0,0.0,0.0,0.0,0.10697388648986816,0.0,0.0,0.0,0.16400714218616486,0.0,0.0,0.004824809264391661,0.31764164566993713,0.0,0.0,0.0,0.3912433981895447,0.0,0.0,0.17014208436012268,0.0,0.0,0.0,0.0,0.07308566570281982,0.0,0.0,0.0,0.03798379376530647,0.0,0.0,0.009903383441269398,0.06730769574642181,0.08067864179611206,0.09662672132253647,0.7548902034759521,0.1914220005273819,0.18614372611045837,0.08090353012084961,0.8794187903404236,0.0004223261203151196,0.0003055785200558603,4.566755160340108e-05,0.00032407473190687597,0.00019792639068327844,0.00012020840949844569,5.430552391771926e-06,3.888056016876362e-05,0.0008426668355241418,0.0006042441818863153,0.00015347554290201515,0.000995136797428131,0.10331493616104126,0.2757907211780548,0.05420376732945442,-0.08427299559116364,-0.16086918115615845,4.312434673309326,0.07751253992319107,1.2240530252456665,1.0078898668289185,1.0802600383758545,1.1123745441436768,1.1065828800201416,1.158095359802246,1.172230839729309,1.1039611101150513,1.309512734413147,1.286857008934021
4,0.20077386498451233,0.0,0.0,0.0,0.328982412815094,0.0,0.0,0.19194252789020538,0.0,0.0,0.0,0.0,0.10259012132883072,0.0,0.0,0.0,0.17093035578727722,0.0,0.0,0.004780616611242294,0.3141869902610779,0.0,0.0,0.0,0.3854804039001465,0.0,0.0,0.1721823662519455,0.0,0.0,0.0,0.0,0.07698610424995422,0.0,0.0,0.0,0.039897359907627106,0.0,0.0,0.01126678567379713,0.06923077255487442,0.08383233845233917,0.10379276424646378,0.7662674188613892,0.1873895823955536,0.20005489885807037,0.07154230028390884,0.887236475944519,0.000534382532350719,0.0003614539746195078,5.4795818869024515e-05,0.0003927983343601227,0.0002424207195872441,0.0001435278682038188,6.678210866084555e-06,4.821397669729777e-05,0.0010019867913797498,0.0007172159967012703,0.000184248507139273,0.0012125750072300434,0.11029043793678284,0.27828842401504517,0.04083889350295067,-0.08370539546012878,-0.16437160968780518,4.292364120483398,0.08984639495611191,1.4277857542037964,1.1273627281188965,1.3010599613189697,1.3066985607147217,1.323365330696106,1.3501489162445068,1.4041887521743774,1.3175048828125,1.5753754377365112,1.547428011894226
5,0.19693070650100708,0.0,0.0,0.0,0.3320881426334381,0.0,0.0,0.18671388924121857,0.0,0.0,0.0,0.0,0.09807561337947845,0.0,0.0,0.0,0.1815386414527893,0.0,0.0,0.004653080366551876,0.31041598320007324,0.0,0.0,0.0,0.38696596026420593,0.0,0.0,0.16816575825214386,0.0,0.0,0.0,0.0,0.08112217485904694,0.0,0.0,0.0,0.041484635323286057,0.0,0.0,0.011845486238598824,0.06730769574642181,0.08451098203659058,0.11034457385540009,0.7746506929397583,0.19166424870491028,0.20196260511875153,0.06970495730638504,0.9073375463485718,0.0006123802158981562,0.00041162437992170453,6.337853847071528e-05,0.00044058036291971803,0.00028344817110337317,0.00016060020425356925,7.939388524391688e-06,5.318823241395876e-05,0.0011512466007843614,0.0008203077595680952,0.00021218106849119067,0.001412728801369667,0.11651202291250229,0.2842523753643036,0.03132595494389534,-0.08394411951303482,-0.15729106962680817,4.328716278076172,0.09567660838365555,1.6972649097442627,1.2847919464111328,1.499947190284729,1.5078918933868408,1.4888849258422852,1.4965310096740723,1.6576162576675415,1.5126713514328003,1.8215302228927612,1.753764033317566
6,0.19925443828105927,0.0,0.0,0.0,0.3340812027454376,0.0,0.0,0.18332332372665405,0.0,0.0,0.0,0.0,0.0896468460559845,0.0,0.0,0.0,0.18924224376678467,0.0,0.0,0.004451909568160772,0.31380531191825867,0.0,0.0,0.0,0.39030206203460693,0.0,0.0,0.16187310218811035,0.0,0.0,0.0,0.0,0.07887611538171768,0.0,0.0,0.0,0.041984155774116516,0.0,0.0,0.01315925270318985,0.06730769574642181,0.08147704601287842,0.1114506945014,0.7834331393241882,0.21577218174934387,0.19943487644195557,0.06106900796294212,0.9094528555870056,0.000718256807886064,0.0004567411378957331,7.069326238706708e-05,0.0004962794482707977,0.00032946752617135644,0.00018093801918439567,8.81341657077428e-06,6.174233567435294e-05,0.0013389252126216888,0.0009146520169451833,0.00023787379905115813,0.0015751583268865943,0.11746544390916824,0.2833271026611328,0.038699403405189514,-0.08377408236265182,-0.16326552629470825,4.316371917724609,0.10353170335292816,1.8979058265686035,1.4384899139404297,1.6605666875839233,1.6428182125091553,1.6232680082321167,1.6759995222091675,1.8481158018112183,1.6792068481445312,2.0884907245635986,1.9480434656143188
7,0.19835884869098663,0.0,0.0,0.0,0.33467963337898254,0.0,0.0,0.17820434272289276,0.0,0.0,0.0,0.0,0.08256552368402481,0.0,0.0,0.0,0.2018892765045166,0.0,0.0,0.004302346147596836,0.3132092356681824,0.0,0.0,0.0,0.39291584491729736,0.0,0.0,0.15957891941070557,0.0,0.0,0.0,0.0,0.0771557167172432,0.0,0.0,0.0,0.04335225746035576,0.0,0.0,0.013788043521344662,0.07115384936332703,0.08019959926605225,0.11250187456607819,0.791217565536499,0.2213834971189499,0.20054881274700165,0.05492439121007919,0.9198411703109741,0.0008250487735494971,0.0005104879382997751,7.820177415851504e-05,0.00057554233353585,0.0003395253443159163,0.00019843090558424592,9.701511771709193e-06,6.701267557218671e-05,0.0015111390966922045,0.0010194656206294894,0.0002662184997461736,0.001776085700839758,0.118462935090065,0.2887430787086487,0.04831444099545479,-0.08314858376979828,-0.15395772457122803,4.312007427215576,0.11179104447364807,2.0896286964416504,1.5969133377075195,1.8093695640563965,1.7721604108810425,1.725932240486145,1.8868544101715088,2.0784430503845215,1.8270845413208008,2.3362951278686523,2.1468729972839355
8,0.20743003487586975,0.0,0.0,0.0,0.3262811303138733,0.0,0.0,0.1703873872756958,0.0,0.0,0.0,0.0,0.08000033348798752,0.0,0.0,0.0,0.2121126353740692,0.0,0.0,0.003788421396166086,0.311006635427475,0.0,0.0,0.0,0.3907407224178314,0.0,0.0,0.16451744735240936,0.0,0.0,0.0,0.0,0.07490457594394684,0.0,0.0,0.0,0.044446710497140884,0.0,0.0,0.014383897185325623,0.07500000298023224,0.07888223230838776,0.11264169961214066,0.796407163143158,0.1921718716621399,0.1999754160642624,0.053284209221601486,0.9263571500778198,0.000885874149389565,0.0005552057991735637,8.503451681463048e-05,0.0006131692207418382,0.00040251092286780477,0.00021669082343578339,1.0816680514835753e-05,7.101500523276627e-05,0.001824882347136736,0.0011166667100042105,0.0002936109958682209,0.00202015764079988,0.11858124285936356,0.29588770866394043,0.039870258420705795,-0.08204235881567001,-0.15601228177547455,4.245855331420898,0.11951447278261185,2.277348041534424,1.7258468866348267,1.980934977531433,1.9169528484344482,1.8389455080032349,2.0239672660827637,2.2271511554718018,1.9500877857208252,2.5946054458618164,2.316650390625
9,0.2101789265871048,0.0,0.0,0.0,0.32090702652931213,0.0,0.0,0.1659121811389923,0.0,0.0,0.0,0.0,0.07648926228284836,0.0,0.0,0.0,0.22233708202838898,0.0,0.0,0.0041755251586437225,0.30942556262016296,0.0,0.0,0.0,0.3869345486164093,0.0,0.0,0.1676274687051773,0.0,0.0,0.0,0.0,0.0748300552368164,0.0,0.0,0.0,0.046619120985269547,0.0,0.0,0.014563258737325668,0.06730769574642181,0.08199600875377655,0.11495381593704224,0.8011975884437561,0.1189381554722786,0.20103228092193604,0.04977013170719147,0.9365094900131226,0.0009613655274733901,0.0006142681231722236,9.210423741023988e-05,0.0006552777485921979,0.0004691603244282305,0.00023847640841268003,1.1771048775699455e-05,7.906022074166685e-05,0.002094578929245472,0.0012364211725071073,0.0003227122069802135,0.00230042333714664,0.1209566742181778,0.3029891848564148,0.05553068965673447,-0.0807347297668457,-0.15659362077713013,4.15854549407959,0.1307898461818695,2.490086317062378,1.870054841041565,2.1037793159484863,2.067244291305542,1.9275721311569214,2.2087080478668213,2.3805289268493652,2.090914726257324,2.8609540462493896,2.5539193153381348
