step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.10621165484189987,0.0,0.0,0.0,0.21245557069778442,0.0,0.0,0.22609588503837585,0.0,0.0,0.0,0.0,0.20095954835414886,0.0,0.0,0.0,0.19400963187217712,0.0,0.0,0.06026779115200043,0.2302527278661728,0.0,0.0,0.0,0.32493770122528076,0.0,0.0,0.20876486599445343,0.0,0.0,0.0,0.0,0.12422866374254227,0.0,0.0,0.0,0.07694454491138458,0.0,0.0,0.034871503710746765,0.23461538553237915,0.22371257841587067,0.18568290770053864,0.5590817928314209,0.5551872849464417,0.5090587735176086,0.3289673626422882,0.6834643483161926,0.00015966650971677154,9.240930376108736e-05,1.4133669537841342e-05,9.411526116309687e-05,6.029708310961723e-05,3.60466365236789e-05,1.9160615920554847e-06,1.1041413017665036e-05,0.00027759725344367325,0.0001824377104640007,4.678088953369297e-05,0.00029913787147961557,0.1922914683818817,0.4552195072174072,0.22673910856246948,-0.01712539978325367,-0.17382505536079407,2.5855307579040527,0.18125903606414795,0.1849956214427948,0.17849205434322357,0.1899312287569046,0.12191413342952728,0.17378732562065125,0.15041013062000275,0.23600120842456818,0.2337094098329544,0.22105538845062256,0.18651163578033447
1,0.11219891160726547,0.0,0.0,0.0,0.21970927715301514,0.0,0.0,0.2174704670906067,0.0,0.0,0.0,0.0,0.18134185671806335,0.0,0.0,0.0,0.2121671736240387,0.0,0.0,0.05711227282881737,0.21866615116596222,0.0,0.0,0.0,0.31670159101486206,0.0,0.0,0.19798792898654938,0.0,0.0,0.0,0.0,0.12838949263095856,0.0,0.0,0.0,0.09197122603654861,0.0,0.0,0.04628360643982887,0.2153846174478531,0.2217964082956314,0.22060425579547882,0.6119760274887085,0.5419912338256836,0.47887152433395386,0.32202595472335815,0.7204696536064148,0.00028945005033165216,0.00017337908502668142,2.6210520445602015e-05,0.00017880323866847903,0.00013646605657413602,6.887389463372529e-05,3.433126948948484e-06,2.107636828441173e-05,0.0005125697352923453,0.0003428035124670714,8.783373777987435e-05,0.0005612922832369804,0.22521574795246124,0.45060694217681885,0.22087152302265167,-0.01986752450466156,-0.21614906191825867,2.5594968795776367,0.16767694056034088,0.40719863772392273,0.3320957124233246,0.36530858278274536,0.26376867294311523,0.3130340874195099,0.28030797839164734,0.43019095063209534,0.37532225251197815,0.4614817798137665,0.3702542185783386
2,0.10676376521587372,0.0,0.0,0.0,0.2113916426897049,0.0,0.0,0.2134152352809906,0.0,0.0,0.0,0.0,0.18438290059566498,0.0,0.0,0.0,0.20646245777606964,0.0,0.0,0.07758396118879318,0.2105209231376648,0.0,0.0,0.0,0.3022015690803528,0.0,0.0,0.19933515787124634,0.0,0.0,0.0,0.0,0.13200491666793823,0.0,0.0,0.0,0.0957893654704094,0.0,0.0,0.06014806404709816,0.2461538463830948,0.2306986004114151,0.24370788037776947,0.6568862199783325,0.5812104344367981,0.4976133704185486,0.3404047191143036,0.7350392937660217,0.0003998219035565853,0.00024992384715005755,3.684866533149034e-05,0.0002538773696869612,0.00020565075101330876,9.954279084922746e-05,4.722388894151663e-06,3.038899740204215e-05,0.0007312088273465633,0.0004900123458355665,0.0001236090756719932,0.0007941952208057046,0.24775680899620056,0.4684177339076996,0.17219965159893036,-0.01780056022107601,-0.16331638395786285,2.4810402393341064,0.12862415611743927,0.528344988822937,0.42960745096206665,0.4898139238357544,0.408010870218277,0.4497986435890198,0.4334930181503296,0.5948290228843689,0.5168821215629578,0.5999152064323425,0.5211387276649475
3,0.09273504465818405,0.0,0.0,0.0,0.19929610192775726,0.0,0.0,0.21288608014583588,0.0,0.0,0.0,0.0,0.190094456076622,0.0,0.0,0.0,0.2213657647371292,0.0,0.0,0.08362250030040741,0.2026623785495758,0.0,0.0,0.0,0.29939672350883484,0.0,0.0,0.19415326416492462,0.0,0.0,0.0,0.0,0.13138851523399353,0.0,0.0,0.0,0.10363094508647919,0.0,0.0,0.06876818090677261,0.2519230842590332,0.24614770710468292,0.25935831665992737,0.685029923915863,0.5624311566352844,0.5360075235366821,0.3525429964065552,0.7864736914634705,0.0004885763046331704,0.00031225167913362384,4.60304509033449e-05,0.00031690666219219565,0.00024244851374533027,0.0001249505439773202,5.824056643177755e-06,3.908186045009643e-05,0.0008953411597758532,0.0006193069275468588,0.00015513481048401445,0.0010027367388829589,0.26352882385253906,0.49507373571395874,0.23444639146327972,-0.012858047150075436,-0.16096608340740204,2.456146478652954,0.10824427008628845,0.679962694644928,0.5291524529457092,0.5840111970901489,0.560116708278656,0.5169978141784668,0.5622525811195374,0.700875997543335,0.6577807068824768,0.6965985894203186,0.6255239844322205
4,0.08917069435119629,0.0,0.0,0.0,0.20200391113758087,0.0,0.0,0.20789098739624023,0.0,0.0,0.0,0.0,0.1924242228269577,0.0,0.0,0.0,0.22136904299259186,0.0,0.0,0.08714118599891663,0.19508448243141174,0.0,0.0,0.0,0.3005242943763733,0.0,0.0,0.19285835325717926,0.0,0.0,0.0,0.0,0.133052796125412,0.0,0.0,0.0,0.10645868629217148,0.0,0.0,0.07202139496803284,0.26153847575187683,0.2605588734149933,0.2677503228187561,0.7017964124679565,0.5758447051048279,0.5554291009902954,0.3492780029773712,0.7864566445350647,0.0005782506195828319,0.0003723810368683189,5.474693898577243e-05,0.0003801017301157117,0.0002802782109938562,0.0001476800098316744,6.974813459237339e-06,4.572629404719919e-05,0.0010936727048829198,0.0007349915686063468,0.00018464779714122415,0.001199697726406157,0.2723694145679474,0.50092613697052,0.22528529167175293,-0.011083681136369705,-0.12267423421144485,2.4288625717163086,0.10281864553689957,0.7861014008522034,0.5921933054924011,0.6778837442398071,0.6897677779197693,0.6332721710205078,0.6789160370826721,0.8275594115257263,0.7732506394386292,0.8062763810157776,0.7414461970329285
5,0.09349945187568665,0.0,0.0,0.0,0.19937622547149658,0.0,0.0,0.2067987620830536,0.0,0.0,0.0,0.0,0.19258424639701843,0.0,0.0,0.0,0.21990430355072021,0.0,0.0,0.08783702552318573,0.1935306191444397,0.0,0.0,0.0,0.2971404194831848,0.0,0.0,0.1903858184814453,0.0,0.0,0.0,0.0,0.1381683647632599,0.0,0.0,0.0,0.1059611588716507,0.0,0.0,0.07481363415718079,0.26346153020858765,0.2581636607646942,0.2766517102718353,0.7165668606758118,0.5892448425292969,0.5518701672554016,0.3518282175064087,0.780681312084198,0.0006715524941682816,0.0004235047672409564,6.276705244090408e-05,0.00043837574776262045,0.0003238908830098808,0.00016703526489436626,7.936276233522221e-06,5.338010669220239e-05,0.0012607856187969446,0.0008348282426595688,0.00021123900660313666,0.0013738900888711214,0.28067412972450256,0.5003187656402588,0.21008750796318054,-0.011356559582054615,-0.11681072413921356,2.4099574089050293,0.10932402312755585,0.9211853742599487,0.6785328388214111,0.776602029800415,0.808925986289978,0.7377130389213562,0.7306267619132996,0.9030959010124207,0.8904353976249695,0.9694759845733643,0.8497083783149719
6,0.0918799638748169,0.0,0.0,0.0,0.20246700942516327,0.0,0.0,0.19775575399398804,0.0,0.0,0.0,0.0,0.19574524462223053,0.0,0.0,0.0,0.22162482142448425,0.0,0.0,0.09052718430757523,0.19225601851940155,0.0,0.0,0.0,0.2915070056915283,0.0,0.0,0.18865537643432617,0.0,0.0,0.0,0.0,0.13788959383964539,0.0,0.0,0.0,0.10889818519353867,0.0,0.0,0.0807938203215599,0.25961539149284363,0.26363274455070496,0.28566044569015503,0.7339321374893188,0.5847909450531006,0.5616366267204285,0.3568739891052246,0.7917762994766235,0.0007352225948125124,0.0004724326136056334,7.076117617543787e-05,0.0005031906184740365,0.000373489543562755,0.0001877456670626998,8.7291937234113e-06,6.035566912032664e-05,0.0014112360076978803,0.0009322164696641266,0.00023673234682064503,0.0015445018652826548,0.2895587980747223,0.5078923106193542,0.1732850968837738,-0.009397218003869057,-0.11821542680263519,2.3891804218292236,0.12152769416570663,1.0493359565734863,0.7371938228607178,0.8486512899398804,0.8914737105369568,0.8129614591598511,0.795772910118103,1.003029704093933,0.9826746582984924,1.0776721239089966,0.9996146559715271
7,0.09447052329778671,0.0,0.0,0.0,0.2075870782136917,0.0,0.0,0.20293889939785004,0.0,0.0,0.0,0.0,0.1892872005701065,0.0,0.0,0.0,0.21988239884376526,0.0,0.0,0.08583386987447739,0.19449658691883087,0.0,0.0,0.0,0.29223111271858215,0.0,0.0,0.18836627900600433,0.0,0.0,0.0,0.0,0.13852129876613617,0.0,0.0,0.0,0.10606599599123001,0.0,0.0,0.08031872659921646,0.26346153020858765,0.2625548839569092,0.28439202904701233,0.7329341173171997,0.5548155903816223,0.5554244518280029,0.3397824168205261,0.7757658362388611,0.0008439532248303294,0.0005159616703167558,7.720636494923383e-05,0.000550766650121659,0.0004209466278553009,0.0002075119555229321,9.58912460191641e-06,6.688466964988038e-05,0.0016506771789863706,0.0010182170663028955,0.0002583538880571723,0.0017109197797253728,0.2883107662200928,0.4949984550476074,0.20433540642261505,-0.012409377843141556,-0.1051749736070633,2.4134209156036377,0.12802250683307648,1.1425464153289795,0.8213281035423279,0.9051802158355713,0.9846870303153992,0.8810364007949829,0.9136216044425964,1.1147911548614502,1.0838302373886108,1.2263147830963135,1.1467254161834717
8,0.09244437515735626,0.0,0.0,0.0,0.20674747228622437,0.0,0.0,0.1984696090221405,0.0,0.0,0.0,0.0,0.19517742097377777,0.0,0.0,0.0,0.21943038702011108,0.0,0.0,0.08773071318864822,0.1911146491765976,0.0,0.0,0.0,0.29117506742477417,0.0,0.0,0.18643705546855927,0.0,0.0,0.0,0.0,0.13486111164093018,0.0,0.0,0.0,0.11021517962217331,0.0,0.0,0.08619692921638489,0.2730769217014313,0.2645908296108246,0.29144570231437683,0.7387225031852722,0.5706741809844971,0.5577057600021362,0.34507399797439575,0.7929266691207886,0.0009006120380945504,0.0005583687452599406,8.365435496671125e-05,0.0005928854225203395,0.00044641795102506876,0.00022477742459159344,1.0397435289632995e-05,7.156110950745642e-05,0.001760873943567276,0.001097263884730637,0.0002804252435453236,0.0018486224580556154,0.29506126046180725,0.5023331046104431,0.18899758160114288,-0.01019432581961155,-0.11927936971187592,2.380228042602539,0.12739421427249908,1.2173748016357422,0.8813658356666565,0.9839526414871216,1.047484278678894,0.9288071393966675,0.9805918335914612,1.2292402982711792,1.1664865016937256,1.317854404449463,1.1646023988723755
9,0.09223035722970963,0.0,0.0,0.0,0.2057446986436844,0.0,0.0,0.19942407310009003,0.0,0.0,0.0,0.0,0.19730602204799652,0.0,0.0,0.0,0.21878015995025635,0.0,0.0,0.0865146815776825,0.19131605327129364,0.0,0.0,0.0,0.29148852825164795,0.0,0.0,0.18316251039505005,0.0,0.0,0.0,0.0,0.1344490498304367,0.0,0.0,0.0,0.1075909286737442,0.0,0.0,0.09199295192956924,0.2826923131942749,0.2594411075115204,0.29522597789764404,0.7413173317909241,0.5550047755241394,0.5513820648193359,0.3449181914329529,0.7999452352523804,0.0009808167815208435,0.00059653224889189,8.955145312938839e-05,0.0006386317545548081,0.0004948574933223426,0.00023897946812212467,1.1045701285183895e-05,7.810838724253699e-05,0.0018918002024292946,0.0011689069215208292,0.0002992766094394028,0.001975053921341896,0.2983158826828003,0.5025950074195862,0.20229871571063995,-0.00988934375345707,-0.11563147604465485,2.369919776916504,0.1306825578212738,1.280689001083374,0.9452417492866516,1.0588892698287964,1.117240309715271,0.9973343014717102,1.0447473526000977,1.2947901487350464,1.2067452669143677,1.4668766260147095,1.2273352146148682
