step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.004239379428327084,0.0,0.0,0.0,0.018889809027314186,0.0,0.0,0.041550684720277786,0.0,0.0,0.0,0.0,0.08812744170427322,0.0,0.0,0.0,0.20893950760364532,0.0,0.0,0.6382532119750977,0.0961994007229805,0.0,0.0,0.0,0.16287945210933685,0.0,0.0,0.16304907202720642,0.0,0.0,0.0,0.0,0.16693051159381866,0.0,0.0,0.0,0.17830629646778107,0.0,0.0,0.2326352596282959,0.5596153736114502,0.6122155785560608,0.46474409103393555,0.530139684677124,0.9367241859436035,0.9534270763397217,0.9366371631622314,0.906144380569458,0.0001431017299182713,9.57782831392251e-05,1.397473897668533e-05,9.782685083337128e-05,7.018020551186055e-05,3.906964775524102e-05,1.8861342141462956e-06,1.198661993839778e-05,0.00026299955788999796,0.00018362114496994764,4.6533918066415936e-05,0.00029181543504819274,0.4741881191730499,0.9353191256523132,0.7345913052558899,0.5495161414146423,0.33777523040771484,1.1422381401062012,0.07030739635229111,0.06992122530937195,0.0690276250243187,0.08255957067012787,0.07084869593381882,0.06521519273519516,0.06568287312984467,0.06569050252437592,0.06857535243034363,0.07423919439315796,0.07282495498657227
1,0.0021249589044600725,0.0,0.0,0.0,0.00812427420169115,0.0,0.0,0.024222902953624725,0.0,0.0,0.0,0.0,0.05964210629463196,0.0,0.0,0.0,0.14006651937961578,0.0,0.0,0.7658191323280334,0.07531295716762543,0.0,0.0,0.0,0.1309889405965805,0.0,0.0,0.13675551116466522,0.0,0.0,0.0,0.0,0.14446251094341278,0.0,0.0,0.0,0.17870885133743286,0.0,0.0,0.3337712287902832,0.6653845906257629,0.6982834339141846,0.5471935272216797,0.6079840064048767,0.9731568098068237,0.98072749376297,0.967072069644928,0.9395290613174438,0.0002683341735973954,0.00017556568491272628,2.5696037482703105e-05,0.00018307543359696865,0.00013142541865818202,7.158679363783449e-05,3.356770548634813e-06,2.137678711733315e-05,0.0004816239816136658,0.0003430246142670512,8.674131822772324e-05,0.000554676866158843,0.5568224191665649,0.9655278921127319,0.863602876663208,0.6745315790176392,0.3971782624721527,0.9158895015716553,0.07065039128065109,0.11865583807229996,0.11809869110584259,0.13818854093551636,0.11403286457061768,0.11485138535499573,0.115137979388237,0.11336281150579453,0.11755531281232834,0.13539113104343414,0.11649410426616669
2,0.0012494928669184446,0.0,0.0,0.0,0.006682438775897026,0.0,0.0,0.015279144048690796,0.0,0.0,0.0,0.0,0.0357077531516552,0.0,0.0,0.0,0.08985326439142227,0.0,0.0,0.8512279391288757,0.06652354449033737,0.0,0.0,0.0,0.11833663284778595,0.0,0.0,0.11993798613548279,0.0,0.0,0.0,0.0,0.12979333102703094,0.0,0.0,0.0,0.16581851243972778,0.0,0.0,0.39958998560905457,0.7076923251152039,0.735489010810852,0.5909937620162964,0.6502993702888489,0.9812749028205872,0.9866335391998291,0.9778842926025391,0.9601883292198181,0.0003592433640733361,0.0002474736247677356,3.600389027269557e-05,0.00025868252851068974,0.0001677872787695378,0.00010041369387181476,4.615540092345327e-06,2.8546266548801214e-05,0.0006548876408487558,0.00048476620577275753,0.00012277954374440014,0.000789918820373714,0.6002203822135925,0.9767893552780151,0.8542080521583557,0.7509217262268066,0.5802685022354126,0.7922662496566772,0.047492966055870056,0.16218280792236328,0.1596367061138153,0.1661800891160965,0.16385500133037567,0.16607214510440826,0.16315506398677826,0.1539425253868103,0.15895406901836395,0.18303650617599487,0.15471148490905762
3,0.0009925845079123974,0.0,0.0,0.0,0.0054015712812542915,0.0,0.0,0.014235046692192554,0.0,0.0,0.0,0.0,0.031392525881528854,0.0,0.0,0.0,0.08582839369773865,0.0,0.0,0.8621498942375183,0.059605780988931656,0.0,0.0,0.0,0.10645806789398193,0.0,0.0,0.11378488689661026,0.0,0.0,0.0,0.0,0.1257304847240448,0.0,0.0,0.0,0.16365081071853638,0.0,0.0,0.43076997995376587,0.7076923251152039,0.7539321184158325,0.6200649738311768,0.677644670009613,0.9869000911712646,0.9897062182426453,0.9803862571716309,0.9612141251564026,0.00043853395618498325,0.00030974537367001176,4.571337558445521e-05,0.00032192410435527563,0.00019858148880302906,0.00012390618212521076,5.96801965002669e-06,3.71176574844867e-05,0.0008208387298509479,0.0006110733957029879,0.0001547168503748253,0.000979010947048664,0.6286188364028931,0.9793713092803955,0.8551484942436218,0.7667571306228638,0.6326210498809814,0.726143479347229,0.04128244146704674,0.19700178503990173,0.20283125340938568,0.20663493871688843,0.19661052525043488,0.21812450885772705,0.19845056533813477,0.18992659449577332,0.1975049525499344,0.2130419909954071,0.19438838958740234
4,0.0008264292264357209,0.0,0.0,0.0,0.003808257170021534,0.0,0.0,0.011318163946270943,0.0,0.0,0.0,0.0,0.027098169550299644,0.0,0.0,0.0,0.07745912671089172,0.0,0.0,0.8794898390769958,0.05353621393442154,0.0,0.0,0.0,0.0992419645190239,0.0,0.0,0.10380227118730545,0.0,0.0,0.0,0.0,0.11715933680534363,0.0,0.0,0.0,0.1621357649564743,0.0,0.0,0.4641244411468506,0.7480769157409668,0.7748902440071106,0.6466816663742065,0.7093812227249146,0.9887815117835999,0.9922734498977661,0.9852661490440369,0.968180239200592,0.0005449699820019305,0.0003656225453596562,5.479256287799217e-05,0.0003751084441319108,0.000250061450060457,0.00014472227485384792,7.153111710067606e-06,4.408327367855236e-05,0.000992779154330492,0.0007181463297456503,0.0001824765495257452,0.0011747759999707341,0.65498286485672,0.9840480089187622,0.9013566374778748,0.7966808676719666,0.6073996424674988,0.6693654656410217,0.047545772045850754,0.23031926155090332,0.24402548372745514,0.23243698477745056,0.22596503794193268,0.2494780570268631,0.23413214087486267,0.21934400498867035,0.2248009741306305,0.2541111707687378,0.22343580424785614
5,0.0007880277698859572,0.0,0.0,0.0,0.0027230826672166586,0.0,0.0,0.008664507418870926,0.0,0.0,0.0,0.0,0.02098853513598442,0.0,0.0,0.0,0.05393505096435547,0.0,0.0,0.9129008054733276,0.049953579902648926,0.0,0.0,0.0,0.08956652134656906,0.0,0.0,0.0973285362124443,0.0,0.0,0.0,0.0,0.11120758205652237,0.0,0.0,0.0,0.14810852706432343,0.0,0.0,0.5038352608680725,0.7846153974533081,0.7825149893760681,0.6695630550384521,0.7265468835830688,0.9938938617706299,0.9936676621437073,0.9879377484321594,0.9782658219337463,0.0006443472811952233,0.0004071785951964557,6.225502875167876e-05,0.00044163389247842133,0.00030058668926358223,0.00015897491539362818,8.240153874794487e-06,5.193350443732925e-05,0.0012220883509144187,0.0008098591351881623,0.0002066297020064667,0.0013182740658521652,0.6769277453422546,0.987825334072113,0.9297099113464355,0.8321003317832947,0.7118227481842041,0.6105138659477234,0.03201792389154434,0.2576155364513397,0.2726536989212036,0.258495569229126,0.25379863381385803,0.27067193388938904,0.26229560375213623,0.24677930772304535,0.25526782870292664,0.26532748341560364,0.24794790148735046
6,0.000481962866615504,0.0,0.0,0.0,0.002455415204167366,0.0,0.0,0.0075491806492209435,0.0,0.0,0.0,0.0,0.01832016184926033,0.0,0.0,0.0,0.04576120898127556,0.0,0.0,0.9254319667816162,0.047673676162958145,0.0,0.0,0.0,0.08555352687835693,0.0,0.0,0.09042052179574966,0.0,0.0,0.0,0.0,0.10482381284236908,0.0,0.0,0.0,0.1426958590745926,0.0,0.0,0.5288326144218445,0.8057692050933838,0.7967265248298645,0.6849963068962097,0.7449101805686951,0.9947705864906311,0.9952141642570496,0.9898190498352051,0.980141818523407,0.0007347220671363175,0.00043933201231993735,6.96712450007908e-05,0.0004880786582361907,0.000324457447277382,0.0001732635428197682,9.431998478248715e-06,5.689976751455106e-05,0.0014983938308432698,0.0008806410478428006,0.00022894481662660837,0.0014858965296298265,0.6923308968544006,0.989514172077179,0.9243638515472412,0.8508827686309814,0.7548677921295166,0.5697492361068726,0.0306389182806015,0.27751773595809937,0.29458001255989075,0.2815263271331787,0.27770715951919556,0.29475122690200806,0.2973087430000305,0.2713549733161926,0.2836492657661438,0.2852863073348999,0.27388137578964233
7,0.000418187293689698,0.0,0.0,0.0,0.0023730872198939323,0.0,0.0,0.005686253774911165,0.0,0.0,0.0,0.0,0.018207769840955734,0.0,0.0,0.0,0.053306665271520615,0.0,0.0,0.9200080037117004,0.04617742449045181,0.0,0.0,0.0,0.08286410570144653,0.0,0.0,0.08570148795843124,0.0,0.0,0.0,0.0,0.10220544785261154,0.0,0.0,0.0,0.148079976439476,0.0,0.0,0.5349715352058411,0.8096153736114502,0.8005189895629883,0.696781575679779,0.7558882236480713,0.9961591362953186,0.9956963658332825,0.9919614195823669,0.9843970537185669,0.0008362185908481479,0.0004666602471843362,7.595283386763185e-05,0.000534473336301744,0.0003612833970692009,0.00018224006635136902,1.044325836119242e-05,6.581288471352309e-05,0.001830624882131815,0.0009375610388815403,0.00024817479425109923,0.001662188908085227,0.7036327719688416,0.9915231466293335,0.9339474439620972,0.8553432822227478,0.7415904998779297,0.551322340965271,0.03791891038417816,0.2987925112247467,0.32036092877388,0.30592411756515503,0.30014702677726746,0.3307815492153168,0.31460079550743103,0.2883044183254242,0.3118845224380493,0.30870044231414795,0.29835930466651917
8,0.0004768415819853544,0.0,0.0,0.0,0.002532445825636387,0.0,0.0,0.006934525910764933,0.0,0.0,0.0,0.0,0.017130596563220024,0.0,0.0,0.0,0.0444180965423584,0.0,0.0,0.9285075068473816,0.0455106720328331,0.0,0.0,0.0,0.08140670508146286,0.0,0.0,0.08732737600803375,0.0,0.0,0.0,0.0,0.10245971381664276,0.0,0.0,0.0,0.13720880448818207,0.0,0.0,0.5460867285728455,0.8326923251152039,0.7982834577560425,0.6990362405776978,0.7556886076927185,0.997831404209137,0.9956978559494019,0.9905468821525574,0.980445146560669,0.0010204481659457088,0.0004889364936389029,8.247155346907675e-05,0.0005759025807492435,0.00041810813127085567,0.0001901978685054928,1.1145314601890277e-05,6.995494186412543e-05,0.0021188564132899046,0.0009888405911624432,0.0002661244652699679,0.0017377746989950538,0.7056230902671814,0.9900572896003723,0.9269958138465881,0.8546102046966553,0.7602188587188721,0.5372207164764404,0.028278890997171402,0.32209813594818115,0.3442005515098572,0.3410246670246124,0.32047799229621887,0.34243324398994446,0.32803264260292053,0.3165998160839081,0.33088943362236023,0.32934874296188354,0.32260799407958984
9,0.0007793009863235056,0.0,0.0,0.0,0.002551171462982893,0.0,0.0,0.006992521230131388,0.0,0.0,0.0,0.0,0.015928218141198158,0.0,0.0,0.0,0.042610250413417816,0.0,0.0,0.9311385154724121,0.044601257890462875,0.0,0.0,0.0,0.08062288165092468,0.0,0.0,0.08469273895025253,0.0,0.0,0.0,0.0,0.10079725086688995,0.0,0.0,0.0,0.13531389832496643,0.0,0.0,0.5539719462394714,0.8461538553237915,0.8014770746231079,0.7061548233032227,0.7548902034759521,0.9986581206321716,0.9959275722503662,0.9908477067947388,0.977573037147522,0.0012699260842055082,0.0005131483776494861,8.826463454170153e-05,0.0006318852538242936,0.0005280158948153257,0.00020120049885008484,1.1905558494618163e-05,7.328265201067552e-05,0.0025970612186938524,0.0010409691603854299,0.00028324490995146334,0.0019073323346674442,0.7124292850494385,0.9896780252456665,0.9272974729537964,0.8575347065925598,0.7509349584579468,0.5252466201782227,0.03304853290319443,0.34089934825897217,0.3709796965122223,0.3662158250808716,0.34151172637939453,0.3601687550544739,0.35028842091560364,0.33478206396102905,0.36189165711402893,0.3499961197376251,0.34255197644233704
