step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,9.503483772277832,5.347756385803223,6.479475021362305,9.51694393157959,12.677186965942383,9.4287093010948,0.07958200573921204,0.9977441430091858,0.9993554353713989,0.9997069239616394,0.995851993560791,0.9995999932289124,0.00013222885900177062,8.900149259716272e-05,1.3371943168749567e-05,9.146910451818258e-05,0.03628827631473541,-0.0984869971871376,-0.1659812033176422,9.503483772277832,5.347756385803223,6.479475498199463,9.516944885253906,12.677186012268066,9.428709308753149,0.07958205044269562,0.9977442026138306,0.9993554353713989,0.9997069835662842,0.9958520531654358,0.9995998740196228,0.0013222892303019762,0.0008900149841792881,0.00013371945533435792,0.0009146928787231445,0.03628827631473541,-0.098486989736557,-0.1659812033176422,5.346772193908691,4.291892051696777,4.916629791259766,4.9830474853515625,4.713150978088379,4.707265853881836,5.376100540161133,4.734594345092773,5.737005710601807,5.17365026473999,4.998011112213135,4.986284255981445,0.5346772074699402,0.42918920516967773,0.49166297912597656,0.4983047544956207,0.4713151156902313,0.4707266092300415,0.5376101136207581,0.473459392786026,0.5737005472183228,0.517365038394928,0.49980106949806213,0.4986284375190735
1,9.496516227722168,5.454580307006836,6.476465702056885,9.5081787109375,12.6360445022583,9.389150229759103,0.08329977840185165,0.9979468584060669,0.999847412109375,0.9995720386505127,0.9962583780288696,0.9997337460517883,0.0002708056417759508,0.00017205240146722645,2.5212799300788902e-05,0.00017669609223958105,0.05049290135502815,-0.09849342703819275,-0.16882532835006714,9.330671310424805,5.355029582977295,6.3408942222595215,9.359145164489746,12.453171730041504,9.234634654116164,0.0895819216966629,0.9969633221626282,0.9999266266822815,0.9996842741966248,0.9943099617958069,0.999454915523529,0.0016407020157203078,0.0009308485314249992,0.00013527220289688557,0.0009492799872532487,0.0632818341255188,-0.09810441732406616,-0.1705905646085739,5.434449195861816,4.30613374710083,4.5334296226501465,4.801509857177734,4.574240684509277,4.943053722381592,5.48167610168457,4.805622100830078,5.744246959686279,5.249425411224365,4.9873785972595215,4.978837966918945,1.0235111713409424,0.8160163164138794,0.8942247629165649,0.9274992346763611,0.8806602954864502,0.916594922542572,1.0308609008789062,0.9056766033172607,1.0892434120178223,0.9894739985466003,0.9473761916160583,0.9454301595687866
2,9.42845630645752,5.145791530609131,6.443700313568115,9.472384452819824,12.356678009033203,9.393527444876028,0.08769134432077408,0.9984797239303589,0.9994103312492371,0.9997341632843018,0.9971910119056702,0.9997963309288025,0.00046071253018453717,0.0002472173946443945,3.632415609899908e-05,0.00025405315682291985,0.05368100479245186,-0.09875306487083435,-0.17109915614128113,9.002140998840332,4.26085090637207,6.125433444976807,9.153251647949219,11.615010261535645,8.927479734254328,0.09621813893318176,0.996524453163147,0.9999342560768127,0.9996499419212341,0.9932729005813599,0.9994436502456665,0.0020459736697375774,0.0009543387568555772,0.00013943038356956095,0.0009382214630022645,0.05887705087661743,-0.09845253080129623,-0.17284466326236725,5.589973449707031,4.332188129425049,4.786559581756592,5.004927158355713,4.673450469970703,4.900457382202148,5.6207146644592285,5.035770416259766,6.093926906585693,5.24463415145874,5.128260135650635,5.120448112487793,1.4768006801605225,1.1650304794311523,1.2800766229629517,1.3327250480651855,1.2575558423995972,1.3115556240081787,1.486209750175476,1.315921664237976,1.5849159955978394,1.4115804433822632,1.3622372150421143,1.3598377704620361
3,9.29186725616455,4.351281642913818,6.328555583953857,9.432230949401855,11.947216033935547,9.273702320486587,0.0875372663140297,0.9988561272621155,0.9982156157493591,0.9997655153274536,0.9978879690170288,0.9998827576637268,0.000650359783321619,0.00031425172346644104,4.6489425585605204e-05,0.000325909088132903,0.032437194138765335,-0.09896384924650192,-0.16845466196537018,8.399730682373047,3.02811598777771,5.542580604553223,8.881312370300293,10.607196807861328,8.363001924147381,0.09190025180578232,0.9976366758346558,0.9994726777076721,0.9996640086174011,0.9951708316802979,0.9995070695877075,0.002714907517656684,0.000987509498372674,0.0001366044452879578,0.0009801877895370126,0.03837525099515915,-0.09783736616373062,-0.15872779488563538,5.815830230712891,4.532892227172852,5.103888034820557,4.947592258453369,5.2131853103637695,5.143535137176514,5.9344892501831055,5.247106552124023,6.293559551239014,5.549369812011719,5.37814474105835,5.362936496734619,1.9014726877212524,1.4943726062774658,1.6541353464126587,1.687633991241455,1.6456254720687866,1.687303066253662,1.920168161392212,1.702541470527649,2.040584087371826,1.8166354894638062,1.7550472021102905,1.7516438961029053
4,8.764004707336426,3.3880927562713623,5.803730010986328,9.140210151672363,11.084856986999512,8.754942354466799,0.09566644579172134,0.9992063641548157,0.9997953772544861,0.999705970287323,0.9985291361808777,0.9998493790626526,0.0009261835366487503,0.0003915818524546921,5.666149809258059e-05,0.00039675296284258366,0.034654997289180756,-0.09849362075328827,-0.1630096435546875,6.880402088165283,2.291529893875122,4.244734287261963,7.7215681076049805,8.693011283874512,6.858104120176054,0.12454801052808762,0.9984086751937866,0.9991735219955444,0.9998096823692322,0.9962749481201172,0.9997251629829407,0.004433974623680115,0.0012434212258085608,0.0001368923985864967,0.0010265313321724534,0.0881609320640564,-0.09420973807573318,-0.16332517564296722,6.687568664550781,5.067221164703369,5.456426620483398,5.569050312042236,5.297153472900391,5.327150344848633,6.724529266357422,5.712955951690674,7.457871913909912,5.9924116134643555,5.929234504699707,5.912919044494629,2.358579397201538,1.836099624633789,2.0201053619384766,2.062556028366089,1.997724175453186,2.037489652633667,2.379382371902466,2.0912764072418213,2.5529329776763916,2.2183830738067627,2.1554529666900635,2.151334524154663
5,7.663460731506348,2.5529510974884033,4.823672771453857,8.37768268585205,9.608951568603516,7.657472310442912,0.10894328355789185,0.9993593096733093,0.9998429417610168,0.9996945261955261,0.9987308979034424,0.9999023079872131,0.0015558748273178935,0.0005098096444271505,6.73044633003883e-05,0.00048274319851770997,0.03866387531161308,-0.09636978060007095,-0.1565832942724228,5.185551166534424,1.8122422695159912,3.0727837085723877,6.11277437210083,6.58716344833374,5.175902950618975,0.1554640680551529,0.9990310668945312,0.9997532367706299,0.9997493028640747,0.9974731206893921,0.999875545501709,0.009157894179224968,0.0017821546643972397,0.00014583677693735808,0.0011332088615745306,0.18567895889282227,-0.08482290059328079,-0.19130827486515045,7.868161678314209,5.689147472381592,6.306976795196533,6.28521203994751,6.393929958343506,6.244943618774414,8.13145923614502,6.532073974609375,9.431407928466797,7.0232133865356445,6.990652561187744,6.946638107299805,2.8710005283355713,2.1978700160980225,2.4273629188537598,2.4627525806427,2.41540265083313,2.434819221496582,2.916081428527832,2.5131680965423584,3.193328380584717,2.671905040740967,2.6103692054748535,2.6037402153015137
6,6.853198528289795,2.224684476852417,4.172940731048584,7.7271037101745605,8.60902214050293,6.8498816464087495,0.12034229934215546,0.9995889663696289,0.9997785687446594,0.9997884035110474,0.9991621375083923,0.9999355673789978,0.0023935073986649513,0.0006434759707190096,7.570117304567248e-05,0.0005549038178287446,0.07923967391252518,-0.09407798200845718,-0.1651192158460617,4.885140895843506,1.800463080406189,2.872288465499878,5.770779132843018,6.250705242156982,4.87987241328749,0.1648060828447342,0.9994015693664551,0.9998054504394531,0.9998375177383423,0.9984277486801147,0.9999085664749146,0.00998524110764265,0.001996837556362152,0.00013841163308825344,0.001119483495131135,0.21725133061408997,-0.08262493461370468,-0.21389171481132507,8.15036678314209,5.912387371063232,6.52744722366333,6.208126068115234,6.612978935241699,6.905367374420166,8.513957977294922,6.974161148071289,10.089653968811035,7.094332695007324,7.2988786697387695,7.2470574378967285,3.369403123855591,2.5507259368896484,2.820438861846924,2.8194422721862793,2.8179521560668945,2.861013889312744,3.4462742805480957,2.940481424331665,3.847452402114868,3.0938422679901123,3.0567026138305664,3.046495199203491
7,5.328506946563721,1.7681896686553955,3.139805555343628,6.255341053009033,6.697851181030273,5.326924410467929,0.14553749561309814,0.9997262954711914,0.9999985098838806,0.9998151659965515,0.999393880367279,0.999967098236084,0.004467841237783432,0.0009185140952467918,8.569826604798436e-05,0.0006439089775085449,0.1533801257610321,-0.0851224735379219,-0.19955947995185852,3.108250856399536,1.3814702033996582,1.8608142137527466,3.6263608932495117,3.989522933959961,3.106600804105457,0.22523239254951477,0.9996181726455688,0.9999972581863403,0.9998687505722046,0.9989086389541626,0.9999585747718811,0.023690540343523026,0.0038068133872002363,0.0001534362236270681,0.0012421048013493419,0.3572596609592438,-0.0423167459666729,-0.3163946866989136,11.47308349609375,7.1840128898620605,8.351223945617676,8.270669937133789,8.37768840789795,8.173792839050293,12.125734329223633,9.16757869720459,14.609678268432617,9.346905708312988,9.708037376403809,9.473041534423828,4.10473108291626,2.9818687438964844,3.3382441997528076,3.3229598999023438,3.3294849395751953,3.353288173675537,4.246087074279785,3.51703143119812,4.849055767059326,3.669062852859497,3.6711814403533936,3.6462035179138184
8,3.93112850189209,1.440650224685669,2.3131442070007324,4.659796237945557,4.92038631439209,3.930711010006784,0.17500001192092896,0.9998888969421387,0.9999294281005859,0.9998876452445984,0.9997933506965637,0.9999856948852539,0.008486087433993816,0.0014285801444202662,9.681908704806119e-05,0.0007414545980282128,0.244652658700943,-0.06500682234764099,-0.2598154842853546,2.265062093734741,1.1600106954574585,1.4082527160644531,2.526028633117676,2.871755599975586,2.26446774715833,0.2557324767112732,0.9997872114181519,0.9999526143074036,0.9998495578765869,0.9994834661483765,0.9999723434448242,0.04349692165851593,0.006513477303087711,0.0001637945679249242,0.0015024286694824696,0.46204403042793274,0.015896793454885483,-0.43167996406555176,15.660378456115723,8.4121675491333,10.231390953063965,10.938139915466309,11.706515312194824,10.297117233276367,16.41398811340332,12.211867332458496,19.75653648376465,12.292263984680176,12.792037010192871,12.078911781311035,5.143864631652832,3.4831292629241943,3.9700424671173096,4.009393692016602,4.095621109008789,3.987995147705078,5.362239360809326,4.307861328125,6.2427520751953125,4.448546409606934,4.5051445960998535,4.4324469566345215
9,3.3333733081817627,1.328702688217163,1.9684396982192993,3.9145278930664062,4.1899871826171875,3.333046669383658,0.19406220316886902,0.99989253282547,0.9999841451644897,0.9998329281806946,0.9998398423194885,0.9999891519546509,0.012144162319600582,0.0019794024992734194,0.0001057667177519761,0.0008389321155846119,0.3055035471916199,-0.0487191416323185,-0.29531553387641907,2.2598023414611816,1.163115382194519,1.3932995796203613,2.4906203746795654,2.892866611480713,2.259283073152846,0.2555305063724518,0.9997373223304749,1.0,0.9999018907546997,0.9992355108261108,0.9999776482582092,0.04462762176990509,0.007062479387968779,0.00016713248624000698,0.0013871651608496904,0.47429510951042175,0.012827308848500252,-0.39185717701911926,16.906307220458984,8.720186233520508,9.608219146728516,11.594101905822754,12.044088363647461,11.309699058532715,16.981037139892578,12.936741828918457,20.025684356689453,12.74618148803711,13.287223815917969,12.541120529174805,6.2416605949401855,3.9758219718933105,4.500366687774658,4.719130039215088,4.84292459487915,4.677159786224365,6.462635517120361,5.1142048835754395,7.5600738525390625,5.220184803009033,5.331416606903076,5.201844215393066
