step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,3.3204526901245117,2.0220420360565186,2.330850601196289,3.3219516277313232,4.34711217880249,3.317857366743103,0.18125903606414795,0.9995378851890564,0.9997125864028931,0.9996811151504517,0.9993618130683899,0.999761700630188,0.0001595544017618522,9.240616782335564e-05,1.4133472177491058e-05,9.404605225427076e-05,0.22673910856246948,-0.01712539978325367,-0.17382505536079407,3.3204522132873535,2.0220420360565186,2.330850839614868,3.3219516277313232,4.347112655639648,3.3178573673067726,0.18125906586647034,0.9995378255844116,0.9997126460075378,0.9996812343597412,0.9993618726730347,0.9997617602348328,0.0015955440467223525,0.0009240616345778108,0.00014133471995592117,0.0009404605370946229,0.22673910856246948,-0.01712540164589882,-0.17382508516311646,1.8499560356140137,1.784920573234558,1.8993122577667236,1.2191412448883057,1.7378731966018677,1.504101276397705,2.3600120544433594,2.3370940685272217,2.2105538845062256,1.8651162385940552,1.8768081665039062,1.8263623714447021,0.1849956214427948,0.17849205434322357,0.1899312287569046,0.12191413342952728,0.17378732562065125,0.15041013062000275,0.23600120842456818,0.2337094098329544,0.22105538845062256,0.18651163578033447,0.18768082559108734,0.18263624608516693
1,3.39445424079895,2.0897111892700195,2.3933897018432617,3.3865816593170166,4.447741508483887,3.3935579363754345,0.16728878021240234,0.9997761845588684,0.9999240040779114,0.9998092651367188,0.9997697472572327,0.9997403621673584,0.0002828600408975035,0.00017304555512964725,2.622129068186041e-05,0.00018008732877206057,0.22141365706920624,-0.019863976165652275,-0.2163277268409729,3.4602134227752686,2.222050905227661,2.498628854751587,3.4477288722991943,4.461514949798584,3.4583296339858944,0.18559569120407104,0.9996451139450073,0.9997673034667969,0.999742329120636,0.999508798122406,0.9998408555984497,0.0015244813403114676,0.000927596993278712,0.00014090078184381127,0.0009513488039374352,0.30300918221473694,-0.019904902204871178,-0.31586557626724243,2.4597930908203125,1.7688827514648438,1.980392336845398,1.6488316059112549,1.6167693138122559,1.527209758758545,2.2243945598602295,1.6859643459320068,2.655088186264038,2.0634000301361084,1.963072657585144,1.9181016683578491,0.4067420959472656,0.3317914605140686,0.365519255399704,0.26366516947746277,0.31283947825431824,0.2801979184150696,0.429584264755249,0.37476062774658203,0.4607115685939789,0.370120644569397,0.3595932424068451,0.3497297763824463
2,3.3120105266571045,2.013192892074585,2.276141881942749,3.3230772018432617,4.407186985015869,3.311335203743365,0.12780974805355072,0.999796986579895,0.9990079402923584,0.9996958374977112,0.9998437166213989,0.9998655319213867,0.00038470691652037203,0.00024893038789741695,3.682464739540592e-05,0.00025639261002652347,0.17432601749897003,-0.0177371334284544,-0.16270896792411804,3.0575571060180664,1.9950321912765503,2.13161563873291,3.0806796550750732,3.9821012020111084,3.0553833779345387,0.10301660001277924,0.9995332360267639,0.9994508624076843,0.9998082518577576,0.9994570016860962,0.9993388652801514,0.0014768564142286777,0.0009609495173208416,0.00013941149518359452,0.0009908057982102036,0.26873087882995605,-0.0036377396900206804,-0.21797214448451996,1.6649253368377686,1.3873064517974854,1.6644357442855835,1.8399327993392944,1.7352105379104614,1.8932814598083496,2.119824171066284,1.8185447454452515,1.8621684312820435,1.9144796133041382,1.7900108098983765,1.7103327512741089,0.5270806550979614,0.4289300739765167,0.49018770456314087,0.4073368012905121,0.4482569098472595,0.43225717544555664,0.592816174030304,0.5152624845504761,0.596632719039917,0.520564079284668,0.4959324896335602,0.4786260426044464
3,3.246030807495117,1.9660048484802246,2.1926779747009277,3.2572433948516846,4.381975173950195,3.245475640599119,0.10832228511571884,0.9998230934143066,0.9999411106109619,0.9997143745422363,0.9998527765274048,0.9999038577079773,0.00047845966764725745,0.0003107611555606127,4.594377242028713e-05,0.00031909276731312275,0.23277384042739868,-0.012851382605731487,-0.15797755122184753,2.9673216342926025,1.9135327339172363,2.0325894355773926,2.9742066860198975,3.939497709274292,2.9655695677461122,0.15208324790000916,0.9995973706245422,0.9985053539276123,0.99977707862854,0.9995208978652954,0.999581515789032,0.0014682235196232796,0.0009223399101756513,0.00013547005073633045,0.0009464421309530735,0.41584423184394836,0.009119005873799324,-0.16641977429389954,2.0854642391204834,1.5197877883911133,1.4722567796707153,1.969635009765625,1.1894474029541016,1.7532316446304321,1.7061249017715454,1.985567569732666,1.6164395809173584,1.6265826225280762,1.6924537420272827,1.6222692728042603,0.6784821152687073,0.5273444056510925,0.5833029747009277,0.557237982749939,0.513278603553772,0.5589180588722229,0.6972556710243225,0.6548977494239807,0.6916505694389343,0.6245864629745483,0.6086954474449158,0.5851196646690369
4,3.1959521770477295,1.925904393196106,2.155668258666992,3.208230495452881,4.278757095336914,3.1955710636119496,0.1029481589794159,0.999860405921936,0.9999096989631653,0.9998171329498291,0.999883770942688,0.9998626112937927,0.0005839188816025853,0.0003699036024045199,5.488528040586971e-05,0.0003821328573394567,0.22067959606647491,-0.011151691898703575,-0.11227741837501526,3.061054229736328,1.9342830181121826,2.114356756210327,3.07738995552063,3.9431405067443848,3.059361166418251,0.11250714212656021,0.9996373653411865,0.9998146295547485,0.9997462630271912,0.999446451663971,0.9999232292175293,0.0014204572653397918,0.0009170858538709581,0.00013884827785659581,0.0009758101659826934,0.25058043003082275,-0.002728681080043316,-0.25451934337615967,1.7978320121765137,1.23774254322052,1.5809534788131714,1.8683321475982666,1.72616446018219,1.7388230562210083,1.9801825284957886,1.823980689048767,1.8371689319610596,1.8578314781188965,1.7449010610580444,1.6691014766693115,0.7843484878540039,0.5895724892616272,0.6757369041442871,0.6833415031433105,0.6261678338050842,0.6727957129478455,0.8200266361236572,0.7686620354652405,0.7988531589508057,0.7403141856193542,0.7159819006919861,0.6869247555732727
5,3.190462589263916,1.9286867380142212,2.1717677116394043,3.1887173652648926,4.252108573913574,3.1900397198755006,0.11003078520298004,0.999847948551178,0.9995882511138916,0.9997782707214355,0.9998879432678223,0.9998592138290405,0.0006649746210314333,0.00041987095028162,6.276879139477387e-05,0.0004498331982176751,0.20471586287021637,-0.011340376920998096,-0.10971055924892426,3.132596969604492,2.1036012172698975,2.318269968032837,3.0678811073303223,4.011651039123535,3.1303663610118266,0.17617680132389069,0.999579906463623,0.9992060661315918,0.99967360496521,0.9993749856948853,0.9999669790267944,0.0014534501824527979,0.0008923258865252137,0.00013933116861153394,0.0010098565835505724,0.25186336040496826,-0.007341048680245876,-0.18649181723594666,2.178738832473755,1.520403265953064,1.7036874294281006,1.9150735139846802,1.6877206563949585,1.238531231880188,1.6027113199234009,1.962263822555542,2.4119796752929688,1.8579837083816528,1.807909369468689,1.7488081455230713,0.9187554121017456,0.6733691692352295,0.7716106176376343,0.7991445660591125,0.7257142663002014,0.7212662100791931,0.8918442130088806,0.8836911916732788,0.9562716484069824,0.847244381904602,0.818891167640686,0.7861230373382568
6,3.152745246887207,1.955639362335205,2.1506245136260986,3.1374833583831787,4.207852840423584,3.152154028681906,0.12290772050619125,0.9998019933700562,1.0,0.9996362924575806,0.9998478293418884,0.9999064207077026,0.000722238386515528,0.00046683699474669993,7.061850919853896e-05,0.0005061709671281278,0.1675684154033661,-0.009362219832837582,-0.108978770673275,2.9348981380462646,2.211608409881592,2.121756076812744,2.873763084411621,3.7931416034698486,2.93311206148746,0.1858915537595749,0.9997049570083618,0.9999678730964661,0.9996839761734009,0.9996024966239929,0.999958872795105,0.0013692858628928661,0.000958490651100874,0.0001476517500123009,0.0010345152113586664,0.3484013080596924,0.00385966245085001,-0.23328205943107605,2.2338929176330566,1.3368607759475708,1.5507053136825562,1.6602177619934082,1.4960658550262451,1.4553276300430298,1.8827975988388062,1.850546956062317,2.0705461502075195,2.375574827194214,1.791253685951233,1.72458016872406,1.0451436042785645,0.7307490110397339,0.8405748009681702,0.8769270181655884,0.7948520183563232,0.780938446521759,0.9849536418914795,0.972498893737793,1.0573621988296509,0.9941346049308777,0.9078134894371033,0.8718394637107849
7,3.1794040203094482,1.9995123147964478,2.1810462474823,3.1561636924743652,4.221494674682617,3.1790456402708656,0.12917083501815796,0.9998692870140076,0.999801516532898,0.9998246431350708,0.9998934864997864,0.999873697757721,0.0008367240661755204,0.0005068054306320846,7.690724305575714e-05,0.0005569560453295708,0.19609177112579346,-0.012381686829030514,-0.09777788817882538,3.1442110538482666,2.2796332836151123,2.337406873703003,3.0834569931030273,3.9461257457733154,3.142714812778792,0.17588356137275696,0.9996715784072876,0.9982979893684387,0.9997049570083618,0.9995781183242798,0.9998976588249207,0.0016415826976299286,0.0009500132291577756,0.00014218415890354663,0.001032479340210557,0.31344833970069885,-0.015973392874002457,-0.27418720722198486,2.045091390609741,1.63544762134552,1.4574472904205322,1.8250499963760376,1.5966588258743286,1.9567906856536865,2.0975966453552246,2.0326201915740967,2.546976089477539,2.525912284851074,1.971959114074707,1.908050298690796,1.1388864517211914,0.8132709264755249,0.8938372135162354,0.9658170342445374,0.8589522242546082,0.8926623463630676,1.0893932580947876,1.0722858905792236,1.1966712474822998,1.1391105651855469,1.0060887336730957,0.9677103161811829
8,3.107804536819458,1.9803839921951294,2.1554224491119385,3.0740160942077637,4.096721649169922,3.1074342210915784,0.12975461781024933,0.9998565912246704,0.9994103312492371,0.9997358322143555,0.9998850226402283,0.9999619126319885,0.0009023004095070064,0.0005460681859403849,8.373291348107159e-05,0.0006062971660867333,0.1786980926990509,-0.009690315462648869,-0.11264743655920029,2.7892465591430664,2.132154703140259,2.127758741378784,2.7079925537109375,3.521482467651367,2.7877168103693077,0.17141053080558777,0.999671459197998,0.9999231100082397,0.999692440032959,0.9996098875999451,0.999779224395752,0.0014833230525255203,0.0009662445518188179,0.00014973896031733602,0.001036375411786139,0.3012489676475525,0.009585545398294926,-0.22289322316646576,2.0236001014709473,1.4728386402130127,1.740100622177124,1.6464561223983765,1.3815993070602417,1.5705523490905762,2.301898241043091,2.059297561645508,2.181180477142334,1.5399943590164185,1.791751742362976,1.7112295627593994,1.2175217866897583,0.8715442419052124,0.9674575924873352,1.0261763334274292,0.9021945595741272,0.9548795819282532,1.2025209665298462,1.157556414604187,1.2851412296295166,1.1598321199417114,1.0744825601577759,1.0314104557037354
9,3.0806312561035156,2.012598752975464,2.165894031524658,3.0352165699005127,4.034383296966553,3.0802426125380986,0.1327744424343109,0.9998612403869629,0.9998059272766113,0.9997265934944153,0.9998868107795715,0.9999684691429138,0.0009923907928168774,0.0005793324089609087,8.954787335824221e-05,0.000648960005491972,0.18634603917598724,-0.009123283438384533,-0.10571126639842987,2.943809986114502,2.331993818283081,2.3056552410125732,2.8331243991851807,3.7006192207336426,2.9423434001652677,0.18081043660640717,0.9996904134750366,0.9999024868011475,0.9996968507766724,0.9996086359024048,0.9998539686203003,0.0016804806655272841,0.0009299359517171979,0.00014775361341889948,0.00102325901389122,0.3266949951648712,-0.0021644062362611294,-0.18612290918827057,1.968841791152954,1.5932307243347168,1.7514361143112183,1.7669677734375,1.6147265434265137,1.653125286102295,1.9632112979888916,1.703811764717102,2.809264898300171,1.863710880279541,1.8688328266143799,1.7982162237167358,1.2854593992233276,0.9346009492874146,1.0376852750778198,1.092826247215271,0.9648067355155945,1.0151561498641968,1.266419768333435,1.2018864154815674,1.4266945123672485,1.2237169742584229,1.1449252367019653,1.0985450744628906
