step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,0.9119292497634888,0.9122366905212402,0.7703306674957275,0.9101794958114624,1.081523060798645,0.9116739467517546,0.033551257103681564,0.9998084902763367,0.9998959898948669,0.9999117255210876,0.9996825456619263,0.9999659657478333,0.00014058795932214707,9.50299363466911e-05,1.3711891369894147e-05,9.338500967714936e-05,0.7070983648300171,0.4975748062133789,0.20223575830459595,0.9119293689727783,0.912236750125885,0.7703306078910828,0.9101794362068176,1.081523060798645,0.9116739468630677,0.033551253378391266,0.9998084902763367,0.9998961091041565,0.9999116063117981,0.999682605266571,0.9999659061431885,0.0014058796223253012,0.0009502993780188262,0.00013711895735468715,0.0009338501840829849,0.7070983648300171,0.4975748062133789,0.20223578810691833,0.7325412631034851,0.7449557185173035,0.7362716197967529,0.7423481345176697,0.7985528111457825,0.7009412050247192,0.7423419952392578,0.7352661490440369,0.7577861547470093,0.7122014164924622,0.7403206825256348,0.499123752117157,0.07325412333011627,0.0744955763220787,0.07362715899944305,0.07423481345176697,0.0798552855849266,0.07009412348270416,0.07423420250415802,0.07352661341428757,0.07577861845493317,0.07122014462947845,0.07403206825256348,0.04991237446665764
1,0.7074962258338928,0.69976407289505,0.6034625172615051,0.6993569731712341,0.8425690531730652,0.7074461248806901,0.08681691437959671,0.9999198317527771,1.0,0.9999089241027832,0.9999033212661743,0.9999714493751526,0.0002527751203160733,0.00017720616597216576,2.6064632038469426e-05,0.0001835182192735374,0.8070477247238159,0.6369419693946838,0.4251463711261749,0.9512856006622314,0.9714118242263794,0.8384137153625488,0.93451327085495,1.1085048913955688,0.9509374220655752,0.08929981291294098,0.9997448921203613,1.0,0.999793529510498,0.9996256828308105,0.9999622702598572,0.0013422666816040874,0.0009342627599835396,0.00014237688446883112,0.0009567394154146314,0.77671217918396,0.47730937600135803,0.18971765041351318,0.6866547465324402,0.6631208658218384,0.7492291331291199,0.7837809324264526,0.7814827561378479,0.7192859053611755,0.9059413075447083,0.794392466545105,0.7622543573379517,0.8500332236289978,0.7696175575256348,0.532561182975769,0.1086280420422554,0.11313249915838242,0.1278093010187149,0.12080387771129608,0.13273991644382477,0.12140122801065445,0.14760442078113556,0.1324622929096222,0.11865147203207016,0.13409484922885895,0.12573279440402985,0.07289166003465652
2,0.6362545490264893,0.6041143536567688,0.534489631652832,0.632495641708374,0.7624958753585815,0.6362139093336308,0.06861613690853119,0.999928891658783,0.99992835521698,0.9999377131462097,0.9999325275421143,0.9999076128005981,0.0003594141744542867,0.00024400553957093507,3.65341838914901e-05,0.00026380547205917537,0.8561136722564697,0.6883849501609802,0.43493813276290894,1.0927766561508179,0.9690812230110168,0.9114677906036377,1.0970423221588135,1.2940537929534912,1.0923226416122973,0.09591446816921234,0.9997577667236328,0.9997830986976624,0.9998838305473328,0.9996039271354675,0.9999583959579468,0.0013444276992231607,0.0008854573825374246,0.0001382061163894832,0.0009647622937336564,0.6686527132987976,0.40879154205322266,0.02045965939760208,0.755291223526001,0.811148464679718,0.7397367358207703,0.8222865462303162,0.9281007647514343,0.7494362592697144,0.857045590877533,0.8543647527694702,0.6375311613082886,0.7772104144096375,0.7932152152061462,0.5878638625144958,0.15916959941387177,0.16317777335643768,0.16775186359882355,0.15543970465660095,0.19417597353458405,0.17144271731376648,0.17457762360572815,0.18118096888065338,0.15469370782375336,0.17266112565994263,0.16942711174488068,0.0911640077829361
3,0.5319340229034424,0.5072567462921143,0.4520881772041321,0.5317865610122681,0.6279726624488831,0.531915121765172,0.04429325833916664,0.9999572038650513,0.9997784495353699,0.9999470710754395,0.9999585747718811,0.9999768733978271,0.00047271986841224134,0.0003052310203202069,4.6084369387244806e-05,0.00033613169216550887,0.8681753873825073,0.7601942420005798,0.508196234703064,0.9730358123779297,0.819773256778717,0.8287543654441833,0.978795051574707,1.1424555778503418,0.9727630736157581,0.05861912667751312,0.9997652769088745,0.9999231100082397,0.9998523592948914,0.9997316002845764,0.9997125864028931,0.0015656471950933337,0.0009058004361577332,0.00013685466547030956,0.0009789554169401526,0.7457523941993713,0.4655885696411133,0.17309539020061493,0.7193106412887573,0.6866021156311035,0.7913697957992554,0.7288356423377991,0.7322296500205994,0.8099573254585266,0.7348910570144653,0.6949973702430725,0.7337528467178345,0.8190527558326721,0.7450999617576599,0.520508348941803,0.19640271365642548,0.19569648802280426,0.20316259562969208,0.19281268119812012,0.21625718474388123,0.21583503484725952,0.20676423609256744,0.20324517786502838,0.19049136340618134,0.2130478471517563,0.20337152481079102,0.09560222923755646
4,0.46474453806877136,0.41855165362358093,0.39304935932159424,0.46460452675819397,0.5548564195632935,0.4647243353639539,0.028825942426919937,0.9999588131904602,0.9999741315841675,0.9999375939369202,0.9999648928642273,0.999973475933075,0.0006001418805681169,0.00036402602563612163,5.557765325647779e-05,0.0003962134651374072,0.8869413733482361,0.8045386672019958,0.674540638923645,0.9357687830924988,0.6538903117179871,0.7871873378753662,0.9427805542945862,1.123374342918396,0.9355000468463137,0.08794140815734863,0.9997606873512268,0.9999852180480957,0.9998925924301147,0.9996225237846375,0.9998824596405029,0.0017423935933038592,0.0009522348991595209,0.0001474130986025557,0.0009820590494200587,0.7227551341056824,0.4872344136238098,0.16487497091293335,0.7298112511634827,0.7987390756607056,0.7231702208518982,0.7760269045829773,0.6995178461074829,0.7462684512138367,0.9076616168022156,0.8079145550727844,0.6514736413955688,0.7338233590126038,0.7574406862258911,0.5195323824882507,0.23736701905727386,0.234280526638031,0.23713015019893646,0.23032763600349426,0.232506662607193,0.24856363236904144,0.23781755566596985,0.2316661775112152,0.22024135291576385,0.23439879715442657,0.23442994058132172,0.09884238243103027
5,0.4449637234210968,0.3705175518989563,0.37404221296310425,0.44683143496513367,0.5299065709114075,0.4449472080915578,0.036631178110837936,0.999962568283081,0.9999544024467468,0.9999669194221497,0.9999670386314392,0.9999464154243469,0.0006668971036560833,0.0004089650756213814,6.428086635423824e-05,0.0004530128207989037,0.9099694490432739,0.8192116022109985,0.6495493650436401,1.0714069604873657,0.5868004560470581,0.8760713338851929,1.1001368761062622,1.2795439958572388,1.0709489197907403,0.12465488165616989,0.9997532963752747,0.9998695254325867,0.9998703598976135,0.9996004700660706,0.9999197721481323,0.0020313591230660677,0.000886305992025882,0.0001460907224100083,0.0010128318099305034,0.6941249966621399,0.42466092109680176,0.10314928740262985,0.8709376454353333,0.7206101417541504,0.9895344376564026,0.6943820714950562,0.9198476076126099,0.8269875645637512,0.7110933065414429,0.7898867130279541,0.7011668682098389,0.7160424590110779,0.7940489053726196,0.584980845451355,0.26978063583374023,0.2656605541706085,0.2760619521141052,0.2545837163925171,0.27681607007980347,0.27586087584495544,0.25937268137931824,0.26201945543289185,0.246550515294075,0.25802335143089294,0.26447296142578125,0.10758952796459198
6,0.42309629917144775,0.32140037417411804,0.35512611269950867,0.4272823631763458,0.4997672736644745,0.4230638600796418,0.032920777797698975,0.9999459385871887,0.9997018575668335,0.9999709725379944,0.9999694228172302,0.9998764395713806,0.000818394124507904,0.0004435159789863974,7.278373232111335e-05,0.0005132783553563058,0.9213772416114807,0.833667516708374,0.6716112494468689,0.9172083735466003,0.4836295545101166,0.7600386738777161,0.9629486799240112,1.0620020627975464,0.91681753231254,0.06226516142487526,0.999717116355896,0.999954879283905,0.9998646974563599,0.9995527267456055,0.9998215436935425,0.0024543271865695715,0.0008929253672249615,0.00015074263501446694,0.00104361935518682,0.7747620344161987,0.498576819896698,0.03320331871509552,0.6881660223007202,0.8160941004753113,0.7406018972396851,0.7423170208930969,0.858550488948822,0.8107326626777649,0.740514874458313,0.8249034285545349,0.782383918762207,0.7702921628952026,0.7774556279182434,0.5265322923660278,0.29523587226867676,0.29341521859169006,0.29203712940216064,0.28293925523757935,0.30604034662246704,0.30630019307136536,0.2818370461463928,0.29461240768432617,0.28013864159584045,0.2786100506782532,0.2911166250705719,0.11349653452634811
7,0.41093090176582336,0.2725682854652405,0.33703869581222534,0.41885149478912354,0.4892563819885254,0.4109127297570382,0.033249448984861374,0.9999711513519287,1.0,0.9999659061431885,0.9999738931655884,0.9999684691429138,0.0010121522936969995,0.0004746541380882263,8.069143223110586e-05,0.0005652072723023593,0.9098091125488281,0.8421832919120789,0.6568926572799683,0.98435378074646,0.40679386258125305,0.7682406306266785,1.063126564025879,1.1770223379135132,0.9841657699778127,0.11323024332523346,0.9998317360877991,0.9999527931213379,0.9999108910560608,0.999727189540863,0.9998998641967773,0.0030203480273485184,0.0009290024754591286,0.00015085164341144264,0.0010960805229842663,0.7401286363601685,0.47362020611763,0.1159462109208107,0.7089549899101257,0.7807163596153259,0.7903041243553162,0.7274081110954285,0.9913978576660156,0.732723593711853,0.7618364095687866,0.873306155204773,0.9000549912452698,0.9353017210960388,0.8202003836631775,0.5790551900863647,0.31666964292526245,0.31889253854751587,0.3142787516117096,0.3043370544910431,0.34033143520355225,0.3278411626815796,0.30515092611312866,0.31345462799072266,0.31241583824157715,0.3066776394844055,0.3160049617290497,0.12017679214477539
8,0.3963455259799957,0.23623810708522797,0.32859373092651367,0.4075356423854828,0.46408531069755554,0.3963381932150542,0.04031587764620781,0.9999661445617676,0.9999995231628418,0.9999727010726929,0.9999699592590332,0.9999441504478455,0.001242747763171792,0.0005028541781939566,8.853345207171515e-05,0.0006114896386861801,0.9411369562149048,0.8531826734542847,0.70443195104599,0.980552077293396,0.37195470929145813,0.746972382068634,1.0614209175109863,1.2021390199661255,0.9802389710333704,0.11651104688644409,0.9998112916946411,0.9999376535415649,0.9998325109481812,0.9997096657752991,0.9999552369117737,0.0035081438254565,0.0009522542241029441,0.00015645577514078468,0.0011319653131067753,0.7003297805786133,0.4709888994693756,0.034336742013692856,0.7811920642852783,0.9086089730262756,0.8748205304145813,1.0887712240219116,1.0058521032333374,0.8576156497001648,0.7790188193321228,0.8676207065582275,0.8579390048980713,0.7289473414421082,0.8750386238098145,0.6167847514152527,0.34375888109207153,0.33595842123031616,0.33363455533981323,0.33317092061042786,0.37577003240585327,0.35360270738601685,0.3290744125843048,0.3402585983276367,0.3419933617115021,0.3257034420967102,0.3412925601005554,0.12585482001304626
9,0.35803377628326416,0.18565654754638672,0.29491424560546875,0.37240180373191833,0.42029130458831787,0.3580263984982512,0.029366962611675262,0.9999808073043823,0.9999988079071045,0.9999685883522034,0.9999806880950928,0.9999946355819702,0.001570291118696332,0.0005352000007405877,9.606879757484421e-05,0.0006774440407752991,0.94368976354599,0.8755568265914917,0.746679961681366,0.8506858944892883,0.2984413504600525,0.6092400550842285,0.9630109071731567,1.072567343711853,0.8505448291340887,0.11133920401334763,0.9998906850814819,0.9999933838844299,0.9999502301216125,0.9997813701629639,0.999970555305481,0.0043280418030917645,0.001072781509719789,0.00016310226055793464,0.0011289097601547837,0.7571775913238525,0.5526627898216248,0.22317937016487122,0.9174156785011292,0.874954342842102,0.9041498899459839,1.157700538635254,0.9123075604438782,1.01132071018219,0.7963420152664185,0.929780125617981,0.8375170826911926,0.7993731498718262,0.9140861630439758,0.5959433913230896,0.37446343898773193,0.36340343952178955,0.35765525698661804,0.36894869804382324,0.3848862648010254,0.37269556522369385,0.3471766710281372,0.36595529317855835,0.3632867932319641,0.35048919916152954,0.36489608883857727,0.12305225431919098
