step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,6.5411696434021,3.9995055198669434,4.454814910888672,6.534994125366211,8.807985305786133,6.533277150608188,0.09544780105352402,0.9993709325790405,0.9995498061180115,0.9996486306190491,0.9991183876991272,0.9996027946472168,0.00013625477731693536,9.152873826678842e-05,1.3460629816108849e-05,9.283658437198028e-05,0.07102446258068085,-0.08553784340620041,-0.21404863893985748,6.541170120239258,3.9995052814483643,4.45481538772583,6.534994602203369,8.807984352111816,6.533277153337335,0.09544778615236282,0.999370813369751,0.9995497465133667,0.9996486306190491,0.9991185069084167,0.9996029734611511,0.0013625476276502013,0.0009152873535640538,0.00013460626360028982,0.0009283660328947008,0.07102446258068085,-0.08553784340620041,-0.2140486240386963,3.638474225997925,3.0079729557037354,3.541257381439209,3.065235137939453,3.1532270908355713,3.6386449337005615,3.682446002960205,3.272111415863037,4.139597415924072,3.6455564498901367,3.478452444076538,3.454129934310913,0.36384743452072144,0.30079731345176697,0.3541257381439209,0.30652350187301636,0.3153226971626282,0.3638644814491272,0.36824461817741394,0.3272111415863037,0.4139597415924072,0.3645556569099426,0.3478452265262604,0.3454129993915558
1,6.423248291015625,4.003364086151123,4.392603874206543,6.426523208618164,8.54826545715332,6.419889003719201,0.09448382258415222,0.9995988607406616,0.9999043345451355,0.9994379281997681,0.9995596408843994,0.9999074339866638,0.00025791238294914365,0.00017263506015297025,2.523806870158296e-05,0.00017254702106583863,0.11591098457574844,-0.08418365567922592,-0.17458899319171906,6.18483829498291,3.8490757942199707,4.270903587341309,6.19981050491333,8.12905216217041,6.176983543050613,0.10242559760808945,0.9992104768753052,0.999999463558197,0.9997290968894958,0.9986324906349182,0.9998552203178406,0.0014768614200875163,0.0009315569186583161,0.00013621035031974316,0.000958492630161345,0.1643780916929245,-0.08193934708833694,-0.20290689170360565,3.6612963676452637,2.856245756149292,2.9920599460601807,3.3155500888824463,3.1302361488342285,3.292757987976074,3.81097674369812,3.171356201171875,3.9317266941070557,3.67988657951355,3.384209394454956,3.3583011627197266,0.6909005045890808,0.5537018775939941,0.6141594052314758,0.604673445224762,0.5940595269203186,0.6539422273635864,0.71000736951828,0.6096673607826233,0.7638238072395325,0.6946535110473633,0.6489589214324951,0.6440902352333069
2,6.3780517578125,3.656477928161621,4.355321884155273,6.412182331085205,8.375602722167969,6.376301711247373,0.09658760577440262,0.9997580051422119,0.9994987845420837,0.9996781349182129,0.999742865562439,0.9999144077301025,0.00041306574712507427,0.0002466286823619157,3.5895933251595125e-05,0.0002503075229469687,0.08492666482925415,-0.08439908176660538,-0.17087920010089874,6.119368076324463,2.9579567909240723,4.1600141525268555,6.231119632720947,7.900064945220947,6.112048841612626,0.10374391078948975,0.9992434978485107,0.9998784065246582,0.9997377395629883,0.9987591505050659,0.9996283650398254,0.0017660725861787796,0.0009222460212185979,0.00013438114547170699,0.0009273217874579132,0.032156236469745636,-0.08291427791118622,-0.19829219579696655,3.592735528945923,2.6650390625,3.4501943588256836,3.119832754135132,3.1460068225860596,3.5442709922790527,3.789531946182251,3.1730897426605225,3.9354143142700195,3.452606439590454,3.3868720531463623,3.3604750633239746,0.9763425588607788,0.7609003782272339,0.8943185806274414,0.8527354001998901,0.8464484810829163,0.9396596550941467,1.0150707960128784,0.8635350465774536,1.0777193307876587,0.9680090546607971,0.9194739460945129,0.912604033946991
3,6.257138729095459,3.1332781314849854,4.2367167472839355,6.368544101715088,8.05589485168457,6.2553732640582975,0.08702243864536285,0.9997413754463196,0.9994649291038513,0.9995240569114685,0.9997808337211609,0.9999489784240723,0.0005865065613761544,0.000314710516249761,4.605522190104239e-05,0.0003186401736456901,0.07852426171302795,-0.0840226337313652,-0.15825727581977844,5.6483612060546875,2.1630332469940186,3.7204372882843018,5.9693145751953125,7.08161735534668,5.641750450879057,0.08476660400629044,0.9993287920951843,0.9998509287834167,0.9997537136077881,0.9987318515777588,0.9998656511306763,0.0022626889403909445,0.0009742387919686735,0.00013711907377000898,0.0009116699802689254,0.06778907030820847,-0.07809959352016449,-0.21806500852108002,4.025437355041504,3.398287534713745,3.3041110038757324,3.615351676940918,3.138216257095337,3.2644460201263428,3.978614330291748,3.488696336746216,3.8532180786132812,3.870544195175171,3.5936925411224365,3.5513527393341064,1.2752690315246582,1.0176137685775757,1.1304359436035156,1.1231603622436523,1.0697718858718872,1.1659795045852661,1.30446457862854,1.1205202341079712,1.347213625907898,1.251281976699829,1.1805710792541504,1.1701828241348267
4,5.923689365386963,2.419703483581543,3.952735185623169,6.1960062980651855,7.375347137451172,5.921992528268657,0.09348203986883163,0.9997240304946899,0.9967718720436096,0.999727725982666,0.9998181462287903,0.999819278717041,0.0008807731210254133,0.0003841389261651784,5.544809391722083e-05,0.00038444058736786246,0.06811259686946869,-0.08259012550115585,-0.15417884290218353,4.640981197357178,1.5577197074890137,2.983112096786499,5.226938724517822,5.531373023986816,4.63448917438877,0.13111411035060883,0.9993510842323303,0.9973018169403076,0.9997937083244324,0.9989309310913086,0.9998072981834412,0.0040713343769311905,0.001151391537860036,0.000132285276777111,0.000964950246270746,0.1635006070137024,-0.07049791514873505,-0.2363882064819336,3.843681573867798,3.420793056488037,3.837204694747925,3.4244017601013184,3.690605878829956,3.9497787952423096,4.416318893432617,3.3204047679901123,5.122977256774902,4.011983871459961,3.9038150310516357,3.8488924503326416,1.5190465450286865,1.2450535297393799,1.3913774490356445,1.344452142715454,1.321280837059021,1.4325257539749146,1.6005589962005615,1.331500768661499,1.7014071941375732,1.5138605833053589,1.4401063919067383,1.4262058734893799
5,5.440537929534912,1.9373842477798462,3.5465004444122314,5.850214958190918,6.652357578277588,5.43989264892608,0.09957463294267654,0.9998706579208374,0.9999637603759766,0.9997972846031189,0.999860405921936,0.9999580979347229,0.0012720604427158833,0.000464308395748958,6.533320993185043e-05,0.0004506701079662889,0.06625020503997803,-0.07885279506444931,-0.1618901491165161,4.0275468826293945,1.3276700973510742,2.495839834213257,4.597740173339844,4.847565650939941,4.0255234445687105,0.160498708486557,0.9996873736381531,0.9998556971549988,0.9998502135276794,0.999525249004364,0.9996896982192993,0.00593779468908906,0.0013343434548005462,0.0001404666982125491,0.0010431240079924464,0.21359136700630188,-0.05795267969369888,-0.22935765981674194,4.194648265838623,3.054039716720581,4.080105781555176,3.9762003421783447,4.650201797485352,3.5589771270751953,4.140343189239502,4.4683732986450195,5.567107677459717,5.122966289520264,4.281296730041504,4.208311557769775,1.77254056930542,1.4147130250930786,1.6483749151229858,1.5950242280960083,1.6396112442016602,1.629137396812439,1.835844874382019,1.6347181797027588,2.0661473274230957,1.8574906587600708,1.709360122680664,1.6895111799240112
6,4.394853115081787,1.3811684846878052,2.7074105739593506,5.015026569366455,5.315855026245117,4.3943654149613165,0.1291189193725586,0.9998716711997986,1.0,0.9997606873512268,0.9998818635940552,0.9999601244926453,0.0023896971251815557,0.0006184202502481639,7.475041638826951e-05,0.0005238904268480837,0.13903388381004333,-0.06560434401035309,-0.20638863742351532,2.5502281188964844,0.9429410696029663,1.4982409477233887,3.0846714973449707,3.1285808086395264,2.549632689066771,0.23216450214385986,0.9997849464416504,0.9999961256980896,0.9998888969421387,0.9997708201408386,0.9996208548545837,0.014527729712426662,0.0024641244672238827,0.00014061440015211701,0.001152226934209466,0.3557078242301941,0.0026994652580469847,-0.3490298092365265,5.4958109855651855,3.424300193786621,4.303447246551514,4.594692707061768,4.336124897003174,4.863996982574463,6.555649280548096,4.580397605895996,7.628045558929443,6.314985752105713,5.209745407104492,4.979188919067383,2.1115620136260986,1.596342921257019,1.8923169374465942,1.8664876222610474,1.881525993347168,1.9282435178756714,2.2667737007141113,1.9057966470718384,2.5677225589752197,2.2579002380371094,2.0274672508239746,1.993347406387329
7,2.983055353164673,0.9596184492111206,1.7699185609817505,3.548590898513794,3.58842134475708,2.98280111686594,0.15924441814422607,0.9998911023139954,0.9999549984931946,0.9997860789299011,0.999929666519165,0.9999468326568604,0.005751257296651602,0.001011515036225319,8.767135295784101e-05,0.0006441779551096261,0.27444806694984436,-0.020384270697832108,-0.3014809489250183,1.5957553386688232,0.714472770690918,0.95970618724823,1.8368184566497803,1.9584550857543945,1.595632710867637,0.234111487865448,0.9999263286590576,0.9999697208404541,0.9998980760574341,0.9998891353607178,0.9999814033508301,0.03425951674580574,0.005095187108963728,0.00017355485761072487,0.0014308142708614469,0.5789493918418884,0.14029929041862488,-0.5540761351585388,9.461908340454102,4.428201675415039,6.836277484893799,7.446247577667236,8.035923957824707,8.01805305480957,9.73648738861084,7.792244911193848,12.177566528320312,9.509033203125,8.344194412231445,7.261753082275391,2.7612080574035645,1.8477879762649536,2.3038952350616455,2.3577184677124023,2.4153337478637695,2.46431040763855,2.905247688293457,2.4326605796813965,3.4345412254333496,2.8914599418640137,2.581416368484497,2.4783918857574463
8,1.9518834352493286,0.704826831817627,1.164685606956482,2.3151960372924805,2.3339319229125977,1.9517858076636947,0.20458751916885376,0.9999294877052307,0.9998300671577454,0.9998751282691956,0.9999454021453857,0.9999911785125732,0.011853962205350399,0.00171746127307415,0.00010417427256470546,0.000711634464096278,0.40759944915771484,0.07593730837106705,-0.4365123212337494,1.026612401008606,0.5271780490875244,0.6478344202041626,1.1354076862335205,1.250351905822754,1.0265556927365815,0.2975921928882599,0.9999462366104126,0.9999793767929077,0.9999085664749146,0.9999198317527771,0.9999953508377075,0.06663993746042252,0.00858041737228632,0.00020020267402287573,0.001406873925589025,0.6556454300880432,0.3538508713245392,-0.5617944598197937,13.248908042907715,3.4057815074920654,10.27657699584961,10.034544944763184,11.905905723571777,10.990408897399902,14.264307975769043,10.317151069641113,17.101221084594727,13.576923370361328,11.51217269897461,8.603934288024902,3.6362974643707275,1.9517369270324707,2.990467071533203,3.0036702156066895,3.2369303703308105,3.2243199348449707,3.9219651222229004,3.0743815898895264,4.684096813201904,3.806013822555542,3.3529880046844482,3.0459587574005127
9,1.6020281314849854,0.6632795333862305,0.9774296283721924,1.8727526664733887,1.919711709022522,1.6019933984360255,0.23796603083610535,0.9999582171440125,0.9999548196792603,0.9999358654022217,0.9999664425849915,0.9999715089797974,0.01743607595562935,0.0024234408047050238,0.00011569006892386824,0.0008026966243050992,0.501162588596344,0.14129304885864258,-0.49479615688323975,1.0669047832489014,0.6225652098655701,0.7251067757606506,1.1625322103500366,1.2864354848861694,1.0668740181168999,0.3203682005405426,0.9999637603759766,0.9999777674674988,0.9999459981918335,0.999945878982544,0.9999913573265076,0.07104181498289108,0.008894908241927624,0.0001901406649267301,0.0012983825290575624,0.6993628740310669,0.3283455967903137,-0.5785725712776184,13.958246231079102,3.886319875717163,9.465054512023926,11.139533042907715,11.329719543457031,11.782703399658203,15.43937873840332,10.125208854675293,19.193458557128906,14.111613273620605,12.043124198913574,9.226733207702637,4.585400104522705,2.1076035499572754,3.5963425636291504,3.7637016773223877,3.989781141281128,4.000300884246826,4.99821662902832,3.708502769470215,6.0656304359436035,4.713616371154785,4.152909755706787,3.621286630630493
