step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,3.3204526901245117,2.0220420360565186,2.330850601196289,3.3219516277313232,4.34711217880249,3.317857366743103,0.18125903606414795,0.9995378851890564,0.9997125864028931,0.9996811151504517,0.9993618130683899,0.999761700630188,0.0001595544017618522,9.240616782335564e-05,1.4133472177491058e-05,9.404605225427076e-05,0.22673910856246948,-0.01712539978325367,-0.17382505536079407,3.3204522132873535,2.0220420360565186,2.330850839614868,3.3219516277313232,4.347112655639648,3.3178573673067726,0.18125906586647034,0.9995378255844116,0.9997126460075378,0.9996812343597412,0.9993618726730347,0.9997617602348328,0.0015955440467223525,0.0009240616345778108,0.00014133471995592117,0.0009404605370946229,0.22673910856246948,-0.01712540164589882,-0.17382508516311646,1.8499560356140137,1.784920573234558,1.8993122577667236,1.2191412448883057,1.7378731966018677,1.504101276397705,2.3600120544433594,2.3370940685272217,2.2105538845062256,1.8651162385940552,1.8768081665039062,1.8263623714447021,0.1849956214427948,0.17849205434322357,0.1899312287569046,0.12191413342952728,0.17378732562065125,0.15041013062000275,0.23600120842456818,0.2337094098329544,0.22105538845062256,0.18651163578033447,0.18768082559108734,0.18263624608516693
1,3.4255340099334717,2.097285747528076,2.406292200088501,3.414369583129883,4.489320278167725,3.424584012268215,0.16694258153438568,0.9997575879096985,1.0,0.9998059868812561,0.999752402305603,0.9996944069862366,0.0002798114437609911,0.00017447075515519828,2.661306643858552e-05,0.0001813666895031929,0.22466813027858734,-0.021162908524274826,-0.21841289103031158,3.509481191635132,2.222590923309326,2.517691135406494,3.491682767868042,4.524144649505615,3.5076013976670923,0.1856817603111267,0.9996536374092102,0.9998087882995605,0.9997230768203735,0.9995255470275879,0.9998624324798584,0.0015523452311754227,0.0009427211480215192,0.00014440012455452234,0.0009970605606213212,0.30611753463745117,-0.021987752988934517,-0.31422486901283264,2.5286247730255127,1.8149230480194092,2.0376861095428467,1.7085683345794678,1.6636182069778442,1.568884015083313,2.2871646881103516,1.7302982807159424,2.7358016967773438,2.119436025619507,2.019500494003296,1.975391149520874,0.4134899079799652,0.33634835481643677,0.3713013231754303,0.2693975567817688,0.3174889385700226,0.28449195623397827,0.43577200174331665,0.37925416231155396,0.46869415044784546,0.37572070956230164,0.3651959002017975,0.3554151952266693
2,3.3889787197113037,2.0239923000335693,2.2975175380706787,3.396772861480713,4.513944149017334,3.388363386624613,0.12480287998914719,0.9998230934143066,0.9998629689216614,0.9997193813323975,0.9998207688331604,0.9999714493751526,0.0003856894327327609,0.0002512122446205467,3.8129041058709845e-05,0.00026688407524488866,0.1747325211763382,-0.021424606442451477,-0.16728082299232483,3.182227849960327,1.9749594926834106,2.14874529838562,3.2073638439178467,4.14967155456543,3.180133277279164,0.10446242988109589,0.9996066093444824,0.9998975396156311,0.9997375011444092,0.9995325803756714,0.9995893836021423,0.0014527710154652596,0.0009861058788374066,0.00015037604316603392,0.0010672060307115316,0.2541554272174835,-0.011158839799463749,-0.23404593765735626,1.80958092212677,1.4892942905426025,1.8119139671325684,2.01535701751709,1.9004439115524292,2.073713779449463,2.2917165756225586,1.9740220308303833,2.0158138275146484,2.087844133377075,1.946969985961914,1.8675256967544556,0.5473401546478271,0.44304150342941284,0.5099554061889648,0.4292176067829132,0.46821925044059753,0.45384928584098816,0.6152825355529785,0.5343931913375854,0.6189555525779724,0.5425118207931519,0.5162766575813293,0.49901100993156433
3,3.3918275833129883,1.9366753101348877,2.233421802520752,3.3991646766662598,4.567945957183838,3.3911628422735647,0.10444609820842743,0.9997855424880981,0.9997166991233826,0.9997583627700806,0.9998413324356079,0.9996927380561829,0.0004685115709435195,0.0003174143785145134,4.902330692857504e-05,0.00034291931660845876,0.24205215275287628,-0.019983073696494102,-0.1678037941455841,3.188790798187256,1.7000916004180908,2.081899881362915,3.190235137939453,4.174676895141602,3.186894847664747,0.15201963484287262,0.9996419548988342,0.9996193647384644,0.9997645616531372,0.9995405673980713,0.9997156858444214,0.0015364494174718857,0.0009715759078972042,0.0001553725014673546,0.0010935276513919234,0.425925612449646,-0.005226626992225647,-0.17831425368785858,2.4459502696990967,1.7636550664901733,1.7467530965805054,2.348412275314331,1.415335774421692,2.0951411724090576,1.9863567352294922,2.3293797969818115,1.894285798072815,1.9109621047973633,1.9936233758926392,1.9241328239440918,0.7315546870231628,0.5623369216918945,0.6280326843261719,0.6135500073432922,0.5527645349502563,0.6110681295394897,0.7443512678146362,0.7047076225280762,0.7381518483161926,0.6719501614570618,0.6558467745780945,0.6324979662895203
4,3.445722818374634,1.846996545791626,2.2438292503356934,3.4469153881073,4.57064962387085,3.44516284878798,0.10119641572237015,0.9998272061347961,0.9989272952079773,0.9997521042823792,0.999851644039154,0.999912679195404,0.0005677598528563976,0.00037567521212622523,6.0451868193922564e-05,0.0004247377801220864,0.22626641392707825,-0.023752780631184578,-0.11941944807767868,3.525298833847046,1.6148790121078491,2.2921338081359863,3.510006904602051,4.4788713455200195,3.523333838131154,0.12165072560310364,0.9996804594993591,0.99958336353302,0.9998089671134949,0.9994852542877197,0.9999322891235352,0.0018166389781981707,0.0009440554422326386,0.00016810360830277205,0.0012393471552059054,0.22422240674495697,-0.027714472264051437,-0.2670419216156006,2.3297345638275146,1.5163253545761108,2.071821928024292,2.4601588249206543,2.277103900909424,2.2695798873901367,2.52384352684021,2.366260528564453,2.3661367893218994,2.436400890350342,2.2617366313934326,2.191929817199707,0.8830605149269104,0.6459272503852844,0.7627643942832947,0.7914049029350281,0.7136198282241821,0.7709240913391113,0.9142360687255859,0.8654892444610596,0.8903494477272034,0.8382629752159119,0.8076038360595703,0.7795629501342773
5,3.592238664627075,1.7059627771377563,2.3100337982177734,3.5772812366485596,4.726945400238037,3.591692330295074,0.11283107101917267,0.9998396039009094,0.9995529651641846,0.9997473955154419,0.9998352527618408,0.9999709725379944,0.000669707078486681,0.0004256283864378929,7.231169001897797e-05,0.0005259845056571066,0.20160230994224548,-0.03108365088701248,-0.13546885550022125,3.7645554542541504,1.3190202713012695,2.442549705505371,3.7067677974700928,4.765260219573975,3.7624489492443725,0.18634092807769775,0.9996778964996338,0.9996532797813416,0.9997020363807678,0.9995388388633728,0.9998986124992371,0.0024704684037715197,0.0009783611167222261,0.00019119084754493088,0.0013755981344729662,0.21702563762664795,-0.03988421708345413,-0.24292241036891937,3.212315797805786,2.1052069664001465,2.51249098777771,2.821434497833252,2.5008466243743896,1.7742904424667358,2.2636682987213135,2.849660634994507,3.52099871635437,2.7183942794799805,2.6279306411743164,2.583568572998047,1.1062946319580078,0.7774988412857056,0.9248607158660889,0.9814348220825195,0.8819040656089783,0.8593742847442627,1.0380868911743164,1.055716872215271,1.145186185836792,1.01762056350708,0.9787978529930115,0.9489263296127319
6,3.7284536361694336,1.527527928352356,2.3203518390655518,3.6967997550964355,4.922338008880615,3.727823344548583,0.13241621851921082,0.9997925758361816,0.9995587468147278,0.9996523261070251,0.9998495578765869,0.9998450875282288,0.0008626548806205392,0.000473378982860595,8.549027552362531e-05,0.0006503830081783235,0.14472509920597076,-0.037303876131772995,-0.13236549496650696,3.6971371173858643,1.0535435676574707,2.1686599254608154,3.6362721920013428,4.752910614013672,3.6949681667417953,0.20246225595474243,0.9996293187141418,1.0,0.9996588826179504,0.9995830655097961,0.999643087387085,0.0030670834239572287,0.0010997997596859932,0.00021805001597385854,0.0017975977389141917,0.28026556968688965,-0.04155078902840614,-0.3446952700614929,3.8481616973876953,2.09183406829834,2.5820164680480957,2.789419174194336,2.494861364364624,2.422154188156128,3.013956308364868,3.113218069076538,3.3833818435668945,4.064216136932373,2.9803218841552734,2.935314178466797,1.368821620941162,0.8924455046653748,1.074044108390808,1.1467206478118896,1.0286411046981812,0.9923287034034729,1.221928358078003,1.2440810203552246,1.3499722480773926,1.3083454370498657,1.1627329587936401,1.132844090461731
7,3.922356367111206,1.4058558940887451,2.361682176589966,3.8749399185180664,5.101073741912842,3.9213730548616117,0.14150667190551758,0.9996992945671082,0.9999618530273438,0.9996516704559326,0.9998486042022705,0.9994634985923767,0.0011526335729286075,0.0005187730421312153,9.984250937122852e-05,0.0007875033770687878,0.1831270009279251,-0.04667475447058678,-0.1299639344215393,3.7788684368133545,1.1370271444320679,2.3186683654785156,3.663451671600342,4.501183986663818,3.7776971626741567,0.18313905596733093,0.9997536540031433,0.9999840259552002,0.9996389746665955,0.9996922612190247,0.9998642802238464,0.0035548892337828875,0.0012156926095485687,0.00025021328474394977,0.0022051178384572268,0.31241583824157715,-0.049958113580942154,-0.3762591779232025,4.088075637817383,3.0461788177490234,2.7634167671203613,3.55710506439209,3.244737148284912,3.8178904056549072,3.999845266342163,4.099911689758301,4.840470314025879,5.109652042388916,3.8567283153533936,3.7903993129730225,1.6246569156646729,1.0858314037322998,1.2257790565490723,1.371972680091858,1.2146936655044556,1.2598726749420166,1.4789173603057861,1.513108491897583,1.6757804155349731,1.6666203737258911,1.4117233753204346,1.3815933465957642
8,3.9576151371002197,1.2230677604675293,2.337348461151123,3.880316972732544,5.07106351852417,3.9570850758589797,0.139913409948349,0.9998496174812317,0.9998352527618408,0.9997866153717041,0.999847412109375,0.999903678894043,0.0014197927666828036,0.0005813308525830507,0.00011748624820029363,0.0009465866023674607,0.13528308272361755,-0.049996864050626755,-0.16129542887210846,3.649531126022339,0.8539312481880188,2.1109352111816406,3.4655866622924805,4.449785232543945,3.6478729843967823,0.17922484874725342,0.9996780157089233,0.9998654127120972,0.9997717142105103,0.999518632888794,0.9997970461845398,0.004378665704280138,0.0013064660597592592,0.0002955535601358861,0.0026913911569863558,0.2876361012458801,-0.04287102445960045,-0.31586670875549316,4.81407356262207,3.179044485092163,3.9533424377441406,3.6441874504089355,3.218022584915161,3.5496022701263428,5.266262531280518,4.860754013061523,4.840734958648682,3.6203646659851074,4.094638824462891,4.011997222900391,1.9117220640182495,1.272160530090332,1.4728608131408691,1.5787569284439087,1.391879677772522,1.475774884223938,1.830457091331482,1.819564700126648,1.9660149812698364,1.823184609413147,1.6542377471923828,1.619452714920044
9,4.083788871765137,1.0665515661239624,2.3168373107910156,3.9551632404327393,5.205356121063232,4.083172969779554,0.1397448629140854,0.9998347163200378,0.9999944567680359,0.9998408555984497,0.9998519420623779,0.9997926354408264,0.0018214390147477388,0.0006435381947085261,0.00013630474859382957,0.0011776805622503161,0.11679518222808838,-0.05427546054124832,-0.17686903476715088,3.986984968185425,0.7549659609794617,2.0901143550872803,3.7456772327423096,4.809967041015625,3.985405014314145,0.15725897252559662,0.9995000958442688,1.0,0.9996278882026672,0.999606192111969,0.999314546585083,0.005224181339144707,0.0014531711349263787,0.00032732076942920685,0.0031728525646030903,0.21074552834033966,-0.047888364642858505,-0.2928466498851776,5.525388717651367,4.197780609130859,4.921507358551025,4.246180057525635,4.458230972290039,4.70461368560791,5.228617191314697,4.945084095001221,7.0787482261657715,5.392751693725586,5.06989049911499,4.978005886077881,2.2446084022521973,1.5319386720657349,1.7938035726547241,1.8230204582214355,1.676731824874878,1.7632032632827759,2.1369378566741943,2.097080945968628,2.4477415084838867,2.156557559967041,1.9671623706817627,1.9292781352996826
