step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.004239405505359173,0.0,0.0,0.0,0.01888987421989441,0.0,0.0,0.041550714522600174,0.0,0.0,0.0,0.0,0.08812753111124039,0.0,0.0,0.0,0.20893964171409607,0.0,0.0,0.6382527947425842,0.0961994007229805,0.0,0.0,0.0,0.16287945210933685,0.0,0.0,0.16304907202720642,0.0,0.0,0.0,0.0,0.16693051159381866,0.0,0.0,0.0,0.17830629646778107,0.0,0.0,0.2326352596282959,0.5596153736114502,0.6122155785560608,0.46474409103393555,0.530139684677124,0.9367241859436035,0.9534270763397217,0.9366371631622314,0.906144380569458,0.0001431017299182713,9.57782831392251e-05,1.397473897668533e-05,9.782685083337128e-05,7.018020551186055e-05,3.906964775524102e-05,1.8861342141462956e-06,1.198661993839778e-05,0.00026299955788999796,0.00018362114496994764,4.6533918066415936e-05,0.00029181543504819274,0.4741881191730499,0.9353191256523132,0.7345913052558899,0.5495161414146423,0.33777523040771484,1.1422381401062012,0.07030739635229111,0.06992122530937195,0.0690276250243187,0.08255957067012787,0.07084869593381882,0.06521519273519516,0.06568287312984467,0.06569050252437592,0.06857535243034363,0.07423919439315796,0.07282495498657227
1,0.0021151951514184475,0.0,0.0,0.0,0.00814197026193142,0.0,0.0,0.02446891739964485,0.0,0.0,0.0,0.0,0.05953676253557205,0.0,0.0,0.0,0.14164860546588898,0.0,0.0,0.7640885710716248,0.07513223588466644,0.0,0.0,0.0,0.13143831491470337,0.0,0.0,0.13650058209896088,0.0,0.0,0.0,0.0,0.14500518143177032,0.0,0.0,0.0,0.1791248619556427,0.0,0.0,0.3327988386154175,0.6692307591438293,0.6990818381309509,0.5472634434700012,0.6057884097099304,0.9739421010017395,0.9809669256210327,0.9668388366699219,0.9386193156242371,0.0002658858720678836,0.00017550194752402604,2.5834688130998984e-05,0.00018454436212778091,0.0001280939904972911,7.137762440834194e-05,3.3836124657682376e-06,2.1989759261487052e-05,0.00047520073712803423,0.00034257705556228757,8.707927190698683e-05,0.0005578139680437744,0.556912899017334,0.9652736783027649,0.864463210105896,0.6738983988761902,0.3958365023136139,0.9159084558486938,0.07067219167947769,0.11906295269727707,0.11835402995347977,0.1384575366973877,0.11425309628248215,0.1153651550412178,0.11568775027990341,0.1135367900133133,0.11773599684238434,0.1358744502067566,0.11662960797548294
2,0.0012583192437887192,0.0,0.0,0.0,0.006721965037286282,0.0,0.0,0.015446078032255173,0.0,0.0,0.0,0.0,0.03607216477394104,0.0,0.0,0.0,0.09024982899427414,0.0,0.0,0.8502515554428101,0.06591484695672989,0.0,0.0,0.0,0.11841315776109695,0.0,0.0,0.11936302483081818,0.0,0.0,0.0,0.0,0.13091211020946503,0.0,0.0,0.0,0.16708239912986755,0.0,0.0,0.3983144462108612,0.7019230723381042,0.7344111800193787,0.5911935567855835,0.6457085609436035,0.9817774295806885,0.9865603446960449,0.9777140617370605,0.959869384765625,0.0003583930665627122,0.0002475338405929506,3.643882155301981e-05,0.0002619141014292836,0.00016006022633519024,0.00010029977420344949,4.668926521844696e-06,2.863393456209451e-05,0.0006648115813732147,0.00048644159687682986,0.00012391289055813104,0.0008019929518923163,0.6002830266952515,0.9765740633010864,0.8528186678886414,0.7498377561569214,0.5794947147369385,0.792074978351593,0.04783981293439865,0.163251593708992,0.160245880484581,0.1669791042804718,0.16480936110019684,0.16679714620113373,0.16448825597763062,0.15457414090633392,0.1595676988363266,0.1840956062078476,0.15555773675441742
3,0.0009938625153154135,0.0,0.0,0.0,0.005637077149003744,0.0,0.0,0.014342608861625195,0.0,0.0,0.0,0.0,0.03327074646949768,0.0,0.0,0.0,0.08768907189369202,0.0,0.0,0.8580665588378906,0.05919700488448143,0.0,0.0,0.0,0.1073463186621666,0.0,0.0,0.1134025827050209,0.0,0.0,0.0,0.0,0.12749837338924408,0.0,0.0,0.0,0.16325297951698303,0.0,0.0,0.42930275201797485,0.7076923251152039,0.7510578632354736,0.6190087795257568,0.6764470934867859,0.9863309860229492,0.9898155927658081,0.9799935817718506,0.9606590867042542,0.00043659473885782063,0.000310778763378039,4.65944322058931e-05,0.0003306004509795457,0.00019864545902237296,0.0001227610482601449,6.066386504244292e-06,3.719741653185338e-05,0.0008332711295224726,0.0006136357551440597,0.00015686116239521652,0.00099552096799016,0.6274566650390625,0.9790270924568176,0.8567468523979187,0.7634550333023071,0.6211721897125244,0.729320764541626,0.04170764610171318,0.19867773354053497,0.2048511952161789,0.2084420919418335,0.19800548255443573,0.2201639860868454,0.20023739337921143,0.19144098460674286,0.19972534477710724,0.21518313884735107,0.19607603549957275
4,0.0008942137355916202,0.0,0.0,0.0,0.004127591382712126,0.0,0.0,0.011703026480972767,0.0,0.0,0.0,0.0,0.027508947998285294,0.0,0.0,0.0,0.07950177788734436,0.0,0.0,0.8762644529342651,0.05501347780227661,0.0,0.0,0.0,0.09825378656387329,0.0,0.0,0.10247505456209183,0.0,0.0,0.0,0.0,0.11936802417039871,0.0,0.0,0.0,0.16227369010448456,0.0,0.0,0.462615966796875,0.7461538314819336,0.7726547122001648,0.6471360921859741,0.7045907974243164,0.989878237247467,0.9922611117362976,0.9846807718276978,0.9660732746124268,0.0005680391332134604,0.00036676894524134696,5.618877548840828e-05,0.00039041764102876186,0.0002516696695238352,0.00014418571663554758,7.301480309251929e-06,4.469672421691939e-05,0.0010111727751791477,0.0007236461970023811,0.00018620704940985888,0.0011947712628170848,0.655217170715332,0.9832761287689209,0.9004300832748413,0.7921242713928223,0.5906152725219727,0.6710911989212036,0.04876070097088814,0.23289428651332855,0.24767367541790009,0.23460932075977325,0.22846607863903046,0.2526159882545471,0.23712322115898132,0.22135798633098602,0.22790974378585815,0.25801360607147217,0.22646483778953552
5,0.0007269682246260345,0.0,0.0,0.0,0.0029434000607579947,0.0,0.0,0.009075603447854519,0.0,0.0,0.0,0.0,0.022754743695259094,0.0,0.0,0.0,0.05493881553411484,0.0,0.0,0.90956050157547,0.051625337451696396,0.0,0.0,0.0,0.09012103080749512,0.0,0.0,0.09852849692106247,0.0,0.0,0.0,0.0,0.11242079734802246,0.0,0.0,0.0,0.14716067910194397,0.0,0.0,0.5001436471939087,0.7884615659713745,0.7788822650909424,0.6675481200218201,0.7195608615875244,0.993952751159668,0.9938686490058899,0.9875710010528564,0.9763162136077881,0.0006525138742290437,0.0004083689418621361,6.447370105888695e-05,0.0004527629353106022,0.0003047768259420991,0.00015926011838018894,8.437070391664747e-06,5.0341324822511524e-05,0.0012694095494225621,0.0008156965486705303,0.00021201460913289338,0.0013536381302401423,0.6747680306434631,0.9872548580169678,0.928929328918457,0.8273146152496338,0.6974207758903503,0.616431713104248,0.03268953412771225,0.26142290234565735,0.2785494029521942,0.26212337613105774,0.2580382525920868,0.27455076575279236,0.26641809940338135,0.25074681639671326,0.2601754665374756,0.26899781823158264,0.2514960765838623
6,0.0004965647822245955,0.0,0.0,0.0,0.0025090710259974003,0.0,0.0,0.008318164385855198,0.0,0.0,0.0,0.0,0.01903384178876877,0.0,0.0,0.0,0.04797585308551788,0.0,0.0,0.9216665625572205,0.046297911554574966,0.0,0.0,0.0,0.08578754216432571,0.0,0.0,0.0940653532743454,0.0,0.0,0.0,0.0,0.10608472675085068,0.0,0.0,0.0,0.1430443674325943,0.0,0.0,0.5247200727462769,0.8134615421295166,0.7945309281349182,0.6816105246543884,0.7365269064903259,0.995650589466095,0.9953157305717468,0.9891321659088135,0.9778878092765808,0.0007809925591573119,0.0004443902289494872,7.303334132302552e-05,0.0005128770717419684,0.00034982507349923253,0.0001742406457196921,9.747321200848091e-06,5.624602999887429e-05,0.0016075636958703399,0.0008849657606333494,0.0002366970293223858,0.0015393553767353296,0.688969612121582,0.9886769652366638,0.9209690690040588,0.8447862863540649,0.7434647679328918,0.5780839323997498,0.03302616626024246,0.28197672963142395,0.30280601978302,0.2875201404094696,0.2834019064903259,0.30075812339782715,0.30492040514945984,0.2768702208995819,0.29152166843414307,0.2906234860420227,0.27880367636680603
7,0.0004646524612326175,0.0,0.0,0.0,0.002698622178286314,0.0,0.0,0.005768489092588425,0.0,0.0,0.0,0.0,0.021288122981786728,0.0,0.0,0.0,0.055850815027952194,0.0,0.0,0.9139293432235718,0.04495534673333168,0.0,0.0,0.0,0.08170700818300247,0.0,0.0,0.0879993587732315,0.0,0.0,0.0,0.0,0.10862672328948975,0.0,0.0,0.0,0.1480194628238678,0.0,0.0,0.5286921262741089,0.824999988079071,0.797045886516571,0.694866418838501,0.7429141402244568,0.9980260729789734,0.9954974055290222,0.991226315498352,0.9843407869338989,0.0009593914728611708,0.00047386845108121634,8.054134377744049e-05,0.0005698925815522671,0.00041063225944526494,0.00018615034059621394,1.0884323273785412e-05,6.74166003591381e-05,0.0019994103349745274,0.0009473668760620058,0.0002588475472293794,0.001759336213581264,0.7015194892883301,0.9910688996315002,0.9293786287307739,0.8465754389762878,0.7243959903717041,0.5608194470405579,0.0417129285633564,0.3064465820789337,0.33322209119796753,0.31424805521965027,0.3094920814037323,0.3424839973449707,0.3251841068267822,0.29581794142723083,0.3246346414089203,0.317292720079422,0.3071647584438324
8,0.0006176724564284086,0.0,0.0,0.0,0.0029618248809129,0.0,0.0,0.007433849386870861,0.0,0.0,0.0,0.0,0.019133372232317924,0.0,0.0,0.0,0.04854905232787132,0.0,0.0,0.9213041663169861,0.04547089338302612,0.0,0.0,0.0,0.08357588946819305,0.0,0.0,0.08901945501565933,0.0,0.0,0.0,0.0,0.10568651556968689,0.0,0.0,0.0,0.14168807864189148,0.0,0.0,0.5345591902732849,0.8500000238418579,0.7994012236595154,0.6942546963691711,0.7405189275741577,0.9986920356750488,0.9955617189407349,0.9893613457679749,0.9785460233688354,0.0012051000958308578,0.0004995315102860332,8.831353625282645e-05,0.0006410282803699374,0.0004978834767825902,0.00019532185979187489,1.163323668151861e-05,7.605485734529793e-05,0.0024417806416749954,0.0010113705648109317,0.0002807813580147922,0.0018717278726398945,0.7010903358459473,0.9889876246452332,0.9235171675682068,0.8435035347938538,0.7406193614006042,0.5517815351486206,0.02984093688428402,0.3350844383239746,0.36202046275138855,0.35604920983314514,0.33367615938186646,0.35635578632354736,0.3417774736881256,0.3311179280281067,0.34825265407562256,0.3407398462295532,0.33712029457092285
9,0.0008751963032409549,0.0,0.0,0.0,0.002464527729898691,0.0,0.0,0.00830777920782566,0.0,0.0,0.0,0.0,0.018994737416505814,0.0,0.0,0.0,0.047283072024583817,0.0,0.0,0.9220746755599976,0.04543226957321167,0.0,0.0,0.0,0.082989402115345,0.0,0.0,0.0879058837890625,0.0,0.0,0.0,0.0,0.10275848954916,0.0,0.0,0.0,0.13860800862312317,0.0,0.0,0.5423059463500977,0.867307722568512,0.8003193736076355,0.6981723308563232,0.7373253107070923,0.99924635887146,0.9957262277603149,0.9893139004707336,0.9752150177955627,0.0015190511476248503,0.0005308585823513567,9.573400893714279e-05,0.0006872762460261583,0.0006028682109899819,0.00020524712454061955,1.2449653695512097e-05,8.510139014106244e-05,0.0030791889876127243,0.00108716927934438,0.0003022855962626636,0.002068007830530405,0.704767107963562,0.9883535504341125,0.9216502904891968,0.8452228307723999,0.7301430106163025,0.5407141447067261,0.03769604116678238,0.3578084111213684,0.3976290225982666,0.3896649479866028,0.361183762550354,0.3782382011413574,0.3710782527923584,0.3555260896682739,0.3882111608982086,0.3670707941055298,0.36213892698287964
