step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,2.9712631702423096,2.0969691276550293,2.119952440261841,2.9626715183258057,3.8001697063446045,2.969360253495504,0.18708795309066772,0.9995670914649963,0.9999408721923828,0.9995020031929016,0.9994899034500122,0.9998095631599426,0.00014744077634532005,9.51908077695407e-05,1.3481941095960792e-05,9.887437772704288e-05,0.3187974989414215,0.0047504836693406105,-0.21105775237083435,2.9712629318237305,2.0969691276550293,2.119952440261841,2.9626715183258057,3.8001694679260254,2.969360255455346,0.18708795309066772,0.9995670318603516,0.9999409317970276,0.9995020031929016,0.9994898438453674,0.9998095631599426,0.00147440773434937,0.0009519080049358308,0.0001348194055026397,0.000988743850030005,0.3187974989414215,0.004750482272356749,-0.21105776727199554,1.5118446350097656,1.6564744710922241,2.0597102642059326,1.5550944805145264,2.0716605186462402,1.6881524324417114,1.0432943105697632,1.6823498010635376,2.1979329586029053,1.9841426610946655,1.745065689086914,1.682604193687439,0.15118446946144104,0.1656474471092224,0.20597103238105774,0.15550945699214935,0.20716607570648193,0.1688152551651001,0.1043294370174408,0.16823498904705048,0.21979330480098724,0.19841426610946655,0.17450657486915588,0.16826042532920837
1,2.9596080780029297,1.9231655597686768,2.0923221111297607,2.9500269889831543,3.827099323272705,2.958719960403587,0.17799676954746246,0.9997570514678955,0.9999655485153198,0.999491810798645,0.9998160004615784,0.9999459385871887,0.0002573007077444345,0.00016802203026600182,2.4268192646559328e-05,0.00017361667414661497,0.24564555287361145,0.004627519752830267,-0.15787777304649353,3.1108806133270264,1.917167067527771,2.214871883392334,3.11183500289917,4.054903030395508,3.1087640353162507,0.1347055584192276,0.9996525049209595,0.9997976422309875,0.9997625946998596,0.9994723200798035,0.9999284148216248,0.0014523674035444856,0.0009113267296925187,0.00013545239926315844,0.0009210274438373744,0.38007983565330505,0.003013886511325836,-0.21854044497013092,2.103102445602417,1.4793647527694702,1.6585613489151,1.3576369285583496,1.5978201627731323,1.802253246307373,1.9278583526611328,1.6109763383865356,1.9139066934585571,2.0534350872039795,1.7504914999008179,1.6815582513809204,0.2838776111602783,0.2897942364215851,0.3464753031730652,0.2664027810096741,0.34194284677505493,0.31714603304862976,0.18576663732528687,0.3061433732509613,0.3860662579536438,0.3709547817707062,0.3094569742679596,0.29778218269348145
2,3.022096872329712,1.8608219623565674,2.0751171112060547,3.038912057876587,3.96022367477417,3.021534378480081,0.17028920352458954,0.9998151063919067,0.9996367692947388,0.9997212290763855,0.9998604655265808,0.9998438954353333,0.000352491217199713,0.00023604105808772147,3.370870399521664e-05,0.00023798293841537088,0.339042603969574,0.0007522040395997465,-0.15293416380882263,3.056227922439575,1.8162001371383667,2.120500087738037,3.120793581008911,3.907710075378418,3.054502934438512,0.1696821004152298,0.9996386170387268,0.999247133731842,0.999656617641449,0.9995319843292236,0.9998727440834045,0.0016514355083927512,0.0009572460548952222,0.00014049449237063527,0.0009953950066119432,0.510554313659668,-0.0014481657417491078,-0.26122385263442993,1.8922724723815918,1.6138869524002075,1.541340708732605,1.6527811288833618,1.4987152814865112,1.9117828607559204,2.0276341438293457,1.6350831985473633,2.6017253398895264,1.821555495262146,1.819677710533142,1.7541738748550415,0.40371349453926086,0.41471511125564575,0.46107494831085205,0.39068731665611267,0.44314658641815186,0.4444587528705597,0.2665281295776367,0.4329839050769806,0.5616191029548645,0.5111708045005798,0.4330098330974579,0.41700661182403564
3,3.1278576850891113,1.886825680732727,2.1433441638946533,3.1363258361816406,4.111776828765869,3.1273022916138196,0.1622227132320404,0.9998126029968262,0.9999677538871765,0.9997525215148926,0.9998382329940796,0.9998250007629395,0.00042895739898085594,0.00028663850389420986,4.20397991547361e-05,0.0002928373287431896,0.32387852668762207,-0.007421099115163088,-0.13611000776290894,3.3979556560516357,1.8788670301437378,2.4034087657928467,3.3854939937591553,4.411835670471191,3.395761605524175,0.11927489191293716,0.9996424317359924,0.9981528520584106,0.999692976474762,0.9995328783988953,0.9999313950538635,0.0013518350897356868,0.0008688228554092348,0.00013881320774089545,0.0009156015585176647,0.279369980096817,-0.020529359579086304,-0.23079481720924377,2.167957067489624,1.8010693788528442,2.327965021133423,1.7641780376434326,1.700258731842041,1.6279975175857544,1.652735948562622,1.9805742502212524,1.787355899810791,2.0771377086639404,1.8887230157852173,1.824731707572937,0.5111279487609863,0.5334451198577881,0.614773690700531,0.5014903545379639,0.5608540773391724,0.5568179488182068,0.3407856523990631,0.5492651462554932,0.679068386554718,0.653494656085968,0.5501123070716858,0.5308345556259155
4,3.140251398086548,1.8448675870895386,2.172229051589966,3.1392807960510254,4.114527225494385,3.1398487265845243,0.1506945639848709,0.9998588562011719,0.9997279644012451,0.9997835159301758,0.9998562335968018,0.9999703764915466,0.0005086799501441419,0.00033500519930385053,4.999457087251358e-05,0.0003496400604490191,0.23494963347911835,-0.00923656951636076,-0.134855255484581,3.2479474544525146,1.6773453950881958,2.372600793838501,3.239164352416992,4.159753799438477,3.24595891466639,0.11505597829818726,0.999611496925354,0.999776303768158,0.9996637105941772,0.9994404315948486,0.9999439716339111,0.0015393596841022372,0.0008805333054624498,0.00014010501035954803,0.0009811600903049111,0.3044471740722656,-0.011709451675415039,-0.1772608608007431,2.199213743209839,1.5859845876693726,2.0820159912109375,1.7793593406677246,1.852623701095581,1.7285935878753662,1.8871428966522217,1.7258009910583496,1.5448061227798462,1.5643144845962524,1.7949856519699097,1.7268332242965698,0.6074411273002625,0.630183756351471,0.7538400888442993,0.6007617712020874,0.680596649646759,0.6648414731025696,0.4062420129776001,0.656897246837616,0.7601941823959351,0.7379700541496277,0.6498968601226807,0.6262480020523071
5,3.2446413040161133,1.830608606338501,2.2430551052093506,3.2378017902374268,4.277580738067627,3.2442116512583437,0.15689390897750854,0.9998564720153809,0.9992753267288208,0.9997422695159912,0.999894380569458,0.9999473690986633,0.0005690025864169002,0.00037365435855463147,5.6889864936238155e-05,0.0003975316067226231,0.23481407761573792,-0.0155418636277318,-0.1287277787923813,3.664578676223755,1.7088348865509033,2.541501045227051,3.676780939102173,4.960766792297363,3.661915008365433,0.12481409311294556,0.9995864629745483,0.9996309876441956,0.9997878074645996,0.9994524121284485,0.9996277689933777,0.0016001531621441245,0.0008400387014262378,0.00013918752665631473,0.0009483801550231874,0.24938341975212097,-0.030679257586598396,-0.2303204983472824,2.0217366218566895,1.6935361623764038,2.0455920696258545,1.9328302145004272,1.6552437543869019,1.6290183067321777,2.2918813228607178,1.7627861499786377,2.274585723876953,2.2062413692474365,1.9513453245162964,1.8971196413040161,0.6946640014648438,0.7234273552894592,0.8772938251495361,0.689508855342865,0.7720218896865845,0.7535136342048645,0.46684449911117554,0.7479665279388428,0.8986894488334656,0.8566089272499084,0.7480539679527283,0.7236170768737793
6,3.2590749263763428,1.7033921480178833,2.229217767715454,3.261251449584961,4.326997756958008,3.2586953158341627,0.1573767364025116,0.9998723864555359,0.9999363422393799,0.9997496008872986,0.9998893141746521,0.999992847442627,0.0006562877679243684,0.0004085456021130085,6.326076982077211e-05,0.00044355960562825203,0.24079889059066772,-0.015567727386951447,-0.11323758959770203,3.104641914367676,1.2823477983474731,2.12503719329834,3.1763157844543457,4.062320232391357,3.1030629535592826,0.15100596845149994,0.9996886849403381,0.9999207258224487,0.999851644039154,0.999500036239624,0.999882161617279,0.0018486318876966834,0.0008563458104617894,0.00014157114492263645,0.0009271912276744843,0.3268580436706543,-0.0046075982972979546,-0.17961084842681885,1.8879238367080688,1.5793635845184326,1.7585573196411133,1.2481086254119873,1.3857531547546387,1.7503365278244019,2.075892925262451,2.077911138534546,1.9771286249160767,1.756654143333435,1.7497628927230835,1.684381127357483,0.7714940905570984,0.7981532216072083,0.9558457136154175,0.7239913940429688,0.8224563002586365,0.8401439189910889,0.5215677618980408,0.8354431986808777,0.998611330986023,0.9417031407356262,0.8209409713745117,0.7944865822792053
7,3.327169418334961,1.5844650268554688,2.2699615955352783,3.3415961265563965,4.409127712249756,3.32681858526253,0.1571381837129593,0.9998722076416016,0.9999480843544006,0.9998307228088379,0.9998926520347595,0.9998732805252075,0.0007315293769352138,0.0004302913439460099,6.897368439240381e-05,0.00047407913370989263,0.23501864075660706,-0.019048402085900307,-0.11475307494401932,3.306630849838257,1.1594029664993286,2.325636863708496,3.41021728515625,4.1794939041137695,3.3049480070015327,0.1665709912776947,0.9996857643127441,0.999975860118866,0.9997457265853882,0.9995130896568298,0.9999392032623291,0.0022112694568932056,0.0008849293808452785,0.0001449957926524803,0.0009875600226223469,0.2150568813085556,-0.019308239221572876,-0.20137891173362732,2.308209180831909,1.630711555480957,1.5042182207107544,1.7613829374313354,1.708788275718689,1.8759275674819946,2.297630786895752,1.9102911949157715,2.5505566596984863,2.2382001876831055,1.9785915613174438,1.919973611831665,0.8390461802482605,0.8692096471786499,1.000212550163269,0.7976278066635132,0.9034807085990906,0.9194270968437195,0.5705235004425049,0.9108768701553345,1.1133873462677002,1.0364583730697632,0.8960250020027161,0.8686347007751465
8,3.347010850906372,1.4501094818115234,2.2879891395568848,3.3777453899383545,4.393290042877197,3.3463445601942787,0.15818394720554352,0.9997801184654236,0.9998750686645508,0.9995784163475037,0.9998754262924194,0.9998117685317993,0.0008743783691897988,0.0004503123927861452,7.454046135535464e-05,0.0005191247328184545,0.23418684303760529,-0.019065743312239647,-0.09801246225833893,3.070266008377075,1.0242120027542114,2.141758441925049,3.214026689529419,3.845885753631592,3.068635911100711,0.15199026465415955,0.9996009469032288,0.9990904331207275,0.999489426612854,0.9996280670166016,0.9997610449790955,0.0025846846401691437,0.0008896421059034765,0.00014345270756166428,0.00099178624805063,0.24599483609199524,-0.002294030273333192,-0.2491973340511322,2.4063162803649902,1.5844027996063232,1.9325971603393555,1.6620944738388062,1.5779526233673096,1.9600427150726318,1.8226679563522339,1.7705622911453247,2.393537759780884,1.7144089937210083,1.8824583292007446,1.81046724319458,0.9004750847816467,0.9319865107536316,1.0810054540634155,0.8641605377197266,0.9614361524581909,0.9892402291297913,0.6129012107849121,0.9774560332298279,1.2138653993606567,1.0928395986557007,0.962536633014679,0.933720588684082
9,3.3602356910705566,1.318961501121521,2.302088737487793,3.4045825004577637,4.384515285491943,3.35982002925353,0.15742477774620056,0.9998595118522644,0.9999259114265442,0.9997641444206238,0.9998819828033447,0.9999217987060547,0.0009632324217818677,0.0004662930441554636,7.963246025610715e-05,0.0005518841790035367,0.24124868214130402,-0.018709158524870872,-0.11185349524021149,3.06843900680542,0.9006609320640564,2.0559377670288086,3.2558281421661377,3.976696252822876,3.066856868624414,0.16300639510154724,0.9996790289878845,0.9999434947967529,0.9996094703674316,0.9996463060379028,0.9997842907905579,0.0029883859679102898,0.0008878060034476221,0.00014629194629378617,0.0009837144752964377,0.3280441462993622,0.0067240591160953045,-0.23488107323646545,2.1428725719451904,1.6309547424316406,1.6128066778182983,2.009727954864502,1.4582127332687378,2.172830581665039,1.956197738647461,1.6906450986862183,2.033665895462036,2.5580010414123535,1.9265915155410767,1.8559461832046509,0.9549598097801208,0.9882578253746033,1.1199842691421509,0.9202097058296204,1.0022399425506592,1.052208662033081,0.6484217643737793,1.0341490507125854,1.281251311302185,1.1735594272613525,1.0175241231918335,0.9872643947601318
10,3.3559818267822266,1.205443024635315,2.289752721786499,3.4215595722198486,4.3644890785217285,3.355575860866445,0.1590825617313385,0.9998270869255066,0.9998161196708679,0.9998072385787964,0.9998687505722046,0.9997605681419373,0.0011609619250521064,0.0004795326094608754,8.355828322237357e-05,0.0005790931754745543,0.24839597940444946,-0.018142223358154297,-0.10741113126277924,2.935152053833008,0.8537197709083557,1.9840844869613647,3.113518714904785,3.7475340366363525,2.9334852920650794,0.17079168558120728,0.9996914863586426,0.9999670386314392,0.999653160572052,0.9996209740638733,0.9998224973678589,0.0033579878509044647,0.0009741074754856527,0.00015154496941249818,0.0010977537604048848,0.3066849410533905,0.0010117425117641687,-0.18534702062606812,2.4919233322143555,2.0150883197784424,2.1111059188842773,1.939926028251648,1.6385555267333984,1.5693522691726685,2.6444027423858643,1.9904628992080688,2.422027826309204,1.7021781206130981,2.052502393722534,1.9709720611572266,1.00212824344635,1.042539358139038,1.2015478610992432,0.970565915107727,1.0537110567092896,1.0932612419128418,0.6838014721870422,1.0879818201065063,1.3644567728042603,1.2150708436965942,1.0715065002441406,1.0398001670837402
