step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,3.4614646434783936,2.2100565433502197,2.4568841457366943,3.46097469329834,4.43026065826416,3.4591442238898225,0.14207248389720917,0.9995416402816772,0.9995402693748474,0.9996802806854248,0.9993172883987427,0.9998857378959656,0.00014504516730085015,9.573192073730752e-05,1.3898519682697952e-05,9.726505231810734e-05,0.3584849536418915,-0.025292735546827316,-0.2042461335659027,3.4614644050598145,2.2100565433502197,2.4568843841552734,3.460974931716919,4.430260181427002,3.4591442245837487,0.14207252860069275,0.9995415806770325,0.9995403289794922,0.9996803998947144,0.9993172287940979,0.9998857378959656,0.0014504515565931797,0.0009573191637173295,0.0001389851822750643,0.0009726498392410576,0.3584849536418915,-0.025292735546827316,-0.2042461335659027,2.1966471672058105,1.8787841796875,1.9371103048324585,1.8522813320159912,1.7804512977600098,1.77396559715271,1.7984867095947266,1.752331256866455,2.686795711517334,2.2161152362823486,1.9872969388961792,1.9283933639526367,0.21966470777988434,0.18787842988967896,0.19371101260185242,0.1852281391620636,0.1780451387166977,0.17739655077457428,0.17984867095947266,0.1752331256866455,0.26867955923080444,0.22161152958869934,0.19872967898845673,0.1928393393754959
1,3.3405401706695557,2.1099648475646973,2.2793405055999756,3.3266775608062744,4.482830047607422,3.339713664618638,0.09559909999370575,0.9997411370277405,0.9994435906410217,0.9997311234474182,0.9997172951698303,0.9998291730880737,0.0002420455275569111,0.00017390523862559348,2.574814971012529e-05,0.00017520364781375974,0.28860458731651306,-0.018641062080860138,-0.18533100187778473,3.160088062286377,2.050847053527832,2.1386895179748535,3.154784679412842,4.311966419219971,3.1582446335455265,0.10277044028043747,0.9996750950813293,0.9997737407684326,0.9997771382331848,0.9995461106300354,0.9998517632484436,0.0013774120016023517,0.0009566037333570421,0.00014343559450935572,0.0009579380275681615,0.3407060503959656,-0.006278696469962597,-0.19799545407295227,2.0406997203826904,1.4664280414581299,1.6932203769683838,1.6208367347717285,1.7458842992782593,1.8946046829223633,2.078913688659668,2.010666608810425,1.7632778882980347,1.8039363622665405,1.8118469715118408,1.7365175485610962,0.3975045084953308,0.3086692690849304,0.33808478713035583,0.3213537335395813,0.3291936218738556,0.3329397141933441,0.3371938169002533,0.32631200551986694,0.41411250829696655,0.3749328851699829,0.3480297029018402,0.3349314033985138
2,3.3080780506134033,2.013861894607544,2.2262613773345947,3.3001129627227783,4.453681945800781,3.3073177141576227,0.09631508588790894,0.9997783899307251,0.9999117851257324,0.9996200799942017,0.9998132586479187,0.9999083876609802,0.00035105718416161835,0.0002449141757097095,3.6764158721780404e-05,0.0002568128693383187,0.29185765981674194,-0.016443224623799324,-0.14017046988010406,3.220414876937866,1.9395935535430908,2.183762788772583,3.220778226852417,4.284252643585205,3.2187433352203603,0.12732025980949402,0.9997308850288391,0.9998341202735901,0.9998035430908203,0.9996379613876343,0.9998478889465332,0.0014928849413990974,0.0009395572706125677,0.00014492019545286894,0.0010242090793326497,0.25956210494041443,-0.00901055708527565,-0.17358964681625366,1.8845560550689697,2.072746753692627,1.4240881204605103,1.8148711919784546,1.463807225227356,1.8396650552749634,1.939055323600769,1.8452450037002563,2.123209238052368,2.156135320663452,1.8563377857208252,1.7871458530426025,0.5429348945617676,0.45814797282218933,0.43628066778182983,0.46608448028564453,0.43445611000061035,0.47244927287101746,0.4799994230270386,0.46557503938674927,0.5771110653877258,0.5463577508926392,0.4879396855831146,0.4692273736000061
3,3.4119043350219727,1.9354543685913086,2.250706672668457,3.407198905944824,4.605286121368408,3.411251512080918,0.11554564535617828,0.9998032450675964,0.9996351003646851,0.9997464418411255,0.9998388886451721,0.9998032450675964,0.0004347044450696558,0.00030266918474808335,4.623135828296654e-05,0.000326338573358953,0.22263981401920319,-0.022093290463089943,-0.10236278921365738,3.5848281383514404,1.7961416244506836,2.3452861309051514,3.6164417266845703,4.670779228210449,3.5830246696272305,0.1818057894706726,0.9996712803840637,0.9997460246086121,0.9997577667236328,0.9995617270469666,0.9997954368591309,0.0016896326560527086,0.0009722959366627038,0.00015721579256933182,0.001131598255597055,0.18885847926139832,-0.02848641201853752,-0.2396780252456665,2.264965534210205,1.6322611570358276,2.1852264404296875,2.291057825088501,1.9175828695297241,2.1719839572906494,2.682762861251831,1.6553879976272583,2.954371690750122,2.582709312438965,2.2338311672210693,2.1869537830352783,0.7034874558448792,0.5637727975845337,0.5757777094841003,0.5979189276695251,0.5614387392997742,0.5970195531845093,0.6053957939147949,0.5777818560600281,0.7835190892219543,0.7086446285247803,0.6274756789207458,0.6061517596244812
4,3.45261549949646,1.836577296257019,2.266658067703247,3.4338698387145996,4.635814189910889,3.4520389531170848,0.11097870767116547,0.9998155832290649,1.0,0.9998419880867004,0.9998217821121216,0.9997566938400269,0.0005310125998221338,0.00035172048956155777,5.5856246035546064e-05,0.00039997530984692276,0.17161191999912262,-0.0251655001193285,-0.11965083330869675,3.5220887660980225,1.5549352169036865,2.348801851272583,3.4798920154571533,4.5784220695495605,3.52042815522527,0.11972273886203766,0.9997366070747375,0.9998688697814941,0.999785840511322,0.9996193051338196,0.9999183416366577,0.0017733675194904208,0.0009292086469940841,0.0001682467118371278,0.0011976808309555054,0.1598457396030426,-0.02863547019660473,-0.2650884985923767,2.416351795196533,1.949094295501709,2.3921375274658203,1.7777178287506104,2.418349027633667,2.2186214923858643,2.6146156787872314,1.8568083047866821,2.317328453063965,2.0627918243408203,2.2023816108703613,2.133772373199463,0.8455650210380554,0.6864679455757141,0.7051798105239868,0.7089102864265442,0.6759203672409058,0.7100485563278198,0.7191242575645447,0.6860366463661194,0.9310356974601746,0.8372710347175598,0.7505559921264648,0.7253520488739014
5,3.588252067565918,1.7585415840148926,2.3265249729156494,3.562959909439087,4.7836408615112305,3.5878120190730143,0.11534014344215393,0.9998617768287659,0.999907374382019,0.9998134970664978,0.9998763799667358,0.9998854398727417,0.0005980799905955791,0.00038054390461184084,6.326691072899848e-05,0.0004635915101971477,0.19416473805904388,-0.031203072518110275,-0.12991423904895782,3.9082581996917725,1.4541900157928467,2.4674854278564453,3.912137269973755,4.956355094909668,3.9062018539005816,0.15744474530220032,0.999643087387085,0.9998931884765625,0.9996814727783203,0.9996199607849121,0.9996290802955627,0.0021684400271624327,0.0009635117021389306,0.00017996526730712503,0.001324637676589191,0.2758399546146393,-0.04126686602830887,-0.26619070768356323,1.8486735820770264,2.3638765811920166,2.393334150314331,2.5193238258361816,2.6967179775238037,2.3429951667785645,2.7951128482818604,2.5006420612335205,3.3659920692443848,3.140404224395752,2.5967071056365967,2.5466535091400146,0.9362055659294128,0.7976388931274414,0.8199265003204346,0.8161931037902832,0.7802554965019226,0.807507336139679,0.8157140016555786,0.7826545834541321,1.0992882251739502,0.9668245911598206,0.8622208833694458,0.836076557636261
6,3.6387312412261963,1.6261743307113647,2.346558094024658,3.6103007793426514,4.745131969451904,3.6380219247318695,0.12251440435647964,0.9997866749763489,0.9997737407684326,0.9997154474258423,0.999862790107727,0.9997091293334961,0.000712454435415566,0.0004047200200147927,7.144506525946781e-05,0.000537805026397109,0.18885217607021332,-0.03396515175700188,-0.1160857155919075,3.610157012939453,1.1948468685150146,2.306472063064575,3.6001663208007812,4.401219844818115,3.60819090915319,0.1547318547964096,0.9995789527893066,0.9998019337654114,0.9997133016586304,0.99954754114151,0.9995150566101074,0.0025725048035383224,0.0009793008212000132,0.00019694119691848755,0.0015136325964704156,0.1968386173248291,-0.03167080506682396,-0.20341886579990387,3.290487289428711,2.2346551418304443,2.4391274452209473,2.1781954765319824,2.5550317764282227,2.4666495323181152,2.8995330333709717,2.709599018096924,3.4556477069854736,2.357261896133423,2.658618927001953,2.592632532119751,1.052456259727478,0.8907679319381714,0.9207086563110352,0.9081153869628906,0.8695203065872192,0.8957746028900146,0.9051926136016846,0.8701444864273071,1.2499066591262817,1.0816138982772827,0.9644201397895813,0.9368946552276611
7,3.7444376945495605,1.5308459997177124,2.3747823238372803,3.7200608253479004,4.805277347564697,3.7438214868549804,0.12759961187839508,0.9998009204864502,0.9998905062675476,0.9997383952140808,0.9998860359191895,0.9996982216835022,0.0007992521859705448,0.00041417774627916515,7.682425348320976e-05,0.0005824968102388084,0.18612965941429138,-0.03839799761772156,-0.13861903548240662,3.5594425201416016,1.1729819774627686,2.26568603515625,3.591296434402466,4.086014270782471,3.5580593167039276,0.14884954690933228,0.9997664093971252,0.9998631477355957,0.9998459815979004,0.9995682835578918,0.9999396204948425,0.0029571980703622103,0.0011154484236612916,0.0002288598770974204,0.002047620015218854,0.22117647528648376,-0.035622742027044296,-0.40620487928390503,3.748662233352661,2.5569984912872314,2.9172327518463135,3.8779778480529785,3.250884771347046,3.6334331035614014,3.093271493911743,2.6775636672973633,3.7822389602661133,4.0180253982543945,3.3556289672851562,3.2661499977111816,1.1539607048034668,0.9707840085029602,1.0095654726028442,0.989948570728302,0.948397159576416,0.9746021628379822,0.9826322793960571,0.9440457820892334,1.3794982433319092,1.185344934463501,1.0538779497146606,1.0264487266540527
8,3.8313632011413574,1.4183069467544556,2.3979949951171875,3.8011250495910645,4.838783264160156,3.8307392316671445,0.13137853145599365,0.9998277425765991,0.9996805787086487,0.9997007846832275,0.9998636245727539,0.999884843826294,0.0009143913048319519,0.000421708362409845,8.178361895261332e-05,0.0006175214657559991,0.1790389120578766,-0.04237285628914833,-0.14276434481143951,3.8190507888793945,0.9834997057914734,2.2591729164123535,3.729044198989868,4.599299430847168,3.8177945350291957,0.14918990433216095,0.9997696280479431,0.9999892711639404,0.9997802972793579,0.9996531009674072,0.9998773336410522,0.0038816898595541716,0.0012034833198413253,0.00025446046493016183,0.0019532025326043367,0.2750388979911804,-0.04373686760663986,-0.41334420442581177,4.314697265625,2.8248982429504395,4.194799900054932,3.639660120010376,3.3946402072906494,3.6718544960021973,3.6838274002075195,4.593395233154297,4.855915546417236,3.560551881790161,3.8734238147735596,3.7885689735412598,1.2481452226638794,1.039796233177185,1.092002511024475,1.066748857498169,1.0205750465393066,1.0441941022872925,1.0548335313796997,1.0153230428695679,1.4980900287628174,1.2776561975479126,1.1357364654541016,1.108365535736084
9,3.910574436187744,1.322778582572937,2.3927676677703857,3.8692703247070312,4.889022350311279,3.910091736430811,0.13470572233200073,0.9998454451560974,0.999913215637207,0.9998326301574707,0.9998512864112854,0.9998417496681213,0.000953089096583426,0.00042551165097393095,8.529700426151976e-05,0.0006548945093527436,0.19444449245929718,-0.0453580878674984,-0.1895531713962555,3.6528995037078857,0.9791254997253418,2.109848976135254,3.590571403503418,4.187004089355469,3.6513411233574526,0.17355318367481232,0.9996981620788574,0.9997197389602661,0.9996957778930664,0.9996142387390137,0.9997697472572327,0.0036694251466542482,0.0013208793243393302,0.0002836580097209662,0.003379108849912882,0.39293372631073,-0.04074364900588989,-0.4070229232311249,5.421785354614258,3.1239209175109863,4.063875198364258,3.831939697265625,4.3594865798950195,4.267928123474121,4.203841686248779,4.547507286071777,6.015416145324707,4.194128513336182,4.40298318862915,4.310211658477783,1.3284095525741577,1.1090376377105713,1.1610283851623535,1.1329792737960815,1.080092430114746,1.1071652173995972,1.1159849166870117,1.074416995048523,1.603753685951233,1.3592125177383423,1.2072080373764038,1.180137276649475
