step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.210981085896492,0.0,0.0,0.0,0.3287080228328705,0.0,0.0,0.1930079609155655,0.0,0.0,0.0,0.0,0.11856681853532791,0.0,0.0,0.0,0.1459018588066101,0.0,0.0,0.0028342604637145996,0.3267897367477417,0.0,0.0,0.0,0.41352179646492004,0.0,0.0,0.1634838730096817,0.0,0.0,0.0,0.0,0.06399339437484741,0.0,0.0,0.0,0.028843572363257408,0.0,0.0,0.0033676126040518284,0.05576923117041588,0.08383233845233917,0.06845194101333618,0.6832334995269775,0.17468589544296265,0.18786810338497162,0.0804888904094696,0.8566832542419434,0.00012069713557139039,8.817356138024479e-05,1.321155286859721e-05,9.406828030478209e-05,5.33905258635059e-05,3.482454485492781e-05,1.6795177089079516e-06,1.1578163139347453e-05,0.0002427522704238072,0.0001745020563248545,4.461086791707203e-05,0.0002860764507204294,0.0764753669500351,0.26728561520576477,0.11497297883033752,-0.08352158218622208,-0.17615580558776855,4.09335470199585,0.08375642448663712,0.3270328640937805,0.2900826632976532,0.3271184265613556,0.3090830147266388,0.3365307152271271,0.30673301219940186,0.3316958248615265,0.3152080476284027,0.36752235889434814,0.388083815574646
1,0.20931580662727356,0.0,0.0,0.0,0.3254072964191437,0.0,0.0,0.19372449815273285,0.0,0.0,0.0,0.0,0.11651076376438141,0.0,0.0,0.0,0.15050749480724335,0.0,0.0,0.004534186329692602,0.3194670081138611,0.0,0.0,0.0,0.3954695165157318,0.0,0.0,0.17143979668617249,0.0,0.0,0.0,0.0,0.070260189473629,0.0,0.0,0.0,0.03703485429286957,0.0,0.0,0.006328634452074766,0.05961538478732109,0.08754491060972214,0.08669663220643997,0.7101796269416809,0.21038241684436798,0.19512717425823212,0.08080422133207321,0.8649338483810425,0.0002401722886133939,0.0001697874686215073,2.5315712264273316e-05,0.00018277220078743994,9.445879550185055e-05,6.678285717498511e-05,3.0525864076480502e-06,2.125674654962495e-05,0.00043638309580273926,0.00033474640804342926,8.488183084409684e-05,0.0005448610172607005,0.09395936131477356,0.2715364694595337,0.0738368034362793,-0.08300881087779999,-0.17369665205478668,4.1330976486206055,0.07430765777826309,0.6394675374031067,0.5561519861221313,0.6042537689208984,0.5979350209236145,0.5916208028793335,0.6399363279342651,0.6578108668327332,0.5941949486732483,0.6889781951904297,0.7166139483451843
2,0.21092836558818817,0.0,0.0,0.0,0.3299243152141571,0.0,0.0,0.18743263185024261,0.0,0.0,0.0,0.0,0.10873720049858093,0.0,0.0,0.0,0.1591644436120987,0.0,0.0,0.003813020884990692,0.31614014506340027,0.0,0.0,0.0,0.4032721221446991,0.0,0.0,0.16737236082553864,0.0,0.0,0.0,0.0,0.07160381227731705,0.0,0.0,0.0,0.03411070629954338,0.0,0.0,0.007500826846808195,0.06923077255487442,0.08475049585103989,0.08800000697374344,0.7319360971450806,0.1927645206451416,0.18709442019462585,0.07372292876243591,0.8802317976951599,0.0003294089692644775,0.0002455192734487355,3.595000453060493e-05,0.0002574617392383516,0.00014972030476201326,9.622772631701082e-05,4.185787474852987e-06,3.054016997339204e-05,0.0006576122250407934,0.00048047793097794056,0.00012121912004658952,0.0007915393798612058,0.09527233988046646,0.27169808745384216,0.07207964360713959,-0.08439401537179947,-0.16360214352607727,4.300694942474365,0.08481685817241669,0.952495276927948,0.802939236164093,0.8412075638771057,0.8840991258621216,0.8647918701171875,0.9448936581611633,0.9501678943634033,0.8637000918388367,1.0627285242080688,1.0218801498413086
3,0.21209251880645752,0.0,0.0,0.0,0.33409109711647034,0.0,0.0,0.1843475103378296,0.0,0.0,0.0,0.0,0.10402017831802368,0.0,0.0,0.0,0.1603553742170334,0.0,0.0,0.005093310959637165,0.31784600019454956,0.0,0.0,0.0,0.39361539483070374,0.0,0.0,0.1684805154800415,0.0,0.0,0.0,0.0,0.07254761457443237,0.0,0.0,0.0,0.03706697002053261,0.0,0.0,0.01044351514428854,0.0634615421295166,0.07952095568180084,0.09525593370199203,0.7578842043876648,0.1855880618095398,0.18407748639583588,0.07384037971496582,0.8743279576301575,0.000431094755185768,0.0003059410082641989,4.6720742830075324e-05,0.00033765932312235236,0.0001918962661875412,0.00012033119128318503,5.383599727792898e-06,3.998285319539718e-05,0.0007969699800014496,0.0006053661927580833,0.0001560137898195535,0.001014307839795947,0.102004274725914,0.26945486664772034,0.058345355093479156,-0.08535615354776382,-0.16713407635688782,4.4111223220825195,0.07613565027713776,1.2650763988494873,1.0373214483261108,1.1184254884719849,1.1511259078979492,1.1425395011901855,1.195553183555603,1.1980701684951782,1.1365101337432861,1.340999722480774,1.3266716003417969
4,0.21147657930850983,0.0,0.0,0.0,0.34311729669570923,0.0,0.0,0.17533403635025024,0.0,0.0,0.0,0.0,0.09889893978834152,0.0,0.0,0.0,0.16698677837848663,0.0,0.0,0.0041864183731377125,0.318118691444397,0.0,0.0,0.0,0.39206773042678833,0.0,0.0,0.16768677532672882,0.0,0.0,0.0,0.0,0.07182670384645462,0.0,0.0,0.0,0.03750104829668999,0.0,0.0,0.012799030169844627,0.06923077255487442,0.07872255891561508,0.09803246706724167,0.7672654390335083,0.24408888816833496,0.19317428767681122,0.06105479225516319,0.8773584365844727,0.000526871532201767,0.00036421502591110766,5.6672783102840185e-05,0.0004055802710354328,0.0002554559032432735,0.00014219098375178874,6.708845376124373e-06,4.688711851486005e-05,0.0009662681259214878,0.0007228287868201733,0.00018904505122918636,0.0012441696599125862,0.10465343296527863,0.2700583338737488,0.04627235233783722,-0.08554606139659882,-0.15908333659172058,4.441467761993408,0.08822409808635712,1.5024491548538208,1.1793292760849,1.3799721002578735,1.3851031064987183,1.3989332914352417,1.4252700805664062,1.4649684429168701,1.3860127925872803,1.6432183980941772,1.629969596862793
5,0.21466472744941711,0.0,0.0,0.0,0.3470241129398346,0.0,0.0,0.16387508809566498,0.0,0.0,0.0,0.0,0.09295597672462463,0.0,0.0,0.0,0.17784489691257477,0.0,0.0,0.0036351142916828394,0.31883326172828674,0.0,0.0,0.0,0.3968004882335663,0.0,0.0,0.1598411500453949,0.0,0.0,0.0,0.0,0.07108350098133087,0.0,0.0,0.0,0.04139641299843788,0.0,0.0,0.012045182287693024,0.08269231021404266,0.07516966015100479,0.10118602216243744,0.7774450778961182,0.26653531193733215,0.19386975467205048,0.05178266391158104,0.8959711194038391,0.0006672667805105448,0.00041108467848971486,6.65689876768738e-05,0.00047038422781042755,0.0002791396400425583,0.0001597685768501833,8.053306373767555e-06,5.063159187557176e-05,0.0012494458351284266,0.0008232975960709155,0.00021955765259917825,0.0014596054097637534,0.10751137137413025,0.2744212746620178,0.03682250156998634,-0.08695471286773682,-0.16059544682502747,4.536037445068359,0.09272981435060501,1.8409450054168701,1.3822484016418457,1.6400442123413086,1.6528329849243164,1.6210848093032837,1.6233413219451904,1.7843592166900635,1.6375869512557983,1.9513758420944214,1.890584945678711
6,0.22676663100719452,0.0,0.0,0.0,0.3348657488822937,0.0,0.0,0.15761221945285797,0.0,0.0,0.0,0.0,0.08621446043252945,0.0,0.0,0.0,0.19073587656021118,0.0,0.0,0.0038050736766308546,0.3194238543510437,0.0,0.0,0.0,0.40095722675323486,0.0,0.0,0.1581151932477951,0.0,0.0,0.0,0.0,0.06901298463344574,0.0,0.0,0.0,0.03865773230791092,0.0,0.0,0.013833011500537395,0.10576923191547394,0.06902195513248444,0.09939076751470566,0.789021909236908,0.3949695825576782,0.18176157772541046,0.04476127773523331,0.9069783091545105,0.000834050471894443,0.0004563943366520107,7.592618931084871e-05,0.00054861546959728,0.00038918585050851107,0.00017889410082716495,9.023915481520817e-06,5.67921124456916e-05,0.0015735798515379429,0.0009127545054070652,0.000249274104135111,0.0017189299687743187,0.10564860701560974,0.28074297308921814,0.04665766656398773,-0.08807957172393799,-0.1537013202905655,4.612163543701172,0.09834010899066925,2.1225974559783936,1.6034504175186157,1.8812766075134277,1.8665128946304321,1.8302363157272339,1.8936007022857666,2.0595953464508057,1.883222222328186,2.3158209323883057,2.1599581241607666
7,0.2333589345216751,0.0,0.0,0.0,0.3211108148097992,0.0,0.0,0.15013615787029266,0.0,0.0,0.0,0.0,0.07928731292486191,0.0,0.0,0.0,0.21248605847358704,0.0,0.0,0.0036206794902682304,0.3177337646484375,0.0,0.0,0.0,0.4038937985897064,0.0,0.0,0.1565563678741455,0.0,0.0,0.0,0.0,0.06735112518072128,0.0,0.0,0.0,0.03920963034033775,0.0,0.0,0.01525528822094202,0.1269230842590332,0.06554890424013138,0.10003246366977692,0.7968063354492188,0.4410932660102844,0.1793266087770462,0.039600495249032974,0.9209131002426147,0.0010185294086113572,0.0005028315354138613,8.680936298333108e-05,0.0006379495607689023,0.0005061619449406862,0.00019676939700730145,1.010475170915015e-05,6.66685082251206e-05,0.0019270593766123056,0.0010002517374232411,0.0002830669400282204,0.0020047458820044994,0.10615895688533783,0.2953813374042511,0.06093301624059677,-0.08897300809621811,-0.15496022999286652,4.721805095672607,0.10385315865278244,2.4176292419433594,1.8603076934814453,2.1418066024780273,2.1058146953582764,2.0248756408691406,2.2411351203918457,2.426549196243286,2.1371121406555176,2.6923229694366455,2.4586713314056396
8,0.2292196899652481,0.0,0.0,0.0,0.32062190771102905,0.0,0.0,0.1405217945575714,0.0,0.0,0.0,0.0,0.0748174637556076,0.0,0.0,0.0,0.23107735812664032,0.0,0.0,0.003741699503734708,0.3150555491447449,0.0,0.0,0.0,0.4105844497680664,0.0,0.0,0.15514543652534485,0.0,0.0,0.0,0.0,0.06685354560613632,0.0,0.0,0.0,0.03797173500061035,0.0,0.0,0.014389288611710072,0.1538461595773697,0.06195608898997307,0.09831211715936661,0.8045908212661743,0.5219534039497375,0.17134559154510498,0.0343489833176136,0.925838828086853,0.0012477708514779806,0.0005398874054662883,9.832829528022557e-05,0.0007207412854768336,0.0005874434718862176,0.00021469363127835095,1.135503134719329e-05,6.621431384701282e-05,0.0023720627650618553,0.0010912423022091389,0.00031988657428883016,0.0023128301836550236,0.10447481274604797,0.30962345004081726,0.05373767763376236,-0.0894114077091217,-0.1587202250957489,4.769457817077637,0.10758119821548462,2.729682445526123,2.1079580783843994,2.4742324352264404,2.39984393119812,2.265739679336548,2.522615671157837,2.703606367111206,2.386763334274292,3.1245222091674805,2.7280452251434326
9,0.22760814428329468,0.0,0.0,0.0,0.3044075667858124,0.0,0.0,0.13952875137329102,0.0,0.0,0.0,0.0,0.07414171099662781,0.0,0.0,0.0,0.2501729130744934,0.0,0.0,0.004140845034271479,0.31353598833084106,0.0,0.0,0.0,0.40899455547332764,0.0,0.0,0.1570758819580078,0.0,0.0,0.0,0.0,0.06805520504713058,0.0,0.0,0.0,0.03881242498755455,0.0,0.0,0.013525942340493202,0.16346153616905212,0.060718562453985214,0.09967540949583054,0.8041915893554688,0.5402432084083557,0.16966594755649567,0.030270978808403015,0.9320921301841736,0.0014563160948455334,0.0005955889937467873,0.00011167221964569762,0.0008296425803564489,0.0006721380050294101,0.0002358908241149038,1.2548346603580285e-05,7.209049363154918e-05,0.002823970280587673,0.0012094799894839525,0.0003658655914478004,0.0026420627254992723,0.10567644238471985,0.32844212651252747,0.060737092047929764,-0.08918794244527817,-0.17430274188518524,4.769855499267578,0.11288565397262573,3.1022887229919434,2.419290065765381,2.7741777896881104,2.7527785301208496,2.5078091621398926,2.9224112033843994,3.0228378772735596,2.7101361751556396,3.609549045562744,3.12233829498291
