step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.004506054800003767,0.0,0.0,0.0,0.02161366119980812,0.0,0.0,0.05352038890123367,0.0,0.0,0.0,0.0,0.11677852272987366,0.0,0.0,0.0,0.2345990389585495,0.0,0.0,0.5689823031425476,0.09691126644611359,0.0,0.0,0.0,0.1756945699453354,0.0,0.0,0.17375503480434418,0.0,0.0,0.0,0.0,0.17048829793930054,0.0,0.0,0.0,0.17400282621383667,0.0,0.0,0.20914800465106964,0.5230769515037537,0.5948902368545532,0.4409638047218323,0.5211576819419861,0.9195178151130676,0.9490642547607422,0.9165776968002319,0.889737606048584,0.0001406249648425728,9.504107583779842e-05,1.3711940482608043e-05,9.341122495243326e-05,6.941996980458498e-05,3.862565426970832e-05,1.72355328231788e-06,1.1440186426625587e-05,0.0002547633775975555,0.00018510903464630246,4.660201011574827e-05,0.00029355380684137344,0.4509395360946655,0.9203589558601379,0.7070983648300171,0.4975748062133789,0.20223575830459595,1.190563440322876,0.033551257103681564,0.07325412333011627,0.0744955763220787,0.07362715899944305,0.07423481345176697,0.0798552855849266,0.07009412348270416,0.07423420250415802,0.07352661341428757,0.07577861845493317,0.07122014462947845
1,0.002952037611976266,0.0,0.0,0.0,0.012535877525806427,0.0,0.0,0.028446028009057045,0.0,0.0,0.0,0.0,0.06498347222805023,0.0,0.0,0.0,0.15383794903755188,0.0,0.0,0.7372446656227112,0.08167856186628342,0.0,0.0,0.0,0.14071732759475708,0.0,0.0,0.14141777157783508,0.0,0.0,0.0,0.0,0.14505189657211304,0.0,0.0,0.0,0.1700650155544281,0.0,0.0,0.3210694193840027,0.6346153616905212,0.6748902201652527,0.5277903079986572,0.5962075591087341,0.9558570981025696,0.9732465744018555,0.9553369879722595,0.9350422024726868,0.000255432678386569,0.0001765222696121782,2.594102443254087e-05,0.000182501578819938,0.000123690944747068,7.094968896126375e-05,3.201440222255769e-06,2.2083049771026708e-05,0.0004585322458297014,0.00034206267446279526,8.789975254330784e-05,0.0005545919411815703,0.5372622609138489,0.9560657739639282,0.8072922229766846,0.6383016705513,0.4284309148788452,0.9319624304771423,0.0875452533364296,0.10822685807943344,0.11250114440917969,0.12748101353645325,0.12034639716148376,0.13278326392173767,0.12091386318206787,0.1470751166343689,0.13230472803115845,0.11832928657531738,0.13386040925979614
2,0.0026677402202039957,0.0,0.0,0.0,0.008983339183032513,0.0,0.0,0.021483030170202255,0.0,0.0,0.0,0.0,0.04745916277170181,0.0,0.0,0.0,0.12677425146102905,0.0,0.0,0.7926325798034668,0.07013817876577377,0.0,0.0,0.0,0.12852303683757782,0.0,0.0,0.1290149986743927,0.0,0.0,0.0,0.0,0.1327168196439743,0.0,0.0,0.0,0.16715146601200104,0.0,0.0,0.37245550751686096,0.675000011920929,0.7022355198860168,0.5716679096221924,0.6379241347312927,0.9723291397094727,0.9803761839866638,0.9681611061096191,0.944790780544281,0.0003593775618355721,0.0002431256725685671,3.6174533306621015e-05,0.00026045661070384085,0.00017029570881277323,9.634042362449691e-05,4.544308467302471e-06,3.276205825386569e-05,0.0006486565107479692,0.0004756440466735512,0.00012242665980011225,0.0007679086411371827,0.5801498889923096,0.9668663144111633,0.8560367822647095,0.6902612447738647,0.44173020124435425,0.8292801976203918,0.06882507354021072,0.1579623967409134,0.16186611354351044,0.16632823646068573,0.15417687594890594,0.19299723207950592,0.17026585340499878,0.17376235127449036,0.1797000765800476,0.15405583381652832,0.1720154732465744
3,0.000913600844796747,0.0,0.0,0.0,0.004147854167968035,0.0,0.0,0.011386476457118988,0.0,0.0,0.0,0.0,0.03177560865879059,0.0,0.0,0.0,0.10510271787643433,0.0,0.0,0.8466737270355225,0.0602421797811985,0.0,0.0,0.0,0.10742427408695221,0.0,0.0,0.11628951132297516,0.0,0.0,0.0,0.0,0.1286323070526123,0.0,0.0,0.0,0.16305716335773468,0.0,0.0,0.42435455322265625,0.7096154093742371,0.7443113923072815,0.6167990565299988,0.6960079669952393,0.984015166759491,0.988614022731781,0.983272910118103,0.9770550727844238,0.00046631781151518226,0.0003035399131476879,4.52236199635081e-05,0.00032908853609114885,0.00019393034745007753,0.00012050358054693788,5.725079063267913e-06,3.9567414205521345e-05,0.0008237941656261683,0.0005988554330542684,0.00015305166016332805,0.0009692769381217659,0.6252412796020508,0.9835526943206787,0.866786003112793,0.7618738412857056,0.5144330859184265,0.7197818756103516,0.04482703283429146,0.19389113783836365,0.1938738375902176,0.20086106657981873,0.18996772170066833,0.21415308117866516,0.21338126063346863,0.2050272673368454,0.20139482617378235,0.18890942633152008,0.21113453805446625
4,0.0006707474240101874,0.0,0.0,0.0,0.003086193697527051,0.0,0.0,0.00963865127414465,0.0,0.0,0.0,0.0,0.026515256613492966,0.0,0.0,0.0,0.06809410452842712,0.0,0.0,0.8919950127601624,0.05514053255319595,0.0,0.0,0.0,0.09908472746610641,0.0,0.0,0.10409222543239594,0.0,0.0,0.0,0.0,0.11833421140909195,0.0,0.0,0.0,0.1508895605802536,0.0,0.0,0.47245875000953674,0.7480769157409668,0.7739720344543457,0.6441149115562439,0.7033932209014893,0.988939106464386,0.9924654960632324,0.9875127077102661,0.9754937291145325,0.0005952913197688758,0.0003618447226472199,5.4175558034330606e-05,0.00038444361416622996,0.0002696569717954844,0.000144303819979541,6.8572676354961e-06,4.70005652459804e-05,0.001020318130031228,0.0007125179399736226,0.0001810753165045753,0.0011585606262087822,0.6524752378463745,0.9866052269935608,0.8870252966880798,0.8072292804718018,0.6803575754165649,0.6394993662834167,0.02844301611185074,0.23347893357276917,0.23084910213947296,0.2342793047428131,0.2257595807313919,0.22977657616138458,0.24462203681468964,0.23474383354187012,0.22914208471775055,0.2174958437681198,0.23243290185928345
5,0.0005794902099296451,0.0,0.0,0.0,0.0024439850822091103,0.0,0.0,0.007302756421267986,0.0,0.0,0.0,0.0,0.020886385813355446,0.0,0.0,0.0,0.06673064827919006,0.0,0.0,0.9020566940307617,0.05473468825221062,0.0,0.0,0.0,0.09285400062799454,0.0,0.0,0.09787603467702866,0.0,0.0,0.0,0.0,0.11252603679895401,0.0,0.0,0.0,0.14656543731689453,0.0,0.0,0.49544379115104675,0.7769230604171753,0.7812774777412415,0.6609388589859009,0.7263472676277161,0.9912845492362976,0.9932242035865784,0.9885799884796143,0.9871286153793335,0.0006602811627089977,0.00040786300087347627,6.215153553057462e-05,0.00043519563041627407,0.00031102687353268266,0.00016131842858158052,7.956428817124106e-06,5.295267328619957e-05,0.0012436257675290108,0.0007998188957571983,0.00020577659597620368,0.001331985811702907,0.6688318252563477,0.9896743893623352,0.9095888137817383,0.8237597942352295,0.6570231318473816,0.6055213212966919,0.03519603982567787,0.26434043049812317,0.26073023676872253,0.2711809277534485,0.24913978576660156,0.27109768986701965,0.27025458216667175,0.2546965479850769,0.25743940472602844,0.24319744110107422,0.2546415627002716
6,0.0004993897746317089,0.0,0.0,0.0,0.0026579098775982857,0.0,0.0,0.006066490896046162,0.0,0.0,0.0,0.0,0.018893731757998466,0.0,0.0,0.0,0.057799357920885086,0.0,0.0,0.9140831232070923,0.051200028508901596,0.0,0.0,0.0,0.08841704577207565,0.0,0.0,0.09360382705926895,0.0,0.0,0.0,0.0,0.10811436176300049,0.0,0.0,0.0,0.13620252907276154,0.0,0.0,0.5224621891975403,0.7980769276618958,0.7858283519744873,0.6771785616874695,0.7514969706535339,0.9959235191345215,0.9942464828491211,0.9898407459259033,0.9877171516418457,0.000772575382143259,0.00043900919263251126,6.961367034818977e-05,0.0004902149667032063,0.00033377009094692767,0.00017248235235456377,9.032783054863103e-06,6.00454441155307e-05,0.0015904498286545277,0.0008701059268787503,0.0002280680346302688,0.0014800663338974118,0.6845017671585083,0.9907767176628113,0.9210972785949707,0.8391644954681396,0.6829410791397095,0.5653311014175415,0.03083712048828602,0.28860586881637573,0.2862180471420288,0.28625938296318054,0.2753067910671234,0.29767295718193054,0.29840394854545593,0.2757096588611603,0.2874385416507721,0.2746376097202301,0.27392327785491943
7,0.00039113181992433965,0.0,0.0,0.0,0.0019180431263521314,0.0,0.0,0.005586087703704834,0.0,0.0,0.0,0.0,0.017859043553471565,0.0,0.0,0.0,0.05524056777358055,0.0,0.0,0.9190050363540649,0.04939667508006096,0.0,0.0,0.0,0.08328849077224731,0.0,0.0,0.08895695954561234,0.0,0.0,0.0,0.0,0.10486023873090744,0.0,0.0,0.0,0.13673149049282074,0.0,0.0,0.5367661714553833,0.817307710647583,0.794451117515564,0.6909962892532349,0.7552893757820129,0.9961140155792236,0.995185136795044,0.9908715486526489,0.9902845621109009,0.000908518151845783,0.0004672877548728138,7.626874139532447e-05,0.0005339686758816242,0.00037825823528692126,0.00018483438179828227,1.0054219274024945e-05,6.463195313699543e-05,0.001863539102487266,0.0009343435522168875,0.00024707982083782554,0.0016469669062644243,0.6979076266288757,0.9921053647994995,0.9113734364509583,0.8487579822540283,0.6738502979278564,0.5441556572914124,0.030125271528959274,0.30852553248405457,0.3100235164165497,0.3057626187801361,0.2951645255088806,0.3272486627101898,0.3174082040786743,0.2970355153083801,0.3037330210208893,0.3042474389076233,0.29889604449272156
8,0.0003882645396515727,0.0,0.0,0.0,0.0015933675458654761,0.0,0.0,0.005121815018355846,0.0,0.0,0.0,0.0,0.013864342123270035,0.0,0.0,0.0,0.0522637777030468,0.0,0.0,0.92676842212677,0.04676727578043938,0.0,0.0,0.0,0.0811050608754158,0.0,0.0,0.08589476346969604,0.0,0.0,0.0,0.0,0.09864407777786255,0.0,0.0,0.0,0.13432824611663818,0.0,0.0,0.5532605648040771,0.8500000238418579,0.7980439066886902,0.7005418539047241,0.7640718221664429,0.9973992705345154,0.995630145072937,0.9922649264335632,0.9900749325752258,0.0011345235398039222,0.0004901211941614747,8.284769137389958e-05,0.0005711557460017502,0.0004509641439653933,0.00019243871793150902,1.0995427146553993e-05,7.17565999366343e-05,0.0022621399257332087,0.0009866913314908743,0.00026657566195353866,0.0018014565575867891,0.7071263194084167,0.9928973317146301,0.9406698942184448,0.8606331944465637,0.7194930911064148,0.5178319215774536,0.036292482167482376,0.33285054564476013,0.32470542192459106,0.3230927586555481,0.3188469707965851,0.35794878005981445,0.3387672007083893,0.31748315691947937,0.32633596658706665,0.32978343963623047,0.31562864780426025
9,0.00029817697941325605,0.0,0.0,0.0,0.0013883288484066725,0.0,0.0,0.004025098867714405,0.0,0.0,0.0,0.0,0.010868036188185215,0.0,0.0,0.0,0.03878054395318031,0.0,0.0,0.9446398615837097,0.04309266805648804,0.0,0.0,0.0,0.07837416231632233,0.0,0.0,0.08217426389455795,0.0,0.0,0.0,0.0,0.09355398267507553,0.0,0.0,0.0,0.12698045372962952,0.0,0.0,0.575824499130249,0.8711538314819336,0.809341311454773,0.7114831805229187,0.7680638432502747,0.9987653493881226,0.9964311122894287,0.9935324192047119,0.9923486113548279,0.0013793373946100473,0.0005149230128154159,8.932336641009897e-05,0.000629478832706809,0.0005542481085285544,0.00019943031657021493,1.1819447536254302e-05,7.993911276571453e-05,0.00270839617587626,0.0010432101553305984,0.0002842067333403975,0.0019040704937651753,0.7180199027061462,0.9942891001701355,0.9429682493209839,0.8815662264823914,0.7606505155563354,0.4888511300086975,0.02608649991452694,0.35814839601516724,0.3482125997543335,0.3425824046134949,0.3490118980407715,0.3646227717399597,0.35461410880088806,0.33232203125953674,0.3473379909992218,0.3486114740371704,0.3367922008037567
