step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,0.8376441597938538,0.8213187456130981,0.7363074421882629,0.8324548602104187,0.9757376909255981,0.8372267257775341,0.07030739635229111,0.9997193217277527,0.9996669292449951,0.9998591542243958,0.9995687007904053,0.9998964071273804,0.00014298838505055755,9.577738092048094e-05,1.3974567082186695e-05,9.779730316950008e-05,0.7345913052558899,0.5495161414146423,0.33777523040771484,0.8376441597938538,0.8213186860084534,0.7363073825836182,0.8324548602104187,0.9757377505302429,0.8372267259501605,0.0703074038028717,0.9997193217277527,0.9996669292449951,0.9998591542243958,0.9995686411857605,0.9998965859413147,0.001429883879609406,0.0009577737073414028,0.00013974567991681397,0.000977973104454577,0.7345912456512451,0.5495161414146423,0.33777520060539246,0.6992121934890747,0.6902762055397034,0.8255956768989563,0.7084869742393494,0.652151882648468,0.656828761100769,0.6569049954414368,0.6857535243034363,0.7423919439315796,0.7282495498657227,0.7045851945877075,0.4535539746284485,0.06992122530937195,0.0690276250243187,0.08255957067012787,0.07084869593381882,0.06521519273519516,0.06568287312984467,0.06569050252437592,0.06857535243034363,0.07423919439315796,0.07282495498657227,0.07045852392911911,0.04535539820790291
1,0.6548760533332825,0.6124269366264343,0.5411698818206787,0.6597980260848999,0.7813733220100403,0.6548149028010858,0.07053282111883163,0.9999181628227234,0.9999575614929199,0.999934196472168,0.9999200105667114,0.9998881816864014,0.00026954777422361076,0.00017548984033055604,2.571008553786669e-05,0.0001825279905460775,0.863656759262085,0.6750792264938354,0.3975026607513428,0.8900591135025024,0.860411524772644,0.7557410001754761,0.8995614647865295,1.030093789100647,0.8898161152886692,0.1014837846159935,0.9997814297676086,0.9998388886451721,0.999913215637207,0.9996690154075623,0.9998634457588196,0.0014368919655680656,0.0009139251196756959,0.00013675678928848356,0.0009170565754175186,0.7315128445625305,0.5207657814025879,0.24996843934059143,0.6864214539527893,0.6782806515693665,0.8492485880851746,0.6575532555580139,0.7220339179039001,0.7195107340812683,0.6479997038841248,0.6855849027633667,0.8726008534431458,0.6970696449279785,0.7216303944587708,0.482241690158844,0.1186218410730362,0.1181531772017479,0.13816605508327484,0.11417502164840698,0.11484692245721817,0.11532408744096756,0.11330470442771912,0.11755643784999847,0.1355443149805069,0.11684287339448929,0.1202535405755043,0.06604491174221039
2,0.5414683222770691,0.5307824611663818,0.4579913020133972,0.5440645813941956,0.6348211765289307,0.541428183312436,0.047605305910110474,0.9999457001686096,0.999752402305603,0.9999273419380188,0.9999383687973022,0.9999980330467224,0.0003632241568993777,0.00024802066036500037,3.604154699132778e-05,0.00025940241175703704,0.8540148735046387,0.7517262697219849,0.5813122391700745,0.8410661816596985,0.8987258076667786,0.7612847089767456,0.8305384516716003,0.9492981433868408,0.8407825289421194,0.07519686967134476,0.9997893571853638,0.9999680519104004,0.9999138712882996,0.9997671842575073,0.9996800422668457,0.0012623276561498642,0.0009183428483083844,0.00013470770500134677,0.0009352408233098686,0.7570495009422302,0.5460039973258972,0.30727094411849976,0.840246319770813,0.6898819804191589,0.7080346941947937,0.7742080092430115,0.7351269721984863,0.7712814807891846,0.6684484481811523,0.650770902633667,0.7716113924980164,0.7063001394271851,0.7315910458564758,0.4722329378128052,0.1621037870645523,0.15999040007591248,0.1663120836019516,0.16385477781295776,0.16617736220359802,0.16341866552829742,0.15388330817222595,0.15954454243183136,0.18338437378406525,0.15501289069652557,0.16336822509765625,0.07787559181451797
3,0.51737380027771,0.4717031717300415,0.4228602349758148,0.5202798247337341,0.6269954442977905,0.5173631620964632,0.04111647978425026,0.9999611973762512,0.9999983906745911,0.9999569058418274,0.9999505281448364,0.9999932646751404,0.0004400089383125305,0.00031159212812781334,4.579983578878455e-05,0.00032194898813031614,0.8563852906227112,0.7678985595703125,0.6334754824638367,0.9943647384643555,0.8451277613639832,0.8135179877281189,0.9928829669952393,1.2312861680984497,0.9939892960869878,0.08507076650857925,0.9998030066490173,0.9997365474700928,0.9998695254325867,0.999708890914917,0.9999499917030334,0.0014984654262661934,0.0009207571274600923,0.00014038999506738037,0.0009466074407100677,0.6764805912971497,0.45657965540885925,0.16006256639957428,0.8152492642402649,0.7921044826507568,0.8242023587226868,0.6433859467506409,0.8424310088157654,0.6683043241500854,0.7515650987625122,0.7833520174026489,0.7120869755744934,0.7201589941978455,0.7552840709686279,0.5344789028167725,0.19718949496746063,0.20331686735153198,0.2068662941455841,0.19682039320468903,0.21831826865673065,0.199090838432312,0.18980461359024048,0.1986161321401596,0.2133125364780426,0.19488418102264404,0.2018219530582428,0.0928187221288681
4,0.4785509705543518,0.42785248160362244,0.3872482180595398,0.482186496257782,0.5850984454154968,0.4785359842157947,0.04704083502292633,0.9999635815620422,0.9998871088027954,0.9999653697013855,0.999970555305481,0.9999472498893738,0.0005259238532744348,0.0003683730319608003,5.473870623973198e-05,0.00037582378718070686,0.9009199738502502,0.7971766591072083,0.6082797050476074,0.975155770778656,0.7623448371887207,0.8113192319869995,0.9785937070846558,1.1916106939315796,0.974853681283432,0.10804866254329681,0.9997851252555847,0.9999899864196777,0.9998909831047058,0.9996694922447205,0.9999040365219116,0.001638295128941536,0.0009068394429050386,0.0001390336110489443,0.0009502329048700631,0.7099511623382568,0.47446849942207336,0.188676655292511,0.7136262655258179,0.904708981513977,0.6615046858787537,0.878081738948822,0.7299870252609253,0.7226239442825317,0.6798849701881409,0.6836836338043213,0.7877562046051025,0.689401388168335,0.7451258897781372,0.5232428908348083,0.23081842064857483,0.24478310346603394,0.23275546729564667,0.22647710144519806,0.24985922873020172,0.23474623262882233,0.21961387991905212,0.22586295008659363,0.2543117105960846,0.22429415583610535,0.2343522310256958,0.10127433389425278
5,0.4238579571247101,0.3765433728694916,0.35748565196990967,0.427394837141037,0.5030872225761414,0.42380481628624905,0.03179239109158516,0.9999437928199768,0.9999021887779236,0.9999391436576843,0.9999718070030212,0.9998812675476074,0.0006543887429870665,0.000409506494179368,6.224359094630927e-05,0.00044197632814757526,0.9302518963813782,0.8326786756515503,0.7125418186187744,0.8934342861175537,0.6225177645683289,0.751728892326355,0.9179847836494446,1.0468950271606445,0.8931635555625432,0.06335791945457458,0.9998251795768738,0.9999964237213135,0.9999076128005981,0.9997515082359314,0.9998565316200256,0.0017582143191248178,0.0008475595968775451,0.00013407765072770417,0.0009168043616227806,0.7289236783981323,0.5116156935691833,0.21845607459545135,0.7075976729393005,0.7972012162208557,0.6775315999984741,0.7314712405204773,0.6604709625244141,0.7368974685668945,0.649932861328125,0.7201615571975708,0.6484618782997131,0.7292594909667969,0.7058985829353333,0.47125163674354553,0.2581443190574646,0.27315735816955566,0.2590630352497101,0.25418907403945923,0.2705782949924469,0.2628718316555023,0.24669313430786133,0.2562049329280853,0.2656329572200775,0.24866430461406708,0.25951993465423584,0.1013287752866745
6,0.39485976099967957,0.3273300230503082,0.3333236575126648,0.3987610638141632,0.46519750356674194,0.3948618980639734,0.030283933505415916,0.9999733567237854,0.9998893141746521,0.9999704957008362,0.9999683499336243,0.9999956488609314,0.0007251134957186878,0.00044258436537347734,6.953452248126268e-05,0.0004892724682576954,0.9238316416740417,0.8516308665275574,0.7555598020553589,0.9166760444641113,0.5463110208511353,0.8027654886245728,0.9340563416481018,1.0421591997146606,0.9162824842904237,0.08631732314825058,0.9997870326042175,0.9996985197067261,0.9998836517333984,0.9996775388717651,0.9999146461486816,0.002182367956265807,0.0008747094543650746,0.0001420301414327696,0.0009942275937646627,0.6872846484184265,0.5005729794502258,0.23786291480064392,0.7504319548606873,0.7148862481117249,0.7340661287307739,0.7764644026756287,0.6488344669342041,0.9099327325820923,0.7648791074752808,0.7611581087112427,0.751315712928772,0.6901179552078247,0.7502086758613586,0.5088223218917847,0.2775794565677643,0.29473432898521423,0.28229159116744995,0.27809056639671326,0.2944062650203705,0.29753661155700684,0.27124667167663574,0.2843087315559387,0.2854244112968445,0.2745548486709595,0.2840173840522766,0.10435758531093597
7,0.3896781802177429,0.29687759280204773,0.33204159140586853,0.3930266797542572,0.4554712474346161,0.38966460417332444,0.037355560809373856,0.9999710321426392,0.9999584555625916,0.999957263469696,0.999976634979248,0.9999778270721436,0.0008201659074984491,0.00046965302317403257,7.574306073365733e-05,0.0005357328918762505,0.9352932572364807,0.8558622002601624,0.7418733835220337,0.9729067087173462,0.5093504786491394,0.8526442646980286,1.009626865386963,1.0750476121902466,0.9726909800485378,0.0887640044093132,0.9998527765274048,0.999994695186615,0.9998936653137207,0.9997528791427612,0.999977707862854,0.002565878676250577,0.0008523324504494667,0.00013608076551463455,0.0009549434180371463,0.7129653096199036,0.46387147903442383,0.13501718640327454,0.9090887308120728,0.8646346926689148,0.7716942429542542,0.8576116561889648,0.8928714394569397,0.7174659371376038,0.7199888229370117,0.8134003281593323,0.7622647881507874,0.7154208421707153,0.8024441003799438,0.5617689490318298,0.2988700568675995,0.32006269693374634,0.3062184751033783,0.30025991797447205,0.32980749011039734,0.31460148096084595,0.2877647280693054,0.31179434061050415,0.3076573312282562,0.2986806035041809,0.30757173895835876,0.11175256967544556
8,0.38919898867607117,0.25464949011802673,0.32554906606674194,0.39523664116859436,0.45906829833984375,0.38918193698096043,0.02803877554833889,0.9999681115150452,0.9999957084655762,0.9999756813049316,0.9999707937240601,0.9999489188194275,0.0009903493337333202,0.0004891722928732634,8.217858703574166e-05,0.0005729710101149976,0.9270362854003906,0.8549250364303589,0.760249137878418,1.0137498378753662,0.4137778580188751,0.8255706429481506,1.0779920816421509,1.1876212358474731,1.0135639002353065,0.10483157634735107,0.9998331665992737,0.999950647354126,0.9999032020568848,0.9997212290763855,0.999935507774353,0.0031191932503134012,0.0008978387340903282,0.00013946538092568517,0.0009342955308966339,0.7782163619995117,0.44465112686157227,-0.024368401616811752,0.9022512435913086,1.0112812519073486,0.8935444951057434,0.6846895813941956,0.7537392973899841,0.8641414046287537,0.986090362071991,0.8581680655479431,0.89243084192276,0.8722404837608337,0.8718576431274414,0.6240927577018738,0.32137197256088257,0.3424626886844635,0.34056222438812256,0.31974294781684875,0.3413017988204956,0.32734137773513794,0.31531429290771484,0.32975319027900696,0.32783544063568115,0.3220582902431488,0.32877442240715027,0.11929245293140411
9,0.3861643373966217,0.21632088720798492,0.31322532892227173,0.3969973623752594,0.45893624424934387,0.38612985382565745,0.032694172114133835,0.9999619722366333,0.9999892115592957,0.9999518990516663,0.9999819397926331,0.9999271035194397,0.0012213824084028602,0.0005149170756340027,8.798850467428565e-05,0.0006280022789724171,0.9275330305099487,0.8571999073028564,0.7501109838485718,0.877344012260437,0.341792494058609,0.6922758221626282,0.9654704332351685,1.038804531097412,0.8771192178610425,0.0989755392074585,0.999849259853363,0.9999819993972778,0.9999332427978516,0.9997216463088989,0.9999366402626038,0.0035617430694401264,0.0009181069326587021,0.00013612599286716431,0.0009976074798032641,0.768507719039917,0.5275077819824219,0.23209452629089355,0.7482178211212158,0.8089306950569153,1.0006073713302612,0.7949130535125732,0.8014513254165649,0.730782151222229,0.8038384914398193,0.8820185661315918,0.7252119779586792,0.7426227927207947,0.8038594126701355,0.5327372550964355,0.3392787277698517,0.3681524097919464,0.36483368277549744,0.3397628664970398,0.3581993877887726,0.3487849831581116,0.3329164981842041,0.35988765954971313,0.34797170758247375,0.34114164113998413,0.35009297728538513,0.12618400156497955
