step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.3156870901584625,0.0,0.0,0.0,0.3690393269062042,0.0,0.0,0.12488512694835663,0.0,0.0,0.0,0.0,0.04404923692345619,0.0,0.0,0.0,0.14631567895412445,0.0,0.0,2.3517737645306624e-05,0.47045156359672546,0.0,0.0,0.0,0.4322522282600403,0.0,0.0,0.07895345240831375,0.0,0.0,0.0,0.0,0.008246076293289661,0.0,0.0,0.0,0.010083072818815708,0.0,0.0,1.3607385881186929e-05,0.026923077180981636,0.030059879645705223,0.002516854088753462,0.7219560742378235,0.17944447696208954,0.03865659236907959,0.008348091505467892,0.9541168212890625,4.9442525778431445e-05,4.3694184569176286e-05,4.534123945632018e-06,3.3773918403312564e-05,2.124824095517397e-05,1.7520684195915237e-05,2.727619516917912e-07,2.2362964955391362e-06,9.134807623922825e-05,8.08734112069942e-05,1.7785387171898037e-05,0.00010527319682296365,0.012508119456470013,0.19037163257598877,0.04061245918273926,-0.10353582352399826,-0.17587104439735413,5.679676055908203,0.04578286036849022,0.2707365155220032,0.2438407987356186,0.2456597238779068,0.24081170558929443,0.23667816817760468,0.2553781270980835,0.2709585428237915,0.2559536397457123,0.2642444372177124,0.25975075364112854
1,0.3077583909034729,0.0,0.0,0.0,0.3761211335659027,0.0,0.0,0.12531284987926483,0.0,0.0,0.0,0.0,0.05561201274394989,0.0,0.0,0.0,0.13516978919506073,0.0,0.0,2.5784507670323364e-05,0.46355512738227844,0.0,0.0,0.0,0.4357243776321411,0.0,0.0,0.08415938168764114,0.0,0.0,0.0,0.0,0.007032536435872316,0.0,0.0,0.0,0.009509056806564331,0.0,0.0,1.9525783500284888e-05,0.03076923079788685,0.02459081821143627,0.0018826468149200082,0.7391217350959778,0.17894619703292847,0.028597630560398102,0.0028729098848998547,0.9639044404029846,9.273512114305049e-05,8.313422586070374e-05,8.544684533262625e-06,6.427409243769944e-05,3.8229001802392304e-05,3.376591484993696e-05,4.656433816307981e-07,3.68022210750496e-06,0.00018345419084653258,0.0001516467018518597,3.368817124282941e-05,0.00019806326599791646,0.011805233545601368,0.19079230725765228,0.0563502162694931,-0.10347644239664078,-0.1772284060716629,5.74901008605957,0.053045954555273056,0.5173325538635254,0.4607178866863251,0.44364213943481445,0.4605296850204468,0.44368815422058105,0.4766579270362854,0.5117786526679993,0.48427727818489075,0.49908730387687683,0.49681219458580017
2,0.30595532059669495,0.0,0.0,0.0,0.3783000111579895,0.0,0.0,0.12599804997444153,0.0,0.0,0.0,0.0,0.05670150741934776,0.0,0.0,0.0,0.13301979005336761,0.0,0.0,2.5264283976866864e-05,0.45220229029655457,0.0,0.0,0.0,0.44375234842300415,0.0,0.0,0.08616435527801514,0.0,0.0,0.0,0.0,0.008251785300672054,0.0,0.0,0.0,0.009603645652532578,0.0,0.0,2.556711115175858e-05,0.028846153989434242,0.026427146047353745,0.002848939038813114,0.753892183303833,0.18570639193058014,0.02867426723241806,0.004358156584203243,0.9536252617835999,0.00013309335918165743,0.0001186931476695463,1.2237175724294502e-05,8.823433017823845e-05,6.065122579457238e-05,4.811022154171951e-05,6.051972150089568e-07,4.915638783131726e-06,0.00026483688270673156,0.00021651110728271306,4.8066722229123116e-05,0.00028317447868175805,0.012979029677808285,0.18973113596439362,0.04781418293714523,-0.10341574251651764,-0.1767493635416031,5.819977760314941,0.05231419578194618,0.733005940914154,0.6574816703796387,0.6274509429931641,0.6513864994049072,0.6367353796958923,0.688313364982605,0.726690948009491,0.6912684440612793,0.712066113948822,0.70627361536026
3,0.30561476945877075,0.0,0.0,0.0,0.37679725885391235,0.0,0.0,0.1292365938425064,0.0,0.0,0.0,0.0,0.05883771553635597,0.0,0.0,0.0,0.12949180603027344,0.0,0.0,2.186921665270347e-05,0.44991931319236755,0.0,0.0,0.0,0.4455592930316925,0.0,0.0,0.08781323581933975,0.0,0.0,0.0,0.0,0.007431409787386656,0.0,0.0,0.0,0.009261112660169601,0.0,0.0,1.563848854857497e-05,0.03076923079788685,0.02762475050985813,0.001952559337951243,0.768862247467041,0.17660653591156006,0.028282061219215393,0.002221063943579793,0.9573184251785278,0.00017093101632781327,0.00014986356836743653,1.5404064470203593e-05,0.00011248723603785038,8.69587529450655e-05,6.098901212681085e-05,7.910835506663716e-07,6.603782367164968e-06,0.00034586002584546804,0.000273505924269557,6.023266905685887e-05,0.000359806464985013,0.012392131611704826,0.18833580613136292,0.04628225415945053,-0.10344675183296204,-0.17543789744377136,5.855523109436035,0.05360884219408035,0.9315664172172546,0.8327194452285767,0.7961470484733582,0.8150444030761719,0.8086802363395691,0.8661288022994995,0.9234417080879211,0.8773598670959473,0.8984847664833069,0.8951287269592285
4,0.30414533615112305,0.0,0.0,0.0,0.3827418088912964,0.0,0.0,0.12312843650579453,0.0,0.0,0.0,0.0,0.06159158796072006,0.0,0.0,0.0,0.12837255001068115,0.0,0.0,2.0276742361602373e-05,0.4510253071784973,0.0,0.0,0.0,0.44182679057121277,0.0,0.0,0.08975005149841309,0.0,0.0,0.0,0.0,0.008245457895100117,0.0,0.0,0.0,0.009121652692556381,0.0,0.0,3.074368942179717e-05,0.03076923079788685,0.027145707979798317,0.0025917603634297848,0.7834331393241882,0.18903616070747375,0.026457836851477623,0.005407462827861309,0.9650031924247742,0.00018850575725082308,0.0001764753833413124,1.8252398149343207e-05,0.00013553042663261294,0.00010427118104416877,7.170315075200051e-05,9.249077947970363e-07,8.20277909951983e-06,0.00040068250382319093,0.00032449193531647325,7.157804066082463e-05,0.00042987591587007046,0.013127494603395462,0.1899680346250534,0.05893868952989578,-0.10344607383012772,-0.17634931206703186,5.904506206512451,0.05462058633565903,1.110782265663147,0.9926292300224304,0.9599090814590454,0.9681147933006287,0.9542015790939331,1.0200101137161255,1.1045421361923218,1.0452214479446411,1.0743982791900635,1.0669105052947998
5,0.30327627062797546,0.0,0.0,0.0,0.385076105594635,0.0,0.0,0.1213727742433548,0.0,0.0,0.0,0.0,0.05969349294900894,0.0,0.0,0.0,0.13056255877017975,0.0,0.0,1.8920691218227148e-05,0.4504695236682892,0.0,0.0,0.0,0.4409780204296112,0.0,0.0,0.09082721918821335,0.0,0.0,0.0,0.0,0.008496257476508617,0.0,0.0,0.0,0.009198427200317383,0.0,0.0,3.052913234569132e-05,0.028846153989434242,0.026626747101545334,0.002896379679441452,0.791217565536499,0.19155353307724,0.02735503390431404,0.004751567263156176,0.965387761592865,0.00022816343698650599,0.00020134419901296496,2.0605097233783454e-05,0.00015649732085876167,0.00011616242409218103,8.064944267971441e-05,1.0184709253735491e-06,8.765464372118004e-06,0.0004535168700385839,0.00037038835580460727,8.12195212347433e-05,0.0004883009241893888,0.01346849836409092,0.19025938212871552,0.05708447843790054,-0.10354995727539062,-0.17547139525413513,5.95745325088501,0.052006930112838745,1.2737239599227905,1.1368147134780884,1.1081359386444092,1.120613694190979,1.0949877500534058,1.1614564657211304,1.2578374147415161,1.1949723958969116,1.2310147285461426,1.223401665687561
6,0.30272847414016724,0.0,0.0,0.0,0.38666826486587524,0.0,0.0,0.11970139294862747,0.0,0.0,0.0,0.0,0.05909192934632301,0.0,0.0,0.0,0.13180139660835266,0.0,0.0,8.550048733013682e-06,0.45354369282722473,0.0,0.0,0.0,0.44004589319229126,0.0,0.0,0.08962398022413254,0.0,0.0,0.0,0.0,0.007462641689926386,0.0,0.0,0.0,0.009293668903410435,0.0,0.0,3.011558328580577e-05,0.023076923564076424,0.02706586755812168,0.0021847691386938095,0.800199568271637,0.18101081252098083,0.02682390995323658,0.0032392938155680895,0.9726955890655518,0.0002539540873840451,0.00022557804186362773,2.2853204427519813e-05,0.00017277014558203518,0.00012797286035493016,8.905797585612163e-05,1.1894624094566097e-06,9.198822226608172e-06,0.0004895011079497635,0.0004122284008190036,8.992411312647164e-05,0.0005444073467515409,0.012930314987897873,0.19088567793369293,0.05537887290120125,-0.10360810160636902,-0.17467637360095978,5.994941711425781,0.051820650696754456,1.42134690284729,1.2655373811721802,1.236653447151184,1.2467135190963745,1.2227152585983276,1.3006527423858643,1.4027265310287476,1.3293414115905762,1.3683899641036987,1.3647441864013672
7,0.3004998564720154,0.0,0.0,0.0,0.3884793221950531,0.0,0.0,0.1197720617055893,0.0,0.0,0.0,0.0,0.058015573769807816,0.0,0.0,0.0,0.1332254558801651,0.0,0.0,7.721061592746992e-06,0.4497936964035034,0.0,0.0,0.0,0.44369733333587646,0.0,0.0,0.08941517025232315,0.0,0.0,0.0,0.0,0.007784110959619284,0.0,0.0,0.0,0.009279669262468815,0.0,0.0,3.0031293135834858e-05,0.03076923079788685,0.02970059961080551,0.0022571785375475883,0.803991973400116,0.19379055500030518,0.02760903164744377,0.002504537580534816,0.972825825214386,0.0002809127909131348,0.00024609314277768135,2.513044819352217e-05,0.0001884573430288583,0.0001339223817922175,9.74569411482662e-05,1.306246304011438e-06,1.050553510140162e-05,0.0005077962996438146,0.0004506458935793489,9.839379345066845e-05,0.0005928269238211215,0.01320404652506113,0.1912325620651245,0.06401948630809784,-0.10357051342725754,-0.17431633174419403,6.013660907745361,0.05278199911117554,1.554517149925232,1.3822046518325806,1.3541569709777832,1.35990309715271,1.3282731771469116,1.423112154006958,1.5263712406158447,1.4514976739883423,1.5047671794891357,1.493364930152893
8,0.30284908413887024,0.0,0.0,0.0,0.38474079966545105,0.0,0.0,0.12116807699203491,0.0,0.0,0.0,0.0,0.058862101286649704,0.0,0.0,0.0,0.1323726922273636,0.0,0.0,7.245087090268498e-06,0.44325879216194153,0.0,0.0,0.0,0.4508197009563446,0.0,0.0,0.08868049085140228,0.0,0.0,0.0,0.0,0.007902133278548717,0.0,0.0,0.0,0.009305959567427635,0.0,0.0,3.2925556297414005e-05,0.03076923079788685,0.028463074937462807,0.002387016313150525,0.8133732080459595,0.19503402709960938,0.028740743175148964,0.0029664449393749237,0.9662010669708252,0.0003046739147976041,0.0002639717422425747,2.7190551918465644e-05,0.00020162540022283792,0.00013978179777041078,0.00010480530909262598,1.4228663758331095e-06,1.118839736591326e-05,0.0005455907084979117,0.00048282594070769846,0.00010635486978571862,0.0006453296518884599,0.013361789286136627,0.19122585654258728,0.0593046098947525,-0.10352248698472977,-0.17361611127853394,6.034914970397949,0.05468041077256203,1.6722369194030762,1.4882981777191162,1.4493693113327026,1.4464982748031616,1.4348485469818115,1.536781668663025,1.6478543281555176,1.560491681098938,1.6246135234832764,1.6080271005630493
9,0.30454346537590027,0.0,0.0,0.0,0.3823729157447815,0.0,0.0,0.119401715695858,0.0,0.0,0.0,0.0,0.05769200250506401,0.0,0.0,0.0,0.13598330318927765,0.0,0.0,6.637598289671587e-06,0.4431828558444977,0.0,0.0,0.0,0.44973069429397583,0.0,0.0,0.09037031978368759,0.0,0.0,0.0,0.0,0.007288651540875435,0.0,0.0,0.0,0.009397581219673157,0.0,0.0,2.9871522201574408e-05,0.026923077180981636,0.027185628190636635,0.002064918866381049,0.8131736516952515,0.18781618773937225,0.030060818418860435,0.0019008612725883722,0.9727119207382202,0.0003385881136637181,0.00027745659463107586,2.8811893571401015e-05,0.00021426845341920853,0.00015026364417281002,0.00010991343879140913,1.5577331851091003e-06,1.1830077710328624e-05,0.0006044961046427488,0.000510231067892164,0.00011246028589084744,0.0006916873389855027,0.012981349602341652,0.19366519153118134,0.05795054882764816,-0.10366267710924149,-0.17218521237373352,6.099146366119385,0.052045777440071106,1.7807691097259521,1.5845237970352173,1.557766318321228,1.5581536293029785,1.5302804708480835,1.6335386037826538,1.7488868236541748,1.6596124172210693,1.7365944385528564,1.7085728645324707
