step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,10.620565414428711,4.740521430969238,6.980640888214111,10.673534393310547,14.779743194580078,10.570348270186013,0.059663187712430954,0.9978061318397522,0.9997571706771851,0.9995993375778198,0.995911180973053,0.9996890425682068,0.00011311881098663434,7.442932110279799e-05,9.32055354496697e-06,6.277279317146167e-05,0.029216865077614784,-0.10091539472341537,-0.17332759499549866,10.620566368103027,4.74052095413208,6.9806413650512695,10.673534393310547,14.779743194580078,10.570348268126038,0.05966316908597946,0.9978061318397522,0.9997571706771851,0.9995993375778198,0.9959111213684082,0.9996890425682068,0.0011311887064948678,0.0007442932692356408,9.320554818259552e-05,0.0006277279462665319,0.029216885566711426,-0.10091540217399597,-0.17332759499549866,4.1586079597473145,3.601865530014038,3.753920793533325,3.850857973098755,3.713928461074829,3.7030529975891113,4.235998630523682,3.850210428237915,4.302628517150879,4.048059463500977,3.9219131469726562,3.9115865230560303,0.4158608615398407,0.36018651723861694,0.3753920793533325,0.3850858211517334,0.3713928759098053,0.37030526995658875,0.42359989881515503,0.38502106070518494,0.43026286363601685,0.4048059582710266,0.3921913206577301,0.3911586403846741
1,10.509869575500488,4.738062858581543,6.894831657409668,10.532389640808105,14.7540283203125,10.479332782726427,0.06228211149573326,0.9985291957855225,0.9987823963165283,0.9996517896652222,0.997343122959137,0.9997990727424622,0.00021622798522002995,0.0001426231028744951,1.7432854292565025e-05,0.00012026467447867617,0.045219484716653824,-0.1005750223994255,-0.1730910688638687,10.243043899536133,4.635752201080322,6.7097368240356445,10.250495910644531,14.516413688659668,10.086080005974974,0.06748159229755402,0.9968844056129456,0.999739408493042,0.9996706247329712,0.994157612323761,0.999358594417572,0.0011376880574971437,0.0007653204374946654,9.279231744585559e-05,0.0006462824530899525,0.05975289270281792,-0.09993360191583633,-0.1724487990140915,4.1556782722473145,3.5995261669158936,3.494198799133301,3.6996512413024902,3.5837440490722656,3.887249231338501,4.169788360595703,3.852403163909912,4.2466044425964355,4.084131717681885,3.8772976398468018,3.867727518081665,0.789238452911377,0.6837189793586731,0.6861578822135925,0.7158812880516052,0.6920322179794312,0.7211121320724487,0.7976634502410889,0.7312055826187134,0.8112558126449585,0.7721567153930664,0.7400422096252441,0.7381424307823181
2,10.524494171142578,4.763932228088379,6.900772571563721,10.561599731445312,14.748157501220703,10.495903155315432,0.06340610235929489,0.998457670211792,0.9997016787528992,0.9994788765907288,0.9973343014717102,0.9996576905250549,0.0003017422277480364,0.00020160812709946185,2.5065197405638173e-05,0.0001702984591247514,0.053516484797000885,-0.10064827650785446,-0.17189864814281464,10.358986854553223,4.631318092346191,6.783936500549316,10.4256010055542,14.538763999938965,10.2604668036788,0.06567499041557312,0.9960128664970398,0.9998756051063538,0.9995912909507751,0.9924731850624084,0.9991261959075928,0.0011623573955148458,0.0007592395995743573,9.57343727350235e-05,0.0006510551320388913,0.06744000315666199,-0.10042116791009903,-0.1693689227104187,4.213110446929932,3.586935043334961,3.642313241958618,3.8365163803100586,3.6100802421569824,3.8434906005859375,4.196983814239502,3.8966312408447266,4.357852458953857,4.0264692306518555,3.9210381507873535,3.9113030433654785,1.130933165550232,0.9736188650131226,0.980872392654419,1.0271915197372437,0.9832199811935425,1.032348394393921,1.1369761228561401,1.0471540689468384,1.1653026342391968,1.0967472791671753,1.0574363470077515,1.0548090934753418
3,10.593814849853516,4.916361331939697,6.938413143157959,10.630218505859375,14.874055862426758,10.572263858264902,0.05877554789185524,0.9988957643508911,0.9991190433502197,0.9996896386146545,0.9980909824371338,0.9996942281723022,0.0003613909939303994,0.00025710833142511547,3.165029556839727e-05,0.00022082678333390504,0.03862897306680679,-0.10077668726444244,-0.169402614235878,10.493510246276855,5.10120153427124,6.870316028594971,10.541187286376953,14.77563190460205,10.428955316953738,0.05044809356331825,0.9969027042388916,0.9999514818191528,0.9995672702789307,0.9943830370903015,0.9989443421363831,0.0009489128715358675,0.0007621112163178623,9.389963815920055e-05,0.0006523445481434464,0.028669245541095734,-0.10069666057825089,-0.17252622544765472,4.170478343963623,3.609616994857788,3.77901291847229,3.643040657043457,3.808248519897461,3.849343776702881,4.132855415344238,3.8702287673950195,4.1512370109558105,4.045903205871582,3.905996799468994,3.893325090408325,1.4341294765472412,1.236527442932129,1.2595891952514648,1.2877339124679565,1.2646572589874268,1.313215970993042,1.4357224702835083,1.3287360668182373,1.4630273580551147,1.3909856081008911,1.3414324522018433,1.3378006219863892
4,10.637462615966797,4.918184757232666,6.998461723327637,10.65959644317627,14.90381908416748,10.62016147633234,0.05972299724817276,0.9990455508232117,1.0,0.9994031190872192,0.998558521270752,0.9996906518936157,0.00042152387322857976,0.0003012747911270708,3.7554058508249e-05,0.0002565553586464375,0.048179253935813904,-0.100838303565979,-0.16914241015911102,10.553908348083496,4.765500068664551,7.039693832397461,10.538752555847168,14.761615753173828,10.491878662242069,0.06382128596305847,0.9971053600311279,1.0,0.9995304942131042,0.9949358105659485,0.9987866878509521,0.0010466785170137882,0.0007183648995123804,9.204868547385558e-05,0.000627553672529757,0.07823853194713593,-0.10063723474740982,-0.16730232536792755,4.274194240570068,3.6324050426483154,3.724527359008789,3.799313545227051,3.5567872524261475,3.7658956050872803,4.191193580627441,3.8434371948242188,4.242473602294922,4.074120998382568,3.9104347229003906,3.90091872215271,1.7170591354370117,1.4750200510025024,1.5050545930862427,1.5379096269607544,1.4924033880233765,1.5573797225952148,1.7097601890563965,1.579081416130066,1.7399603128433228,1.6583980321884155,1.5972026586532593,1.5930249691009521
5,10.64069652557373,4.879371643066406,6.995283126831055,10.690709114074707,14.86227798461914,10.629908937015779,0.05977945029735565,0.9993193745613098,0.9996672868728638,0.9997186660766602,0.9989123344421387,0.9997101426124573,0.00048238271847367287,0.0003430088108871132,4.3199379433644935e-05,0.0003023082681465894,0.045598890632390976,-0.10085002332925797,-0.1671261340379715,10.432551383972168,4.611679553985596,6.820734977722168,10.598348617553711,14.516708374023438,10.359066690143095,0.060611627995967865,0.9969075918197632,1.0,0.9996028542518616,0.9942016005516052,0.9991205334663391,0.0010425118962302804,0.0007409619283862412,9.771438635652885e-05,0.0006661711959168315,0.03569754585623741,-0.10050178319215775,-0.1640007346868515,4.247434616088867,3.636160373687744,3.7900073528289795,3.7682204246520996,3.689657688140869,3.8642098903656006,4.226555347442627,3.797199010848999,4.3093109130859375,4.098109722137451,3.9426865577697754,3.9319005012512207,1.968667984008789,1.6897066831588745,1.7321964502334595,1.7596526145935059,1.7106598615646362,1.7868099212646484,1.9599634408950806,1.7991738319396973,1.9953172206878662,1.9007939100265503,1.8302942514419556,1.8255177736282349
6,10.72624683380127,4.792228698730469,7.076052665710449,10.776504516601562,14.942946434020996,10.716035137969422,0.05877034366130829,0.9993573427200317,0.9998332858085632,0.9995691776275635,0.9990689754486084,0.999737024307251,0.0005448565352708101,0.0003768626775126904,4.803656702279113e-05,0.00033632651320658624,0.04132603108882904,-0.10101905465126038,-0.16786563396453857,10.688897132873535,4.303585529327393,7.133936405181885,10.770718574523926,14.805828094482422,10.627056179347196,0.060714054852724075,0.9979602098464966,0.9993342757225037,0.9996524453163147,0.9962992668151855,0.9994384050369263,0.0010765697807073593,0.000710420252289623,9.321141988039017e-05,0.0006365482113324106,0.02317933924496174,-0.10110681504011154,-0.16973891854286194,4.164702892303467,3.6466064453125,3.8071577548980713,3.566026449203491,3.7315351963043213,4.129396438598633,4.188197135925293,3.8620057106018066,4.292028427124023,4.027676105499268,3.941533327102661,3.9316227436065674,2.186194896697998,1.883176326751709,1.937839388847351,1.9380125999450684,1.9107816219329834,2.0182719230651855,2.1805498600006104,2.002363443374634,2.2227683067321777,2.1112325191497803,2.039119243621826,2.033818006515503
7,10.796420097351074,4.7401442527771,7.144639015197754,10.866267204284668,14.93522834777832,10.787016921385485,0.059977736324071884,0.9994158744812012,0.9998908638954163,0.999687910079956,0.9991241097450256,0.9996999502182007,0.0005766519461758435,0.0004034469020552933,5.220134698902257e-05,0.0003687264979816973,0.0530393049120903,-0.10112956911325455,-0.16663751006126404,10.698881149291992,4.306512355804443,7.081803321838379,10.927111625671387,14.563372611999512,10.639407746270471,0.06717860698699951,0.9972274303436279,0.9995055198669434,0.9994589686393738,0.9949318170547485,0.999122142791748,0.0011594364186748862,0.000691175926476717,9.152464917860925e-05,0.0006595985614694655,0.10902813076972961,-0.10091057419776917,-0.16646048426628113,4.2023162841796875,3.6585540771484375,3.878169536590576,3.698944568634033,3.5280637741088867,3.8345041275024414,4.308473110198975,3.8421382904052734,4.315515518188477,4.088484287261963,3.935516357421875,3.927269458770752,2.384866952896118,2.0571253299713135,2.1289098262786865,2.1112613677978516,2.069303035736084,2.1973257064819336,2.39046573638916,2.1828231811523438,2.428875207901001,2.3060431480407715,2.2257001399993896,2.22019624710083
8,10.836661338806152,4.672610282897949,7.185072898864746,10.92892074584961,14.898580551147461,10.828310861164,0.06066976860165596,0.9994886517524719,0.9988831281661987,0.9996780753135681,0.9992337226867676,0.9998733997344971,0.00062903156504035,0.00042667239904403687,5.624897312372923e-05,0.00039502745494246483,0.0474572628736496,-0.1012028157711029,-0.16630539298057556,10.538129806518555,4.096604824066162,6.938262462615967,10.807108879089355,14.356375694274902,10.479951183794256,0.06494943052530289,0.9979386329650879,1.0,0.9997392892837524,0.9960613250732422,0.9994573593139648,0.0012101525207981467,0.0007060590432956815,9.267641144106165e-05,0.0006374865188263357,0.019019445404410362,-0.10070426017045975,-0.16350628435611725,4.3137640953063965,3.691607713699341,3.7190358638763428,3.6896634101867676,3.8249638080596924,3.9007508754730225,4.27382230758667,3.898038148880005,4.378509521484375,4.185385704040527,3.9875543117523193,3.9780850410461426,2.57417368888855,2.2161762714385986,2.2836899757385254,2.265594720840454,2.2411441802978516,2.3642899990081787,2.574617624282837,2.34948468208313,2.6197574138641357,2.4901225566864014,2.3979053497314453,2.392150640487671
9,10.898950576782227,4.562668800354004,7.232301712036133,11.03688907623291,14.847526550292969,10.889809885326386,0.06021891161799431,0.9995386600494385,0.9989320039749146,0.9996450543403625,0.9993453025817871,0.9998917579650879,0.0006757181254215539,0.00044636704842559993,5.9652167692547664e-05,0.00042026900337077677,0.04435237497091293,-0.10131685435771942,-0.1646885722875595,10.55059814453125,3.7841238975524902,6.921172618865967,10.99594497680664,14.001169204711914,10.484759341188433,0.06221894547343254,0.9976139068603516,0.9988555908203125,0.9995255470275879,0.9955753087997437,0.9991683959960938,0.001375947380438447,0.0007048123516142368,9.202957153320312e-05,0.0006716984207741916,0.026940010488033295,-0.10082869976758957,-0.16385626792907715,4.389135360717773,3.7622358798980713,3.5950427055358887,3.920013427734375,3.8152623176574707,4.150128364562988,4.331369876861572,3.9511168003082275,4.2576904296875,4.166679859161377,4.033867835998535,4.023635387420654,2.7505743503570557,2.364439010620117,2.409778356552124,2.4261858463287354,2.3938686847686768,2.538360118865967,2.745673656463623,2.50374436378479,2.7783467769622803,2.653278112411499,2.556425094604492,2.5503435134887695
