step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.06454890221357346,0.0,0.0,0.0,0.14804904162883759,0.0,0.0,0.17164170742034912,0.0,0.0,0.0,0.0,0.18318599462509155,0.0,0.0,0.0,0.22389234602451324,0.0,0.0,0.20868195593357086,0.23181544244289398,0.0,0.0,0.0,0.351454496383667,0.0,0.0,0.19374361634254456,0.0,0.0,0.0,0.0,0.10942284762859344,0.0,0.0,0.0,0.07194256037473679,0.0,0.0,0.041621044278144836,0.3153846263885498,0.22271457314491272,0.2176978886127472,0.6375249028205872,0.6183165311813354,0.620435893535614,0.4912482798099518,0.8034479022026062,0.00026524439454078674,0.00013781320012640208,4.693551454693079e-05,0.0003258070209994912,0.00012954993871971965,6.307537842076272e-05,2.1862108042114414e-05,0.00014819129137322307,0.00045438105007633567,0.0002506303717382252,8.310635894304141e-05,0.000577505852561444,0.22298645973205566,0.6157537698745728,0.31499865651130676,0.031055429950356483,-0.12855151295661926,3.5857274532318115,0.18352681398391724,0.2040872573852539,0.2297293245792389,0.1971185952425003,0.13472820818424225,0.18245042860507965,0.1615847498178482,0.25403115153312683,0.2636750340461731,0.2256522923707962,0.20542608201503754
1,0.07318887114524841,0.0,0.0,0.0,0.1479950249195099,0.0,0.0,0.16559559106826782,0.0,0.0,0.0,0.0,0.17587028443813324,0.0,0.0,0.0,0.22245638072490692,0.0,0.0,0.21489381790161133,0.24271364510059357,0.0,0.0,0.0,0.3448895812034607,0.0,0.0,0.1891481876373291,0.0,0.0,0.0,0.0,0.10858773440122604,0.0,0.0,0.0,0.07315347343683243,0.0,0.0,0.041507378220558167,0.32307693362236023,0.21856287121772766,0.21779775619506836,0.6720558404922485,0.6322858929634094,0.6066756844520569,0.48810288310050964,0.8128562569618225,0.0004794167762156576,0.0002526518364902586,8.656506543047726e-05,0.0005960196722298861,0.00024513545213267207,0.00011695352441165596,4.021958739031106e-05,0.00027862907154485583,0.0008227411890402436,0.00046597630716860294,0.00015313630865421146,0.0010742302983999252,0.22324860095977783,0.6132142543792725,0.21044045686721802,0.02201911434531212,-0.14927928149700165,3.713444709777832,0.16170082986354828,0.44257843494415283,0.4317792057991028,0.37442123889923096,0.2834210693836212,0.3291237950325012,0.3038794696331024,0.4602033197879791,0.42727673053741455,0.47167545557022095,0.4067002236843109
2,0.06621671468019485,0.0,0.0,0.0,0.14223060011863708,0.0,0.0,0.15712997317314148,0.0,0.0,0.0,0.0,0.1726883053779602,0.0,0.0,0.0,0.2226422131061554,0.0,0.0,0.23909221589565277,0.23301243782043457,0.0,0.0,0.0,0.3446251153945923,0.0,0.0,0.18795815110206604,0.0,0.0,0.0,0.0,0.10931845754384995,0.0,0.0,0.0,0.07737310975790024,0.0,0.0,0.047712720930576324,0.32499998807907104,0.22994011640548706,0.2285643070936203,0.7141716480255127,0.6496991515159607,0.6365923285484314,0.5075241327285767,0.8274752497673035,0.0006430225330404937,0.0003591483982745558,0.00012253623572178185,0.0008386611007153988,0.00034041976323351264,0.00016304972814396024,5.694671563105658e-05,0.00038503046380355954,0.0011823803652077913,0.00065716722747311,0.00021673148148693144,0.001517347525805235,0.2344042956829071,0.6344163417816162,0.1815609335899353,0.02826017327606678,-0.11206971108913422,3.579902410507202,0.11430064588785172,0.5792111754417419,0.5631112456321716,0.5053092241287231,0.4408072829246521,0.47375252842903137,0.4691069424152374,0.6309852600097656,0.5836138129234314,0.6087073683738708,0.573936402797699
3,0.05861981585621834,0.0,0.0,0.0,0.12896351516246796,0.0,0.0,0.1528226137161255,0.0,0.0,0.0,0.0,0.17330452799797058,0.0,0.0,0.0,0.22991234064102173,0.0,0.0,0.2563772201538086,0.2287394404411316,0.0,0.0,0.0,0.337886244058609,0.0,0.0,0.19017119705677032,0.0,0.0,0.0,0.0,0.11042962223291397,0.0,0.0,0.0,0.08076227456331253,0.0,0.0,0.05201122909784317,0.3461538553237915,0.24223552644252777,0.23695382475852966,0.7369261384010315,0.6660613417625427,0.6596740484237671,0.527765154838562,0.8636221885681152,0.0008340947097167373,0.0004536659689620137,0.00015168401296250522,0.00105089892167598,0.0004004819202236831,0.00020732077246066183,7.039148476906121e-05,0.0004764397453982383,0.001513747381977737,0.0008324196678586304,0.00026938802329823375,0.0018912876257672906,0.24320313334465027,0.6595893502235413,0.23567023873329163,0.0342496857047081,-0.08608873933553696,3.5339725017547607,0.1019454374909401,0.7424173355102539,0.6920628547668457,0.6038821935653687,0.6025120615959167,0.5455430150032043,0.6078681349754333,0.7398644685745239,0.7463346719741821,0.7032966613769531,0.6938497424125671
4,0.058882664889097214,0.0,0.0,0.0,0.12832288444042206,0.0,0.0,0.15266968309879303,0.0,0.0,0.0,0.0,0.17090971767902374,0.0,0.0,0.0,0.2282194346189499,0.0,0.0,0.2609955668449402,0.22590933740139008,0.0,0.0,0.0,0.3418692648410797,0.0,0.0,0.18646423518657684,0.0,0.0,0.0,0.0,0.11059895902872086,0.0,0.0,0.0,0.08179224282503128,0.0,0.0,0.05336596444249153,0.35769230127334595,0.24467065930366516,0.23939326405525208,0.7483033537864685,0.7078823447227478,0.6593220233917236,0.529045820236206,0.8619606494903564,0.001026467070914805,0.0005344952223822474,0.00017870076408144087,0.0012390068732202053,0.00044380585313774645,0.0002450616448186338,8.300704939756542e-05,0.000565564725548029,0.001827920088544488,0.0009850526694208384,0.00031669961754232645,0.0022340931463986635,0.24575717747211456,0.6601191163063049,0.22906532883644104,0.034186746925115585,-0.06084570288658142,3.524670124053955,0.08710206300020218,0.8583918809890747,0.7830994129180908,0.7072803378105164,0.7409471869468689,0.6653338670730591,0.7346188426017761,0.8669750690460205,0.8737786412239075,0.8077899813652039,0.8246378302574158
5,0.05909835174679756,0.0,0.0,0.0,0.12731830775737762,0.0,0.0,0.15286539494991302,0.0,0.0,0.0,0.0,0.17078571021556854,0.0,0.0,0.0,0.23030240833759308,0.0,0.0,0.2596298158168793,0.22726872563362122,0.0,0.0,0.0,0.3387932777404785,0.0,0.0,0.18772386014461517,0.0,0.0,0.0,0.0,0.11081701517105103,0.0,0.0,0.0,0.0819801464676857,0.0,0.0,0.05341700091958046,0.3807692229747772,0.24283432960510254,0.23990513384342194,0.7534930109977722,0.7166456580162048,0.6525072455406189,0.5344511866569519,0.8626906871795654,0.0012531377142295241,0.0006110894028097391,0.00020246271742507815,0.0014243860496208072,0.0005925013683736324,0.0002803349634632468,9.385500743519515e-05,0.000646329193841666,0.002147404244169593,0.001137618557550013,0.00035991150070913136,0.002552442718297243,0.24621416628360748,0.660713791847229,0.22228454053401947,0.03347698226571083,-0.059130698442459106,3.5529470443725586,0.08697986602783203,1.0023725032806396,0.8963598608970642,0.8144882321357727,0.8743330836296082,0.7788273692131042,0.7933191061019897,0.9386263489723206,1.0016425848007202,0.9581310153007507,0.9388517141342163
6,0.05685478076338768,0.0,0.0,0.0,0.12184355407953262,0.0,0.0,0.14801500737667084,0.0,0.0,0.0,0.0,0.1740943342447281,0.0,0.0,0.0,0.22476091980934143,0.0,0.0,0.274431437253952,0.22793912887573242,0.0,0.0,0.0,0.33500975370407104,0.0,0.0,0.18561287224292755,0.0,0.0,0.0,0.0,0.11303238570690155,0.0,0.0,0.0,0.08301939070224762,0.0,0.0,0.05538647249341011,0.4115384519100189,0.2501397132873535,0.24486392736434937,0.7668662667274475,0.7451150417327881,0.6661169528961182,0.5432062149047852,0.878258228302002,0.0014886297285556793,0.000687133171595633,0.00022535992320626974,0.0015832447679713368,0.0007326947525143623,0.0003165389643982053,0.00010449507681187242,0.0007260954007506371,0.0025286416057497263,0.00127707002684474,0.000401116325519979,0.0028500626794993877,0.2514382600784302,0.6732825636863708,0.19868844747543335,0.03669407591223717,-0.057072654366493225,3.529785633087158,0.09435991197824478,1.1321412324905396,0.9739034175872803,0.8992050290107727,0.9676762819290161,0.8627470135688782,0.8678287863731384,1.027233362197876,1.0976969003677368,1.0494192838668823,1.1016476154327393
7,0.057819124311208725,0.0,0.0,0.0,0.1235387921333313,0.0,0.0,0.1479659527540207,0.0,0.0,0.0,0.0,0.17762264609336853,0.0,0.0,0.0,0.22193408012390137,0.0,0.0,0.2711193561553955,0.22973693907260895,0.0,0.0,0.0,0.3375730812549591,0.0,0.0,0.18421638011932373,0.0,0.0,0.0,0.0,0.11189106106758118,0.0,0.0,0.0,0.08255312591791153,0.0,0.0,0.05402941629290581,0.428846150636673,0.250179648399353,0.24165044724941254,0.7666666507720947,0.7532118558883667,0.6683396100997925,0.5376117825508118,0.8728117346763611,0.0018094830447807908,0.0007549087167717516,0.0002448720042593777,0.0017198931891471148,0.0008689839742146432,0.0003480133891571313,0.00011318462929921225,0.000788948149420321,0.0029147639870643616,0.001410076511092484,0.00043621790246106684,0.003082685172557831,0.2484736144542694,0.6706717014312744,0.23839634656906128,0.0330357551574707,-0.05381787568330765,3.594437599182129,0.09543703496456146,1.2282005548477173,1.0857937335968018,0.9710104465484619,1.0677274465560913,0.9445158839225769,0.9960644841194153,1.1292095184326172,1.2039225101470947,1.1722984313964844,1.2598603963851929
8,0.05741356313228607,0.0,0.0,0.0,0.11848530173301697,0.0,0.0,0.1438066065311432,0.0,0.0,0.0,0.0,0.17491106688976288,0.0,0.0,0.0,0.22624598443508148,0.0,0.0,0.2791374623775482,0.227751225233078,0.0,0.0,0.0,0.33288252353668213,0.0,0.0,0.1847592145204544,0.0,0.0,0.0,0.0,0.1138698160648346,0.0,0.0,0.0,0.08465249836444855,0.0,0.0,0.05608471855521202,0.4634615480899811,0.26023951172828674,0.2475830316543579,0.7662674188613892,0.7894740104675293,0.6798664331436157,0.5497695803642273,0.8724552989006042,0.002049413975328207,0.0008314285078085959,0.0002636182471178472,0.0018539793090894818,0.0009922775207087398,0.00038381159538403153,0.00012180511839687824,0.0008521396666765213,0.003397725522518158,0.0015473169041797519,0.0004702192381955683,0.0033391197212040424,0.25460705161094666,0.6802894473075867,0.23536299169063568,0.03735223785042763,-0.07040789723396301,3.563875198364258,0.08704809099435806,1.3102920055389404,1.1671743392944336,1.0609071254730225,1.1426386833190918,1.0051915645599365,1.0751063823699951,1.2401713132858276,1.2946531772613525,1.2443135976791382,1.2840349674224854
9,0.05331028997898102,0.0,0.0,0.0,0.11798400431871414,0.0,0.0,0.14314277470111847,0.0,0.0,0.0,0.0,0.17343828082084656,0.0,0.0,0.0,0.22847963869571686,0.0,0.0,0.28364500403404236,0.2257075309753418,0.0,0.0,0.0,0.3323768079280853,0.0,0.0,0.1852370798587799,0.0,0.0,0.0,0.0,0.11481859534978867,0.0,0.0,0.0,0.08546209335327148,0.0,0.0,0.05639788508415222,0.48076921701431274,0.26650699973106384,0.2494432032108307,0.7626746296882629,0.8103935122489929,0.685824990272522,0.5551617741584778,0.872183620929718,0.002416621195152402,0.0009036632254719734,0.0002809891593642533,0.0019923686049878597,0.001207203371450305,0.0004165013669990003,0.0001299240393564105,0.0009352931519970298,0.0038189166225492954,0.0016777401324361563,0.0005019758245907724,0.00360276666469872,0.25667858123779297,0.6855581402778625,0.2523636519908905,0.0402815006673336,-0.0825720801949501,3.54587459564209,0.07646679133176804,1.3706928491592407,1.2581242322921753,1.1503887176513672,1.2256150245666504,1.0902879238128662,1.1525579690933228,1.292694091796875,1.3419015407562256,1.3622125387191772,1.3536994457244873
