step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q_conv1,Q_conv2,Q_fc1,Q_fc2,S_conv1,S_conv2,S_fc1,S_fc2,absmu_median_conv1,absmu_median_conv2,absmu_median_fc1,absmu_median_fc2,absmu_q25_conv1,absmu_q25_conv2,absmu_q25_fc1,absmu_q25_fc2,absmu_q75_conv1,absmu_q75_conv2,absmu_q75_fc1,absmu_q75_fc2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,fr_lif1,fr_lif2,fr_lif3,fr_lif4,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.2580288350582123,0.0,0.0,0.0,0.403432160615921,0.0,0.0,0.20759287476539612,0.0,0.0,0.0,0.0,0.08262395858764648,0.0,0.0,0.0,0.04645300284028053,0.0,0.0,0.0018691588193178177,0.32107383012771606,0.0,0.0,0.0,0.4371531903743744,0.0,0.0,0.16887326538562775,0.0,0.0,0.0,0.0,0.05329952389001846,0.0,0.0,0.0,0.01714797131717205,0.0,0.0,0.002452238230034709,0.09038461744785309,0.07768463343381882,0.060596756637096405,0.5137724280357361,0.1469624787569046,0.13477084040641785,0.04503367096185684,0.6880167126655579,0.00029207218904048204,0.00010364712215960026,1.4138287951936945e-05,2.2140768123790622e-05,0.00014006500714458525,3.886662670993246e-05,2.783540367090609e-06,1.1305212410661625e-06,0.00048043456627056,0.00021225016098469496,4.7323137550847605e-05,0.00011524630099302158,0.06689245998859406,0.1309330016374588,0.1929093897342682,-0.06465014070272446,-0.2874552309513092,4.715970039367676,0.36891254782676697,0.17656373836100103,0.08740278128526825,0.045515783076407385,0.003601562561816536,0.5136484503746033,0.41656729578971863,0.3181494176387787,0.3941393196582794,0.1782764494419098,0.19383494555950165,0.23059092462062836,0.21674275398254395,0.2029651254415512,0.4211563467979431
1,0.2448856085538864,0.0,0.0,0.0,0.39951348304748535,0.0,0.0,0.20764680206775665,0.0,0.0,0.0,0.0,0.08895479887723923,0.0,0.0,0.0,0.05550755187869072,0.0,0.0,0.0034917297307401896,0.3040345013141632,0.0,0.0,0.0,0.42645421624183655,0.0,0.0,0.17476633191108704,0.0,0.0,0.0,0.0,0.062371980398893356,0.0,0.0,0.0,0.027060754597187042,0.0,0.0,0.0053122201934456825,0.08076923340559006,0.09017964452505112,0.08243945240974426,0.5580838322639465,0.11570459604263306,0.15809081494808197,0.05327035114169121,0.7449198961257935,0.0006058442522771657,0.0002023697306867689,2.7779278752859682e-05,4.270821955287829e-05,0.0002832124300766736,7.592100882902741e-05,5.378590685722884e-06,2.225629259555717e-06,0.0009379010298289359,0.0004184543795417994,9.353816858492792e-05,0.00021862558787688613,0.08841514587402344,0.1479409784078598,0.24210615456104279,-0.06333006173372269,-0.2930164635181427,4.506720066070557,0.39628806710243225,0.17715457983314992,0.08768815743392225,0.04575343990582042,0.003929687613272109,0.9891987442970276,0.7851797342300415,0.5127330422401428,0.7526978850364685,0.3370777666568756,0.35201945900917053,0.45006096363067627,0.40531620383262634,0.36656424403190613,0.8705428838729858
2,0.24127724766731262,0.0,0.0,0.0,0.39713189005851746,0.0,0.0,0.21448099613189697,0.0,0.0,0.0,0.0,0.08692774921655655,0.0,0.0,0.0,0.05607805401086807,0.0,0.0,0.004104067105799913,0.2979481518268585,0.0,0.0,0.0,0.42075109481811523,0.0,0.0,0.17703762650489807,0.0,0.0,0.0,0.0,0.06588489562273026,0.0,0.0,0.0,0.030636055395007133,0.0,0.0,0.007742177229374647,0.08653846383094788,0.08862275630235672,0.09276904165744781,0.5776447057723999,0.12765438854694366,0.15016651153564453,0.05849875509738922,0.719235897064209,0.000864655536133796,0.0002932286588475108,3.992793062934652e-05,6.250043225008994e-05,0.0004363475018180907,0.00010987754649249837,7.709806595812552e-06,3.039759576495271e-06,0.0013503922382369637,0.000606290646828711,0.00013402501645032316,0.0003187524853274226,0.09815579652786255,0.14709721505641937,0.2273906022310257,-0.062642402946949,-0.27944236993789673,4.52121114730835,0.4001019597053528,0.1768696599453688,0.0883655986904705,0.04633375208242796,0.005929687697207555,1.4422080516815186,1.0838611125946045,0.7824193835258484,1.073763370513916,0.4756848216056824,0.5017045736312866,0.6517970561981201,0.5695711970329285,0.51815265417099,1.2650526762008667
3,0.24144113063812256,0.0,0.0,0.0,0.39754897356033325,0.0,0.0,0.20639337599277496,0.0,0.0,0.0,0.0,0.0918101891875267,0.0,0.0,0.0,0.05868074297904968,0.0,0.0,0.004125616047531366,0.29001384973526,0.0,0.0,0.0,0.41923987865448,0.0,0.0,0.18098920583724976,0.0,0.0,0.0,0.0,0.06857021898031235,0.0,0.0,0.0,0.03211970999836922,0.0,0.0,0.009067157283425331,0.10000000149011612,0.0912574827671051,0.09820474684238434,0.5960079431533813,0.13642902672290802,0.15432845056056976,0.05860678479075432,0.7642862200737,0.0011617294512689114,0.00037526473170146346,5.14362909598276e-05,7.826969522284344e-05,0.0005665080389007926,0.00014128859038464725,1.0000612746807747e-05,4.020540018245811e-06,0.0018546264618635178,0.000776957196649164,0.00017148815095424652,0.00041181748383678496,0.10358866304159164,0.15460380911827087,0.2542998790740967,-0.05951416864991188,-0.2836066484451294,4.642209529876709,0.41780534386634827,0.17698344323784113,0.08956418263459454,0.04709468975313939,0.008226562674390153,1.876146912574768,1.5013524293899536,1.0099736452102661,1.4395430088043213,0.6102077960968018,0.6231048107147217,0.8309571146965027,0.7542314529418945,0.642357349395752,1.690086007118225
4,0.23621417582035065,0.0,0.0,0.0,0.3933757245540619,0.0,0.0,0.2116009145975113,0.0,0.0,0.0,0.0,0.09887092560529709,0.0,0.0,0.0,0.05541158840060234,0.0,0.0,0.004526656586676836,0.28103259205818176,0.0,0.0,0.0,0.4272741675376892,0.0,0.0,0.18101003766059875,0.0,0.0,0.0,0.0,0.06787630915641785,0.0,0.0,0.0,0.03367936611175537,0.0,0.0,0.009127525612711906,0.11538461595773697,0.09197604656219482,0.09918352216482162,0.6057884097099304,0.17250536382198334,0.16166818141937256,0.05911744013428688,0.7637823224067688,0.0013813839759677649,0.000446868798462674,6.113130075391382e-05,9.543556370772421e-05,0.0007114473846741021,0.000167148289619945,1.1982796422671527e-05,4.713057478511473e-06,0.0022689756006002426,0.000920828606467694,0.00020323482749518007,0.0005063438438810408,0.10467199236154556,0.1587972342967987,0.25229716300964355,-0.05754997581243515,-0.30772286653518677,4.742725849151611,0.40498799085617065,0.1783373387157917,0.0919576639211391,0.04866422099526971,0.012781250237603672,2.2194509506225586,1.833263874053955,1.2572500705718994,1.7591378688812256,0.7597468495368958,0.7685232758522034,1.0139702558517456,0.913794219493866,0.8126417994499207,2.057077646255493
5,0.23469990491867065,0.0,0.0,0.0,0.386939138174057,0.0,0.0,0.21322566270828247,0.0,0.0,0.0,0.0,0.10221578180789948,0.0,0.0,0.0,0.05456108599901199,0.0,0.0,0.008358501829206944,0.2753182053565979,0.0,0.0,0.0,0.42587029933929443,0.0,0.0,0.18419376015663147,0.0,0.0,0.0,0.0,0.06990671902894974,0.0,0.0,0.0,0.034261371940374374,0.0,0.0,0.010449633002281189,0.1269230842590332,0.09209580719470978,0.10323845595121384,0.6131736040115356,0.2032790184020996,0.1672394722700119,0.062353648245334625,0.7777209281921387,0.0016950947465375066,0.0005217696889303625,7.152963371481746e-05,0.00011575956887099892,0.0008917950908653438,0.0001950267469510436,1.4082952475291677e-05,5.576147941610543e-06,0.002803814597427845,0.0010665771551430225,0.00023714470444247127,0.0006088594673201442,0.10854598134756088,0.16512256860733032,0.2976989448070526,-0.0539834126830101,-0.3008838891983032,4.834332466125488,0.4012002646923065,0.17796831350773573,0.0941575414514591,0.05017640852602199,0.017562500451458622,2.6007816791534424,2.06211256980896,1.5031452178955078,2.115079402923584,0.9184381365776062,0.8944267630577087,1.1591612100601196,1.1368128061294556,0.9601885676383972,2.473494052886963
6,0.23076574504375458,0.0,0.0,0.0,0.3860943913459778,0.0,0.0,0.21151341497898102,0.0,0.0,0.0,0.0,0.10396689921617508,0.0,0.0,0.0,0.059290677309036255,0.0,0.0,0.008368853479623795,0.27009570598602295,0.0,0.0,0.0,0.42573216557502747,0.0,0.0,0.18429580330848694,0.0,0.0,0.0,0.0,0.07223521173000336,0.0,0.0,0.0,0.036167629063129425,0.0,0.0,0.011473497375845909,0.13461539149284363,0.09445109963417053,0.10886642336845398,0.6167664527893066,0.20618055760860443,0.17539659142494202,0.06511365622282028,0.7870551347732544,0.002125862054526806,0.0006089415401220322,8.345925016328692e-05,0.00013749449863098562,0.0011051069013774395,0.00023003894602879882,1.6327005141647533e-05,6.926154128450435e-06,0.00360179808922112,0.0012567644007503986,0.0002752200234681368,0.0007077346672303975,0.11396261304616928,0.17161257565021515,0.3013700544834137,-0.05245447903871536,-0.3132009208202362,4.786041736602783,0.397053599357605,0.17845328472554683,0.0975166481940323,0.05212578367907554,0.021507812869385814,2.964966058731079,2.328357696533203,1.7271884679794312,2.4055635929107666,1.0234136581420898,1.0103424787521362,1.418969988822937,1.3304768800735474,1.098950982093811,2.8540313243865967
7,0.23029319941997528,0.0,0.0,0.0,0.3917529284954071,0.0,0.0,0.20805133879184723,0.0,0.0,0.0,0.0,0.09992159157991409,0.0,0.0,0.0,0.06146729364991188,0.0,0.0,0.008513661101460457,0.2710324823856354,0.0,0.0,0.0,0.42776232957839966,0.0,0.0,0.1809680163860321,0.0,0.0,0.0,0.0,0.07153154164552689,0.0,0.0,0.0,0.036443863064050674,0.0,0.0,0.01226178277283907,0.14230769872665405,0.0939321368932724,0.10924594849348068,0.6215568780899048,0.234310582280159,0.17892208695411682,0.061640795320272446,0.7297788858413696,0.0026225883048027754,0.0007030065171420574,9.685665281722322e-05,0.00016243464779108763,0.0012142217019572854,0.00026364048244431615,1.8722746972343884e-05,7.666609235457145e-06,0.004579337313771248,0.001467216177843511,0.00032077773357741535,0.000814456376247108,0.11435001343488693,0.16989067196846008,0.3135065734386444,-0.05344824492931366,-0.32945334911346436,4.825616359710693,0.39023199677467346,0.17887640099972485,0.10248144250701444,0.055273909033276135,0.02638281306484714,3.4682958126068115,2.668342351913452,2.0039780139923096,2.750211477279663,1.1882694959640503,1.1526929140090942,1.7179806232452393,1.6655505895614624,1.2492015361785889,3.282134532928467
8,0.22690369188785553,0.0,0.0,0.0,0.3802332282066345,0.0,0.0,0.22287806868553162,0.0,0.0,0.0,0.0,0.10367143899202347,0.0,0.0,0.0,0.057662829756736755,0.0,0.0,0.008650734089314938,0.27418726682662964,0.0,0.0,0.0,0.42872756719589233,0.0,0.0,0.17882391810417175,0.0,0.0,0.0,0.0,0.07066254317760468,0.0,0.0,0.0,0.0341322161257267,0.0,0.0,0.013466502539813519,0.14038461446762085,0.09177644550800323,0.10737079381942749,0.6191616654396057,0.24872608482837677,0.18007108569145203,0.05790862813591957,0.7181404232978821,0.0032294318079948425,0.0008010457386262715,0.00011066230217693374,0.00018461736908648163,0.0014946367591619492,0.00029820355121046305,2.1107911379658617e-05,8.748417712922674e-06,0.005795399658381939,0.0016896066954359412,0.00036859908141195774,0.0009373799548484385,0.1124524474143982,0.16997221112251282,0.32338011264801025,-0.05528672784566879,-0.3159010410308838,4.857029914855957,0.36470651626586914,0.1812713869288564,0.11068591054776333,0.05989109681857371,0.03342187567381187,3.852273941040039,3.005553722381592,2.356801748275757,3.0817441940307617,1.4014670848846436,1.3176161050796509,2.1589388847351074,1.9912618398666382,1.440374493598938,3.6570162773132324
9,0.22366610169410706,0.0,0.0,0.0,0.375007301568985,0.0,0.0,0.2270754724740982,0.0,0.0,0.0,0.0,0.10776589065790176,0.0,0.0,0.0,0.05779166519641876,0.0,0.0,0.00869350228458643,0.2853594124317169,0.0,0.0,0.0,0.42573419213294983,0.0,0.0,0.17363344132900238,0.0,0.0,0.0,0.0,0.06812380999326706,0.0,0.0,0.0,0.0337730273604393,0.0,0.0,0.01337610837072134,0.16730768978595734,0.09145708382129669,0.1042347103357315,0.6311377286911011,0.29715871810913086,0.1782170832157135,0.05213665962219238,0.7330822944641113,0.003929357975721359,0.0008968125330284238,0.00012603406503330916,0.0002079828700516373,0.0017580351559445262,0.00032917383941821754,2.3642818632652052e-05,1.002463795884978e-05,0.00714902114123106,0.0019467409001663327,0.0004198795068077743,0.0011311433045193553,0.10969194024801254,0.17423859238624573,0.32096096873283386,-0.058024778962135315,-0.32003548741340637,4.886696815490723,0.34436386823654175,0.18353240035474302,0.12162763420717966,0.06576406552658226,0.045031250550528056,4.315803050994873,3.3675646781921387,2.7431790828704834,3.537276029586792,1.6484570503234863,1.4641050100326538,2.603419065475464,2.339982748031616,1.6775990724563599,3.930630683898926
10,0.22546829283237457,0.0,0.0,0.0,0.3714693486690521,0.0,0.0,0.22489431500434875,0.0,0.0,0.0,0.0,0.10789600014686584,0.0,0.0,0.0,0.05912921950221062,0.0,0.0,0.01114285085350275,0.29586634039878845,0.0,0.0,0.0,0.42761483788490295,0.0,0.0,0.1659380942583084,0.0,0.0,0.0,0.0,0.0645705983042717,0.0,0.0,0.0,0.032985858619213104,0.0,0.0,0.01302426028996706,0.19230769574642181,0.08646706491708755,0.0995980054140091,0.643912136554718,0.3704425096511841,0.16940005123615265,0.044990506023168564,0.7527331113815308,0.004647144582122564,0.0009955778950825334,0.00014014067710377276,0.0002539252454880625,0.002095866482704878,0.0003633239830378443,2.6112687919521704e-05,1.1686851394188125e-05,0.008574939332902431,0.002187890000641346,0.0004678980621974915,0.001356326974928379,0.1052728071808815,0.1781550943851471,0.30939367413520813,-0.06300491094589233,-0.3204195201396942,5.0386643409729,0.30505430698394775,0.1825139409303665,0.13471862493286607,0.07285828478183247,0.06047656347684096,4.68220329284668,3.7637500762939453,3.177645206451416,3.9089348316192627,2.1534721851348877,1.6780513525009155,3.1872072219848633,2.737452507019043,2.021757125854492,4.341698169708252
11,0.22341124713420868,0.0,0.0,0.0,0.3704829216003418,0.0,0.0,0.21354347467422485,0.0,0.0,0.0,0.0,0.11915410310029984,0.0,0.0,0.0,0.060026541352272034,0.0,0.0,0.013381739147007465,0.303091436624527,0.0,0.0,0.0,0.42752617597579956,0.0,0.0,0.16139650344848633,0.0,0.0,0.0,0.0,0.06220152974128723,0.0,0.0,0.0,0.03240307420492172,0.0,0.0,0.013381283730268478,0.24230769276618958,0.0881437137722969,0.09660175442695618,0.6580837965011597,0.4777456223964691,0.17019014060497284,0.04167746752500534,0.7526316046714783,0.005813938099890947,0.0011265756329521537,0.00015843973960727453,0.0002956046082545072,0.0023601711727678776,0.0004122522659599781,2.9372731660259888e-05,1.3603777915704995e-05,0.010621420107781887,0.002516627311706543,0.000528319738805294,0.0016403503250330687,0.1028115451335907,0.19254769384860992,0.26340922713279724,-0.06652314215898514,-0.2888082265853882,5.142948150634766,0.2848169207572937,0.18531790252774955,0.15134963003743904,0.08137391024782117,0.08016406403388829,5.243778228759766,4.295862674713135,3.6027865409851074,4.361678123474121,2.6479389667510986,1.806970238685608,3.7273337841033936,3.253873825073242,2.4655795097351074,4.734214782714844
12,0.23568277060985565,0.0,0.0,0.0,0.36201798915863037,0.0,0.0,0.2009521871805191,0.0,0.0,0.0,0.0,0.12187114357948303,0.0,0.0,0.0,0.0649731457233429,0.0,0.0,0.014502760954201221,0.315009742975235,0.0,0.0,0.0,0.4267977476119995,0.0,0.0,0.15485705435276031,0.0,0.0,0.0,0.0,0.05879515781998634,0.0,0.0,0.0,0.03135725483298302,0.0,0.0,0.013183054514229298,0.25961539149284363,0.0881437137722969,0.09173034131526947,0.6668662428855896,0.5235614776611328,0.17304901778697968,0.03589044511318207,0.7630482912063599,0.006876675877720118,0.0012748625595122576,0.00017652635870035738,0.0003452685195952654,0.002680206671357155,0.0004577235959004611,3.250229201512411e-05,1.5015253666206263e-05,0.012369435280561447,0.0028572732117027044,0.0005867127911187708,0.0019540158100426197,0.09840865433216095,0.2013331949710846,0.22199496626853943,-0.07010684162378311,-0.2676343619823456,5.338189125061035,0.2544354200363159,0.18810179818421602,0.1724682327604387,0.09179437967839475,0.10588281451200601,5.807050704956055,4.750244617462158,4.048648834228516,4.825408458709717,3.201934576034546,2.047239065170288,4.309538841247559,3.9315977096557617,3.2258732318878174,5.288003921508789
