step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.15615732967853546,0.0,0.0,0.0,0.27151691913604736,0.0,0.0,0.20810717344284058,0.0,0.0,0.0,0.0,0.150132954120636,0.0,0.0,0.0,0.14755237102508545,0.0,0.0,0.06653320044279099,0.32682564854621887,0.0,0.0,0.0,0.43016377091407776,0.0,0.0,0.15574371814727783,0.0,0.0,0.0,0.0,0.05691751092672348,0.0,0.0,0.0,0.025013918057084084,0.0,0.0,0.0053354366682469845,0.09038461744785309,0.06742514669895172,0.08071411401033401,0.7099800109863281,0.21909436583518982,0.21867169439792633,0.22777406871318817,0.7386718392372131,0.00021966332860756665,0.0001326918718405068,4.356916906544939e-05,0.00030634101130999625,0.00010594789637252688,6.128271343186498e-05,2.0232191673130728e-05,0.00013879677862860262,0.0004309552605263889,0.00024389056488871574,7.750063377898186e-05,0.0005512666539289057,0.08726686984300613,0.36421000957489014,0.06732562929391861,-0.07342702895402908,-0.1951882392168045,7.2677435874938965,0.07959197461605072,0.38999754190444946,0.3893440365791321,0.3633718192577362,0.3214353919029236,0.32462945580482483,0.3850841224193573,0.39113950729370117,0.3723580539226532,0.41897282004356384,0.4009489417076111
1,0.15040956437587738,0.0,0.0,0.0,0.2577574849128723,0.0,0.0,0.2091502994298935,0.0,0.0,0.0,0.0,0.14934301376342773,0.0,0.0,0.0,0.1582891196012497,0.0,0.0,0.0750504732131958,0.3228333592414856,0.0,0.0,0.0,0.41677647829055786,0.0,0.0,0.16255682706832886,0.0,0.0,0.0,0.0,0.06183075159788132,0.0,0.0,0.0,0.02911524474620819,0.0,0.0,0.006887352559715509,0.09038461744785309,0.07137724757194519,0.09154807031154633,0.7333332896232605,0.2089930772781372,0.23882567882537842,0.25000759959220886,0.754683792591095,0.0004296804836485535,0.0002526452299207449,8.268292003776878e-05,0.0005837321514263749,0.00019090910791419446,0.00011622947204159573,3.842212026938796e-05,0.00026628808700479567,0.0008133308729156852,0.00046089605893939734,0.00014697248116135597,0.0010309964418411255,0.09783335030078888,0.3826732337474823,0.08200326561927795,-0.07107777893543243,-0.16376087069511414,7.08144998550415,0.07963704317808151,0.7339013814926147,0.7094393968582153,0.625346302986145,0.6298512816429138,0.6107925176620483,0.6942112445831299,0.7487857341766357,0.6881282925605774,0.7706506252288818,0.7605715990066528
2,0.1506490558385849,0.0,0.0,0.0,0.253330796957016,0.0,0.0,0.20890255272388458,0.0,0.0,0.0,0.0,0.1482452005147934,0.0,0.0,0.0,0.16207678616046906,0.0,0.0,0.07679567486047745,0.3258095979690552,0.0,0.0,0.0,0.4117124378681183,0.0,0.0,0.16193746030330658,0.0,0.0,0.0,0.0,0.06283984333276749,0.0,0.0,0.0,0.030402708798646927,0.0,0.0,0.0072979493997991085,0.10769230872392654,0.07305388897657394,0.09423970431089401,0.7409181594848633,0.20901000499725342,0.24399106204509735,0.253702312707901,0.7561456561088562,0.00060993991792202,0.0003536240546964109,0.00011719905160134658,0.0008300405461341143,0.00027581449830904603,0.0001641450508031994,5.440000313683413e-05,0.0003748732269741595,0.0011964150471612811,0.0006471890374086797,0.0002078395918942988,0.0014720375183969736,0.10054050385951996,0.38710901141166687,0.05661696568131447,-0.07080882042646408,-0.1512521505355835,7.029933929443359,0.07251047343015671,1.0303524732589722,0.9717151522636414,0.9052958488464355,0.882281482219696,0.8738381266593933,0.9903040528297424,1.0582133531570435,0.9640122652053833,1.0788847208023071,1.052947759628296
3,0.14927472174167633,0.0,0.0,0.0,0.25298458337783813,0.0,0.0,0.2094717174768448,0.0,0.0,0.0,0.0,0.14932399988174438,0.0,0.0,0.0,0.1630047857761383,0.0,0.0,0.07594021409749985,0.3245522975921631,0.0,0.0,0.0,0.41115105152130127,0.0,0.0,0.16238516569137573,0.0,0.0,0.0,0.0,0.06358912587165833,0.0,0.0,0.0,0.030790109187364578,0.0,0.0,0.007532244548201561,0.1269230842590332,0.07249501347541809,0.09569288790225983,0.7435129284858704,0.25426405668258667,0.24278895556926727,0.253853976726532,0.757843017578125,0.0007729392382316291,0.0004497729823924601,0.0001500155485700816,0.00105537089984864,0.0003581082564778626,0.00020735202997457236,6.989195389905944e-05,0.00048362964298576117,0.001567020546644926,0.0008244701894000173,0.00026623313897289336,0.0018700530054047704,0.10191148519515991,0.38826245069503784,0.05689696595072746,-0.07050883769989014,-0.14285798370838165,6.939117908477783,0.07005412876605988,1.3229783773422241,1.2837352752685547,1.1358592510223389,1.1514099836349487,1.0920900106430054,1.208442211151123,1.3325437307357788,1.2358274459838867,1.3204100131988525,1.342078447341919
4,0.1466117799282074,0.0,0.0,0.0,0.2555692493915558,0.0,0.0,0.20871812105178833,0.0,0.0,0.0,0.0,0.15410912036895752,0.0,0.0,0.0,0.15948721766471863,0.0,0.0,0.07550447434186935,0.3244803845882416,0.0,0.0,0.0,0.4137236773967743,0.0,0.0,0.16067087650299072,0.0,0.0,0.0,0.0,0.0637747049331665,0.0,0.0,0.0,0.03005242720246315,0.0,0.0,0.0072979493997991085,0.13461539149284363,0.07177644968032837,0.09482897073030472,0.7477045655250549,0.27141767740249634,0.24314603209495544,0.25230100750923157,0.7633154392242432,0.0009799031540751457,0.0005332499276846647,0.00017694916459731758,0.0012503990437835455,0.0004525966942310333,0.00024671416031196713,8.252966654254124e-05,0.0005654070992022753,0.001864694058895111,0.0009817519458010793,0.000313295895466581,0.0022075194865465164,0.1011250838637352,0.3890911638736725,0.055833812803030014,-0.07084871828556061,-0.14551347494125366,6.979504108428955,0.06712742894887924,1.5429444313049316,1.533117413520813,1.371370553970337,1.3533704280853271,1.3117653131484985,1.4431511163711548,1.576432704925537,1.4307047128677368,1.5901906490325928,1.5805376768112183
5,0.14492598176002502,0.0,0.0,0.0,0.2530323266983032,0.0,0.0,0.2131814956665039,0.0,0.0,0.0,0.0,0.15450575947761536,0.0,0.0,0.0,0.15774185955524445,0.0,0.0,0.07661258429288864,0.32348984479904175,0.0,0.0,0.0,0.41475364565849304,0.0,0.0,0.1599123179912567,0.0,0.0,0.0,0.0,0.06380254030227661,0.0,0.0,0.0,0.030597569420933723,0.0,0.0,0.007444093935191631,0.1596153825521469,0.072734534740448,0.09560050070285797,0.7405189275741577,0.3098950982093811,0.24659819900989532,0.2542029321193695,0.7547863125801086,0.001215073512867093,0.000613577663898468,0.00020076273358426988,0.001438159728422761,0.0005726745002903044,0.00028189190197736025,9.347342711407691e-05,0.0006593266734853387,0.0021950046066194773,0.001130016753450036,0.0003563616191968322,0.002534664934501052,0.10184420645236969,0.38885223865509033,0.03463716804981232,-0.07041683048009872,-0.15243607759475708,6.985475540161133,0.060345206409692764,1.7396432161331177,1.7066859006881714,1.5774126052856445,1.5593328475952148,1.5580387115478516,1.5885777473449707,1.726144552230835,1.6817924976348877,1.811995506286621,1.855209231376648
6,0.1410609781742096,0.0,0.0,0.0,0.24682338535785675,0.0,0.0,0.2137494683265686,0.0,0.0,0.0,0.0,0.16092820465564728,0.0,0.0,0.0,0.15757964551448822,0.0,0.0,0.07985833287239075,0.31943026185035706,0.0,0.0,0.0,0.4151688814163208,0.0,0.0,0.16083325445652008,0.0,0.0,0.0,0.0,0.06517119705677032,0.0,0.0,0.0,0.0316484160721302,0.0,0.0,0.007747981697320938,0.1846153885126114,0.07704591006040573,0.09823720902204514,0.7399201393127441,0.37379422783851624,0.26395055651664734,0.2622804641723633,0.7578006982803345,0.0014850704465061426,0.000683728139847517,0.0002225735515821725,0.001605312805622816,0.0006617673207074404,0.0003140416811220348,0.0001034094748320058,0.0007213321514427662,0.0025530143175274134,0.0012698888313025236,0.0003953827254008502,0.0028057058807462454,0.10456760227680206,0.3983575403690338,0.046026624739170074,-0.069119393825531,-0.146399587392807,6.938482761383057,0.06857320666313171,1.9308072328567505,1.8686931133270264,1.7206284999847412,1.72378408908844,1.6653234958648682,1.7536619901657104,1.923452377319336,1.8445168733596802,1.9970043897628784,2.0759074687957764
7,0.13872739672660828,0.0,0.0,0.0,0.24863263964653015,0.0,0.0,0.21689321100711823,0.0,0.0,0.0,0.0,0.1622876673936844,0.0,0.0,0.0,0.15321983397006989,0.0,0.0,0.08023929595947266,0.319636732339859,0.0,0.0,0.0,0.41412732005119324,0.0,0.0,0.16192586719989777,0.0,0.0,0.0,0.0,0.06512480229139328,0.0,0.0,0.0,0.03153242915868759,0.0,0.0,0.007652871776372194,0.19230769574642181,0.07712575048208237,0.09803995490074158,0.7323353290557861,0.39593735337257385,0.2628215551376343,0.2616637945175171,0.750198483467102,0.0017278725281357765,0.0007535931654274464,0.00024245356325991452,0.0017461776733398438,0.0008294393774122,0.00034461068571545184,0.00011254040146013722,0.0008005681447684765,0.0029259882867336273,0.0014081131666898727,0.0004319979343563318,0.0030952205415815115,0.10431011021137238,0.39573729038238525,0.04227296635508537,-0.06927748769521713,-0.14591220021247864,7.013546466827393,0.07163749635219574,2.1662137508392334,2.0655205249786377,1.8530082702636719,1.9170589447021484,1.8175406455993652,1.9400535821914673,2.0636277198791504,2.067418098449707,2.1884045600891113,2.292140245437622
8,0.13629145920276642,0.0,0.0,0.0,0.24812038242816925,0.0,0.0,0.21596716344356537,0.0,0.0,0.0,0.0,0.16311407089233398,0.0,0.0,0.0,0.1549607813358307,0.0,0.0,0.08154619485139847,0.3203326463699341,0.0,0.0,0.0,0.4132945239543915,0.0,0.0,0.16140159964561462,0.0,0.0,0.0,0.0,0.06533589959144592,0.0,0.0,0.0,0.031827040016651154,0.0,0.0,0.007808295544236898,0.21153846383094788,0.07904191315174103,0.09863670915365219,0.7299401164054871,0.4469757080078125,0.27113550901412964,0.2645060420036316,0.7472411394119263,0.00199262541718781,0.0008261040784418583,0.0002606507041491568,0.0018677996704354882,0.0009644936653785408,0.0003788514877669513,0.00012068013165844604,0.0008610410150140524,0.0033181949984282255,0.0015307222492992878,0.000464342359919101,0.0033243249636143446,0.10497123748064041,0.39961254596710205,0.04335556924343109,-0.06897395849227905,-0.14776462316513062,7.029594898223877,0.07025618851184845,2.320701837539673,2.2269446849823,2.012192487716675,2.070241689682007,1.9480946063995361,2.1183900833129883,2.2267181873321533,2.200162887573242,2.3639976978302,2.4702415466308594
9,0.13172145187854767,0.0,0.0,0.0,0.24200841784477234,0.0,0.0,0.21896733343601227,0.0,0.0,0.0,0.0,0.17078764736652374,0.0,0.0,0.0,0.15286719799041748,0.0,0.0,0.0836479663848877,0.31580448150634766,0.0,0.0,0.0,0.4135984182357788,0.0,0.0,0.1627957671880722,0.0,0.0,0.0,0.0,0.06750255078077316,0.0,0.0,0.0,0.032369863241910934,0.0,0.0,0.007928922772407532,0.25961539149284363,0.0836726576089859,0.10133333504199982,0.7297405004501343,0.525562584400177,0.28333738446235657,0.27167826890945435,0.7443844676017761,0.0024016278330236673,0.0008999237907119095,0.0002801502123475075,0.0020018592476844788,0.0012000743299722672,0.0004166407452430576,0.00012945928028784692,0.0009268823196180165,0.003784723812714219,0.0016690718475729227,0.000499370857141912,0.003595392219722271,0.10780134052038193,0.40729373693466187,0.052687086164951324,-0.06745776534080505,-0.15793916583061218,6.945859432220459,0.06704951077699661,2.476966619491577,2.382230281829834,2.1489310264587402,2.2685842514038086,2.0480268001556396,2.2431256771087646,2.358353614807129,2.3121001720428467,2.5329110622406006,2.563845634460449
