step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,5.342313289642334,3.2583582401275635,4.036302089691162,5.855929374694824,5.783087253570557,5.340279894737962,0.07959197461605072,0.9995466470718384,0.9999665021896362,0.9997127056121826,0.9993177056312561,0.9997066259384155,0.0002192422834923491,0.0001326890051132068,4.356895442469977e-05,0.00030618321034125984,0.06732562929391861,-0.07342702895402908,-0.1951882392168045,5.342312812805176,3.2583584785461426,4.036302089691162,5.855928897857666,5.783086776733398,5.340279894246764,0.07959195971488953,0.9995466470718384,0.9999664425849915,0.9997128844261169,0.9993177652359009,0.9997066855430603,0.002192422514781356,0.0013268898474052548,0.00043568952241912484,0.003061831695958972,0.06732562929391861,-0.07342702895402908,-0.1951882392168045,3.899975299835205,3.8934402465820312,3.6337180137634277,3.2143540382385254,3.2462944984436035,3.8508410453796387,3.9113950729370117,3.7235803604125977,4.189728260040283,4.009489059448242,3.757281541824341,3.704817533493042,0.38999754190444946,0.3893440365791321,0.3633718192577362,0.3214353919029236,0.32462945580482483,0.3850841224193573,0.39113950729370117,0.3723580539226532,0.41897282004356384,0.4009489417076111,0.37572818994522095,0.3704817593097687
1,5.202001571655273,3.2076642513275146,3.919905424118042,5.706235408782959,5.646424293518066,5.1996783433216045,0.07963704317808151,0.9994874000549316,0.9985681176185608,0.9996599555015564,0.999353289604187,0.9995578527450562,0.00042668628157116473,0.0002526337921153754,8.268260717159137e-05,0.0005837095086462796,0.08200326561927795,-0.07107777893543243,-0.16376087069511414,5.01776123046875,3.140686273574829,3.793987512588501,5.4996137619018555,5.452050685882568,5.015651372862757,0.0886596292257309,0.9995051026344299,0.9999165534973145,0.9995912909507751,0.9994040727615356,0.9995495676994324,0.0022926998790353537,0.0013579659862443805,0.00044492329470813274,0.0031112697906792164,0.1281282901763916,-0.06795775145292282,-0.15630626678466797,3.857473134994507,3.6126770973205566,3.0245003700256348,3.4355642795562744,3.213059902191162,3.511072874069214,3.9909064769744873,3.549194574356079,3.954230785369873,4.0085649490356445,3.6157243251800537,3.559900999069214,0.7339013814926147,0.7094393968582153,0.625346302986145,0.6298512816429138,0.6107925176620483,0.6942112445831299,0.7487857341766357,0.6881282925605774,0.7706506252288818,0.7605715990066528,0.6971678137779236,0.6868003010749817
2,5.175283432006836,3.15411376953125,3.9117960929870605,5.675751686096191,5.598617076873779,5.173213785028153,0.07251047343015671,0.9995364546775818,0.9993162155151367,0.9995116591453552,0.999393880367279,0.9997965097427368,0.0006096033612266183,0.00035357903107069433,0.0001171989060821943,0.0008297914755530655,0.05661696568131447,-0.07080882042646408,-0.1512521505355835,5.079065799713135,3.058290481567383,3.869154691696167,5.568209171295166,5.464849472045898,5.076119555127944,0.06537806987762451,0.9993806481361389,0.9989134669303894,0.9994995594024658,0.9994148015975952,0.9992297291755676,0.002375519834458828,0.0013072736328467727,0.0004340898303780705,0.003085204167291522,0.019572250545024872,-0.06915358453989029,-0.14784817397594452,3.733865976333618,3.358949899673462,3.4533209800720215,3.1871142387390137,3.2631454467773438,3.6801509857177734,3.863229990005493,3.466585636138916,3.8723690509796143,3.6985037326812744,3.5577237606048584,3.498161554336548,1.0303524732589722,0.9717151522636414,0.9052958488464355,0.882281482219696,0.8738381266593933,0.9903040528297424,1.0582133531570435,0.9640122652053833,1.0788847208023071,1.052947759628296,0.98078453540802,0.96550053358078
3,5.1252007484436035,3.0662896633148193,3.8752071857452393,5.619198322296143,5.542991638183594,5.121717948576835,0.07005412876605988,0.9992771148681641,0.9994955062866211,0.9994154572486877,0.9993722438812256,0.9989720582962036,0.0007706379983574152,0.00044974242337048054,0.00015001362771727145,0.0010553636820986867,0.05689696595072746,-0.07050883769989014,-0.14285798370838165,4.940830707550049,2.819591522216797,3.744220733642578,5.417086601257324,5.3462724685668945,4.938412595962708,0.09381207823753357,0.9994357824325562,0.9998328685760498,0.9994822144508362,0.9993866682052612,0.9994406700134277,0.002631358103826642,0.0013695403467863798,0.0004582665569614619,0.0031043749768286943,0.058813415467739105,-0.06802254170179367,-0.16160637140274048,3.9771616458892822,4.11247444152832,3.2326788902282715,3.5984740257263184,3.08542799949646,3.204578399658203,3.819152593612671,3.7110087871551514,3.521947145462036,3.9644100666046143,3.6227314472198486,3.5663256645202637,1.3229783773422241,1.2837352752685547,1.1358592510223389,1.1514099836349487,1.0920900106430054,1.208442211151123,1.3325437307357788,1.2358274459838867,1.3204100131988525,1.342078447341919,1.242537498474121,1.222529411315918
4,5.148674964904785,3.028552293777466,3.8747193813323975,5.65875768661499,5.576272010803223,5.145667261339097,0.06712742894887924,0.9993582367897034,0.9993223547935486,0.9995442032814026,0.9993394017219543,0.9991914629936218,0.0009794924408197403,0.0005331975407898426,0.00017694906273391098,0.0012501769233494997,0.055833812803030014,-0.07084871828556061,-0.14551347494125366,5.091306686401367,2.8615379333496094,3.7887167930603027,5.639439582824707,5.538115978240967,5.0891105411356445,0.07479947060346603,0.9994885921478271,0.9989234805107117,0.9996759295463562,0.9993727207183838,0.9994974136352539,0.002814708976075053,0.0013426177902147174,0.0004342001338955015,0.0030638629104942083,0.10669184476137161,-0.06987933069467545,-0.1549464464187622,3.546139717102051,3.8178982734680176,3.518160343170166,3.1990182399749756,3.3268520832061768,3.592503070831299,3.804293155670166,3.2120940685272217,4.063273906707764,3.7476203441619873,3.5827853679656982,3.525435209274292,1.5429444313049316,1.533117413520813,1.371370553970337,1.3533704280853271,1.3117653131484985,1.4431511163711548,1.576432704925537,1.4307047128677368,1.5901906490325928,1.5805376768112183,1.4733585119247437,1.4495859146118164
5,5.140787124633789,2.885368585586548,3.8465638160705566,5.668630123138428,5.580587863922119,5.13841029418272,0.060345206409692764,0.9994789958000183,1.0,0.9996296167373657,0.9993951916694641,0.9994155764579773,0.0012149284593760967,0.0006135024013929069,0.00020076116197742522,0.0014377491315826774,0.03463716804981232,-0.07041683048009872,-0.15243607759475708,4.874294757843018,2.3671715259552,3.613441228866577,5.41741943359375,5.32973051071167,4.87205655552617,0.1111430823802948,0.9994626641273499,0.9980396628379822,0.9994850754737854,0.9994056820869446,0.9996486306190491,0.0033913166262209415,0.0014348879922181368,0.00045066970051266253,0.003275951137766242,0.1647205650806427,-0.06550542265176773,-0.18422386050224304,3.5545945167541504,3.303380012512207,3.4603004455566406,3.4533252716064453,3.8198561668395996,2.9656193256378174,3.1096417903900146,3.9758360385894775,3.83677339553833,4.354535102844238,3.583386182785034,3.531888723373413,1.7396432161331177,1.7066859006881714,1.5774126052856445,1.5593328475952148,1.5580387115478516,1.5885777473449707,1.726144552230835,1.6817924976348877,1.811995506286621,1.855209231376648,1.6804832220077515,1.6525647640228271
6,5.075974464416504,2.714984893798828,3.772451639175415,5.6223955154418945,5.526673316955566,5.0734762563130404,0.06857320666313171,0.9994484782218933,0.9994281530380249,0.9993831515312195,0.9993857145309448,0.9996185302734375,0.0014846306294202805,0.0006836875691078603,0.00022257331875152886,0.0016052672872319818,0.046026624739170074,-0.069119393825531,-0.146399587392807,4.657301902770996,2.0518383979797363,3.357344627380371,5.288602352142334,5.151597499847412,4.655182076884395,0.1119811162352562,0.9994381070137024,0.9999061226844788,0.9995458722114563,0.9994315505027771,0.9992683529853821,0.003782539162784815,0.0014254188863560557,0.0004373628180474043,0.00316585972905159,0.12296542525291443,-0.060223840177059174,-0.1769767850637436,3.6979143619537354,3.381168842315674,3.063128709793091,3.2367067337036133,2.680009126663208,3.2790894508361816,3.7531678676605225,3.351663112640381,3.7108962535858154,4.1014018058776855,3.4255146980285645,3.3701138496398926,1.9308072328567505,1.8686931133270264,1.7206284999847412,1.72378408908844,1.6653234958648682,1.7536619901657104,1.923452377319336,1.8445168733596802,1.9970043897628784,2.0759074687957764,1.8503780364990234,1.8197458982467651
7,5.081525802612305,2.571030855178833,3.7511656284332275,5.659727096557617,5.546222686767578,5.078902489122673,0.07163749635219574,0.9994097352027893,0.9997467994689941,0.9997217059135437,0.9993736743927002,0.9990931153297424,0.0017247647047042847,0.0007535912445746362,0.00024245322856586426,0.001744206645525992,0.04227296635508537,-0.06927748769521713,-0.14591220021247864,4.826664924621582,1.9920783042907715,3.468597173690796,5.528628826141357,5.328612804412842,4.824743596753674,0.1084887906908989,0.9995257258415222,1.0,0.9996820092201233,0.9993566870689392,0.9995315074920654,0.0045109824277460575,0.0015450190985575318,0.0004599310632329434,0.0033920176792889833,0.0389193631708622,-0.06643913686275482,-0.1630200743675232,4.342835903167725,3.91182541847229,3.100623369216919,3.7014870643615723,3.2340385913848877,3.6697800159454346,3.388078451156616,4.122738838195801,3.9738430976867676,4.285246849060059,3.77305006980896,3.7162673473358154,2.1662137508392334,2.0655205249786377,1.8530082702636719,1.9170589447021484,1.8175406455993652,1.9400535821914673,2.0636277198791504,2.067418098449707,2.1884045600891113,2.292140245437622,2.0370986461639404,2.003885507583618
8,5.06652307510376,2.434220314025879,3.7211568355560303,5.671071529388428,5.537259578704834,5.064356105705587,0.07025618851184845,0.9994955062866211,0.9987434148788452,0.9995219111442566,0.9993569254875183,0.9997408390045166,0.0019920270424336195,0.0008260205504484475,0.0002606501220725477,0.0018668475095182657,0.04335556924343109,-0.06897395849227905,-0.14776462316513062,4.780534744262695,1.854718565940857,3.376004457473755,5.551791191101074,5.3048810958862305,4.778479963526294,0.07230900973081589,0.9994854927062988,0.9994003772735596,0.9996651411056519,0.9993616342544556,0.9994555711746216,0.004622005857527256,0.0015575148863717914,0.0004484299570322037,0.003293730318546295,0.07468551397323608,-0.06372290104627609,-0.18184733390808105,3.7898614406585693,3.779630422592163,3.5166549682617188,3.4993350505828857,3.1918771266937256,3.769604444503784,3.76798152923584,3.444457769393921,4.02101469039917,4.134659290313721,3.6915078163146973,3.622734308242798,2.320701837539673,2.2269446849823,2.012192487716675,2.070241689682007,1.9480946063995361,2.1183900833129883,2.2267181873321533,2.200162887573242,2.3639976978302,2.4702415466308594,2.195768356323242,2.1595194339752197
9,4.968262195587158,2.244600772857666,3.623973846435547,5.596319198608398,5.442321300506592,4.966122805480277,0.06704951077699661,0.9994919300079346,0.9992903470993042,0.9996057748794556,0.9994062781333923,0.9995117783546448,0.002397384261712432,0.0008998973644338548,0.00028014983399771154,0.0020017896313220263,0.052687086164951324,-0.06745776534080505,-0.15793916583061218,4.287029266357422,1.5367226600646973,2.99960994720459,5.025599956512451,4.775721073150635,4.285559297631568,0.09358321130275726,0.9995831847190857,0.9997506737709045,0.9995351433753967,0.9994688034057617,0.9997844099998474,0.00550641817972064,0.0017153493827208877,0.0004899136838503182,0.003516474738717079,0.1667766273021698,-0.054104000329971313,-0.2063293159008026,3.9624688625335693,3.898820400238037,3.464478015899658,4.123128414154053,3.020540237426758,3.446316957473755,3.6426143646240234,3.398283004760742,4.125552654266357,3.4869794845581055,3.6569182872772217,3.5768747329711914,2.476966619491577,2.382230281829834,2.1489310264587402,2.2685842514038086,2.0480268001556396,2.2431256771087646,2.358353614807129,2.3121001720428467,2.5329110622406006,2.563845634460449,2.333507537841797,2.292764902114868
