step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q_conv1,Q_conv2,Q_fc1,Q_fc2,S_conv1,S_conv2,S_fc1,S_fc2,absmu_median_conv1,absmu_median_conv2,absmu_median_fc1,absmu_median_fc2,absmu_q25_conv1,absmu_q25_conv2,absmu_q25_fc1,absmu_q25_fc2,absmu_q75_conv1,absmu_q75_conv2,absmu_q75_fc1,absmu_q75_fc2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,fr_lif1,fr_lif2,fr_lif3,fr_lif4,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.34147390723228455,0.0,0.0,0.0,0.42990005016326904,0.0,0.0,0.13180561363697052,0.0,0.0,0.0,0.0,0.029107511043548584,0.0,0.0,0.0,0.06769830733537674,0.0,0.0,1.46329921335564e-05,0.43668580055236816,0.0,0.0,0.0,0.45961931347846985,0.0,0.0,0.0899752527475357,0.0,0.0,0.0,0.0,0.0077560399658977985,0.0,0.0,0.0,0.005937650799751282,0.0,0.0,2.5939933038898744e-05,0.04038461670279503,0.03924151882529259,0.0033907617907971144,0.5842314958572388,0.05053483694791794,0.05680098757147789,0.001401998451910913,0.9148434996604919,0.00027198769384995103,0.00010352030221838504,1.4397535778698511e-05,2.434637281112373e-05,0.00012740143574774265,3.9054055378073826e-05,2.8373165150696877e-06,1.381937750011275e-06,0.00046894498518668115,0.00021265383111312985,4.8186422645812854e-05,0.00011578289559110999,0.012269184924662113,0.0968065857887268,0.1818152517080307,-0.0803355947136879,-0.25048571825027466,6.638998985290527,0.3807057738304138,0.17765217917039994,0.08759101392248794,0.04578734587877989,0.0037890625681029633,0.7584410309791565,0.5822392106056213,0.45134252309799194,0.5998116135597229,0.2640690803527832,0.26304686069488525,0.34026065468788147,0.3080706000328064,0.27764225006103516,0.586336076259613
1,0.34368643164634705,0.0,0.0,0.0,0.43004781007766724,0.0,0.0,0.12659785151481628,0.0,0.0,0.0,0.0,0.03869006037712097,0.0,0.0,0.0,0.06097152829170227,0.0,0.0,6.340225809253752e-06,0.4268578588962555,0.0,0.0,0.0,0.4630454480648041,0.0,0.0,0.0948387086391449,0.0,0.0,0.0,0.0,0.00936065148562193,0.0,0.0,0.0,0.005864351522177458,0.0,0.0,3.296004069852643e-05,0.03846153989434242,0.04279441013932228,0.004519350826740265,0.6219560503959656,0.04697473719716072,0.056700967252254486,0.0015767731238156557,0.9371856451034546,0.0005552432266995311,0.00020426380797289312,2.7993437470286153e-05,4.478771734284237e-05,0.00025227447622455657,7.71634659031406e-05,5.507649802893866e-06,2.4454545837215846e-06,0.0009306339779868722,0.00042575987754389644,9.384008444612846e-05,0.00022024604550097138,0.013960286043584347,0.09965326637029648,0.19062457978725433,-0.08127591758966446,-0.2650519609451294,6.572519302368164,0.39389291405677795,0.1770083729736507,0.08756457320332629,0.04569344008545158,0.00443750005972106,1.4754396677017212,1.1126071214675903,0.8157147765159607,1.1563162803649902,0.49583542346954346,0.49765971302986145,0.6552042961120605,0.5767833590507507,0.5340008735656738,1.1664402484893799
2,0.340073823928833,0.0,0.0,0.0,0.4355529248714447,0.0,0.0,0.12716063857078552,0.0,0.0,0.0,0.0,0.0402945876121521,0.0,0.0,0.0,0.056912679225206375,0.0,0.0,5.357405370887136e-06,0.42035970091819763,0.0,0.0,0.0,0.466087281703949,0.0,0.0,0.09802037477493286,0.0,0.0,0.0,0.0,0.009412652812898159,0.0,0.0,0.0,0.0060872845351696014,0.0,0.0,3.270028901170008e-05,0.028846153989434242,0.043273452669382095,0.004641698207706213,0.6421157717704773,0.03290310502052307,0.05618293210864067,0.0016877043526619673,0.9009112119674683,0.0008162949234247208,0.0002925048174802214,4.060365608893335e-05,6.464005855377764e-05,0.0003739852400030941,0.00010973915050271899,7.946588993945625e-06,3.198737658749451e-06,0.0013670132029801607,0.0006057299324311316,0.00013603917614091188,0.0003162365173920989,0.014324488118290901,0.09719949960708618,0.1980210244655609,-0.08025489002466202,-0.28275266289711,6.5784912109375,0.40203627943992615,0.17764703748747707,0.0884405741947694,0.04622172089118977,0.00552343756717164,2.152155876159668,1.6574184894561768,1.142176628112793,1.6424700021743774,0.7182464599609375,0.7227620482444763,0.9373031854629517,0.8293921947479248,0.7653431296348572,1.7334895133972168
3,0.33180826902389526,0.0,0.0,0.0,0.44055935740470886,0.0,0.0,0.1278829276561737,0.0,0.0,0.0,0.0,0.04561351239681244,0.0,0.0,0.0,0.054129961878061295,0.0,0.0,5.997012522129808e-06,0.4052467346191406,0.0,0.0,0.0,0.47555065155029297,0.0,0.0,0.10305413603782654,0.0,0.0,0.0,0.0,0.009952541440725327,0.0,0.0,0.0,0.006165867205709219,0.0,0.0,3.005296821356751e-05,0.04038461670279503,0.04359281435608864,0.005068664439022541,0.6596806049346924,0.0488269068300724,0.061273615807294846,0.0019017414888367057,0.8950615525245667,0.0011178439017385244,0.00037157032056711614,5.169192445464432e-05,7.917967741377652e-05,0.0005224216729402542,0.00013979963841848075,1.0094311619468499e-05,4.0031013668340165e-06,0.0017970664193853736,0.0007690871134400368,0.00017222375026904047,0.0004164525889791548,0.014957780949771404,0.09973593056201935,0.21599081158638,-0.07854355126619339,-0.30805137753486633,6.723141670227051,0.40305307507514954,0.17741842014715076,0.0895944562203158,0.04705203330493532,0.009070312633411959,2.756019353866577,2.164130687713623,1.4652529954910278,2.101900100708008,0.9235089421272278,0.9334322810173035,1.2032772302627563,1.1050043106079102,0.9865028858184814,2.3346784114837646
4,0.3233467936515808,0.0,0.0,0.0,0.444396048784256,0.0,0.0,0.1291162520647049,0.0,0.0,0.0,0.0,0.05003007873892784,0.0,0.0,0.0,0.053106438368558884,0.0,0.0,4.3240156628598925e-06,0.3928850591182709,0.0,0.0,0.0,0.48255711793899536,0.0,0.0,0.10805480927228928,0.0,0.0,0.0,0.0,0.010397085919976234,0.0,0.0,0.0,0.006075992248952389,0.0,0.0,2.9955590434838086e-05,0.03846153989434242,0.04578842222690582,0.005205992609262466,0.6704590320587158,0.05068972334265709,0.06420540809631348,0.002538620959967375,0.9131575226783752,0.0014251158572733402,0.00044840824557468295,6.231798033695668e-05,9.783419955056161e-05,0.000727690348867327,0.00016847994993440807,1.2146255357947666e-05,4.7330104280263186e-06,0.0023144271690398455,0.0009247465059161186,0.00020679875160567462,0.0005074402433820069,0.015335901640355587,0.10312683880329132,0.24556289613246918,-0.07616181671619415,-0.33402496576309204,6.882410049438477,0.4017921984195709,0.1783492607809603,0.09177992951559645,0.04843078375793993,0.013085937674040907,3.3586785793304443,2.626588821411133,1.795080304145813,2.5794475078582764,1.1283265352249146,1.1210891008377075,1.4787336587905884,1.3970674276351929,1.2200788259506226,2.9146037101745605
5,0.3204549551010132,0.0,0.0,0.0,0.4423314332962036,0.0,0.0,0.13249742984771729,0.0,0.0,0.0,0.0,0.05090486630797386,0.0,0.0,0.0,0.053806859999895096,0.0,0.0,4.52575795861776e-06,0.37901851534843445,0.0,0.0,0.0,0.49008119106292725,0.0,0.0,0.11380166560411453,0.0,0.0,0.0,0.0,0.010826396755874157,0.0,0.0,0.0,0.006244848947972059,0.0,0.0,2.738968760240823e-05,0.05384615436196327,0.04622754454612732,0.005700374953448772,0.6782435178756714,0.07070709019899368,0.06299485266208649,0.003674977459013462,0.9188178777694702,0.0017414726316928864,0.0005255659343674779,7.267072942340747e-05,0.00011749641271308064,0.0009570865659043193,0.0001971132296603173,1.418311512679793e-05,5.332846285455162e-06,0.002941006561741233,0.0010874259751290083,0.00024095199478324503,0.0005977761466056108,0.015929758548736572,0.10470173507928848,0.2709277272224426,-0.0739276111125946,-0.3457844853401184,7.005527019500732,0.3985093832015991,0.17871082730591298,0.09441200955268415,0.05019703376456165,0.017414062822354026,3.9887850284576416,3.0487704277038574,2.1487643718719482,3.0801620483398438,1.3287241458892822,1.320702075958252,1.7692078351974487,1.7137569189071655,1.4523820877075195,3.462360143661499
6,0.3170720934867859,0.0,0.0,0.0,0.4383911192417145,0.0,0.0,0.13706019520759583,0.0,0.0,0.0,0.0,0.05440766364336014,0.0,0.0,0.0,0.05306728184223175,0.0,0.0,1.6659329276080825e-06,0.3727775812149048,0.0,0.0,0.0,0.49255096912384033,0.0,0.0,0.11719266325235367,0.0,0.0,0.0,0.0,0.011115195229649544,0.0,0.0,0.0,0.006343733984977007,0.0,0.0,1.987074028875213e-05,0.05384615436196327,0.04746507108211517,0.005947565659880638,0.6862275004386902,0.09379807859659195,0.06385146826505661,0.004691461566835642,0.9196476936340332,0.0021006264723837376,0.0006019178545102477,8.332477591466159e-05,0.00013317447155714035,0.001161116175353527,0.00022498508042190224,1.6237638192251325e-05,6.005894192639971e-06,0.003641325980424881,0.0012456877157092094,0.0002771556319203228,0.000690577900968492,0.01632411777973175,0.10746238380670547,0.29158318042755127,-0.07266809046268463,-0.350730299949646,7.067071437835693,0.3907696306705475,0.17900034358724953,0.09789963160966635,0.05248265890753827,0.02221875048126094,4.562036991119385,3.518360137939453,2.5104315280914307,3.532846212387085,1.5337538719177246,1.5231883525848389,2.056736469268799,2.0588855743408203,1.684990406036377,3.9772214889526367
7,0.31273168325424194,0.0,0.0,0.0,0.4383530914783478,0.0,0.0,0.13777418434619904,0.0,0.0,0.0,0.0,0.05803811550140381,0.0,0.0,0.0,0.05310184881091118,0.0,0.0,1.1180738965776982e-06,0.3716251254081726,0.0,0.0,0.0,0.49065670371055603,0.0,0.0,0.11949997395277023,0.0,0.0,0.0,0.0,0.011824098415672779,0.0,0.0,0.0,0.006379213649779558,0.0,0.0,1.4869961887598038e-05,0.06923077255487442,0.04770459234714508,0.0066317105665802956,0.6914171576499939,0.13140225410461426,0.06358818709850311,0.006025543436408043,0.9294657111167908,0.0026164408773183823,0.0006950369570404291,9.593107097316533e-05,0.00015501872985623777,0.001236602896824479,0.00025803293101489544,1.8531449313741177e-05,7.600204753543949e-06,0.004560617730021477,0.0014519270043820143,0.00031918915919959545,0.0008037562947720289,0.01705252006649971,0.11112591624259949,0.3087254762649536,-0.07286592572927475,-0.3556293249130249,7.078141212463379,0.38026759028434753,0.17978276025503873,0.10313373782914823,0.05541687779827044,0.02682031297357753,5.187793731689453,3.9752116203308105,2.951747417449951,3.9875407218933105,1.736457109451294,1.738364577293396,2.4113028049468994,2.505690336227417,1.938848853111267,4.527345180511475
8,0.31669241189956665,0.0,0.0,0.0,0.43160536885261536,0.0,0.0,0.14103300869464874,0.0,0.0,0.0,0.0,0.05581742525100708,0.0,0.0,0.0,0.05485085770487785,0.0,0.0,9.118145953834755e-07,0.3748432695865631,0.0,0.0,0.0,0.4889032542705536,0.0,0.0,0.11744998395442963,0.0,0.0,0.0,0.0,0.01236550323665142,0.0,0.0,0.0,0.0064231231808662415,0.0,0.0,1.4868341168039478e-05,0.057692307978868484,0.044391218572854996,0.007325842976570129,0.7009980082511902,0.13341033458709717,0.057688649743795395,0.007733103819191456,0.9290679097175598,0.0031664627604186535,0.0007985205156728625,0.0001103130416595377,0.00017491693142801523,0.0014415757032111287,0.0002893715864047408,2.1038364138803445e-05,8.801950571069028e-06,0.005784179084002972,0.001686766860075295,0.00036695459857583046,0.0009237820631824434,0.017602302134037018,0.1106533333659172,0.3125760555267334,-0.07488928735256195,-0.3510989248752594,7.082400321960449,0.3597140312194824,0.18010451721027493,0.10998276229332989,0.059527659176383176,0.032828125538071615,5.7773237228393555,4.456760883331299,3.4703781604766846,4.393182754516602,1.9781922101974487,1.9648905992507935,2.92205548286438,3.0712451934814453,2.2256033420562744,5.061676502227783
9,0.32131242752075195,0.0,0.0,0.0,0.43042972683906555,0.0,0.0,0.1344929188489914,0.0,0.0,0.0,0.0,0.05673243850469589,0.0,0.0,0.0,0.057032182812690735,0.0,0.0,3.0885871638020035e-07,0.38354048132896423,0.0,0.0,0.0,0.48627960681915283,0.0,0.0,0.11066059023141861,0.0,0.0,0.0,0.0,0.012930469587445259,0.0,0.0,0.0,0.006574018858373165,0.0,0.0,1.4834190551482607e-05,0.057692307978868484,0.0412774458527565,0.008144819177687168,0.7123752236366272,0.1560807079076767,0.05554850772023201,0.010051061399281025,0.9344924092292786,0.0038582750130444765,0.0009020796860568225,0.00012479335418902338,0.00020251647219993174,0.0017080416437238455,0.0003263738180976361,2.3537068045698106e-05,9.831038369156886e-06,0.007021211087703705,0.0019315890967845917,0.00041468648123554885,0.0011015207273885608,0.01831446774303913,0.1137503981590271,0.3227507770061493,-0.07795828580856323,-0.33950114250183105,7.225719451904297,0.3400557339191437,0.18246943909674881,0.12060212150357985,0.06517453391974413,0.042156250749831085,6.453330993652344,4.971109867095947,4.0861029624938965,4.9649176597595215,2.2663047313690186,2.2116849422454834,3.585872173309326,3.6634714603424072,2.6002347469329834,5.593020915985107
