step,CV_eff,CV_eff_act,CV_eff_conv1,CV_eff_conv2,CV_eff_fc1,CV_eff_fc2,N,Pi,Pi_conv1,Pi_conv2,Pi_fc1,Pi_fc2,absmu_med_conv1,absmu_med_conv2,absmu_med_fc1,absmu_med_fc2,cos_max,cos_mean,cos_min,fr_lif1,fr_lif2,fr_lif3,fr_lif4,g_CV_eff,g_CV_eff_act,g_CV_eff_conv1,g_CV_eff_conv2,g_CV_eff_fc1,g_CV_eff_fc2,g_N,g_Pi,g_Pi_conv1,g_Pi_conv2,g_Pi_fc1,g_Pi_fc2,g_absmu_med_conv1,g_absmu_med_conv2,g_absmu_med_fc1,g_absmu_med_fc2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,7.86637544631958,7.8516014788376,4.507159233093262,6.454491138458252,8.316864967346191,10.255488395690918,0.3807057738304138,0.9988637566566467,1.0,0.9997081160545349,0.99852055311203,0.9975356459617615,0.0002710185362957418,0.00010351921810070053,1.4397525774256792e-05,2.430468339298386e-05,0.1818152517080307,-0.0803355947136879,-0.25048571825027466,0.17765217917039994,0.08759101392248794,0.04578734587877989,0.0037890625681029633,7.866374492645264,7.85160147889042,4.50715970993042,6.45449161529541,8.316864967346191,10.255489349365234,0.3807058036327362,0.9988638162612915,1.0,0.9997081160545349,0.9985204935073853,0.9975356459617615,0.002710185246542096,0.0010351920500397682,0.0001439752522855997,0.00024304678663611412,0.1818152517080307,-0.08033561706542969,-0.25048577785491943,7.584410190582275,5.822391510009766,4.513424873352051,5.9981160163879395,2.640690803527832,2.6304683685302734,3.40260648727417,3.0807058811187744,2.7764225006103516,5.863360404968262,4.431260108947754,4.703670024871826,0.7584410309791565,0.5822392106056213,0.45134252309799194,0.5998116135597229,0.2640690803527832,0.26304686069488525,0.34026065468788147,0.3080706000328064,0.27764225006103516,0.586336076259613,0.44312602281570435,0.47036704421043396
1,7.6637396812438965,7.65972256459506,4.341678619384766,6.186374664306641,8.18531608581543,9.968132972717285,0.39389291405677795,0.9995664954185486,0.999821126461029,0.9997376799583435,0.9996141791343689,0.9984825253486633,0.0005548904300667346,0.0002042345004156232,2.7993044568574987e-05,4.4775522837881e-05,0.19062457978725433,-0.08127591758966446,-0.2650519609451294,0.1770083729736507,0.08756457320332629,0.04569344008545158,0.00443750005972106,7.360002040863037,7.354102983363231,4.129119396209717,5.868993759155273,7.933318138122559,9.530332565307617,0.4057382047176361,0.9993794560432434,0.9991574883460999,0.9997633099555969,0.9994861483573914,0.9972257614135742,0.0032195260282605886,0.001131617114879191,0.00015320266538765281,0.0002367449487792328,0.26438748836517334,-0.08155914396047592,-0.27357643842697144,7.940109729766846,5.90031099319458,4.12506628036499,6.186448574066162,2.6081349849700928,2.6148557662963867,3.496624231338501,3.0009777545928955,2.846203327178955,6.400920867919922,4.511965274810791,4.824879169464111,1.4754396677017212,1.1126071214675903,0.8157147765159607,1.1563162803649902,0.49583542346954346,0.49765971302986145,0.6552042961120605,0.5767833590507507,0.5340008735656738,1.1664402484893799,0.8486002087593079,0.9043916463851929
2,7.705076217651367,7.701503476800968,4.338004112243652,6.216105937957764,8.250553131103516,9.95242977142334,0.40203627943992615,0.999600887298584,0.9999822974205017,0.9996448755264282,0.9996325373649597,0.9990842938423157,0.0008147473563440144,0.0002924961445387453,4.0603499655844644e-05,6.463640602305532e-05,0.1980210244655609,-0.08025489002466202,-0.28275266289711,0.17764703748747707,0.0884405741947694,0.04622172089118977,0.00552343756717164,7.62886381149292,7.61927244363742,4.27986478805542,6.156390190124512,8.207240104675293,9.68832778930664,0.4166969954967499,0.9992493391036987,0.9997888207435608,0.9997676014900208,0.9991438388824463,0.9977190494537354,0.00329271936789155,0.0011139948619529605,0.00015762534167151898,0.00024140221648849547,0.2139170616865158,-0.0775279626250267,-0.30972930788993835,8.258880615234375,6.569263935089111,4.0969648361206055,6.031632900238037,2.7337796688079834,2.7577199935913086,3.4889395236968994,3.109290599822998,2.856090784072876,6.851804733276367,4.675436496734619,5.022149085998535,2.152155876159668,1.6574184894561768,1.142176628112793,1.6424700021743774,0.7182464599609375,0.7227620482444763,0.9373031854629517,0.8293921947479248,0.7653431296348572,1.7334895133972168,1.2300758361816406,1.3147379159927368
3,7.9152302742004395,7.912420468901596,4.342684745788574,6.340935707092285,8.529601097106934,10.224752426147461,0.40305307507514954,0.999686598777771,0.9995377063751221,0.9997272491455078,0.9997344613075256,0.9992794990539551,0.0011177073465660214,0.00037156601320020854,5.169148789718747e-05,7.912553701316938e-05,0.21599081158638,-0.07854355126619339,-0.30805137753486633,0.17741842014715076,0.0895944562203158,0.04705203330493532,0.009070312633411959,8.163866996765137,8.157141731141005,4.239277362823486,6.462826251983643,8.929492950439453,10.51377010345459,0.4085540175437927,0.9994636178016663,0.9996452927589417,0.9997740983963013,0.9994840025901794,0.9980027675628662,0.0036303603556007147,0.0011223317123949528,0.00015321529645007104,0.0002454772766213864,0.2715965211391449,-0.07297329604625702,-0.36241304874420166,8.231955528259277,6.744068622589111,4.3892741203308105,6.265195846557617,2.791823387145996,2.8504786491394043,3.6143436431884766,3.602137565612793,2.992661714553833,7.772934913635254,4.925487518310547,5.28123140335083,2.756019353866577,2.164130687713623,1.4652529954910278,2.101900100708008,0.9235089421272278,0.9334322810173035,1.2032772302627563,1.1050043106079102,0.9865028858184814,2.3346784114837646,1.5973707437515259,1.708655834197998
4,8.139093399047852,8.13619773091576,4.304301738739014,6.476330280303955,8.832864761352539,10.535173416137695,0.4017921984195709,0.9996865391731262,0.999717652797699,0.9996812343597412,0.9997470378875732,0.9993165731430054,0.0014223706675693393,0.00044837637688033283,6.231755105545744e-05,9.777751984074712e-05,0.24556289613246918,-0.07616181671619415,-0.33402496576309204,0.1783492607809603,0.09177992951559645,0.04843078375793993,0.013085937674040907,8.318713188171387,8.308457133399434,4.04874324798584,6.545689105987549,9.193558692932129,10.769658088684082,0.39822858572006226,0.9991447329521179,0.999823808670044,0.9996249079704285,0.9990541934967041,0.99732506275177,0.004173132590949535,0.0011909391032531857,0.00016179126396309584,0.00026001076912507415,0.3357028663158417,-0.06694208085536957,-0.39800122380256653,8.831415176391602,6.8279805183410645,4.803683280944824,6.91187047958374,3.0147135257720947,2.8628389835357666,3.983161449432373,4.0471062660217285,3.343886613845825,8.177374839782715,5.280403137207031,5.643074035644531,3.3586785793304443,2.626588821411133,1.795080304145813,2.5794475078582764,1.1283265352249146,1.1210891008377075,1.4787336587905884,1.3970674276351929,1.2200788259506226,2.9146037101745605,1.9619693756103516,2.0986335277557373
5,8.31259822845459,8.310110704853942,4.221808910369873,6.5915327072143555,9.07723331451416,10.79198169708252,0.3985093832015991,0.9997301697731018,0.9999997019767761,0.9996261596679688,0.9997895359992981,0.9996522068977356,0.0017396711045876145,0.0005255555734038353,7.267038017744198e-05,0.00011736771557480097,0.2709277272224426,-0.0739276111125946,-0.3457844853401184,0.17871082730591298,0.09441200955268415,0.05019703376456165,0.017414062822354026,8.25533676147461,8.248667725391932,3.862682342529297,6.513321399688721,9.187764167785645,10.70033073425293,0.390046089887619,0.9994801878929138,0.9998317360877991,0.9996303915977478,0.9995142817497253,0.9984188675880432,0.004989915993064642,0.0012950197560712695,0.00017340411432087421,0.0002771361614577472,0.37229394912719727,-0.06484807282686234,-0.38087791204452515,9.755194664001465,6.904011249542236,5.384811878204346,7.632237434387207,3.163167953491211,3.1616291999816895,4.423429012298584,4.598926067352295,3.576720952987671,8.449316024780273,5.704944610595703,6.0791120529174805,3.9887850284576416,3.0487704277038574,2.1487643718719482,3.0801620483398438,1.3287241458892822,1.320702075958252,1.7692078351974487,1.7137569189071655,1.4523820877075195,3.462360143661499,2.3313615322113037,2.491699457168579
6,8.345710754394531,8.34344290920761,4.033905029296875,6.576357841491699,9.19923210144043,10.84516429901123,0.3907696306705475,0.9997537136077881,0.9997215867042542,0.9997593760490417,0.9997625350952148,0.9996954202651978,0.002098552417010069,0.0006019050488248467,8.332381548825651e-05,0.00013273207878228277,0.29158318042755127,-0.07266809046268463,-0.350730299949646,0.17900034358724953,0.09789963160966635,0.05248265890753827,0.02221875048126094,7.878648281097412,7.872478698029429,3.3852744102478027,6.140959739685059,8.946892738342285,10.181644439697266,0.3651682734489441,0.9993565082550049,0.9999327063560486,0.9996656179428101,0.9992302060127258,0.998313844203949,0.005663021933287382,0.0013604406267404556,0.00018733843171503395,0.00029683098546229303,0.36239132285118103,-0.06664086878299713,-0.36311671137809753,9.820941925048828,7.837841033935547,5.824670791625977,7.67602014541626,3.4149136543273926,3.393449068069458,4.692689418792725,5.222999572753906,3.8160362243652344,8.69902515411377,6.039858818054199,6.378786087036133,4.562036991119385,3.518360137939453,2.5104315280914307,3.532846212387085,1.5337538719177246,1.5231883525848389,2.056736469268799,2.0588855743408203,1.684990406036377,3.9772214889526367,2.695845127105713,2.8738081455230713
7,8.236515998840332,8.234384511478329,3.745241403579712,6.4168853759765625,9.213345527648926,10.765378952026367,0.38026759028434753,0.9997562766075134,0.9997591376304626,0.9997760057449341,0.9997482299804688,0.9997195601463318,0.002607279224321246,0.0006950172828510404,9.59303361014463e-05,0.0001549841690575704,0.3087254762649536,-0.07286592572927475,-0.3556293249130249,0.17978276025503873,0.10313373782914823,0.05541687779827044,0.02682031297357753,7.3751983642578125,7.369207464910326,2.94154691696167,5.556870460510254,8.700287818908691,9.755895614624023,0.3496595025062561,0.999433696269989,0.9999104142189026,0.9997372031211853,0.99942946434021,0.9975185990333557,0.007490003015846014,0.001602370641194284,0.0002141947188647464,0.00033274409361183643,0.3683146834373474,-0.07155831158161163,-0.36730656027793884,10.97779369354248,8.220083236694336,7.009347438812256,8.17986011505127,3.619574785232544,3.730211019515991,5.679152488708496,6.643536567687988,4.277092933654785,9.59644889831543,6.793310642242432,7.131364345550537,5.187793731689453,3.9752116203308105,2.951747417449951,3.9875407218933105,1.736457109451294,1.738364577293396,2.4113028049468994,2.505690336227417,1.938848853111267,4.527345180511475,3.0960304737091064,3.288177251815796
8,8.065862655639648,8.062746038009788,3.4274816513061523,6.184863567352295,9.193033218383789,10.597920417785645,0.3597140312194824,0.9996414184570312,0.997516393661499,0.9997889399528503,0.9997963309288025,0.9997607469558716,0.003150670323520899,0.0007985117263160646,0.00011031199392164126,0.00017449609003961086,0.3125760555267334,-0.07488928735256195,-0.3510989248752594,0.18010451721027493,0.10998276229332989,0.059527659176383176,0.032828125538071615,6.87661600112915,6.871605164468053,2.5964579582214355,5.023951053619385,8.311832427978516,9.1127290725708,0.3054819405078888,0.9995111227035522,0.999679684638977,0.9997754693031311,0.9994150400161743,0.9985460638999939,0.009302845224738121,0.0018744204426184297,0.00024689879501238465,0.00038515517371706665,0.35701775550842285,-0.07811815291643143,-0.34249627590179443,11.28197193145752,8.969191551208496,8.283123970031738,8.23820686340332,4.236194133758545,4.074150562286377,7.694148540496826,8.365545272827148,4.877685070037842,10.032767295837402,7.6052985191345215,7.869472026824951,5.7773237228393555,4.456760883331299,3.4703781604766846,4.393182754516602,1.9781922101974487,1.9648905992507935,2.92205548286438,3.0712451934814453,2.2256033420562744,5.061676502227783,3.5321309566497803,3.725179672241211
9,8.04328441619873,8.041514199116147,3.1772425174713135,6.075458526611328,9.345335006713867,10.627250671386719,0.3400557339191437,0.999792218208313,0.9999750256538391,0.9997877478599548,0.9997692704200745,0.9997749924659729,0.0038582556881010532,0.0009020775905810297,0.0001247928594239056,0.00020189431961625814,0.3227507770061493,-0.07795828580856323,-0.33950114250183105,0.18246943909674881,0.12060212150357985,0.06517453391974413,0.042156250749831085,7.527806282043457,7.52154896984356,2.5191805362701416,5.356631755828857,9.407174110412598,10.1744384765625,0.2894364893436432,0.999329686164856,0.9985211491584778,0.9997092485427856,0.9993370771408081,0.9984913468360901,0.010176943615078926,0.002034547971561551,0.000257319858064875,0.0004427491803653538,0.374050110578537,-0.08394040912389755,-0.3397451937198639,12.807354927062988,9.84607219696045,9.842569351196289,10.337907791137695,4.988865852355957,4.530446529388428,9.850116729736328,9.20455265045166,6.122716903686523,10.616683006286621,8.814728736877441,9.096612930297852,6.453330993652344,4.971109867095947,4.0861029624938965,4.9649176597595215,2.2663047313690186,2.2116849422454834,3.585872173309326,3.6634714603424072,2.6002347469329834,5.593020915985107,4.039605140686035,4.2341837882995605
