step,lif1,lif2,lif3,lif4
0,0.17656373836100103,0.08740278128526825,0.045515783076407385,0.003601562561816536
50,0.25015732631087306,0.3198292914032936,0.29920923305675384,0.14121875227428973
100,0.2491107578575611,0.30896791368722915,0.31219110805541284,0.12327343955636023
150,0.2519472225010395,0.30054147243499757,0.31225485749542714,0.12064843948930504
200,0.25166995525360103,0.29542919293046005,0.3159417346864939,0.114390626847744
250,0.24949218720197672,0.2886145207285881,0.3160426706448197,0.11317968927323818
300,0.2487167702615261,0.2865527050197125,0.3158598593994975,0.11258593916893005
350,0.2505200515687465,0.2831568303704262,0.3168592331930995,0.11014062672853468
400,0.25110687747597693,0.28121986731886867,0.31482892047613853,0.1095468767732382
450,0.2519953398406506,0.28184269383549687,0.3176843910291791,0.10967968918383122
