step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,9.530293464660645,5.685171604156494,6.357868671417236,9.54293441772461,13.011980056762695,9.464809184920133,0.04546794667840004,0.9972664713859558,0.998682975769043,0.999569296836853,0.9950066208839417,0.9995551109313965,0.000122951008961536,8.789300045464188e-05,1.3319186109583825e-05,8.957563113654032e-05,0.04669813811779022,-0.09847187995910645,-0.16297291219234467,9.530293464660645,5.685171604156494,6.35786771774292,9.54293441772461,13.011979103088379,9.464809183252441,0.04546795412898064,0.9972664713859558,0.998682975769043,0.9995691180229187,0.9950065612792969,0.9995551705360413,0.0012295100605115294,0.0008789300336502492,0.00013319186109583825,0.0008957557729445398,0.04669813811779022,-0.09847187995910645,-0.16297288239002228,4.999999523162842,4.296638011932373,4.590264320373535,4.736637115478516,4.694090843200684,4.853464603424072,4.999999046325684,4.7860026359558105,4.999999046325684,4.999999046325684,4.795709133148193,4.7744526863098145,0.4999999403953552,0.42966383695602417,0.4590264558792114,0.47366371750831604,0.4694090783596039,0.4853464663028717,0.49999988079071045,0.47860029339790344,0.49999991059303284,0.4999999403953552,0.4795709550380707,0.4774452745914459
1,9.580065727233887,5.576662063598633,6.394636631011963,9.59355640411377,13.11162281036377,9.550940088411206,0.04563804343342781,0.9984483122825623,0.9993194937705994,0.9996713399887085,0.9972866773605347,0.9995586276054382,0.00023311869881581515,0.00016508348926436156,2.4669545382494107e-05,0.00016485658125020564,0.07631931453943253,-0.0985543504357338,-0.1665196716785431,9.447421073913574,5.329474925994873,6.317321300506592,9.4653902053833,12.970192909240723,9.356861006079734,0.04747213050723076,0.9953945279121399,0.9990679025650024,0.999499499797821,0.9914500117301941,0.9991834163665771,0.001292425557039678,0.0008821429801173508,0.00013144472904969007,0.0008509304607287049,0.1099625751376152,-0.09821668267250061,-0.16915352642536163,4.999999523162842,4.3137898445129395,4.738960266113281,4.80019998550415,4.477121353149414,4.924406051635742,4.999999046325684,4.7823615074157715,4.999999046325684,4.999999046325684,4.803683757781982,4.782377243041992,0.9493783712387085,0.8175137639045715,0.8860989212989807,0.905255138874054,0.8688046336174011,0.9281726479530334,0.9489519596099854,0.9082992076873779,0.9488741159439087,0.9492776393890381,0.9110626578330994,0.9070826172828674
2,9.477709770202637,5.572633266448975,6.371516704559326,9.472023010253906,12.916871070861816,9.454177397765225,0.044970400631427765,0.9987674951553345,0.9997061491012573,0.9997502565383911,0.9978348612785339,0.9996649026870728,0.0003321562544442713,0.00023582759604323655,3.541154001140967e-05,0.0002441499091219157,0.07487428933382034,-0.09830053150653839,-0.16414543986320496,9.160697937011719,5.422857284545898,6.2274956703186035,9.130619049072266,12.445342063903809,9.063770328995988,0.04641101136803627,0.9969338774681091,0.9999939203262329,0.9997239708900452,0.9944592714309692,0.9990807771682739,0.0013851237017661333,0.0008925551665015519,0.0001356560824206099,0.0009361736592836678,0.07166213542222977,-0.097506083548069,-0.15933607518672943,4.999999523162842,4.29444694519043,4.788448810577393,4.700967311859131,4.6022467613220215,4.622997283935547,4.999999046325684,4.779260158538818,4.999999523162842,4.999999523162842,4.778836727142334,4.7557291984558105,1.3533732891082764,1.1644577980041504,1.2750333547592163,1.2837011814117432,1.24086594581604,1.2963426113128662,1.3532507419586182,1.2943449020385742,1.3529115915298462,1.3531569242477417,1.2967437505722046,1.290888786315918
3,9.517829895019531,5.490630626678467,6.405055522918701,9.518786430358887,12.949973106384277,9.49651527637349,0.04632953181862831,0.9988785982131958,0.999701976776123,0.9996938705444336,0.9980868101119995,0.999662458896637,0.00042285071685910225,0.0002943401341326535,4.476656613405794e-05,0.00031415195553563535,0.07426266372203827,-0.0984032154083252,-0.16073451936244965,9.389673233032227,4.883285045623779,6.341588020324707,9.423388481140137,12.74966812133789,9.265570102978495,0.0526728481054306,0.9968740940093994,0.9988918304443359,0.9995954036712646,0.9943034052848816,0.9992702603340149,0.0014845277182757854,0.0008641566382721066,0.0001351418613921851,0.0008890196913853288,0.07258326560258865,-0.09812397509813309,-0.15555226802825928,4.999999046325684,4.2533745765686035,4.489455223083496,4.999999046325684,4.608333587646484,4.814462184906006,4.999999523162842,4.726900100708008,4.999999046325684,4.999998569488525,4.789252758026123,4.768922328948975,1.7164841890335083,1.47147536277771,1.594146728515625,1.6531989574432373,1.575848937034607,1.646597981452942,1.7166343927383423,1.6356806755065918,1.716219186782837,1.7163238525390625,1.6442610025405884,1.6370141506195068
4,9.60285472869873,5.30464506149292,6.488358020782471,9.60342788696289,13.015355110168457,9.583287662885377,0.04700031876564026,0.9989870190620422,0.9987173676490784,0.9994862675666809,0.9983938336372375,0.9997900128364563,0.0005370302242226899,0.0003463930042926222,5.334756133379415e-05,0.00037286977749317884,0.06795566529035568,-0.09863045066595078,-0.1561710685491562,9.597736358642578,4.326225757598877,6.519886493682861,9.654879570007324,12.973617553710938,9.496322997477195,0.05103292688727379,0.9977762699127197,0.9999942183494568,0.9997466802597046,0.9959423542022705,0.9993572235107422,0.0013322335435077548,0.0008371380972675979,0.00013368099462240934,0.0008802138618193567,0.047885309904813766,-0.0986679345369339,-0.1559194028377533,4.999999046325684,4.263419151306152,4.562654495239258,4.994272232055664,4.655074596405029,4.999998569488525,4.999998569488525,4.722869396209717,4.999999046325684,4.999999046325684,4.819828510284424,4.800116539001465,2.0419974327087402,1.7475264072418213,1.887557864189148,1.9840208292007446,1.8808517456054688,1.9791412353515625,2.0424160957336426,1.9409112930297852,2.041167736053467,2.0418527126312256,1.9587444067001343,1.9503600597381592
5,9.682711601257324,4.993610858917236,6.55074405670166,9.718420028686523,13.028295516967773,9.669846906593872,0.045013878494501114,0.9992119073867798,0.9981710314750671,0.9996185898780823,0.9988489747047424,0.9996045827865601,0.0006354693323373795,0.00038818924804218113,6.142589700175449e-05,0.00042747106635943055,0.056678690016269684,-0.09889774769544601,-0.1541941910982132,9.539612770080566,3.6539011001586914,6.373117446899414,9.799775123596191,12.780484199523926,9.478726173043828,0.04127395525574684,0.9973857998847961,0.9977495670318604,0.9997766613960266,0.9950515031814575,0.9993880391120911,0.0018517610151320696,0.0008161808364093304,0.00013454568397719413,0.0009113664855249226,0.025772765278816223,-0.09882953763008118,-0.16034086048603058,4.999999046325684,4.33897590637207,4.999998569488525,4.905947685241699,4.751062870025635,4.902256011962891,4.999999046325684,4.727232456207275,4.999999046325684,4.999999046325684,4.862547397613525,4.8401665687561035,2.3328216075897217,2.0012614727020264,2.1924941539764404,2.271245241165161,2.1627004146575928,2.2668228149414062,2.333669424057007,2.2129578590393066,2.332327365875244,2.332777261734009,2.2439076900482178,2.2342958450317383
6,9.801570892333984,4.620878219604492,6.643792629241943,9.86913776397705,13.089251518249512,9.790070568980397,0.04283878952264786,0.99936443567276,0.9999635219573975,0.9995297789573669,0.9990472197532654,0.9998647570610046,0.0007074141758494079,0.0004197620728518814,6.850672798464075e-05,0.0004691746726166457,0.04736647754907608,-0.09922443330287933,-0.15382644534111023,9.560752868652344,3.1021759510040283,6.295547008514404,9.951865196228027,12.824471473693848,9.51131378022925,0.039346400648355484,0.9976117014884949,0.999895453453064,0.9996388554573059,0.9953754544258118,0.999415934085846,0.002175769302994013,0.000812338839750737,0.00013430269609671086,0.0008990582427941263,0.03448028862476349,-0.09894345700740814,-0.16875120997428894,4.999999046325684,4.395874977111816,4.999998569488525,4.661618232727051,4.857377052307129,4.994300365447998,4.999999046325684,4.855003356933594,4.999999046325684,4.999998569488525,4.8764166831970215,4.853712558746338,2.592090129852295,2.2324748039245605,2.465648651123047,2.5021402835845947,2.424779176712036,2.5323214530944824,2.5927014350891113,2.467155694961548,2.592404365539551,2.592177152633667,2.499389410018921,2.488762378692627
7,9.886651039123535,4.082977771759033,6.700383186340332,10.025789260864258,13.085444450378418,9.876897142725117,0.040447235107421875,0.9994563460350037,0.9997296333312988,0.9996891617774963,0.9991331696510315,0.9998786449432373,0.0008523399010300636,0.000444535311544314,7.479092892026529e-05,0.0005151754012331367,0.040833257138729095,-0.09945676475763321,-0.1593136042356491,9.421080589294434,2.499276638031006,6.016476631164551,10.163171768188477,12.66221809387207,9.376601444421057,0.030447302386164665,0.9979367256164551,0.9991304874420166,0.9997072815895081,0.9958489537239075,0.9993900656700134,0.0025519896298646927,0.0008106693858280778,0.00012999714817851782,0.0009191203862428665,0.012701597064733505,-0.09848031401634216,-0.18294167518615723,4.999999046325684,4.515021800994873,4.999998569488525,4.999999046325684,4.80187463760376,4.999999523162842,4.999999046325684,4.978512763977051,4.999999046325684,4.999999046325684,4.929540157318115,4.9042744636535645,2.8223018646240234,2.449571132659912,2.7081246376037598,2.74090313911438,2.6530604362487793,2.7707107067108154,2.8234684467315674,2.704859733581543,2.8233747482299805,2.8233907222747803,2.7319765090942383,2.7203304767608643
8,9.96497917175293,3.6041815280914307,6.724102973937988,10.195801734924316,13.108804702758789,9.954718352121448,0.03644603118300438,0.9993774890899658,0.9987748861312866,0.9997034668922424,0.9990007281303406,0.9998772740364075,0.001067786361090839,0.000470170343760401,8.051189797697589e-05,0.0005577772972173989,0.04242748022079468,-0.09965386241674423,-0.16541413962841034,9.303680419921875,2.167368173599243,5.758209228515625,10.273950576782227,12.670130729675293,9.260369220510244,0.01572931557893753,0.9973701238632202,0.9999995827674866,0.9996984004974365,0.9943639039993286,0.999081015586853,0.0029586206655949354,0.0008397106430493295,0.00012710083683487028,0.0008977845427580178,0.05311240255832672,-0.09823008626699448,-0.1931164711713791,4.999999046325684,4.75800085067749,4.999999046325684,4.999999523162842,4.873729705810547,4.999999046325684,4.999999523162842,4.999999523162842,4.999998569488525,4.999999523162842,4.963172435760498,4.935359477996826,3.027221918106079,2.666583776473999,2.9235353469848633,2.9543023109436035,2.860894203186035,2.9830379486083984,3.0277509689331055,2.919349193572998,3.0290491580963135,3.0295515060424805,2.9421279430389404,2.929368019104004
9,9.996331214904785,3.1780993938446045,6.664984226226807,10.358837127685547,13.12214469909668,9.98872749348869,0.031017187982797623,0.9994664192199707,0.998059093952179,0.9998188614845276,0.9991722106933594,0.9998610019683838,0.001282713026739657,0.0004907824913971126,8.528064790880308e-05,0.0005839990335516632,0.040055349469184875,-0.09976524114608765,-0.17042496800422668,9.014679908752441,1.8848263025283813,5.346059322357178,10.28087043762207,12.541138648986816,8.979767318709227,4.083389981701657e-08,0.9981437921524048,0.9999339580535889,0.9996956586837769,0.9959086179733276,0.999250590801239,0.0034737163223326206,0.0008701320039108396,0.00012352071644272655,0.0009211897850036621,0.032521676272153854,-0.09760454297065735,-0.1933482587337494,4.999999046325684,4.999999046325684,4.999999523162842,4.999999523162842,4.999999046325684,4.999999046325684,4.999999046325684,4.999999046325684,4.999999523162842,4.999999046325684,4.999999523162842,4.969516277313232,3.2085580825805664,2.8835206031799316,3.1156091690063477,3.1443917751312256,3.0587546825408936,3.172079086303711,3.2099716663360596,3.11114239692688,3.2119076251983643,3.2128541469573975,3.1328790187835693,3.118818998336792
