step,lif1,lif2,lif3,lif4
0,0.1784875049442053,0.08791491495883293,0.045899845744716006,0.003781250063912012
50,0.2525185006856918,0.316143254339695,0.29498032726347445,0.1419375030323863
100,0.2499878460168839,0.3087521159648895,0.30922282855957745,0.12449218889698385
150,0.2523528291285038,0.30062355250120165,0.3104098579287529,0.11810937635600567
200,0.25081909060478214,0.29454965084791185,0.31120673339813953,0.11417968932539224
250,0.25073818027973177,0.28541498407721516,0.30788314003497363,0.11322656407952307
300,0.25232101082801817,0.2875169120728969,0.3126623589918017,0.11219531431794168
350,0.2498335714638233,0.2855399344861507,0.31330095224082466,0.11120312638580801
400,0.24971904709935186,0.27760797590017317,0.30954907689243555,0.11061718925833704
450,0.25179928913712496,0.28044794216752056,0.3143732963129878,0.10970312662422659
