step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q_conv1,Q_conv2,Q_fc1,Q_fc2,S_conv1,S_conv2,S_fc1,S_fc2,absmu_median_conv1,absmu_median_conv2,absmu_median_fc1,absmu_median_fc2,absmu_q25_conv1,absmu_q25_conv2,absmu_q25_fc1,absmu_q25_fc2,absmu_q75_conv1,absmu_q75_conv2,absmu_q75_fc1,absmu_q75_fc2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,fr_lif1,fr_lif2,fr_lif3,fr_lif4,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.2532515823841095,0.0,0.0,0.0,0.3797536790370941,0.0,0.0,0.21597442030906677,0.0,0.0,0.0,0.0,0.09343583881855011,0.0,0.0,0.0,0.05563827604055405,0.0,0.0,0.0019462647615000606,0.3196585178375244,0.0,0.0,0.0,0.4230281114578247,0.0,0.0,0.17185957729816437,0.0,0.0,0.0,0.0,0.05892515182495117,0.0,0.0,0.0,0.0223431047052145,0.0,0.0,0.004185554571449757,0.08653846383094788,0.09133732318878174,0.07246442139148712,0.5143712162971497,0.19177696108818054,0.16335037350654602,0.04910106584429741,0.7395369410514832,0.0002751141437329352,0.00010336523700971156,1.4129336705082096e-05,2.4624438083264977e-05,0.0001294816320296377,3.867302439175546e-05,2.811826789184124e-06,1.191476826534199e-06,0.0004809867241419852,0.00020886535639874637,4.6899771405151114e-05,0.00011876934877363965,0.07871393114328384,0.15100592374801636,0.2601637840270996,-0.06133250892162323,-0.28002333641052246,4.597492218017578,0.3767775297164917,0.1769735426455736,0.08743925559738272,0.045683595722075546,0.003679687561816535,0.5145545601844788,0.4236924350261688,0.26765817403793335,0.38405299186706543,0.1910918802022934,0.18577386438846588,0.22043611109256744,0.2277178317308426,0.1943567991256714,0.4121629297733307
1,0.25742778182029724,0.0,0.0,0.0,0.3811233639717102,0.0,0.0,0.20789383351802826,0.0,0.0,0.0,0.0,0.0910656601190567,0.0,0.0,0.0,0.059490036219358444,0.0,0.0,0.0029993709176778793,0.30636635422706604,0.0,0.0,0.0,0.4255239963531494,0.0,0.0,0.16783329844474792,0.0,0.0,0.0,0.0,0.06416257470846176,0.0,0.0,0.0,0.02903207391500473,0.0,0.0,0.007081720512360334,0.07692307978868484,0.09425149857997894,0.08784020692110062,0.5594810247421265,0.11671990901231766,0.16410566866397858,0.05618242919445038,0.7574804425239563,0.0005653769476339221,0.00019826224888674915,2.7738005883293226e-05,4.573631304083392e-05,0.0002668546512722969,7.494552846765146e-05,5.427795258583501e-06,2.2460812942881603e-06,0.000933097384404391,0.00040558783803135157,9.237442282028496e-05,0.00022267972235567868,0.09368099272251129,0.15354152023792267,0.2493276298046112,-0.061212651431560516,-0.29635852575302124,4.523035526275635,0.4000302255153656,0.17719360768795014,0.08760475897785,0.045648752006236464,0.004125000048079528,1.0083369016647339,0.8002466559410095,0.48185354471206665,0.7795911431312561,0.34096261858940125,0.3562794327735901,0.41755422949790955,0.4187689423561096,0.3746437430381775,0.8102102875709534
2,0.24685123562812805,0.0,0.0,0.0,0.38473865389823914,0.0,0.0,0.20854376256465912,0.0,0.0,0.0,0.0,0.09514358639717102,0.0,0.0,0.0,0.05990731343626976,0.0,0.0,0.004815492779016495,0.29982030391693115,0.0,0.0,0.0,0.4216109812259674,0.0,0.0,0.16934141516685486,0.0,0.0,0.0,0.0,0.06843458861112595,0.0,0.0,0.0,0.030709916725754738,0.0,0.0,0.010082785040140152,0.08653846383094788,0.09600798785686493,0.09707365930080414,0.583832323551178,0.12794539332389832,0.16424831748008728,0.06415965408086777,0.767894983291626,0.0008702526101842523,0.00028928177198395133,4.0140752389561385e-05,6.555235449923202e-05,0.00039229195681400597,0.00010990040027536452,7.856546289986e-06,3.23367430610233e-06,0.0014038649387657642,0.000595073273871094,0.00013453839346766472,0.00032828678376972675,0.10265612602233887,0.15985308587551117,0.23187677562236786,-0.06063156947493553,-0.2635916471481323,4.45151424407959,0.4124825596809387,0.17683081530034545,0.08831203427160289,0.04626984609407373,0.005085937587427906,1.44023859500885,1.1437071561813354,0.6736451983451843,1.1334598064422607,0.4740462303161621,0.4836362302303314,0.6029975414276123,0.5976192951202393,0.5248510241508484,1.1897552013397217
3,0.24983373284339905,0.0,0.0,0.0,0.38995420932769775,0.0,0.0,0.20046494901180267,0.0,0.0,0.0,0.0,0.09769126027822495,0.0,0.0,0.0,0.056805115193128586,0.0,0.0,0.005250738468021154,0.2933845520019531,0.0,0.0,0.0,0.4253886640071869,0.0,0.0,0.16986677050590515,0.0,0.0,0.0,0.0,0.06780949234962463,0.0,0.0,0.0,0.03266413137316704,0.0,0.0,0.010886404663324356,0.09807692468166351,0.09317365288734436,0.09978027641773224,0.5864271521568298,0.14298029243946075,0.1660333126783371,0.060870394110679626,0.7588462233543396,0.0012066573835909367,0.0003766651207115501,5.235923163127154e-05,8.269006502814591e-05,0.0005940633127465844,0.00014241223107092083,1.0167503205593675e-05,4.015388185507618e-06,0.001956657972186804,0.0007858080207370222,0.00017539068358018994,0.0004220428818371147,0.10505010932683945,0.15973252058029175,0.22866421937942505,-0.06013884022831917,-0.2575484812259674,4.539323806762695,0.42467615008354187,0.17765186704695227,0.08966996885682421,0.04704484574729577,0.008078125189640559,1.883260726928711,1.5233373641967773,0.8719683289527893,1.5074712038040161,0.604832112789154,0.6054666042327881,0.812031090259552,0.7903472185134888,0.6915488243103027,1.6641300916671753
4,0.2488047033548355,0.0,0.0,0.0,0.38187968730926514,0.0,0.0,0.20520645380020142,0.0,0.0,0.0,0.0,0.10249906033277512,0.0,0.0,0.0,0.05635973811149597,0.0,0.0,0.005250385496765375,0.28969866037368774,0.0,0.0,0.0,0.4277982711791992,0.0,0.0,0.17277559638023376,0.0,0.0,0.0,0.0,0.06763476133346558,0.0,0.0,0.0,0.031858179718256,0.0,0.0,0.010234514251351357,0.09615384787321091,0.09333333373069763,0.09813733398914337,0.5934131741523743,0.15171389281749725,0.17497508227825165,0.060518424957990646,0.765175461769104,0.0014793293084949255,0.00045534264063462615,6.271680467762053e-05,9.737242362461984e-05,0.0007407551747746766,0.0001705643953755498,1.2222191799082793e-05,4.630594958143774e-06,0.0024414691142737865,0.0009422870934940875,0.0002092943905154243,0.0005155573599040508,0.10361186414957047,0.1640964299440384,0.25147494673728943,-0.058567292988300323,-0.2777898907661438,4.6693644523620605,0.422225683927536,0.177735253944993,0.09185668713441827,0.0484989083558321,0.012960937630268742,2.3047924041748047,1.8509283065795898,1.0560252666473389,1.8412065505981445,0.7262237668037415,0.7556414604187012,0.9958006143569946,1.0048539638519287,0.8786760568618774,2.0940964221954346
5,0.2492416501045227,0.0,0.0,0.0,0.38326019048690796,0.0,0.0,0.2020619958639145,0.0,0.0,0.0,0.0,0.10185987502336502,0.0,0.0,0.0,0.059320881962776184,0.0,0.0,0.004255431704223156,0.2870047688484192,0.0,0.0,0.0,0.42771822214126587,0.0,0.0,0.17304591834545135,0.0,0.0,0.0,0.0,0.06854686886072159,0.0,0.0,0.0,0.0327833890914917,0.0,0.0,0.010900838300585747,0.09807692468166351,0.09445109963417053,0.10059425979852676,0.6167664527893066,0.14953145384788513,0.1777341216802597,0.06027635186910629,0.7712393999099731,0.0017950056353583932,0.0005350086139515042,7.33088018023409e-05,0.00011408534919610247,0.0009135145810432732,0.00019965461979154497,1.4278191883931868e-05,5.618660907202866e-06,0.0029795519076287746,0.0011075674556195736,0.00024334571207873523,0.0006009801290929317,0.10623318701982498,0.16542237997055054,0.2687888741493225,-0.056807465851306915,-0.2800099849700928,4.7419939041137695,0.41448670625686646,0.17843426264822482,0.09504555451704619,0.050512970960699025,0.018710937894065863,2.7293448448181152,2.134519100189209,1.2335097789764404,2.171501636505127,0.870915949344635,0.9107558131217957,1.2158585786819458,1.206281304359436,1.0406653881072998,2.4598116874694824
6,0.2425326108932495,0.0,0.0,0.0,0.37840282917022705,0.0,0.0,0.20478706061840057,0.0,0.0,0.0,0.0,0.10742269456386566,0.0,0.0,0.0,0.06052185967564583,0.0,0.0,0.006332886405289173,0.27980831265449524,0.0,0.0,0.0,0.42317453026771545,0.0,0.0,0.17824406921863556,0.0,0.0,0.0,0.0,0.06997104734182358,0.0,0.0,0.0,0.0353771336376667,0.0,0.0,0.013424905017018318,0.10192307829856873,0.09588822722434998,0.10727840662002563,0.6201596856117249,0.167037695646286,0.18939557671546936,0.0632319301366806,0.7870407104492188,0.0022435681894421577,0.0006046895869076252,8.406797860516235e-05,0.0001288417843170464,0.0011031099129468203,0.00022839748999103904,1.6386406059609726e-05,6.316792678262573e-06,0.0036333012394607067,0.001255094539374113,0.0002788336423691362,0.0006931332172825933,0.11257075518369675,0.17426370084285736,0.29917609691619873,-0.05380261689424515,-0.30176427960395813,4.740466117858887,0.4005747437477112,0.17837438676506281,0.09873825490540185,0.053002658791065194,0.024554688071366404,3.1015052795410156,2.4566683769226074,1.4320623874664307,2.4025254249572754,1.0369888544082642,1.0400339365005493,1.4361393451690674,1.4550195932388306,1.1871248483657837,2.8027758598327637
7,0.237844780087471,0.0,0.0,0.0,0.3760013282299042,0.0,0.0,0.2136159986257553,0.0,0.0,0.0,0.0,0.10549699515104294,0.0,0.0,0.0,0.05694962292909622,0.0,0.0,0.010091244243085384,0.27666646242141724,0.0,0.0,0.0,0.42189568281173706,0.0,0.0,0.18194769322872162,0.0,0.0,0.0,0.0,0.07093215733766556,0.0,0.0,0.0,0.035237595438957214,0.0,0.0,0.013320398516952991,0.10961538553237915,0.09688622504472733,0.10810486972332001,0.6223552823066711,0.18293151259422302,0.19024065136909485,0.06300263851881027,0.7397007942199707,0.0026617946568876505,0.0007017024327069521,9.669825521996245e-05,0.00014935802028048784,0.0012345996219664812,0.0002655522257555276,1.871544554887805e-05,7.351883141382132e-06,0.004535074811428785,0.00145567930303514,0.0003205456305295229,0.000802765367552638,0.11343138664960861,0.17252592742443085,0.3233812153339386,-0.05217200517654419,-0.31387045979499817,4.752641677856445,0.3975978493690491,0.17904809210449457,0.10410241451019828,0.05614937746167925,0.029687500634463505,3.5221524238586426,2.738290309906006,1.6188091039657593,2.738365888595581,1.1622722148895264,1.1793690919876099,1.7175723314285278,1.7404676675796509,1.3512600660324097,3.267821788787842
8,0.2300756424665451,0.0,0.0,0.0,0.37551581859588623,0.0,0.0,0.22239364683628082,0.0,0.0,0.0,0.0,0.10316602885723114,0.0,0.0,0.0,0.05929890275001526,0.0,0.0,0.009549949318170547,0.27627745270729065,0.0,0.0,0.0,0.4243733286857605,0.0,0.0,0.18196603655815125,0.0,0.0,0.0,0.0,0.06994053721427917,0.0,0.0,0.0,0.0340459831058979,0.0,0.0,0.01339666172862053,0.12115384638309479,0.09485030174255371,0.1060848981142044,0.6273452639579773,0.19869478046894073,0.1840532422065735,0.060974009335041046,0.7434237003326416,0.003215525299310684,0.0008088820613920689,0.00011038118100259453,0.00017446515266783535,0.001533562783151865,0.00029673983226530254,2.1062664018245414e-05,8.50908054417232e-06,0.005860056262463331,0.0016907696845009923,0.0003670590522233397,0.0009269348229281604,0.111508309841156,0.17200088500976562,0.35492050647735596,-0.05290904641151428,-0.3346620202064514,4.776019096374512,0.37358617782592773,0.18080743860453366,0.11211835710360903,0.06058640908915549,0.035585938110016285,3.9218590259552,3.079993486404419,1.8692158460617065,3.0478122234344482,1.3348872661590576,1.343218207359314,2.1244699954986572,2.1204373836517334,1.5838037729263306,3.636989116668701
9,0.2330852895975113,0.0,0.0,0.0,0.37093162536621094,0.0,0.0,0.21870878338813782,0.0,0.0,0.0,0.0,0.1108778640627861,0.0,0.0,0.0,0.05523894354701042,0.0,0.0,0.011157434433698654,0.28326526284217834,0.0,0.0,0.0,0.4273221492767334,0.0,0.0,0.17637552320957184,0.0,0.0,0.0,0.0,0.06732761859893799,0.0,0.0,0.0,0.0324992872774601,0.0,0.0,0.013210158795118332,0.13269230723381042,0.09029940515756607,0.10191011428833008,0.6297404766082764,0.2525046765804291,0.18517979979515076,0.05586863309144974,0.7665278911590576,0.003914445638656616,0.0008948974427767098,0.0001241043646587059,0.00019595344201661646,0.001655016210861504,0.00032804853981360793,2.3449945729225874e-05,9.923707693815231e-06,0.0069656684063375,0.0019056231249123812,0.0004125250270590186,0.0010821337345987558,0.10740698128938675,0.1772610992193222,0.35351574420928955,-0.055551476776599884,-0.31979385018348694,4.875734806060791,0.3499131202697754,0.18167181115597486,0.12233539735156226,0.06638265934649099,0.04430468823353294,4.359325408935547,3.406888961791992,2.205733299255371,3.394221067428589,1.5529218912124634,1.5369750261306763,2.6592624187469482,2.436253070831299,1.834174394607544,4.020839691162109
