step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q__c1,Q__c2,Q__f1,Q__f2,S__c1,S__c2,S__f1,S__f2,absmu_median__c1,absmu_median__c2,absmu_median__f1,absmu_median__f2,absmu_q25__c1,absmu_q25__c2,absmu_q25__f1,absmu_q25__f2,absmu_q75__c1,absmu_q75__c2,absmu_q75__f1,absmu_q75__f2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.20570406317710876,0.0,0.0,0.0,0.319195955991745,0.0,0.0,0.19989091157913208,0.0,0.0,0.0,0.0,0.12233944982290268,0.0,0.0,0.0,0.12643283605575562,0.0,0.0,0.026436753571033478,0.3692470192909241,0.0,0.0,0.0,0.44853392243385315,0.0,0.0,0.13940568268299103,0.0,0.0,0.0,0.0,0.031850237399339676,0.0,0.0,0.0,0.010179084725677967,0.0,0.0,0.0007840772159397602,0.032692309468984604,0.03269461169838905,0.03490137308835983,0.7269460558891296,0.0805821418762207,0.11151542514562607,0.0972433090209961,0.7334957718849182,0.00023871721350587904,0.00013359537115320563,4.465511301532388e-05,0.00031438516452908516,0.00010489168926142156,6.1800230469089e-05,2.0702227629953995e-05,0.00014957075472921133,0.00042653860873542726,0.00024612940615043044,7.924145029392093e-05,0.0005610617226921022,0.04281340166926384,0.27519968152046204,0.06368719041347504,-0.09167635440826416,-0.15957114100456238,10.164883613586426,0.06933918595314026,0.5749882459640503,0.5419687628746033,0.503419816493988,0.5152794718742371,0.4679132103919983,0.4899309277534485,0.568408191204071,0.5348673462867737,0.5815582275390625,0.5646809935569763
1,0.21156896650791168,0.0,0.0,0.0,0.3210652470588684,0.0,0.0,0.19115374982357025,0.0,0.0,0.0,0.0,0.1253865510225296,0.0,0.0,0.0,0.12444199621677399,0.0,0.0,0.02638346329331398,0.37214207649230957,0.0,0.0,0.0,0.44907906651496887,0.0,0.0,0.13654078543186188,0.0,0.0,0.0,0.0,0.03143500164151192,0.0,0.0,0.0,0.010058457963168621,0.0,0.0,0.0007446413510479033,0.04038461670279503,0.031936127692461014,0.034174781292676926,0.7385229468345642,0.09770741313695908,0.10483051836490631,0.09580937772989273,0.7434857487678528,0.0004316087579354644,0.0002516255190130323,8.415691263508052e-05,0.0005846867570653558,0.00020849134307354689,0.00011508811439853162,3.909250153810717e-05,0.00027280565700493753,0.0007780559826642275,0.00045812714961357415,0.0001491137663833797,0.0010598264634609222,0.04223810136318207,0.2762036919593811,0.034848447889089584,-0.09234480559825897,-0.1533917486667633,10.285232543945312,0.06748519092798233,1.0920698642730713,1.0355428457260132,0.932920515537262,0.9602504968643188,0.9005581140518188,0.985821008682251,1.08528733253479,1.0247793197631836,1.1124752759933472,1.0702166557312012
2,0.2070854902267456,0.0,0.0,0.0,0.3203291594982147,0.0,0.0,0.1960318237543106,0.0,0.0,0.0,0.0,0.12472458183765411,0.0,0.0,0.0,0.12468291074037552,0.0,0.0,0.027146048843860626,0.3698571026325226,0.0,0.0,0.0,0.4504314661026001,0.0,0.0,0.13710680603981018,0.0,0.0,0.0,0.0,0.03171801194548607,0.0,0.0,0.0,0.01014660857617855,0.0,0.0,0.0007400018512271345,0.04615384712815285,0.031377244740724564,0.03460424765944481,0.7379241585731506,0.08869940042495728,0.10430373251438141,0.09651710838079453,0.7452269792556763,0.0006417908007279038,0.0003547488013282418,0.00011928295862162486,0.0008192025707103312,0.0002920491970144212,0.00016307836631312966,5.554665767704137e-05,0.00038333662087097764,0.0011828034184873104,0.0006496705464087427,0.0002113290538545698,0.0014946773881092668,0.04260462149977684,0.27654504776000977,0.03308761864900589,-0.09244364500045776,-0.15492390096187592,10.322721481323242,0.06829959154129028,1.5572524070739746,1.4686578512191772,1.3172369003295898,1.3589524030685425,1.2836291790008545,1.4208017587661743,1.5518935918807983,1.4554084539413452,1.5723822116851807,1.5316334962844849
3,0.20758242905139923,0.0,0.0,0.0,0.3215675950050354,0.0,0.0,0.19484861195087433,0.0,0.0,0.0,0.0,0.12437678873538971,0.0,0.0,0.0,0.12387780845165253,0.0,0.0,0.02774677611887455,0.37213510274887085,0.0,0.0,0.0,0.4476199448108673,0.0,0.0,0.13779112696647644,0.0,0.0,0.0,0.0,0.031560268253088,0.0,0.0,0.0,0.010176765732467175,0.0,0.0,0.0007168042939156294,0.048076923936605453,0.031536925584077835,0.03435206040740013,0.7441117763519287,0.08477362245321274,0.10547924786806107,0.09533429890871048,0.7472895979881287,0.0008197940187528729,0.00044722692109644413,0.00015057287237141281,0.0010328341741114855,0.0003777568635996431,0.00020823278464376926,7.000881305430084e-05,0.00048238952876999974,0.0015565379289910197,0.0008225790807045996,0.00026665395125746727,0.001874408102594316,0.042453840374946594,0.2759925425052643,0.029218727722764015,-0.09255998581647873,-0.1548694372177124,10.375741004943848,0.06831513345241547,1.9712423086166382,1.8663103580474854,1.6824650764465332,1.7084931135177612,1.6322376728057861,1.8062559366226196,1.9769099950790405,1.8448679447174072,2.00394344329834,1.932303547859192
4,0.20771022140979767,0.0,0.0,0.0,0.3233206570148468,0.0,0.0,0.19370579719543457,0.0,0.0,0.0,0.0,0.12562137842178345,0.0,0.0,0.0,0.12157396972179413,0.0,0.0,0.028068043291568756,0.37315812706947327,0.0,0.0,0.0,0.4475526511669159,0.0,0.0,0.13729006052017212,0.0,0.0,0.0,0.0,0.031223902478814125,0.0,0.0,0.0,0.010037579573690891,0.0,0.0,0.00073768210131675,0.048076923936605453,0.031337324529886246,0.033867668360471725,0.7447105646133423,0.07786624878644943,0.103594571352005,0.09462372958660126,0.7499266266822815,0.0010358416475355625,0.0005327601684257388,0.00017802997899707407,0.0012169990222901106,0.0005037598311901093,0.00024608621606603265,8.290921687148511e-05,0.0005728285759687424,0.0018470915965735912,0.000977391260676086,0.00031583363306708634,0.0022310407366603613,0.04199916496872902,0.2752535343170166,0.019393103197216988,-0.09274009615182877,-0.1572226583957672,10.4591064453125,0.0655384510755539,2.358203887939453,2.2137246131896973,2.0067930221557617,2.05674147605896,1.957205057144165,2.1481690406799316,2.3523242473602295,2.195415496826172,2.3718273639678955,2.299194574356079
5,0.20628231763839722,0.0,0.0,0.0,0.32613712549209595,0.0,0.0,0.19484935700893402,0.0,0.0,0.0,0.0,0.12576091289520264,0.0,0.0,0.0,0.11908767372369766,0.0,0.0,0.02788257971405983,0.3729006350040436,0.0,0.0,0.0,0.44773590564727783,0.0,0.0,0.13758930563926697,0.0,0.0,0.0,0.0,0.031098635867238045,0.0,0.0,0.0,0.009977266192436218,0.0,0.0,0.0006982462364248931,0.048076923936605453,0.03157684579491615,0.033675406128168106,0.7395209074020386,0.08707413822412491,0.10232704877853394,0.09450322389602661,0.7426005601882935,0.0012729424051940441,0.0006073612021282315,0.00020211641094647348,0.0014025433920323849,0.0006228383281268179,0.0002798251516651362,9.392145148012787e-05,0.0006454051472246647,0.002190514001995325,0.0011259005405008793,0.0003593306755647063,0.0025276178494095802,0.04177414998412132,0.2727231979370117,0.011255183257162571,-0.09263013303279877,-0.1606985628604889,10.479629516601562,0.06480055302381516,2.683016777038574,2.531201124191284,2.268876075744629,2.3349499702453613,2.2632129192352295,2.4402711391448975,2.6798253059387207,2.5120956897735596,2.6983590126037598,2.630017042160034
6,0.20511563122272491,0.0,0.0,0.0,0.32640284299850464,0.0,0.0,0.19842995703220367,0.0,0.0,0.0,0.0,0.1243242397904396,0.0,0.0,0.0,0.11710600554943085,0.0,0.0,0.028621358796954155,0.37131157517433167,0.0,0.0,0.0,0.44806763529777527,0.0,0.0,0.13906235992908478,0.0,0.0,0.0,0.0,0.030910735949873924,0.0,0.0,0.0,0.009967987425625324,0.0,0.0,0.0006796882371418178,0.0634615421295166,0.031017964705824852,0.033485643565654755,0.7373253107070923,0.1118457242846489,0.10110566765069962,0.09328851848840714,0.7362955808639526,0.0014663069741800427,0.0006806821329519153,0.00022392478422261775,0.0015748885925859213,0.0007312721572816372,0.00031355119426734746,0.00010430035763420165,0.000717600341886282,0.0025050772819668055,0.0012636217288672924,0.0003989555989392102,0.0028108046390116215,0.041558414697647095,0.2700418531894684,0.010958204045891762,-0.09255245327949524,-0.16338811814785004,10.509452819824219,0.06222125142812729,2.967132091522217,2.8127288818359375,2.525885820388794,2.617020845413208,2.522714853286743,2.7324836254119873,2.9671664237976074,2.801644802093506,2.9994957447052,2.9283652305603027
7,0.2051507830619812,0.0,0.0,0.0,0.32050299644470215,0.0,0.0,0.2067200392484665,0.0,0.0,0.0,0.0,0.12365098297595978,0.0,0.0,0.0,0.11607756465673447,0.0,0.0,0.027897603809833527,0.37161314487457275,0.0,0.0,0.0,0.44609352946281433,0.0,0.0,0.1405748426914215,0.0,0.0,0.0,0.0,0.031175188720226288,0.0,0.0,0.0,0.009903034195303917,0.0,0.0,0.0006402523722499609,0.06730769574642181,0.031137725338339806,0.03369038924574852,0.7337325215339661,0.13146312534809113,0.09896936267614365,0.09307322651147842,0.7312536239624023,0.0017422998789697886,0.0007552792085334659,0.0002442564000375569,0.0017139303963631392,0.0008028916781768203,0.0003473266551736742,0.00011348841508151963,0.0007900572381913662,0.0029035029001533985,0.0014092855853959918,0.000435414956882596,0.0030791200697422028,0.04171847552061081,0.2676168978214264,0.01402160432189703,-0.09224175661802292,-0.16622394323349,10.512633323669434,0.06153011694550514,3.2313082218170166,3.065288543701172,2.7727878093719482,2.8541815280914307,2.755772590637207,2.9771268367767334,3.2452352046966553,3.0579607486724854,3.2746739387512207,3.1991984844207764
8,0.20301635563373566,0.0,0.0,0.0,0.32097184658050537,0.0,0.0,0.20861193537712097,0.0,0.0,0.0,0.0,0.12433502078056335,0.0,0.0,0.0,0.11438850313425064,0.0,0.0,0.028676306828856468,0.3702096939086914,0.0,0.0,0.0,0.4486754238605499,0.0,0.0,0.13985803723335266,0.0,0.0,0.0,0.0,0.03078082948923111,0.0,0.0,0.0,0.009842720814049244,0.0,0.0,0.0006332931225188076,0.08269231021404266,0.0314570851624012,0.033230964094400406,0.727544903755188,0.17381829023361206,0.10339413583278656,0.09242571145296097,0.726468026638031,0.0020161233842372894,0.0008287170203402638,0.0002636455465108156,0.001854476984590292,0.001016397261992097,0.0003832270158454776,0.00012235996837262064,0.0008601029985584319,0.0033772217575460672,0.0015424077864736319,0.00047068006824702024,0.003333114553242922,0.041256844997406006,0.2673921585083008,0.015463241375982761,-0.09171869605779648,-0.1694352775812149,10.46497631072998,0.06080620363354683,3.4650657176971436,3.3003857135772705,2.9862427711486816,3.0677318572998047,2.9670004844665527,3.2084343433380127,3.4859976768493652,3.29303240776062,3.516667127609253,3.45021653175354
9,0.20099763572216034,0.0,0.0,0.0,0.3171471357345581,0.0,0.0,0.21388866007328033,0.0,0.0,0.0,0.0,0.1284804791212082,0.0,0.0,0.0,0.11053822189569473,0.0,0.0,0.028947841376066208,0.3697967827320099,0.0,0.0,0.0,0.4476779103279114,0.0,0.0,0.14099934697151184,0.0,0.0,0.0,0.0,0.031175188720226288,0.0,0.0,0.0,0.009719773195683956,0.0,0.0,0.0006309733726084232,0.10000000149011612,0.03289421275258064,0.03343820199370384,0.7251496911048889,0.22335083782672882,0.10770564526319504,0.09325896203517914,0.7208154797554016,0.0024137068539857864,0.0009072768734768033,0.0002826117561198771,0.002005823189392686,0.0011704934295266867,0.0004147826984990388,0.00013097311602905393,0.0009345523430965841,0.0038446495309472084,0.0016837224829941988,0.000504437368363142,0.0035927563440054655,0.041525937616825104,0.2679564952850342,0.0151040218770504,-0.09109535068273544,-0.17397752404212952,10.392056465148926,0.058866001665592194,3.6871562004089355,3.5049870014190674,3.2036917209625244,3.2841298580169678,3.169773578643799,3.3957390785217285,3.7234554290771484,3.5096752643585205,3.726726531982422,3.679509401321411
