step,CV_eff,CV_eff__c1,CV_eff__c2,CV_eff__f1,CV_eff__f2,CV_eff_act,N,Pi,Pi__c1,Pi__c2,Pi__f1,Pi__f2,absmu_med__c1,absmu_med__c2,absmu_med__f1,absmu_med__f2,cos_max,cos_mean,cos_min,g_CV_eff,g_CV_eff__c1,g_CV_eff__c2,g_CV_eff__f1,g_CV_eff__f2,g_CV_eff_act,g_N,g_Pi,g_Pi__c1,g_Pi__c2,g_Pi__f1,g_Pi__f2,g_absmu_med__c1,g_absmu_med__c2,g_absmu_med__f1,g_absmu_med__f2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,2.5259311199188232,1.8082767724990845,2.0213377475738525,2.717123031616211,2.6664350032806396,2.5253996574230615,0.16088739037513733,0.9996883273124695,1.0,0.999674379825592,0.9996346831321716,0.9997707605361938,0.000223340728553012,0.0001338666188530624,4.586428258335218e-05,0.0003170552372466773,0.3443234860897064,0.04778608679771423,-0.17819730937480927,2.5259311199188232,1.8082767724990845,2.0213379859924316,2.717123031616211,2.6664350032806396,2.525399657158938,0.1608874499797821,0.9996883869171143,1.0,0.9996744990348816,0.9996346235275269,0.9997707605361938,0.002233407460153103,0.001338666188530624,0.00045864281128160655,0.00317055219784379,0.3443235456943512,0.04778609424829483,-0.17819732427597046,1.6799423694610596,2.168654203414917,2.1025924682617188,1.6474043130874634,2.1486399173736572,1.8130501508712769,1.2278223037719727,1.9112980365753174,2.232726812362671,2.2036399841308594,1.9135769605636597,1.8021000623703003,0.16799423098564148,0.2168654203414917,0.21025924384593964,0.1647404432296753,0.21486401557922363,0.18130502104759216,0.12278223782777786,0.19112978875637054,0.2232726812362671,0.22036400437355042,0.19135771691799164,0.18021002411842346
1,2.5289146900177,1.6105093955993652,1.9666013717651367,2.7505578994750977,2.699962854385376,2.5282529887505465,0.10692431032657623,0.9996384978294373,0.9997434020042419,0.9997339844703674,0.9996433854103088,0.9995309710502625,0.000427783204941079,0.00024928138009272516,8.353069279110059e-05,0.0005893959896638989,0.2548443377017975,0.043690331280231476,-0.13387881219387054,2.5891268253326416,1.5445268154144287,1.9997369050979614,2.8323967456817627,2.7833564281463623,2.58848489114935,0.13236285746097565,0.9996197819709778,0.999805212020874,0.9996039867401123,0.9996205568313599,0.9996246099472046,0.0023584277369081974,0.0013283988228067756,0.000438071321696043,0.003121147397905588,0.35188838839530945,0.0424533486366272,-0.1593620479106903,2.2993175983428955,1.9358949661254883,1.6937257051467896,1.4475942850112915,1.6521258354187012,1.914420485496521,2.097738742828369,1.844817042350769,1.9707368612289429,2.2523465156555176,1.9108718633651733,1.7980844974517822,0.37654730677604675,0.38193970918655396,0.3527854382991791,0.28307539224624634,0.35310858488082886,0.35051536560058594,0.30292272567749023,0.3499043881893158,0.39444199204444885,0.41694051027297974,0.356218159198761,0.3331483006477356
2,2.5254783630371094,1.555637240409851,1.9417524337768555,2.7611262798309326,2.70487642288208,2.5247012153493134,0.10120917111635208,0.9995921850204468,0.9999426007270813,0.9995967149734497,0.9996241331100464,0.9995209574699402,0.000624392123427242,0.00035970189492218196,0.00012055684783263132,0.0008464530110359192,0.3189239501953125,0.04212890937924385,-0.1284588724374771,2.5134806632995605,1.5690829753875732,1.9540475606918335,2.741364002227783,2.689270496368408,2.5129339542596525,0.1432541459798813,0.9996826648712158,0.9997333884239197,0.9997062683105469,0.999600350856781,0.9997835755348206,0.0023201541043817997,0.0014104562578722835,0.0004828981764148921,0.003340671304613352,0.48776113986968994,0.04319477826356888,-0.20171239972114563,2.079537868499756,2.112058639526367,1.6274820566177368,1.7888542413711548,1.6223057508468628,2.0492446422576904,2.2351479530334473,1.9327787160873413,2.6501924991607666,2.0002269744873047,2.0097830295562744,1.8864789009094238,0.5431573987007141,0.5478763580322266,0.47428905963897705,0.4289068281650543,0.46460390090942383,0.5092402696609497,0.48798680305480957,0.5019649863243103,0.613138735294342,0.5701043009757996,0.5141268968582153,0.480459064245224
3,2.6111226081848145,1.592824101448059,1.9819413423538208,2.862053632736206,2.8175439834594727,2.6104271911239048,0.0898432657122612,0.9996485710144043,0.9999572038650513,0.999599277973175,0.9996247887611389,0.999721109867096,0.000796475273091346,0.00044986113789491355,0.00015005625027697533,0.0010588823352009058,0.3075147867202759,0.03309282287955284,-0.11055716127157211,2.798893928527832,1.7505391836166382,2.1170527935028076,3.062955856323242,3.056373119354248,2.798272519420634,0.13054834306240082,0.9996781349182129,0.9992185831069946,0.9997146725654602,0.999599039554596,0.9997906684875488,0.002564843976870179,0.0013607278233394027,0.00044224897283129394,0.0031442276667803526,0.2594682276248932,0.018202384933829308,-0.17341865599155426,2.4231460094451904,2.317270040512085,2.443546772003174,1.8762234449386597,1.80697500705719,1.7311674356460571,1.812779426574707,2.2155306339263916,1.8407981395721436,2.2884621620178223,2.075589895248413,1.9711681604385376,0.7265273928642273,0.7197874188423157,0.663634181022644,0.5666626691818237,0.589832603931427,0.624932587146759,0.6142803430557251,0.663348376750946,0.7297621965408325,0.7362244129180908,0.6634992361068726,0.6221092343330383
4,2.613584518432617,1.5610737800598145,1.9820489883422852,2.8702807426452637,2.8206398487091064,2.613016615142622,0.07108362764120102,0.9996883273124695,0.9998314380645752,0.9997450709342957,0.9996053576469421,0.9997495412826538,0.0010224388679489493,0.0005350667051970959,0.00017734097491484135,0.0012491914676502347,0.21688342094421387,0.03224152326583862,-0.09861266613006592,2.61215877532959,1.5327929258346558,2.0129826068878174,2.871072769165039,2.81238055229187,2.611567177465208,0.10562995076179504,0.9996746778488159,0.9997993111610413,0.9996412992477417,0.9995964169502258,0.9998243451118469,0.002866168972104788,0.0013797915307804942,0.00044593942584469914,0.0031883169431239367,0.3073374330997467,0.03323601186275482,-0.09643574804067612,2.411269187927246,2.0078163146972656,2.1400492191314697,1.9638543128967285,2.0111196041107178,1.8736563920974731,2.048076868057251,2.01838755607605,1.581929326057434,1.7594318389892578,1.9815590381622314,1.8608827590942383,0.8890140056610107,0.8420211672782898,0.8056002259254456,0.6994606852531433,0.7215988039970398,0.7438913583755493,0.7497361898422241,0.7939261794090271,0.8080933094024658,0.8314417600631714,0.7884783744812012,0.7382730841636658
5,2.668015718460083,1.5388402938842773,2.0115742683410645,2.938330888748169,2.8841941356658936,2.667215704491547,0.07038596272468567,0.9996353387832642,0.9993004202842712,0.999520480632782,0.9996321201324463,0.9997818470001221,0.001214594580233097,0.0006147526437416673,0.00020138686522841454,0.0014165090397000313,0.2237815111875534,0.026944823563098907,-0.08242730051279068,2.8451924324035645,1.49474036693573,2.1283934116363525,3.1655960083007812,3.0890462398529053,2.8441902268218575,0.1036703959107399,0.9995728135108948,0.9999423623085022,0.9997074604034424,0.9995765089988708,0.9993905425071716,0.0032306404318660498,0.0014087635790929198,0.00044085897388868034,0.0030239459592849016,0.27999311685562134,0.014506947249174118,-0.19222743809223175,2.2047388553619385,2.234614133834839,2.1614060401916504,2.0705199241638184,1.783649206161499,1.7835222482681274,2.4768736362457275,2.0314416885375977,2.3309574127197266,2.387831926345825,2.1465556621551514,2.0359678268432617,1.0157654285430908,0.9724332690238953,0.9353001713752747,0.8289332389831543,0.8213726878166199,0.840023934841156,0.9149315357208252,0.9049313068389893,0.9546107649803162,0.9810367226600647,0.9169339537620544,0.8607296943664551
6,2.6243555545806885,1.447706937789917,1.9724926948547363,2.9009578227996826,2.8352293968200684,2.6237987647563434,0.07928936928510666,0.999695897102356,0.9999724626541138,0.9995978474617004,0.9996445178985596,0.9998623132705688,0.0014395166654139757,0.0006870648940093815,0.00022387239732779562,0.0015818238025531173,0.24736067652702332,0.031094500795006752,-0.08037025481462479,2.4026551246643066,1.1912102699279785,1.8182344436645508,2.6892075538635254,2.5788369178771973,2.401996296613776,0.14346563816070557,0.9996505975723267,0.9998912215232849,0.999647855758667,0.9996006488800049,0.9997063875198364,0.003862714860588312,0.0014640012523159385,0.00046691266470588744,0.0032598196994513273,0.3782145380973816,0.057918157428503036,-0.09774734079837799,2.077566623687744,1.9931950569152832,1.8646992444992065,1.4041239023208618,1.5334280729293823,1.941567301750183,2.215545654296875,2.4018137454986572,2.0047836303710938,1.94649076461792,1.9383213520050049,1.807834506034851,1.115717887878418,1.0652731657028198,1.0186561346054077,0.8646538853645325,0.8824369311332703,0.9431030750274658,1.0389986038208008,1.0491611957550049,1.051012635231018,1.072580337524414,1.0101593732833862,0.946914792060852
7,2.623706340789795,1.3557509183883667,1.9563499689102173,2.9152517318725586,2.845597743988037,2.6231756002289366,0.08344815671443939,0.9997093677520752,0.9998832941055298,0.9996767044067383,0.9996324777603149,0.9998503923416138,0.0016887448728084564,0.0007636634982191026,0.0002453528286423534,0.0017392743611708283,0.248885378241539,0.03079933114349842,-0.06351955980062485,2.5495104789733887,1.0620665550231934,1.8660011291503906,2.8965141773223877,2.8065261840820312,2.548989122573588,0.13023705780506134,0.9996903538703918,0.999966561794281,0.9996424913406372,0.9996402263641357,0.9997888803482056,0.00471369456499815,0.001565389335155487,0.00047634431393817067,0.003379442263394594,0.3116209805011749,0.03931083157658577,-0.16564109921455383,2.462294816970825,2.0810341835021973,1.663319706916809,1.9103972911834717,1.814721941947937,2.027778148651123,2.362691879272461,2.197410821914673,2.53246808052063,2.4014313220977783,2.145354986190796,2.0140836238861084,1.241945505142212,1.1555311679840088,1.0714943408966064,0.960358202457428,0.9685634970664978,1.0456308126449585,1.1652956008911133,1.155855655670166,1.1934690475463867,1.195320963859558,1.1153464317321777,1.0458348989486694
8,2.582256555557251,1.258041262626648,1.9108620882034302,2.8855385780334473,2.811866044998169,2.5816848825890597,0.08350318670272827,0.9996873736381531,0.9998595118522644,0.9996912479400635,0.9996196031570435,0.9997731447219849,0.0020066879224032164,0.0008360094507224858,0.00026600735145621,0.0018982324982061982,0.2597377896308899,0.03492450714111328,-0.06689475476741791,2.3388309478759766,0.941926121711731,1.685907006263733,2.698810338973999,2.5997445583343506,2.3382673958815694,0.11489377170801163,0.9996107816696167,0.9999995231628418,0.9996116757392883,0.9996612071990967,0.9994774460792542,0.004838440101593733,0.001651706756092608,0.0004784658085554838,0.0035100870300084352,0.3087601959705353,0.06467056274414062,-0.23181967437267303,2.471552848815918,2.020031452178955,2.083439350128174,1.7931419610977173,1.7100950479507446,2.105393648147583,1.8463928699493408,2.0118422508239746,2.385592222213745,1.881830096244812,2.030931234359741,1.8796857595443726,1.3569903373718262,1.2326704263687134,1.1619420051574707,1.0347380638122559,1.0357081890106201,1.1441835165023804,1.2256349325180054,1.2328152656555176,1.3046257495880127,1.2537845373153687,1.198309302330017,1.121333360671997
9,2.5270895957946777,1.1573102474212646,1.8511452674865723,2.8443872928619385,2.7654917240142822,2.526476849114755,0.08178668469190598,0.9996592998504639,0.9998480081558228,0.999663770198822,0.9996243715286255,0.9996895790100098,0.0023608168121427298,0.0009139356552623212,0.0002849697775673121,0.002025757683441043,0.27343857288360596,0.040756430476903915,-0.07099395245313644,2.219525098800659,0.8577572107315063,1.5623174905776978,2.5965750217437744,2.492197036743164,2.2191195684978626,0.14007143676280975,0.9997023940086365,0.9998796582221985,0.9997100234031677,0.9996586441993713,0.999727189540863,0.005869978107511997,0.0017805605893954635,0.0004965715343132615,0.0035695477854460478,0.3994048833847046,0.0894264355301857,-0.15430334210395813,2.2226555347442627,2.081538200378418,1.7539840936660767,2.054234504699707,1.626365065574646,2.3210389614105225,1.9935532808303833,1.9667378664016724,1.87444007396698,2.6985244750976562,2.059307098388672,1.8958714008331299,1.4328274726867676,1.3027727603912354,1.2096978425979614,1.1203938722610474,1.0865353345870972,1.2548428773880005,1.2887065410614014,1.294161081314087,1.3467997312545776,1.3885574340820312,1.2725294828414917,1.1872062683105469
