step,lif1,lif2,lif3,lif4
0,0.2215250086784363,0.12889716506237164,0.0829214101145044,0.04571093839476817
50,0.26346285551786425,0.2972818787395954,0.30638923436403276,0.13195312812924384
100,0.2521259154379368,0.29312665358185774,0.3162836091220379,0.12135937713086606
150,0.25286985859274863,0.2868715266883374,0.31856204703450197,0.1173281265050173
200,0.24996969923377038,0.2789739690721035,0.3199668894708157,0.11097656406462193
250,0.2530584242939949,0.27621105313301086,0.32036423400044434,0.11173437662422656
300,0.2557682277262211,0.2706201355159283,0.3192968907952309,0.11074218943715095
350,0.25684465855360034,0.27205751329660416,0.3214268907904625,0.11082812681794167
400,0.25907926306128504,0.2707254339754582,0.32367204666137694,0.10993750162422655
450,0.2580699595808983,0.2675259481370449,0.3264451717585325,0.10681250177323817
