step,lif1,lif2,lif3,lif4
0,0.22101590082049366,0.128894040256273,0.08295516022131777,0.04562500034167897
50,0.2653096304833889,0.30196466535329824,0.3067298586294055,0.13570312827825548
100,0.2531173498928547,0.29629230305552484,0.3176245477050543,0.11965625174343586
150,0.2528305189311504,0.28510782897472386,0.31676392063498493,0.11550000175833704
200,0.25308403074741365,0.28275370419025425,0.3206553266197443,0.11295312643051145
250,0.25605451107025146,0.27781798556447024,0.321181263923645,0.11082812622189522
300,0.25731000989675523,0.27452660605311396,0.3229800146073103,0.11010156407952307
350,0.25956240490078925,0.2723874205350876,0.32406939052045347,0.10747656427323818
400,0.2579975175857544,0.26904503792524337,0.3242253270745278,0.10750781387090683
450,0.255507947653532,0.2665117372572422,0.3248822018504143,0.10794531375169754
