step,CV_eff,CV_eff_act,CV_eff_conv1,CV_eff_conv2,CV_eff_fc1,CV_eff_fc2,N,Pi,Pi_conv1,Pi_conv2,Pi_fc1,Pi_fc2,absmu_med_conv1,absmu_med_conv2,absmu_med_fc1,absmu_med_fc2,cos_max,cos_mean,cos_min,fr_lif1,fr_lif2,fr_lif3,fr_lif4,g_CV_eff,g_CV_eff_act,g_CV_eff_conv1,g_CV_eff_conv2,g_CV_eff_fc1,g_CV_eff_fc2,g_N,g_Pi,g_Pi_conv1,g_Pi_conv2,g_Pi_fc1,g_Pi_fc2,g_absmu_med_conv1,g_absmu_med_conv2,g_absmu_med_fc1,g_absmu_med_fc2,g_cos_max,g_cos_mean,g_cos_min,g_norm_0,g_norm_1,g_norm_2,g_norm_3,g_norm_4,g_norm_5,g_norm_6,g_norm_7,g_norm_8,g_norm_9,g_scale,g_sigma_H,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9,scale,sigma_H
0,5.78618860244751,5.784397530097842,3.5154643058776855,4.812034606933594,6.0841827392578125,7.374009132385254,0.3872871398925781,0.9997467994689941,0.9998390078544617,0.999696671962738,0.999832808971405,0.9993271827697754,0.0002645593776833266,0.00010198070958722383,1.416010763932718e-05,2.2575026378035545e-05,0.2515581250190735,-0.06260372698307037,-0.3024843633174896,0.1784875049442053,0.08791491495883293,0.045899845744716006,0.003781250063912012,5.786187648773193,5.784397527500515,3.5154643058776855,4.8120341300964355,6.0841827392578125,7.374009132385254,0.38728711009025574,0.9997467398643494,0.9998388886451721,0.9996966123580933,0.9998328685760498,0.9993270039558411,0.0026455940678715706,0.0010198070667684078,0.00014160088903736323,0.00022575026378035545,0.2515581250190735,-0.06260372698307037,-0.3024843633174896,5.473226547241211,3.8014421463012695,3.2327730655670166,4.838038444519043,1.9479507207870483,1.838283896446228,2.488095283508301,2.1631133556365967,2.1567933559417725,4.364552021026611,3.230426788330078,3.413628578186035,0.547322690486908,0.38014423847198486,0.3232772946357727,0.4838038384914398,0.19479507207870483,0.18382838368415833,0.24880953133106232,0.21631133556365967,0.215679332613945,0.43645521998405457,0.32304269075393677,0.3413628935813904
1,5.387884616851807,5.387027040734458,3.157639741897583,4.435989856719971,5.707775592803955,6.890433311462402,0.42063701152801514,0.9998322129249573,0.999839723110199,0.9997842907905579,0.9998483061790466,0.9999029636383057,0.000576367077883333,0.00020506585133261979,2.7738922653952613e-05,4.3327057937858626e-05,0.1790810525417328,-0.06332684308290482,-0.23742930591106415,0.17748506348580123,0.0877581522389528,0.0457793768576812,0.003796875061816536,4.9017438888549805,4.900173092246387,2.8477165699005127,4.014955520629883,5.227095127105713,6.210875034332275,0.44605860114097595,0.999701976776123,0.9996636509895325,0.9994920492172241,0.9998202919960022,0.9997503161430359,0.0033219531178474426,0.0011609084904193878,0.00015412158973049372,0.00022255154908634722,0.18536517024040222,-0.06081390380859375,-0.2619645893573761,5.4125590324401855,3.6918892860412598,2.876612424850464,5.063814640045166,1.5730005502700806,1.8756554126739502,2.3365557193756104,2.00711989402771,1.7292009592056274,4.592819690704346,3.115922689437866,3.342996597290039,1.03230881690979,0.7095757722854614,0.5759772062301636,0.9404075741767883,0.3291090428829193,0.35151323676109314,0.45540788769721985,0.3884551227092743,0.3611857295036316,0.850053608417511,0.5993995070457458,0.6393494606018066
2,5.112857341766357,5.111781783359758,2.9475033283233643,4.249879360198975,5.404581546783447,6.447367191314697,0.4392165243625641,0.999775767326355,0.9992759823799133,0.99959796667099,0.9998748302459717,0.9999523758888245,0.0008972343057394028,0.00030245885136537254,4.190373874735087e-05,6.234042666619644e-05,0.16930299997329712,-0.06273876875638962,-0.22014017403125763,0.17720492653548717,0.08806679473139412,0.046120627316995524,0.005484375053783879,4.565871715545654,4.564697182950323,2.6330692768096924,3.8523969650268555,4.815244197845459,5.603491306304932,0.47218212485313416,0.999763548374176,0.9995758533477783,0.9995836615562439,0.9998617768287659,0.9998298287391663,0.003879029070958495,0.001231189351528883,0.0001739275612635538,0.00023796677123755217,0.19430513679981232,-0.060175713151693344,-0.3321007490158081,6.174858570098877,4.780330181121826,2.4181997776031494,4.5413408279418945,1.7489575147628784,1.7507489919662476,2.3722550868988037,2.2796757221221924,1.8344898223876953,4.781431674957275,3.2682290077209473,3.530561685562134,1.5438941717147827,1.1147884130477905,0.7576532959938049,1.2970364093780518,0.45913922786712646,0.48675236105918884,0.6446993350982666,0.5746089816093445,0.503277063369751,1.2412184476852417,0.8623067736625671,0.9243024587631226
3,5.276920795440674,5.276278183580409,2.8890254497528076,4.279979228973389,5.671637535095215,6.731142997741699,0.4369502365589142,0.9998466968536377,0.9998378157615662,0.9998078942298889,0.999855637550354,0.9999433159828186,0.0012094707926735282,0.00038796087028458714,5.3604249842464924e-05,8.252999396063387e-05,0.2002912163734436,-0.06150064989924431,-0.23659421503543854,0.17695738106966016,0.08987538876601321,0.04722297096857801,0.009281250119674952,5.24751091003418,5.246607764831485,2.750213384628296,4.1721510887146,5.767378807067871,6.645738124847412,0.4455093741416931,0.9998366832733154,0.9999716281890869,0.9998168349266052,0.9998548030853271,0.9997485876083374,0.004222506191581488,0.0012263450771570206,0.00016531434084754437,0.0002648418303579092,0.2834708094596863,-0.0531882680952549,-0.3077593743801117,5.240096569061279,4.344308853149414,3.0897936820983887,4.987053871154785,1.6681331396102905,1.9702731370925903,2.854121446609497,2.1993796825408936,2.1799254417419434,6.432241439819336,3.496532440185547,3.7601635456085205,1.9094897508621216,1.4355809688568115,0.9852854609489441,1.6623413562774658,0.5755732655525208,0.6320334672927856,0.8600603938102722,0.7312195897102356,0.6654621362686157,1.7572717666625977,1.1214319467544556,1.2024133205413818
4,5.457380771636963,5.456465182572004,2.861743211746216,4.374258041381836,5.922878265380859,7.034372329711914,0.4245559275150299,0.9998170137405396,0.999942421913147,0.9996545910835266,0.9998877048492432,0.999968945980072,0.0015428959159180522,0.00046649822616018355,6.376121018547565e-05,9.80712502496317e-05,0.2386183887720108,-0.059002529829740524,-0.24071303009986877,0.17869766268879178,0.0926778542748434,0.049024689822690565,0.015171875199885106,5.443775177001953,5.4420924664955095,2.738009452819824,4.376730442047119,5.963804721832275,6.976390838623047,0.38634759187698364,0.9997191429138184,0.9999982714653015,0.9995313286781311,0.9998182654380798,0.9997245073318481,0.004193171393126249,0.0012296749046072364,0.0001657608663663268,0.0002637559955473989,0.36245042085647583,-0.04363776370882988,-0.38588714599609375,6.469069480895996,4.405177116394043,3.1277573108673096,4.709156036376953,1.9044309854507446,2.3504719734191895,3.169405937194824,2.6247293949127197,2.377964735031128,5.077210903167725,3.621537446975708,3.8185319900512695,2.360018730163574,1.729156494140625,1.195491075515747,1.9622950553894043,0.701055645942688,0.7922266125679016,1.086194396018982,0.9161302447319031,0.8285570740699768,2.0839357376098633,1.3655061721801758,1.4591803550720215
5,5.430946350097656,5.4300232567325875,2.723452091217041,4.290442943572998,5.967270374298096,7.019845962524414,0.4060996174812317,0.9998201131820679,0.9997569918632507,0.9997115731239319,0.9998781681060791,0.9999451041221619,0.0018623851938173175,0.000545620103366673,7.41318435757421e-05,0.0001161724139819853,0.2669384479522705,-0.05412076413631439,-0.27811405062675476,0.1772753681242466,0.09526481725927624,0.05076640848070383,0.021109375242376698,4.719147682189941,4.718231804337439,2.272604465484619,3.7271063327789307,5.257449150085449,5.827316761016846,0.3494391441345215,0.9998108744621277,0.999893307685852,0.9997266530990601,0.9998729228973389,0.9997478127479553,0.0049432250671088696,0.0013440478360280395,0.0001812344853533432,0.00027210250846110284,0.415304571390152,-0.029101883992552757,-0.3774740993976593,5.184080123901367,5.085599899291992,3.07136869430542,4.471138954162598,2.2230875492095947,1.917219638824463,3.1862683296203613,3.159010410308838,2.2852141857147217,5.3976640701293945,3.598065137863159,3.7286221981048584,2.6337037086486816,2.0589098930358887,1.3786652088165283,2.2066359519958496,0.8429070115089417,0.8954278826713562,1.2905709743499756,1.1352205276489258,0.9685194492340088,2.408715009689331,1.5819276571273804,1.67916738986969
6,5.449098587036133,5.4482857851193645,2.6104800701141357,4.270229816436768,6.041615009307861,7.110851287841797,0.3863382637500763,0.9998377561569214,0.9998611211776733,0.9997519850730896,0.9998733997344971,0.9999704957008362,0.002170557389035821,0.0006227621342986822,8.496601367369294e-05,0.00013514615420717746,0.28061267733573914,-0.05118183046579361,-0.28403279185295105,0.1788928873836994,0.10002980758747071,0.053506096484452426,0.02588281303236727,4.905091285705566,4.904024653007076,2.234916925430298,3.8871982097625732,5.47820520401001,6.3086748123168945,0.32475337386131287,0.9997909069061279,1.0,0.9997252225875854,0.9998584985733032,0.9995192885398865,0.005718049127608538,0.0014645438641309738,0.00019372242968529463,0.00030753633473068476,0.36941057443618774,-0.03556646406650543,-0.33513143658638,6.225083827972412,4.887955188751221,3.360692024230957,5.212005615234375,2.353132724761963,2.5029101371765137,3.854842185974121,4.213275909423828,2.517275333404541,5.666845321655273,4.079401969909668,4.202678680419922,2.9829394817352295,2.332035541534424,1.5698705911636353,2.4950413703918457,0.9885830879211426,1.0461229085922241,1.5411237478256226,1.4358514547348022,1.11769700050354,2.726712942123413,1.82359778881073,1.9228482246398926
7,5.386103630065918,5.38453342555353,2.390401601791382,4.176037311553955,6.061800003051758,7.063549995422363,0.37578997015953064,0.9997068643569946,0.9988853335380554,0.9995715618133545,0.9998657703399658,0.9999314546585083,0.0027818544767796993,0.0007174322381615639,9.802598651731387e-05,0.00015649628767278045,0.3016718327999115,-0.05228975787758827,-0.3034169673919678,0.1797280110418797,0.10514689679843285,0.05656843982636928,0.02984375036787242,4.870146751403809,4.869213659159237,1.8406192064285278,3.6213817596435547,5.816832542419434,6.494814872741699,0.35205474495887756,0.9998109340667725,0.9998809099197388,0.9997439980506897,0.9998548030853271,0.9998142123222351,0.007653617765754461,0.0017079728422686458,0.00022026679653208703,0.00033630625694058836,0.362027108669281,-0.05064690113067627,-0.3588128983974457,7.515172004699707,5.455013751983643,4.268459320068359,6.028054714202881,2.6618940830230713,2.474856376647949,5.324251174926758,4.85075569152832,2.5529892444610596,6.643365859985352,4.7774810791015625,4.961391925811768,3.4223530292510986,2.6316158771514893,1.8306324481964111,2.838301181793213,1.146907091140747,1.1813634634017944,1.908233880996704,1.7647384405136108,1.2548526525497437,3.107651472091675,2.1086652278900146,2.2147912979125977
8,5.217328071594238,5.2164933780555796,2.1490800380706787,3.9834210872650146,5.99468469619751,6.860744476318359,0.360365092754364,0.9998148083686829,0.999394416809082,0.9998087286949158,0.9998588562011719,0.9999434351921082,0.003387602511793375,0.0008223209879361093,0.00011258279118919745,0.00017812354781199247,0.2952863276004791,-0.053745757788419724,-0.3056313693523407,0.18071562115103007,0.11289447977083908,0.060868440007016036,0.03586718807462603,4.4846110343933105,4.483542870694151,1.592988133430481,3.239455461502075,5.585797309875488,5.986625671386719,0.31309106945991516,0.9997673630714417,0.999610960483551,0.9997071027755737,0.9998564720153809,0.9998282194137573,0.009922675788402557,0.0019371146336197853,0.00024638252216391265,0.0003663813404273242,0.3783200979232788,-0.053126394748687744,-0.39142459630966187,7.740148067474365,6.057685852050781,4.946686744689941,6.38349723815918,2.602832555770874,2.8297667503356934,5.332932949066162,5.835760593414307,3.4335057735443115,6.454464912414551,5.1617279052734375,5.279152870178223,3.836143732070923,2.9587175846099854,2.128340482711792,3.1796329021453857,1.2819021940231323,1.3373967409133911,2.221544027328491,2.154169797897339,1.459088683128357,3.428556203842163,2.3985493183135986,2.5039591789245605
9,5.227423191070557,5.226391973197118,2.0221221446990967,3.9120047092437744,6.129924774169922,6.941839218139648,0.3491654396057129,0.9997836351394653,0.9993149042129517,0.9997584223747253,0.9998689889907837,0.9998775720596313,0.004013449419289827,0.0009242953965440392,0.00012698302452918142,0.0002040899416897446,0.30181068181991577,-0.05626169592142105,-0.3041537404060364,0.18161295998841526,0.12384884971041174,0.0668734405250325,0.04707812573236879,4.968562602996826,4.967462473339875,1.685494303703308,3.527523994445801,6.161464691162109,6.815112113952637,0.3165629804134369,0.9997842311859131,0.9997501969337463,0.9997314214706421,0.999848484992981,0.9997559189796448,0.011471133679151535,0.0020802589133381844,0.0002661714097484946,0.0004685123567469418,0.40146228671073914,-0.057202961295843124,-0.3060729503631592,9.400533676147461,7.30394172668457,6.232605934143066,6.808882236480713,3.231731653213501,3.017012596130371,6.554470062255859,6.361361980438232,4.131753921508789,7.528573989868164,6.057086944580078,6.228440761566162,4.368980884552002,3.3734092712402344,2.5208535194396973,3.522908926010132,1.4548271894454956,1.4899524450302124,2.635991334915161,2.5570881366729736,1.7147748470306396,3.820582389831543,2.7459371089935303,2.85671067237854
