step,AhistW_00,AhistW_01,AhistW_02,AhistW_03,AhistW_04,AhistW_05,AhistW_06,AhistW_07,AhistW_08,AhistW_09,AhistW_10,AhistW_11,AhistW_12,AhistW_13,AhistW_14,AhistW_15,AhistW_16,AhistW_17,AhistW_18,AhistW_19,Ahist_00,Ahist_01,Ahist_02,Ahist_03,Ahist_04,Ahist_05,Ahist_06,Ahist_07,Ahist_08,Ahist_09,Ahist_10,Ahist_11,Ahist_12,Ahist_13,Ahist_14,Ahist_15,Ahist_16,Ahist_17,Ahist_18,Ahist_19,Q_conv1,Q_conv2,Q_fc1,Q_fc2,S_conv1,S_conv2,S_fc1,S_fc2,absmu_median_conv1,absmu_median_conv2,absmu_median_fc1,absmu_median_fc2,absmu_q25_conv1,absmu_q25_conv2,absmu_q25_fc1,absmu_q25_fc2,absmu_q75_conv1,absmu_q75_conv2,absmu_q75_fc1,absmu_q75_fc2,consensus_Q,consensus_S,cos_max,cos_mean,cos_min,cv_median,dispersion_N,fr_lif1,fr_lif2,fr_lif3,fr_lif4,norm_0,norm_1,norm_2,norm_3,norm_4,norm_5,norm_6,norm_7,norm_8,norm_9
0,0.004276990424841642,0.0,0.0,0.0,0.017071153968572617,0.0,0.0,0.04006978124380112,0.0,0.0,0.0,0.0,0.09077950567007065,0.0,0.0,0.0,0.18554526567459106,0.0,0.0,0.6622573137283325,0.07887592166662216,0.0,0.0,0.0,0.153019979596138,0.0,0.0,0.15371805429458618,0.0,0.0,0.0,0.0,0.16098037362098694,0.0,0.0,0.0,0.1802842617034912,0.0,0.0,0.2731214165687561,0.6307692527770996,0.6104191541671753,0.570986270904541,0.4267464876174927,0.9604470133781433,0.9482720494270325,0.9360535144805908,0.9122933149337769,0.0002955403469968587,0.000106490493635647,1.4696733160235453e-05,2.269784818054177e-05,0.00013423101336229593,3.953852865379304e-05,2.839354692696361e-06,1.0556766483205138e-06,0.00046253346954472363,0.00021990342065691948,4.9312006012769416e-05,0.0001248247135663405,0.5716735124588013,0.9385829567909241,0.7900403141975403,0.5715141296386719,0.2772969603538513,1.0558009147644043,0.11223635077476501,0.1767573554068804,0.0873435773230358,0.045597033584490416,0.0037890625681029633,0.07390128821134567,0.09498254954814911,0.07563038170337677,0.07273221015930176,0.07526589930057526,0.07992883771657944,0.0997084453701973,0.07493167370557785,0.07591815292835236,0.07584743946790695
1,0.0016544281970709562,0.0,0.0,0.0,0.006866776384413242,0.0,0.0,0.0178831834346056,0.0,0.0,0.0,0.0,0.04791611060500145,0.0,0.0,0.0,0.13470891118049622,0.0,0.0,0.7909706234931946,0.05993514135479927,0.0,0.0,0.0,0.11508484929800034,0.0,0.0,0.1207217425107956,0.0,0.0,0.0,0.0,0.1342611312866211,0.0,0.0,0.0,0.1763354241847992,0.0,0.0,0.3936617076396942,0.7557692527770996,0.6996806263923645,0.6615006327629089,0.500199556350708,0.987644374370575,0.977543830871582,0.9714699387550354,0.9673171639442444,0.000558568281121552,0.00020441357628442347,2.8005124477203935e-05,4.3321353587089106e-05,0.00026095969951711595,7.715002720942721e-05,5.464674813993042e-06,2.0790287180716405e-06,0.0009095505811274052,0.00042444124119356275,9.387040336150676e-05,0.0002267111121909693,0.6619583964347839,0.9735972285270691,0.8752256035804749,0.7097628712654114,0.3202487826347351,0.7907021641731262,0.1025693267583847,0.17649133764207364,0.08788344561002304,0.04587953333510086,0.004460937579278834,0.12500979006290436,0.15163643658161163,0.14897571504116058,0.12314406782388687,0.12604574859142303,0.12754496932029724,0.16800563037395477,0.14116458594799042,0.12804995477199554,0.14611786603927612
2,0.0006375850643962622,0.0,0.0,0.0,0.00280438712798059,0.0,0.0,0.008658533915877342,0.0,0.0,0.0,0.0,0.02341618202626705,0.0,0.0,0.0,0.07828142493963242,0.0,0.0,0.8862018585205078,0.047632962465286255,0.0,0.0,0.0,0.09133682399988174,0.0,0.0,0.09784439951181412,0.0,0.0,0.0,0.0,0.11245082318782806,0.0,0.0,0.0,0.1579301506280899,0.0,0.0,0.4928048253059387,0.7884615659713745,0.7694610953330994,0.7199500799179077,0.5504989624023438,0.9919938445091248,0.9903263449668884,0.9867003560066223,0.9845722317695618,0.0008130122441798449,0.0002960155252367258,4.0391856600763276e-05,6.472541281254962e-05,0.0003767927992157638,0.00011036201613023877,7.850623660488054e-06,2.9404980068648e-06,0.0013827193761244416,0.0006144843646325171,0.00013519857020583004,0.0003359003458172083,0.7209404706954956,0.9879007339477539,0.9128900170326233,0.8131970763206482,0.699847936630249,0.62275230884552,0.08525405824184418,0.17779208410531283,0.0887976299530692,0.046492345838341866,0.0064531251415610325,0.17064973711967468,0.21189533174037933,0.20018219947814941,0.1799347847700119,0.1732867956161499,0.18862438201904297,0.19810141623020172,0.180048868060112,0.16197122633457184,0.20823638141155243
3,0.0006912716780789196,0.0,0.0,0.0,0.0031673286575824022,0.0,0.0,0.009612968191504478,0.0,0.0,0.0,0.0,0.029466575011610985,0.0,0.0,0.0,0.08305134624242783,0.0,0.0,0.8740105032920837,0.04575072228908539,0.0,0.0,0.0,0.09052124619483948,0.0,0.0,0.09502770006656647,0.0,0.0,0.0,0.0,0.10998551547527313,0.0,0.0,0.0,0.16066908836364746,0.0,0.0,0.49804574251174927,0.8538461327552795,0.7736926078796387,0.7267091274261475,0.5628742575645447,0.9970457553863525,0.9905864000320435,0.9847704768180847,0.9772816896438599,0.0011444269912317395,0.00038256350671872497,5.194379627937451e-05,8.064755093073472e-05,0.0005545674357563257,0.00014316306624095887,1.0151457900064997e-05,3.55788415618008e-06,0.0018438320839777589,0.0007887345855124295,0.00017338231555186212,0.0004226127057336271,0.7276886105537415,0.9865303039550781,0.9217285513877869,0.7990093231201172,0.5888729095458984,0.6130446791648865,0.08610063791275024,0.17695630338042972,0.08972162868076339,0.04718187695601955,0.009187500174157322,0.23360145092010498,0.25723400712013245,0.2839767038822174,0.21841731667518616,0.21532341837882996,0.24131646752357483,0.23678089678287506,0.24270063638687134,0.22264833748340607,0.26652204990386963
4,0.0007710454519838095,0.0,0.0,0.0,0.0033185817301273346,0.0,0.0,0.008983612060546875,0.0,0.0,0.0,0.0,0.019706442952156067,0.0,0.0,0.0,0.06048943102359772,0.0,0.0,0.9067308306694031,0.04436241090297699,0.0,0.0,0.0,0.08578623086214066,0.0,0.0,0.08888372778892517,0.0,0.0,0.0,0.0,0.10259877145290375,0.0,0.0,0.0,0.1440763771533966,0.0,0.0,0.5342925190925598,0.8692307472229004,0.791297435760498,0.7396504878997803,0.5874251127243042,0.9982326626777649,0.9916998147964478,0.986370325088501,0.966485857963562,0.0014351498102769256,0.0004488224512897432,6.156010931590572e-05,9.704495460027829e-05,0.0006960770697332919,0.00016779075667727739,1.2110196621506475e-05,4.678657660406316e-06,0.0022969574201852083,0.000914706673938781,0.00020317755115684122,0.0005058629903942347,0.7410387992858887,0.986928403377533,0.9222154021263123,0.823632001876831,0.668209433555603,0.5606217980384827,0.06093582510948181,0.1783222972601652,0.09187555924561822,0.04857500230427832,0.014125000248313882,0.281999796628952,0.27913662791252136,0.3059212863445282,0.2558768093585968,0.24992361664772034,0.29152172803878784,0.2720193862915039,0.272063672542572,0.26060035824775696,0.2932753264904022
5,0.0004842732450924814,0.0,0.0,0.0,0.0032637554686516523,0.0,0.0,0.006155828014016151,0.0,0.0,0.0,0.0,0.014801092445850372,0.0,0.0,0.0,0.042163729667663574,0.0,0.0,0.9331312775611877,0.0399552546441555,0.0,0.0,0.0,0.07771479338407516,0.0,0.0,0.08210134506225586,0.0,0.0,0.0,0.0,0.09478962421417236,0.0,0.0,0.0,0.13304497301578522,0.0,0.0,0.5723940134048462,0.8903846144676208,0.8116567134857178,0.7585892677307129,0.6047903895378113,0.9987136721611023,0.9935196042060852,0.9890803098678589,0.9784474968910217,0.001763043226674199,0.0005331215215846896,7.31556792743504e-05,0.00011829013237729669,0.0008910077740438282,0.00020019934163428843,1.4290584658738226e-05,5.377489287639037e-06,0.0030005713924765587,0.0010900505585595965,0.00024165517243091017,0.0006045293994247913,0.7600445747375488,0.9900978207588196,0.9399176239967346,0.8571794629096985,0.7070266008377075,0.5097583532333374,0.07422143220901489,0.17872980803251265,0.0942723857699093,0.05011218996020034,0.01835937535215635,0.343018114566803,0.31264594197273254,0.3786754608154297,0.29760944843292236,0.29253309965133667,0.3427687883377075,0.3206422030925751,0.3140126168727875,0.3119581341743469,0.32375016808509827
6,0.00044715357944369316,0.0,0.0,0.0,0.0016181383980438113,0.0,0.0,0.005191733129322529,0.0,0.0,0.0,0.0,0.014442022889852524,0.0,0.0,0.0,0.03614966198801994,0.0,0.0,0.9421512484550476,0.03847242146730423,0.0,0.0,0.0,0.07254708558320999,0.0,0.0,0.07812294363975525,0.0,0.0,0.0,0.0,0.09094545245170593,0.0,0.0,0.0,0.1237371414899826,0.0,0.0,0.596174955368042,0.9153845906257629,0.8252694606781006,0.769453227519989,0.6231536865234375,0.9989021420478821,0.9948700666427612,0.9911842942237854,0.9901460409164429,0.0021956302225589752,0.0006134362192824483,8.425048144999892e-05,0.00014116239617578685,0.001070476369932294,0.0002289059921167791,1.6286119716824032e-05,6.45231284579495e-06,0.0037552027497440577,0.0012601547641679645,0.00027944447356276214,0.0007016922463662922,0.7711724638938904,0.9927441477775574,0.9364877343177795,0.8719523549079895,0.7589268088340759,0.47430020570755005,0.04317031800746918,0.17891684751957654,0.09783193128241692,0.052261252147145575,0.02247656286461279,0.3769504129886627,0.35335707664489746,0.39797770977020264,0.3537265658378601,0.3583785891532898,0.3615615665912628,0.3635269105434418,0.36477574706077576,0.38029468059539795,0.39860203862190247
7,0.00028606283012777567,0.0,0.0,0.0,0.0012630523415282369,0.0,0.0,0.0032736756838858128,0.0,0.0,0.0,0.0,0.009876116178929806,0.0,0.0,0.0,0.030276043340563774,0.0,0.0,0.9550249576568604,0.03595583885908127,0.0,0.0,0.0,0.06697924435138702,0.0,0.0,0.07138990610837936,0.0,0.0,0.0,0.0,0.08441710472106934,0.0,0.0,0.0,0.1201900839805603,0.0,0.0,0.6210678219795227,0.9211538434028625,0.8425948023796082,0.7836479544639587,0.640119731426239,0.999311089515686,0.9965817928314209,0.9937724471092224,0.9948755502700806,0.002653562929481268,0.0007040913915261626,9.673683962319046e-05,0.00015773170161992311,0.0012570886174216866,0.00026413111481815577,1.8541999452281743e-05,7.088277470757021e-06,0.00462340796366334,0.0014503563288599253,0.0003202145453542471,0.0007909503183327615,0.7855711579322815,0.99517822265625,0.9468029141426086,0.896574079990387,0.7980586886405945,0.4416964054107666,0.07066886872053146,0.1795440041273832,0.10303344539825048,0.05532437768764794,0.026546875583590014,0.43324020504951477,0.38982605934143066,0.4952300190925598,0.40328752994537354,0.41367560625076294,0.3969661295413971,0.4203154742717743,0.3988531231880188,0.44975823163986206,0.4309392273426056
8,0.0002089261106448248,0.0,0.0,0.0,0.001079286215826869,0.0,0.0,0.0033978475257754326,0.0,0.0,0.0,0.0,0.010088291950523853,0.0,0.0,0.0,0.032047368586063385,0.0,0.0,0.9531782865524292,0.033997178077697754,0.0,0.0,0.0,0.0662715956568718,0.0,0.0,0.07170061767101288,0.0,0.0,0.0,0.0,0.08581411838531494,0.0,0.0,0.0,0.12062516808509827,0.0,0.0,0.621591329574585,0.9115384817123413,0.8471856117248535,0.7862022519111633,0.6473053693771362,0.999322772026062,0.9970192909240723,0.9938094019889832,0.9933215975761414,0.0033416682854294777,0.0008040081011131406,0.00010979057697113603,0.00017928858869709074,0.001473165350034833,0.00029704943881370127,2.0869432773906738e-05,8.455229362880345e-06,0.005880963522940874,0.0016848811646923423,0.00036518400884233415,0.000914951553568244,0.7882829308509827,0.9953150153160095,0.956703782081604,0.8963125944137573,0.7616099119186401,0.4380435347557068,0.05332500487565994,0.18078654408454897,0.11067926997660833,0.05965156537480652,0.03204687569756061,0.4861328601837158,0.44911524653434753,0.5484092235565186,0.47106415033340454,0.47489434480667114,0.48383957147598267,0.5009424686431885,0.4665433466434479,0.5092101097106934,0.48187118768692017
9,0.00014621404989156872,0.0,0.0,0.0,0.0008766564424149692,0.0,0.0,0.0024448668118566275,0.0,0.0,0.0,0.0,0.007702477741986513,0.0,0.0,0.0,0.028642956167459488,0.0,0.0,0.960186779499054,0.03246128559112549,0.0,0.0,0.0,0.0620465949177742,0.0,0.0,0.06653467565774918,0.0,0.0,0.0,0.0,0.08076358586549759,0.0,0.0,0.0,0.11806849390268326,0.0,0.0,0.6401253938674927,0.9173076748847961,0.8599201440811157,0.7970187664031982,0.656287431716919,0.999527633190155,0.9979692697525024,0.9954180717468262,0.9936332702636719,0.003944501280784607,0.0009095050045289099,0.0001255316165043041,0.00020663169561885297,0.0017505886498838663,0.0003292501496616751,2.3547556338598952e-05,9.878222044790164e-06,0.007313761860132217,0.0019364089239388704,0.0004189153260085732,0.001089012250304222,0.7991834878921509,0.9965330362319946,0.968300998210907,0.9121872186660767,0.7922730445861816,0.40959006547927856,0.05278695374727249,0.18103657096624376,0.12039157460298155,0.06502297187829753,0.04064843797008507,0.5537655353546143,0.5146461725234985,0.6234145760536194,0.539946436882019,0.5797720551490784,0.5592445135116577,0.5450292229652405,0.5395074486732483,0.5930684804916382,0.5506712198257446
10,0.00014850732986815274,0.0,0.0,0.0,0.0007026821840554476,0.0,0.0,0.0019914056174457073,0.0,0.0,0.0,0.0,0.005516017321497202,0.0,0.0,0.0,0.020205633714795113,0.0,0.0,0.9714357256889343,0.03016515262424946,0.0,0.0,0.0,0.06182018294930458,0.0,0.0,0.06525760889053345,0.0,0.0,0.0,0.0,0.07655828446149826,0.0,0.0,0.0,0.11115898936986923,0.0,0.0,0.6550397872924805,0.9269230961799622,0.8680638670921326,0.8006641864776611,0.656287431716919,0.999775767326355,0.9983792901039124,0.9958214163780212,0.9959219694137573,0.004784134216606617,0.001003841869533062,0.00013954586756881326,0.0002273537393193692,0.0020316257141530514,0.0003687760035973042,2.6001867809100077e-05,1.2634217455342878e-05,0.008775589056313038,0.0022091539576649666,0.00046558090252801776,0.0012673273449763656,0.8030551671981812,0.9971581101417542,0.9588282108306885,0.9255988597869873,0.8363742232322693,0.395770788192749,0.052272047847509384,0.18277224134653808,0.1340471645790967,0.07232297220951295,0.054851563131087466,0.6154412031173706,0.5790886878967285,0.7036084532737732,0.6159253120422363,0.6300998330116272,0.5970615148544312,0.6326831579208374,0.6016319990158081,0.6517625451087952,0.6167647838592529
