step,lif1,lif2,lif3,lif4
0,0.17662486873567104,0.08723815724246378,0.04558828324312344,0.0038203125493600962
50,0.17094118636101485,0.3250016035139561,0.29414220146834846,0.0
100,0.17478855174034832,0.33745565731078386,0.3137972033023834,0.000750000006519258
150,0.1751072965189815,0.33748492881655695,0.31388423293828965,0.00011718750174622982
200,0.17513482518494128,0.3378163977712393,0.3101115782558918,3.125000104773789e-05
250,0.17446000576019288,0.33709733027964833,0.3104339224100113,0.0
300,0.1741457838565111,0.3363234544917941,0.306565953195095,0.0
350,0.17486768599599603,0.3403040455654263,0.3342340792715549,0.003742187609896064
400,0.1753614743426442,0.3438535818457603,0.3472548606991768,0.0035000001080334187
450,0.17503413565456866,0.3431701586768031,0.3493037666380405,0.0016718750307336452
