step,lif1,lif2,lif3,lif4
0,0.17656373836100103,0.08740278128526825,0.045515783076407385,0.003601562561816536
50,0.14051372934132816,0.0004829101419272774,0.0,0.0
100,0.1403915973007679,0.00048215331084975325,0.0,0.0
150,0.14037787217646835,0.0004787353377651016,0.0,0.0
200,0.1402196144592017,0.0004736328016042535,0.0,0.0
250,0.14030286619439722,0.0004803954969520418,0.0,0.0
300,0.14021930314600467,0.00047827147376210637,0.0,0.0
350,0.1402131991274655,0.0004719970605310664,0.0,0.0
400,0.14020078209228815,0.0004774902228018619,0.0,0.0
450,0.14000822294503448,0.0004831542873716899,0.0,0.0
