step,lif1,lif2,lif3,lif4
0,0.1775420508161187,0.08746757628017804,0.04572984573431313,0.003929687606869265
50,0.16601339746266602,0.3022217217087746,0.3056598588824272,0.0
100,0.1703096282109618,0.3166387856006623,0.3141303262114524,0.0
150,0.18688534647226335,0.3649624434113502,0.3238361105322838,0.0
200,0.1840077831596136,0.3533178141713142,0.3240890771150589,0.0
250,0.18484089262783526,0.3536629559099674,0.32391220480203625,0.0
300,0.1822123600542545,0.35105819404125216,0.3238000151515007,0.09939843893051148
350,0.18320992536842823,0.35245953723788265,0.3238667339086533,0.10000781401991846
400,0.1832082835584879,0.3521951572597027,0.32379454910755157,0.10000781401991846
450,0.1820670001208782,0.35082499295473096,0.3237715774774551,0.10000000149011612
