step,lif1,lif2,lif3,lif4
0,0.175810164809227,0.08715292765343294,0.04546375248464756,0.0036406250693835317
50,0.24941706597805022,0.3200839772820473,0.24210438724607228,0.14591406531631948
100,0.2510447582602501,0.2906659349799156,0.23549891881644727,0.14126562841236592
150,0.251792765557766,0.25293383225798605,0.21682532295584678,0.12387500189244746
200,0.256506258547306,0.22073187947273257,0.1960923532396555,0.12140625230967998
250,0.2560600446164608,0.22327790021896363,0.18799672748893498,0.11347656391561031
300,0.25924959912896156,0.20351005405187608,0.18185016423463823,0.11605468913912773
350,0.2555224400758743,0.19526930734515188,0.1728182891383767,0.11064843878149985
400,0.27224237680435187,0.20152690008282664,0.17060141477733853,0.11130468897521495
450,0.2657112556695938,0.18162128448486328,0.16145860116928817,0.10884375169873237
