T,beta,alpha,threshold,surrogate,learn_threshold,aggregator,attack,f,gamma,seed,nb_steps,eval_delta,lr,n_eval_points,final_test_accuracy,max_test_accuracy,run_dir
10,0.95,0.5,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,42,500,50,0.1,10,0.9192,0.9192,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_0.5_threshold_1.0
10,0.95,0.5,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,43,500,50,0.1,9,0.9193,0.9193,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_0.5_threshold_1.0
10,0.95,0.5,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,44,500,50,0.1,9,0.9157,0.9157,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_0.5_threshold_1.0
10,0.95,0.5,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,45,500,50,0.1,10,0.9163,0.9164,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_0.5_threshold_1.0
10,0.95,0.5,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,46,500,50,0.1,10,0.9216,0.9216,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_0.5_threshold_1.0
10,0.95,1.2,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,42,500,50,0.1,11,0.9694,0.9694,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_1.2_threshold_1.0
10,0.95,1.2,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,43,500,50,0.1,11,0.9685,0.9685,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_1.2_threshold_1.0
10,0.95,1.2,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,44,500,50,0.1,11,0.9693,0.9693,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_1.2_threshold_1.0
10,0.95,1.2,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,45,500,50,0.1,11,0.9697,0.9697,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_1.2_threshold_1.0
10,0.95,1.2,1.0,atan,False,CenteredClipping,Optimal_ALittleIsEnough_neg1,0,1.0,46,500,50,0.1,11,0.9694,0.9694,results/snn_t_beta_sweep_server\mnist_cnn_mnist_snn_n_10_f_0_d_0_gamma_similarity_niid_1.0_CenteredClipping_NNM_ARC_Optimal_ALittleIsEnough_neg1_lr_0.1_mom_0.9_wd_0.0001_ts_10_enc_constant_beta_0.95_learn_threshold_False_surrogate_gradient_atan_alpha_1.2_threshold_1.0
