==========================================================
SNN WEEKEND EXPERIMENTS SUMMARY
==========================================================
Test mode: False
Steps: 500

Config ID  | Encoding  | Dist           | f  | Attack                         | Pre-Agg  | Aggregator       | Accuracy | Objective/Description
--------------------------------------------------------------------------------------------------------------------------------------------
1          | rate      | iid            | 0  | NoAttack                       | None     | Average          | 0.9847   | Maximum baseline ceiling for both encodings.
2          | constant  | iid            | 0  | NoAttack                       | None     | Average          | 0.9751   | Maximum baseline ceiling for both encodings.
3          | rate      | dirichlet_niid | 0  | NoAttack                       | None     | Average          | 0.9839   | Clean impact of organic label skew on SNN updates.
4          | constant  | dirichlet_niid | 0  | NoAttack                       | None     | Average          | 0.9746   | Clean impact of organic label skew on SNN updates.
5          | rate      | iid            | 0  | NoAttack                       | None     | CenteredClipping | 0.9854   | Measures if Centered Clipping alters clean SNN convergence.
6          | constant  | iid            | 0  | NoAttack                       | None     | CenteredClipping | 0.9750   | Measures if Centered Clipping alters clean SNN convergence.
7          | rate      | dirichlet_niid | 0  | NoAttack                       | None     | CenteredClipping | 0.9842   | Tax of Centered Clipping under Non-IID conditions.
8          | constant  | dirichlet_niid | 0  | NoAttack                       | None     | CenteredClipping | 0.9746   | Tax of Centered Clipping under Non-IID conditions.
9          | rate      | dirichlet_niid | 0  | NoAttack                       | None     | Median           | 0.9795   | Standard coordinate trimming tax on raw skew.
10         | constant  | dirichlet_niid | 0  | NoAttack                       | None     | Median           | 0.9686   | Standard coordinate trimming tax on raw skew.
11         | rate      | dirichlet_niid | 0  | NoAttack                       | None     | MultiKrum        | 0.9840   | Standard distance-based tax on raw skew.
12         | constant  | dirichlet_niid | 0  | NoAttack                       | None     | MultiKrum        | 0.9750   | Standard distance-based tax on raw skew.
13         | rate      | iid            | 2  | SignFlipping                   | None     | Average          | 0.9828   | Unprotected system vulnerability under mild attack.
14         | constant  | iid            | 2  | SignFlipping                   | None     | Average          | 0.9719   | Unprotected system vulnerability under mild attack.
15         | rate      | dirichlet_niid | 2  | SignFlipping                   | None     | Average          | 0.9824   | Compounding destruction of attack + label skew.
16         | constant  | dirichlet_niid | 2  | SignFlipping                   | None     | Average          | 0.9715   | Compounding destruction of attack + label skew.
17         | rate      | iid            | 5  | SignFlipping                   | None     | Average          | 0.9802   | Absolute baseline system breakdown point (~31% malicious).
